CALbumpUSED			CALext2		
9.180327869	19.88697716	5.139462093	9.180327869	-5.963756284	14.48621543
9.239940387	19.92034226	5.133387194	9.239940387	-5.952598869	14.48689038
9.299552906	19.93325956	5.130704156	9.299552906	-5.944558369	14.48588871
9.359165425	19.90715354	5.122472245	9.359165425	-5.942174424	14.48622602
9.418777943	19.92433698	5.12394969	9.418777943	-5.935246944	14.48593537
9.478390462	20.0197265	5.132991554	9.478390462	-5.931889181	14.4857652
9.538002981	20.06737402	5.129316802	9.538002981	-5.933061486	14.48599179
9.597615499	20.08293496	5.131877289	9.597615499	-5.928284802	14.48595862
9.657228018	20.09539638	5.133780247	9.657228018	-5.92946687	14.48598849
9.716840537	20.10177546	5.133794761	9.716840537	-5.927816954	14.48653104
9.776453055	20.10429706	5.134746671	9.776453055	-5.929926406	14.48625453
9.836065574	20.16837966	5.135619844	9.836065574	-5.931928985	14.48628699
9.895678092	20.21292586	5.130505415	9.895678092	-5.934858708	14.48628549
9.955290611	20.22227183	5.131626369	9.955290611	-5.93383837	14.48627991
10.01490313	20.22777736	5.130019951	10.01490313	-5.93659496	14.48633664
10.07451565	20.26331839	5.142978688	10.07451565	-5.933803721	14.48604962
10.13412817	20.27204807	5.133505089	10.13412817	-5.932351843	14.48608745
10.19374069	20.26000865	5.142188712	10.19374069	-5.928471761	14.48621741
10.2533532	20.22518764	5.130057668	10.2533532	-5.931531201	14.48640061
10.31296572	20.16735249	5.129189433	10.31296572	-5.932251173	14.48643827
10.37257824	20.22728839	5.131041185	10.37257824	-5.931615537	14.48605956
10.43219076	20.25170323	5.138084281	10.43219076	-5.929346354	14.48639199
10.49180328	20.22879558	5.130214948	10.49180328	-5.928234447	14.48610657
10.5514158	20.23306421	5.130078387	10.5514158	-5.930341049	14.486183
10.61102832	20.22830717	5.127072773	10.61102832	-5.929065708	14.48607384
10.67064083	20.23072127	5.127759584	10.67064083	-5.931844488	14.48626514
10.73025335	20.22154674	5.123647173	10.73025335	-5.931105275	14.48607831
10.78986587	20.24070501	5.131439729	10.78986587	-5.930698457	14.48607521
10.84947839	20.25378815	5.13475491	10.84947839	-5.93065972	14.48604206
10.90909091	20.23256449	5.12781075	10.90909091	-5.930590122	14.48607891
10.96870343	20.24499845	5.136249403	10.96870343	-5.931482916	14.48599663
11.02831595	20.30882832	5.144041834	11.02831595	-5.931586651	14.48586045
11.08792846	20.37589535	5.147434576	11.08792846	-5.930086318	14.48576388
11.14754098	20.40483481	5.162333152	11.14754098	-5.929544584	14.48587641
11.2071535	20.40225068	5.190861025	11.2071535	-5.93104946	14.48579407
11.26676602	20.46770001	5.200563931	11.26676602	-5.931262566	14.48540719
11.32637854	20.48020026	5.207389324	11.32637854	-5.92940053	14.48542522
11.38599106	20.44929355	5.204179167	11.38599106	-5.92937104	14.48518005
11.44560358	20.41395697	5.208224055	11.44560358	-5.932214217	14.48516821
11.5052161	20.38893104	5.205792772	11.5052161	-5.932297851	14.48501652
11.56482861	20.42693889	5.20538816	11.56482861	-5.930814064	14.4852227
11.62444113	20.45454668	5.210596193	11.62444113	-5.933538435	14.48525317
11.68405365	20.44588557	5.210237253	11.68405365	-5.934028785	14.48521042
11.74366617	20.43500819	5.204754154	11.74366617	-5.93350306	14.48511235
11.80327869	20.44496346	5.20432572	11.80327869	-5.932471309	14.48521532
11.86289121	20.48983627	5.216780178	11.86289121	-5.932309236	14.48556013
11.92250373	20.48054397	5.210967778	11.92250373	-5.93355585	14.48557608
11.98211624	20.44386144	5.201622162	11.98211624	-5.936359778	14.48536307
12.04172876	20.37316052	5.197281739	12.04172876	-5.934500549	14.48568855
12.10134128	20.31166054	5.204330638	12.10134128	-5.931742477	14.4857447
12.1609538	20.30073673	5.205291775	12.1609538	-5.934047877	14.48595346
12.22056632	20.28312624	5.194030796	12.22056632	-5.931701227	14.48583302
12.28017884	20.27535301	5.19292509	12.28017884	-5.931306044	14.48596936
12.33979136	20.25955011	5.201978314	12.33979136	-5.933529426	14.48623403
12.39940387	20.24986889	5.200731994	12.39940387	-5.931369101	14.48561659
12.45901639	20.2583224	5.201008164	12.45901639	-5.933640325	14.48609294
12.51862891	20.27177569	5.190542031	12.51862891	-5.934313714	14.48584297
12.57824143	20.28748391	5.191246957	12.57824143	-5.936493397	14.48584142
12.63785395	20.30606943	5.199079331	12.63785395	-5.933883751	14.48570381
12.69746647	20.31135696	5.201662584	12.69746647	-5.933696546	14.4858492
12.75707899	20.30601981	5.198731397	12.75707899	-5.935060171	14.48591451
12.81669151	20.30349757	5.199714643	12.81669151	-5.934854227	14.48583894
12.87630402	20.30496701	5.200559191	12.87630402	-5.935207007	14.48568444
12.93591654	20.32356098	5.205889167	12.93591654	-5.936682783	14.48579897
12.99552906	20.32008293	5.204077576	12.99552906	-5.935035797	14.48572076
13.05514158	20.31191843	5.204465965	13.05514158	-5.935900005	14.48587377
13.1147541	20.30333379	5.200747421	13.1147541	-5.934995058	14.48591655
13.17436662	20.29575957	5.196703492	13.17436662	-5.937020168	14.48605654
13.23397914	20.30728501	5.206040849	13.23397914	-5.9369923	14.48584385
13.29359165	20.31773163	5.213256956	13.29359165	-5.936415853	14.48619237
13.35320417	20.33406775	5.2172948	13.35320417	-5.93552117	14.48608204
13.41281669	20.37020528	5.21670554	13.41281669	-5.933654188	14.4860968
13.47242921	20.38025156	5.218556635	13.47242921	-5.933076619	14.48613642
13.53204173	20.4132398	5.227766111	13.53204173	-5.936117313	14.48607162
13.59165425	20.38612897	5.218994529	13.59165425	-5.93513991	14.48594271
13.65126677	20.37984828	5.21331111	13.65126677	-5.93355636	14.48608219
13.71087928	20.42313691	5.211843719	13.71087928	-5.932267567	14.48612581
13.7704918	20.48050631	5.22466255	13.7704918	-5.932908396	14.48606094
13.83010432	20.48887342	5.223949685	13.83010432	-5.933129876	14.48624196
13.88971684	20.46985719	5.216692207	13.88971684	-5.935658487	14.48602403
13.94932936	20.47760341	5.219915554	13.94932936	-5.931492159	14.48594608
14.00894188	20.4773771	5.220578115	14.00894188	-5.934858974	14.48625198
14.0685544	20.48349507	5.222859479	14.0685544	-5.932349902	14.48607433
14.12816692	20.48508876	5.221142473	14.12816692	-5.932735952	14.48597404
14.18777943	20.55295859	5.215884257	14.18777943	-5.935085948	14.48591772
14.24739195	20.46464787	5.161549912	14.24739195	-5.932138376	14.48587488
14.30700447	20.46492879	5.152821085	14.30700447	-5.931169166	14.48584833
14.36661699	20.48008125	5.160800769	14.36661699	-5.933991984	14.48591037
14.42622951	20.44910191	5.147766833	14.42622951	-5.930479812	14.48545309
14.48584203	20.53775738	5.153258938	14.48584203	-5.930401222	14.48541097
14.54545455	20.58548048	5.181341709	14.54545455	-5.932754208	14.48552963
14.60506706	20.60638743	5.197967489	14.60506706	-5.932284394	14.48537925
14.66467958	20.58918673	5.193621175	14.66467958	-5.934084344	14.48547967
14.7242921	20.53401965	5.189742418	14.7242921	-5.932398195	14.48570701
14.78390462	20.55394291	5.199145521	14.78390462	-5.932897379	14.48561953
			14.84351714	-5.931863684	14.48590764
			14.90312966	-5.931432208	14.48593154
			14.96274218	-5.931912788	14.48588115
			15.02235469	-5.930476785	14.48627982
			15.08196721	-5.928769847	14.48616544
			15.14157973	-5.930606313	14.48627854
			15.20119225	-5.932209403	14.48562858
			15.26080477	-5.931466313	14.48498407
			15.32041729	-5.900683638	14.4863971
			15.38002981	-5.906816758	14.48439037
			15.43964232	-5.905093415	14.48381195
			15.49925484	-5.9134883	14.48386486
			15.55886736	-5.91074862	14.48412253
			15.61847988	-5.909846177	14.4844238
			15.6780924	-5.909993433	14.48486412
			15.73770492	-5.908184727	14.48533532
			15.79731744	-5.909519638	14.4853582
			15.85692996	-5.905479844	14.48477434
			15.91654247	-5.909037672	14.48571923
			15.97615499	-5.861946602	14.48603976
			16.03576751	-5.934496906	14.48658128
			16.09538003	-5.635475772	13.12462852
