CALbumpUSED			CALext2		
t	x	y	t	x	y
0.000000000	21.58343642	5.432708875	0.0	-5.032625663	14.48722367
0.05961251863	21.58438452	5.432633397	0.05961251863	-5.032328508	14.48595662
0.1192250373	21.58623767	5.43246353	0.1192250373	-5.034935918	14.48612325
0.1788375559	21.58287079	5.431500691	0.1788375559	-5.036839746	14.48610018
0.2384500745	21.58484061	5.431218731	0.2384500745	-5.035573907	14.48624886
0.2980625931	21.59246543	5.431633144	0.2980625931	-5.038393571	14.4862536
0.3576751118	21.61369831	5.432359294	0.3576751118	-5.037576581	14.48619945
0.4172876304	21.60644177	5.432211257	0.4172876304	-5.035092467	14.48585279
0.476900149	21.59820907	5.432929465	0.476900149	-5.034850551	14.48576997
0.5365126677	21.6006021	5.433248292	0.5365126677	-5.035828996	14.48605568
0.5961251863	21.61066094	5.433054351	0.5961251863	-5.036132827	14.48600665
0.6557377049	21.60883659	5.432814617	0.6557377049	-5.033050324	14.48592477
0.7153502235	21.60000392	5.432138029	0.7153502235	-5.032649875	14.48554557
0.7749627422	21.58836532	5.432482192	0.7749627422	-5.037142694	14.48559143
0.8345752608	21.58538791	5.432615702	0.8345752608	-5.034576448	14.48576124
0.8941877794	21.57865731	5.43131854	0.8941877794	-5.033186501	14.48600605
0.9538002981	21.54756507	5.426365393	0.9538002981	-5.032458339	14.48585866
1.013412817	21.58403132	5.436633912	1.013412817	-5.031473674	14.48541129
1.073025335	21.58892136	5.442428286	1.073025335	-5.026474204	14.48533332
1.132637854	21.52881799	5.438118396	1.132637854	-5.023380423	14.48484519
1.192250373	21.41603199	5.413994907	1.192250373	-5.031411809	14.4834649
1.251862891	21.41675226	5.375619509	1.251862891	-5.038617799	14.48402037
1.31147541	21.4540202	5.390437586	1.31147541	-5.03789257	14.48455368
1.371087928	21.4189133	5.364016889	1.371087928	-5.03838987	14.48538665
1.430700447	21.31535475	5.34956881	1.430700447	-5.058196221	14.48520603
1.490312966	21.2908276	5.310639045	1.490312966	-5.043613385	14.48458947
1.549925484	21.17643265	5.287493213	1.549925484	-5.06687418	14.48424918
1.609538003	21.02595785	5.263469801	1.609538003	-5.128120987	14.48678854
1.669150522	20.86977965	5.215075631	1.669150522	-5.153757043	14.4847458
1.72876304	20.93997854	5.221439156	1.72876304	-5.154334949	14.48617776
1.788375559	21.00389732	5.227743185	1.788375559	-5.169937904	14.48683117
1.847988077	21.06317023	5.226594497	1.847988077	-5.190466359	14.48615866
1.907600596	21.0315367	5.21188768	1.907600596	-5.18955289	14.4859293
1.967213115	21.00746262	5.205786024	1.967213115	-5.186757422	14.48601578
2.026825633	21.01064386	5.200083371	2.026825633	-5.171409423	14.48539453
2.086438152	21.11124579	5.202355305	2.086438152	-5.170822419	14.48582235
2.146050671	21.06789446	5.196351428	2.146050671	-5.170330677	14.4855594
2.205663189	21.04872179	5.189378365	2.205663189	-5.175866003	14.48566392
2.265275708	21.15021817	5.209107328	2.265275708	-5.172232302	14.48549696
2.324888227	21.08083368	5.203045888	2.324888227	-5.171139136	14.48534657
2.384500745	21.06406446	5.200316957	2.384500745	-5.1702196	14.48579806
2.444113264	21.16914023	5.213629004	2.444113264	-5.171403336	14.48617178
2.503725782	21.27182668	5.216901425	2.503725782	-5.170125694	14.48652009
2.563338301	21.32695896	5.263151993	2.563338301	-5.175898641	14.4859276
2.62295082	21.4754896	5.282252029	2.62295082	-5.180526189	14.48629469
2.682563338	21.57797517	5.300456786	2.682563338	-5.179391111	14.48679102
2.742175857	21.56698526	5.330458402	2.742175857	-5.174545197	14.48668174
2.801788376	21.69793802	5.358005705	2.801788376	-5.164307355	14.48660125
2.861400894	21.69934019	5.396881733	2.861400894	-5.168865953	14.48707551
2.921013413	21.65938734	5.408779338	2.921013413	-5.172611248	14.4853671
2.980625931	21.66331325	5.412798789	2.980625931	-5.174894948	14.48506773
3.04023845	21.69195088	5.426748644	3.04023845	-5.176918012	14.48509954
3.099850969	21.69020745	5.428115397	3.099850969	-5.171667338	14.48388613
3.159463487	21.64729648	5.425624471	3.159463487	-5.175341896	14.48431686
3.219076006	21.60042538	5.437294967	3.219076006	-5.173970538	14.4842833
3.278688525	21.59881432	5.458903851	3.278688525	-5.173086209	14.48440989
3.338301043	21.57208028	5.491868309	3.338301043	-5.175167705	14.48448763
3.397913562	21.50328958	5.493092866	3.397913562	-5.176238211	14.48451518
3.45752608	21.49051286	5.500188499	3.45752608	-5.177687075	14.4848617
3.517138599	21.46193179	5.50709809	3.517138599	-5.176273477	14.48514242
3.576751118	21.4026575	5.496269579	3.576751118	-5.173753131	14.48520502
3.636363636	21.36803272	5.500901357	3.636363636	-5.174448393	14.48521946
3.695976155	21.33183418	5.493858085	3.695976155	-5.1716781	14.48497877
3.755588674	21.28956902	5.494383859	3.755588674	-5.174649307	14.48431364
3.815201192	21.17894137	5.48740612	3.815201192	-5.174089704	14.48486235
3.874813711	21.12806149	5.479314044	3.874813711	-5.174570722	14.4848885
3.93442623	21.14310701	5.461020142	3.93442623	-5.176000116	14.48466385
3.994038748	21.08005941	5.44822736	3.994038748	-5.176361839	14.4848839
4.053651267	21.03275467	5.433432557	4.053651267	-5.176064054	14.4849857
4.113263785	20.98994054	5.431600326	4.113263785	-5.176459514	14.48487556
4.172876304	20.92210165	5.425841255	4.172876304	-5.177192171	14.48510447
4.232488823	20.85054558	5.415271533	4.232488823	-5.179792484	14.48514348
4.292101341	20.73564839	5.403749422	4.292101341	-5.180805045	14.48511129
4.35171386	20.65450241	5.398693968	4.35171386	-5.180262735	14.48498087
4.411326379	20.62442582	5.407355041	4.411326379	-5.182680341	14.48508294
4.470938897	20.65835546	5.379516342	4.470938897	-5.180288474	14.48492442
4.530551416	20.65312993	5.369919839	4.530551416	-5.182724054	14.48503432
4.590163934	20.62477035	5.371343099	4.590163934	-5.183026518	14.48492166
4.649776453	20.61492696	5.364625267	4.649776453	-5.183932783	14.48484907
4.709388972	20.61266174	5.361477456	4.709388972	-5.183608374	14.48503258
4.76900149	20.61716155	5.360358395	4.76900149	-5.181475709	14.48490203
4.828614009	20.60629289	5.357185849	4.828614009	-5.182898421	14.48490718
4.888226528	20.59070244	5.353261503	4.888226528	-5.183241624	14.48497678
4.947839046	20.58462802	5.34931905	4.947839046	-5.184064981	14.48494907
5.007451565	20.56745014	5.350714959	5.007451565	-5.18147539	14.48497063
5.067064083	20.56656964	5.349584657	5.067064083	-5.184404311	14.48501299
5.126676602	20.59394514	5.347528603	5.126676602	-5.183925849	14.48497419
5.186289121	20.58510156	5.340037462	5.186289121	-5.18343924	14.48480796
5.245901639	20.56446436	5.341856785	5.245901639	-5.181410783	14.48515799
5.305514158	20.57107856	5.298737515	5.305514158	-5.182479571	14.48503767
5.365126677	20.55408526	5.302004808	5.365126677	-5.18173251	14.48497332
5.424739195	20.55793524	5.300129022	5.424739195	-5.182890807	14.48475852
5.484351714	20.57393099	5.293654102	5.484351714	-5.181997603	14.48480225
5.543964232	20.63125606	5.340372349	5.543964232	-5.181048036	14.48502769
5.603576751	20.66175773	5.346588603	5.603576751	-5.18128266	14.48524458
5.66318927	20.68469496	5.357962582	5.66318927	-5.183750304	14.48502584
5.722801788	20.66728172	5.359028917	5.722801788	-5.184726971	14.48517367
5.782414307	20.69866874	5.366488263	5.782414307	-5.186261883	14.48501358
5.842026826	20.7041391	5.372599914	5.842026826	-5.189042888	14.48687522
5.901639344	20.75175151	5.377708826	5.901639344	-5.186810264	14.48505223
5.961251863	20.73591883	5.402770841	5.961251863	-5.189249993	14.48497395
6.020864382	20.77414659	5.423428905	6.020864382	-5.190672569	14.48447662
6.0804769	20.80276065	5.426130074	6.0804769	-5.194874875	14.48436955
6.140089419	20.81272581	5.426912192	6.140089419	-5.19634688	14.48669545
6.199701937	20.84028121	5.435385503	6.199701937	-5.198412869	14.48442355
6.259314456	20.84356245	5.436569393	6.259314456	-5.201314152	14.48445084
6.318926975	20.77523777	5.42199878	6.318926975	-5.205473004	14.48492277
6.378539493	20.77307049	5.392797507	6.378539493	-5.219550809	14.48669908
6.438152012	20.74071487	5.36730382	6.438152012	-5.220499905	14.48504978
6.497764531	20.78490645	5.385517664	6.497764531	-5.253303208	14.48651089
6.557377049	20.8240448	5.40257035	6.557377049	-5.277339926	14.48584091
6.616989568	20.94452912	5.438171719	6.616989568	-5.269710365	14.48578105
6.676602086	21.00990892	5.450708628	6.676602086	-5.258699762	14.48551121
6.736214605	21.01006593	5.449483543	6.736214605	-5.2831037	14.48670827
6.795827124	21.05597079	5.434369084	6.795827124	-5.283593935	14.4866656
6.855439642	21.04144726	5.429181613	6.855439642	-5.27981709	14.4867775
6.915052161	21.04020544	5.430180671	6.915052161	-5.289821969	14.48531688
6.97466468	20.95752502	5.412029574	6.97466468	-5.292088718	14.486825
7.034277198	20.95603046	5.376549995	7.034277198	-5.299757449	14.48677206
7.093889717	20.98591583	5.384486426	7.093889717	-5.315306673	14.48593834
7.153502235	20.98409906	5.376625635	7.153502235	-5.344852887	14.48530498
7.213114754	20.89819806	5.356780401	7.213114754	-5.389371257	14.48436355
7.272727273	20.83646594	5.347135659	7.272727273	-5.398376319	14.48434749
7.332339791	20.87425986	5.35136273	7.332339791	-5.406885638	14.48390972
7.39195231	20.88742909	5.353992231	7.39195231	-5.412908935	14.48333614
7.451564829	20.76054458	5.301839401	7.451564829	-5.397115653	14.48193123
7.511177347	20.66828505	5.27852783	7.511177347	-5.39667933	14.48184311
7.570789866	20.59134948	5.263048339	7.570789866	-5.395201673	14.482671
7.630402385	20.5324239	5.249148379	7.630402385	-5.387391783	14.48316983
7.690014903	20.53822536	5.232291675	7.690014903	-5.376649131	14.48571321
7.749627422	20.51008464	5.22681433	7.749627422	-5.43474499	14.48500816
7.80923994	20.45345456	5.219524188	7.80923994	-5.524839883	14.48590867
7.868852459	20.4332949	5.219059456	7.868852459	-5.560713155	14.48535972
7.928464978	20.35725865	5.210458039	7.928464978	-5.570047086	14.48430665
7.988077496	20.2443383	5.203710543	7.988077496	-5.627053954	14.4857831
8.047690015	20.25176744	5.211418946	8.047690015	-5.663307205	14.48646412
8.107302534	20.2053864	5.200196415	8.107302534	-5.709071313	14.48416005
8.166915052	20.17773236	5.204553965	8.166915052	-5.733737002	14.48594
8.226527571	20.18844778	5.20893277	8.226527571	-5.721443704	14.48278883
8.286140089	20.17377323	5.210770722	8.286140089	-5.718897934	14.48346448
8.345752608	20.17502461	5.213039885	8.345752608	-5.733658933	14.48627075
8.405365127	20.17349355	5.21287041	8.405365127	-5.756373565	14.48447857
8.464977645	20.14384715	5.207315467	8.464977645	-5.803427983	14.48497802
8.524590164	20.10245034	5.20659885	8.524590164	-5.83343863	14.48554818
8.584202683	20.08198767	5.20501301	8.584202683	-5.853808339	14.48587059
8.643815201	20.0604385	5.202024857	8.643815201	-5.866090662	14.48483259
8.70342772	20.0340048	5.203420555	8.70342772	-5.872314221	14.48379946
8.763040238	20.01030699	5.199326923	8.763040238	-5.885865028	14.48572336
8.822652757	19.98869299	5.195121235	8.822652757	-5.894843266	14.4859903
8.882265276	19.95332508	5.193918308	8.882265276	-5.901617338	14.48677519
8.941877794	19.93677755	5.190797827	8.941877794	-5.940771271	14.48661844
9.001490313	19.90526019	5.1811667	9.001490313	-5.939736168	14.48583021
9.061102832	19.90601922	5.153859689	9.061102832	-5.948788616	14.48542229
9.12071535	19.85666317	5.140768464	9.12071535	-5.955614472	14.48600604
