GMfasBESTMMM			GMext		
t	x	y	t	x	y
0.0000000000	29.3876375400	1.4437479580	0.0000000000	47.5011671100	8.2290098390
0.0237953599	29.3886299200	1.4442147130	0.0237953599	47.5012095800	8.2290920690
0.0475907198	29.3884386400	1.4439645130	0.0475907198	47.5012778300	8.2289864750
0.0713860797	29.3887418000	1.4439733400	0.0713860797	47.5011462500	8.2291060850
0.0951814396	29.3887194200	1.4440084190	0.0951814396	47.5009471600	8.2290162490
0.1189767995	29.3889206600	1.4438858050	0.1189767995	47.5014731600	8.2288083590
0.1427721594	29.3882021100	1.4438974180	0.1427721594	47.5008292400	8.2289825970
0.1665675193	29.3885417500	1.4439784460	0.1665675193	47.5014279900	8.2287567430
0.1903628792	29.3884490800	1.4440652720	0.1903628792	47.5011654000	8.2288948640
0.2141582391	29.3892434500	1.4437624620	0.2141582391	47.5007565500	8.2291018830
0.2379535990	29.3890843800	1.4436718230	0.2379535990	47.5009956300	8.2287966210
0.2617489590	29.3893467500	1.4433187500	0.2617489590	47.5009189600	8.2286738640
0.2855443189	29.3895367000	1.4428724430	0.2855443189	47.5013250500	8.2285632470
0.3093396788	29.3899621800	1.4427502070	0.3093396788	47.5010348400	8.2282472300
0.3331350387	29.3897971600	1.4428763210	0.3331350387	47.5010122900	8.2283357100
0.3569303986	29.3897724500	1.4431804590	0.3569303986	47.5011420000	8.2283571510
0.3807257585	29.3897903400	1.4430379500	0.3807257585	47.5011005800	8.2284145130
0.4045211184	29.3914777000	1.4428958100	0.4045211184	47.5013000100	8.2283517040
0.4283164783	29.3919750800	1.4424631080	0.4283164783	47.5010783700	8.2282863580
0.4521118382	29.3934026500	1.4420646240	0.4521118382	47.5009234100	8.2279263860
0.4759071981	29.3933210400	1.4420599940	0.4759071981	47.5010070100	8.2279619920
0.4997025580	29.3920022200	1.4422171850	0.4997025580	47.5008565400	8.2278596150
0.5234979179	29.3919756800	1.4425674000	0.5234979179	47.5011156600	8.2279922240
0.5472932778	29.3902419200	1.4433055430	0.5472932778	47.5003190700	8.2288413910
0.5710886377	29.3903564500	1.4437316970	0.5710886377	47.5005489600	8.2288465480
0.5948839976	29.3912887800	1.4435495150	0.5948839976	47.5006170500	8.2284464720
0.6186793575	29.3914019000	1.4434064290	0.6186793575	47.5007624500	8.2286111200
0.6424747174	29.3944412900	1.4426139400	0.6424747174	47.5009555800	8.2280270900
