CALbumpGOOD			CALext		
t	x	y	t	x	y
0.00000000000	11.39383237000	8.86186961800	0.00000000000	-14.07473410000	14.55133885000
0.02366863905	11.39273814000	8.86159142600	0.02366863905	-14.07383517000	14.55123941000
0.04733727811	11.39113971000	8.86149334500	0.04733727811	-14.07466194000	14.55116085000
0.07100591716	11.39119605000	8.86184012000	0.07100591716	-14.07419329000	14.55120703000
0.09467455621	11.39360410000	8.86173451400	0.09467455621	-14.07393677000	14.55122620000
0.11834319530	11.39335963000	8.86181850500	0.11834319530	-14.07381956000	14.55116031000
0.14201183430	11.39065317000	8.86152108100	0.14201183430	-14.07372212000	14.55115102000
0.16568047340	11.39261681000	8.86189095300	0.16568047340	-14.07509748000	14.55118603000
0.18934911240	11.39232110000	8.86161455400	0.18934911240	-14.07437519000	14.55119238000
0.21301775150	11.39472013000	8.86183413000	0.21301775150	-14.07435326000	14.55120143000
0.23668639050	11.39506623000	8.86186880300	0.23668639050	-14.07427343000	14.55122215000
0.26035502960	11.39383395000	8.86160345800	0.26035502960	-14.07413680000	14.55117090000
0.28402366860	11.39291483000	8.86132469400	0.28402366860	-14.07495163000	14.55119219000
0.30769230770	11.39207271000	8.86111339500	0.30769230770	-14.07451586000	14.55114369000
0.33136094670	11.39234565000	8.86115025200	0.33136094670	-14.07434749000	14.55117726000
0.35502958580	11.39257967000	8.86077009600	0.35502958580	-14.07521514000	14.55117561000
0.37869822490	11.39149197000	8.86068124600	0.37869822490	-14.07494494000	14.55118622000
0.40236686390	11.39275849000	8.86104988100	0.40236686390	-14.07489921000	14.55116420000
0.42603550300	11.39338452000	8.86120727200	0.42603550300	-14.07534678000	14.55111049000
0.44970414200	11.39079824000	8.86095327900	0.44970414200	-14.07420408000	14.55118554000
0.47337278110	11.39070024000	8.86042920700	0.47337278110	-14.07360248000	14.55123022000
0.49704142010	11.39256880000	8.86070193600	0.49704142010	-14.07358624000	14.55116612000
0.52071005920	11.39415253000	8.86060449800	0.52071005920	-14.07356559000	14.55113869000
0.54437869820	11.39352459000	8.86130655300	0.54437869820	-14.07391956000	14.55118307000
0.56804733730	11.39595625000	8.86145325900	0.56804733730	-14.07392434000	14.55115352000
0.59171597630	11.39478732000	8.86119219600	0.59171597630	-14.07395037000	14.55121982000
0.61538461540	11.39477512000	8.86103102400	0.61538461540	-14.07348448000	14.55120424000
0.63905325440	11.39424157000	8.86136667800	0.63905325440	-14.07521889000	14.55115245000
0.66272189350	11.39484261000	8.86138019800	0.66272189350	-14.07505828000	14.55114849000
0.68639053250	11.39516912000	8.86150940600	0.68639053250	-14.07485689000	14.55113666000
0.71005917160	11.39828581000	8.86156372000	0.71005917160	-14.07393540000	14.55118233000
0.73372781070	11.39890296000	8.86148698300	0.73372781070	-14.07310027000	14.55119822000
