GMfasMMM1			GMextMMM		
t	x	y	t	x	y
0.00000000000	9.50394341100	1.19146059500	0.00000000000	4.22539864500	13.64982707000
0.05961251863	9.50989092400	1.18983932700	0.05961251863	4.22597793900	13.64854229000
0.11922503730	9.54338441900	1.18713446200	0.11922503730	4.22521205400	13.64852313000
0.17883755590	9.64986528200	1.16818384400	0.17883755590	4.22482265600	13.64869012000
0.23845007450	9.68040020900	1.17146898000	0.23845007450	4.22563100700	13.64860999000
0.29806259310	9.79725740500	1.16117486800	0.29806259310	4.22552337800	13.64871909000
0.35767511180	9.89324772100	1.13906454800	0.35767511180	4.22541508600	13.64862274000
0.41728763040	9.96871783600	1.12950507400	0.41728763040	4.22524162600	13.64842377000
0.47690014900	10.07471679000	1.11933683100	0.47690014900	4.22508740000	13.64860111000
0.53651266770	10.16988662000	1.10541793100	0.53651266770	4.22569031800	13.64838191000
0.59612518630	10.23459304000	1.09629545800	0.59612518630	4.22375627000	13.64833597000
0.65573770490	10.28786279000	1.09390982000	0.65573770490	4.22609843800	13.64796321000
0.71535022350	10.36951313000	1.08411175700	0.71535022350	4.22611255300	13.64792981000
0.77496274220	10.44450414000	1.07990741600	0.77496274220	4.22687399000	13.64772236000
0.83457526080	10.51206908000	1.06951227500	0.83457526080	4.23070807000	13.64745636000
0.89418777940	10.61280751000	1.04956364200	0.89418777940	4.23197120800	13.64670159000
0.95380029810	10.71463313000	1.04748736600	0.95380029810	4.23346876600	13.64596081000
1.01341281700	10.85646166000	1.03387559200	1.01341281700	4.24345848900	13.64385406000
1.07302533500	10.87650385000	1.03160200000	1.07302533500	4.24676617400	13.64306829000
1.13263785400	10.92672220000	1.02108354800	1.13263785400	4.24823023000	13.64345369000
1.19225037300	11.04041547000	1.00345425800	1.19225037300	4.25820866800	13.64239238000
1.25186289100	11.16408723000	0.98742742480	1.25186289100	4.32909938200	13.63546661000
1.31147541000	11.17968169000	0.98726052820	1.31147541000	4.33324268800	13.63470094000
1.37108792800	11.23361410000	0.98114617560	1.37108792800	4.33535995000	13.63477134000
1.43070044700	11.25300946000	0.98273572190	1.43070044700	4.33480618800	13.63514650000
1.49031296600	11.33125220000	0.97941414840	1.49031296600	4.35013159000	13.63335183000
1.54992548400	11.37980087000	0.96528379480	1.54992548400	4.35568999500	13.63235672000
1.60953800300	11.49694377000	0.94995413360	1.60953800300	4.36786274600	13.63137428000
1.66915052200	11.57392985000	0.94594091530	1.66915052200	4.36964399500	13.63094782000
1.72876304000	11.64701554000	0.94003704790	1.72876304000	4.37347621200	13.63089018000
1.78837555900	11.72934455000	0.92801269430	1.78837555900	4.37749001000	13.63058594000
1.84798807700	11.82184832000	0.91194686120	1.84798807700	4.41323515700	13.62670315000
1.90760059600	11.86833916000	0.90175209080	1.90760059600	4.43069249500	13.62525217000
1.96721311500	11.95674566000	0.88823421360	1.96721311500	4.43446590800	13.62529769000
2.02682563300	12.00307928000	0.88040970160	2.02682563300	4.43902709700	13.62442278000
2.08643815200	12.07753789000	0.86571813900	2.08643815200	4.44208141300	13.62422051000
2.14605067100	12.09897908000	0.86745564760	2.14605067100	4.44376572400	13.62395488000
2.20566318900	12.22149853000	0.85499011280	2.20566318900	4.44520722900	13.62356384000
2.26527570800	12.27896727000	0.83266509150	2.26527570800	4.44056163200	13.62435516000
2.32488822700	12.29703433000	0.83412039310	2.32488822700	4.43968272600	13.62437294000
2.38450074500	12.39327063000	0.82353217520	2.38450074500	4.44686069600	13.62347381000
2.44411326400	12.40194979000	0.81698243540	2.44411326400	4.44297540400	13.62333064000
2.50372578200	12.40835844000	0.81914627490	2.50372578200	4.44100607300	13.62373773000
2.56333830100	12.42460952000	0.81917188100	2.56333830100	4.43986029400	13.62379119000
2.62295082000	12.36523133000	0.82327023510	2.62295082000	4.43408493900	13.62400318000
2.68256333800	12.45872978000	0.81159470150	2.68256333800	4.43907830600	13.62355677000
2.74217585700	12.54834766000	0.79739676220	2.74217585700	4.44041949600	13.62359359000
2.80178837600	12.60422059000	0.79363254380	2.80178837600	4.44103547700	13.62340188000
2.86140089400	12.69716992000	0.78161517420	2.86140089400	4.44324305600	13.62311972000
2.92101341300	12.84696547000	0.76526850350	2.92101341300	4.44300348500	13.62311280000
2.98062593100	12.87882584000	0.76858958100	2.98062593100	4.44035801300	13.62346430000
3.04023845000	12.91075078000	0.76454250770	3.04023845000	4.44044412800	13.62335532000
3.09985096900	12.92741208000	0.75878042970	3.09985096900	4.44240730500	13.62299599000
3.15946348700	13.05077273000	0.74686221220	3.15946348700	4.44501770700	13.62266333000
3.21907600600	13.16192917000	0.73440731720	3.21907600600	4.44480082700	13.62271653000
3.27868852500	13.24501903000	0.72718605790	3.27868852500	4.44285026500	13.62308080000
3.33830104300	13.30062361000	0.71858584110	3.33830104300	4.44474023300	13.62270770000
3.39791356200	13.41966826000	0.70137049480	3.39791356200	4.44839354800	13.62243796000
3.45752608000	13.41720254000	0.70204063960	3.45752608000	4.44777989100	13.62253170000
3.51713859900	13.50192344000	0.69399619770	3.51713859900	4.44854783100	13.62239845000
3.57675111800	13.61357375000	0.67743595520	3.57675111800	4.44809540000	13.62273393000
3.63636363600	13.63771453000	0.67350469530	3.63636363600	4.45001508600	13.62250372000
3.69597615500	13.66410619000	0.67309746090	3.69597615500	4.44922792000	13.62230601000
3.75558867400	13.73729878000	0.66095911820	3.75558867400	4.45025105000	13.62217844000
3.81520119200	13.77351097000	0.65572228780	3.81520119200	4.44878579900	13.62264988000
