GMfasBest1MMM			GMext		
t	x	y	t	x	y
0.0000000000	26.9180396500	1.9820934560	0.0000000000	49.5041923300	13.3908337700
0.0185832156	26.9176764200	1.9821776850	0.0185832156	49.5033729500	13.3910864400
0.0371664313	26.9169713100	1.9825045960	0.0371664313	49.5031196700	13.3911496000
0.0557496469	26.9168090900	1.9824972510	0.0557496469	49.5030270700	13.3912920500
0.0743328626	26.9159153800	1.9826183480	0.0743328626	49.5029965100	13.3912321000
0.0929160782	26.9158886800	1.9828613060	0.0929160782	49.5034420200	13.3912901100
0.1114992938	26.9152725700	1.9829590650	0.1114992938	49.5029146500	13.3913368300
0.1300825095	26.9159881000	1.9828199650	0.1300825095	49.5027907000	13.3915389300
0.1486657251	26.9161658600	1.9829861630	0.1486657251	49.5033248000	13.3912599400
0.1672489408	26.9157143700	1.9831952020	0.1672489408	49.5028988500	13.3914329000
0.1858321564	26.9171248300	1.9830278750	0.1858321564	49.5025887500	13.3912414700
0.2044153720	26.9175127100	1.9828310480	0.2044153720	49.5031283100	13.3912621400
0.2229985877	26.9172106600	1.9827916440	0.2229985877	49.5032230100	13.3911192700
0.2415818033	26.9170957400	1.9828558130	0.2415818033	49.5030101400	13.3912201400
0.2601650190	26.9178345300	1.9826588230	0.2601650190	49.5027878700	13.3912766600
0.2787482346	26.9185990800	1.9824515970	0.2787482346	49.5035669300	13.3911429600
0.2973314502	26.9188351600	1.9825320700	0.2973314502	49.5036108400	13.3911239700
0.3159146659	26.9184267900	1.9824564400	0.3159146659	49.5031232400	13.3909772400
0.3344978815	26.9188398700	1.9822750330	0.3344978815	49.5032850200	13.3911363000
0.3530810972	26.9189349300	1.9823119870	0.3530810972	49.5030712800	13.3909817200
0.3716643128	26.9196917000	1.9821769250	0.3716643128	49.5034828400	13.3908030600
0.3902475284	26.9193797100	1.9823180270	0.3902475284	49.5033934000	13.3909848500
0.4088307441	26.9186230000	1.9824344320	0.4088307441	49.5033972900	13.3909801200
0.4274139597	26.9192485500	1.9822490550	0.4274139597	49.5038433500	13.3907352000
0.4459971754	26.9188088200	1.9823734640	0.4459971754	49.5037672000	13.3907265500
0.4645803910	26.9185104600	1.9823443380	0.4645803910	49.5028748300	13.3909792300
0.4831636066	26.9189030200	1.9823122210	0.4831636066	49.5031330200	13.3907432500
0.5017468223	26.9189854400	1.9823367100	0.5017468223	49.5034313700	13.3908004300
0.5203300379	26.9192521600	1.9822391480	0.5203300379	49.5037653000	13.3908697900
0.5389132535	26.9185763800	1.9823522180	0.5389132535	49.5030911000	13.3908566900
0.5574964692	26.9193996600	1.9822786630	0.5574964692	49.5036767900	13.3908358400
0.5760796848	26.9197317900	1.9819928030	0.5760796848	49.5030514200	13.3907655200
0.5946629005	26.9189629000	1.9821700550	0.5946629005	49.5037195500	13.3903873200
0.6132461161	26.9204776700	1.9819763590	0.6132461161	49.5036578200	13.3906020600
0.6318293317	26.9199224000	1.9818306080	0.6318293317	49.5038294800	13.3905187400
0.6504125474	26.9200670200	1.9818652320	0.6504125474	49.5029580700	13.3905649200
0.6689957630	26.9201293100	1.9818393840	0.6689957630	49.5036100700	13.3904157200
0.6875789787	26.9202814200	1.9817537350	0.6875789787	49.5035740000	13.3905757400
0.7061621943	26.9206890700	1.9816108260	0.7061621943	49.5037633600	13.3904112900
0.7247454099	26.9204293400	1.9817199920	0.7247454099	49.5037571000	13.3904525800
0.7433286256	26.9192069700	1.9817534270	0.7433286256	49.5040987700	13.3905057500
0.7619118412	26.9179327600	1.9820475360	0.7619118412	49.5031190100	13.3905433400
0.7804950569	26.9174906400	1.9821728890	0.7804950569	49.5033051500	13.3907055700
0.7990782725	26.9177560100	1.9824375600	0.7990782725	49.5034882700	13.3907035100
0.8176614881	26.9174076900	1.9826163080	0.8176614881	49.5028394100	13.3909963300
0.8362447038	26.9168101200	1.9829555300	0.8362447038	49.5036613900	13.3909215600
0.8548279194	26.9170148900	1.9830696530	0.8548279194	49.5032216500	13.3909257400
0.8734111351	26.9167514500	1.9832824130	0.8734111351	49.5026524300	13.3911792000
0.8919943507	26.9172594600	1.9831868750	0.8919943507	49.5033859900	13.3910039600
0.9105775663	26.9177255100	1.9833091920	0.9105775663	49.5030754400	13.3911052900
0.9291607820	26.9186101900	1.9831949310	0.9291607820	49.5026194700	13.3911119000
0.9477439976	26.9191371800	1.9832103860	0.9477439976	49.5028662600	13.3908805900
0.9663272133	26.9192808800	1.9833855360	0.9663272133	49.5028422900	13.3909272200
0.9849104289	26.9194665500	1.9831704830	0.9849104289	49.5034637800	13.3909640900
1.0034936450	26.9199718700	1.9830738660	1.0034936450	49.5033581000	13.3908759100
1.0220768600	26.9202399400	1.9829678680	1.0220768600	49.5023034300	13.3909588800
1.0406600760	26.9203428700	1.9829572690	1.0406600760	49.5030375000	13.3910002500
1.0592432910	26.9203531000	1.9830529920	1.0592432910	49.5029391600	13.3909816300
1.0778265070	26.9199429600	1.9831224530	1.0778265070	49.5028422800	13.3910184600
1.0964097230	26.9205191600	1.9830426510	1.0964097230	49.5030333900	13.3908484400
1.1149929380	26.9206715400	1.9832420120	1.1149929380	49.5028925200	13.3910220700
1.1335761540	26.9205751100	1.9832483760	1.1335761540	49.5035851000	13.3906683400
1.1521593700	26.9207718100	1.9833780130	1.1521593700	49.5033715400	13.3909394300
1.1707425850	26.9207472600	1.9834591090	1.1707425850	49.5032309300	13.3908824000
1.1893258010	26.9218450800	1.9832401070	1.1893258010	49.5028047600	13.3909136400
1.2079090170	26.9217328700	1.9834303760	1.2079090170	49.5023944800	13.3911782500
1.2264922320	26.9227195500	1.9833655850	1.2264922320	49.5033914700	13.3907952800
1.2450754480	26.9229228100	1.9833650430	1.2450754480	49.5030490600	13.3909950600
1.2636586630	26.9227647400	1.9834787520	1.2636586630	49.5025765700	13.3909866500
1.2822418790	26.9225050400	1.9835135150	1.2822418790	49.5027240900	13.3909987500
1.3008250950	26.9237670100	1.9834816260	1.3008250950	49.5029068100	13.3907978100
1.3194083100	26.9239008400	1.9834453370	1.3194083100	49.5021517300	13.3912138000
1.3379915260	26.9238626400	1.9834452890	1.3379915260	49.5030380100	13.3909936100
1.3565747420	26.9240270100	1.9836201090	1.3565747420	49.5025723700	13.3910067400
1.3751579570	26.9235217200	1.9839924940	1.3751579570	49.5027210100	13.3911814800
1.3937411730	26.9227691000	1.9839851230	1.3937411730	49.5025527800	13.3911302000
1.4123243890	26.9217642100	1.9842530670	1.4123243890	49.5028521300	13.3913500600
1.4309076040	26.9223993400	1.9852162150	1.4309076040	49.5019346900	13.3916861400
1.4494908200	26.9202804800	1.9900047290	1.4494908200	49.5010736300	13.3922700400
