SOLfasBEST1			SOLext		
t	x	y	t	x	y
0.0	9.89389899	8.740052861	0.0	26.943749420000	14.624999680000
0.01865532423	9.895318872	8.738889739	0.018655324230	26.943500700000	14.624983440000
0.03731064846	9.895896111	8.739072806	0.037310648460	26.943903140000	14.625240400000
0.05596597269	9.89145483	8.740279195	0.055965972690	26.944118040000	14.625056620000
0.07462129692	9.892529159	8.739610777	0.074621296920	26.943859680000	14.624898020000
0.09327662115	9.894198071	8.739784308	0.093276621150	26.944443280000	14.625086640000
0.1119319454	9.89328977	8.740259017	0.111931945400	26.942802170000	14.624605840000
0.1305872696	9.893671443	8.740716409	0.130587269600	26.943861640000	14.625083360000
0.1492425938	9.892717508	8.741510205	0.149242593800	26.944709800000	14.624854260000
0.1678979181	9.895472515	8.742199426	0.167897918100	26.943725260000	14.624914930000
0.1865532423	9.896141926	8.741512499	0.186553242300	26.943277910000	14.624960260000
0.2052085665	9.895939842	8.741475804	0.205208566500	26.943145970000	14.624869520000
0.2238638908	9.896677542	8.740078737	0.223863890800	26.943731390000	14.624974740000
0.242519215	9.905315992	8.739046274	0.242519215000	26.943895270000	14.625219710000
0.2611745392	9.904264165	8.740212367	0.261174539200	26.943444620000	14.625136550000
0.2798298634	9.899998481	8.740616562	0.279829863400	26.944431040000	14.625150100000
0.2984851877	9.902658874	8.740795434	0.298485187700	26.943618690000	14.624921100000
0.3171405119	9.905234979	8.739936317	0.317140511900	26.943219830000	14.624950380000
0.3357958361	9.904598298	8.740375561	0.335795836100	26.943154380000	14.624953760000
0.3544511604	9.899940135	8.742269253	0.354451160400	26.943969020000	14.624808870000
0.3731064846	9.903665553	8.744044154	0.373106484600	26.944273720000	14.624691310000
0.3917618088	9.909273877	8.744713543	0.391761808800	26.944743220000	14.624937550000
0.410417133	9.907591683	8.746076255	0.410417133000	26.944234900000	14.624844150000
0.4290724573	9.895049535	8.749530835	0.429072457300	26.943574840000	14.624864640000
0.4477277815	9.8984718	8.750671063	0.447727781500	26.945368830000	14.624983140000
0.4663831057	9.916458525	8.746136338	0.466383105700	26.944525050000	14.625034750000
0.48503843	9.917589179	8.744719924	0.485038430000	26.943961760000	14.624822820000
0.5036937542	9.906665664	8.745373314	0.503693754200	26.944366900000	14.625296880000
0.5223490784	9.896772409	8.751655512	0.522349078400	26.945126370000	14.624957170000
0.5410044027	9.891005795	8.757789791	0.541004402700	26.944671950000	14.625366820000
0.5596597269	9.886245426	8.757408106	0.559659726900	26.944589550000	14.625194780000
0.5783150511	9.887573812	8.755036208	0.578315051100	26.944363160000	14.624957490000
0.5969703753	9.889293349	8.755636032	0.596970375300	26.944629680000	14.624876030000
0.6156256996	9.890202294	8.756319747	0.615625699600	26.944199920000	14.624390240000
0.6342810238	9.883859608	8.76236215	0.634281023800	26.943685540000	14.624373220000
0.652936348	9.884566032	8.763172997	0.652936348000	26.943982800000	14.624830300000
0.6715916723	9.89283184	8.758148163	0.671591672300	26.943894300000	14.624695240000
0.6902469965	9.894613034	8.754238674	0.690246996500	26.943410800000	14.624967250000
0.7089023207	9.89836911	8.753147555	0.708902320700	26.944708960000	14.624592980000
0.727557645	9.905316246	8.75417941	0.727557645000	26.944927110000	14.624946480000
0.7462129692	9.899472093	8.752412501	0.746212969200	26.943712850000	14.624515520000
0.7648682934	9.89475034	8.750745483	0.764868293400	26.942407810000	14.624531030000
0.7835236176	9.889845599	8.749183337	0.783523617600	26.942573480000	14.624404570000
0.8021789419	9.888131254	8.750352695	0.802178941900	26.944664410000	14.624388640000
0.8208342661	9.890777715	8.754405681	0.820834266100	26.944874910000	14.624632860000
0.8394895903	9.884388397	8.753310517	0.839489590300	26.943464410000	14.624538750000
