CALbump			CALskin		
t	x	y	t	x	y
0.0	19.581973330000	6.551638893000	0.0	-9.433211976	14.75931973
0.059612518630	19.580235770000	6.551591643000	0.05961251863	-9.436540588	14.75586412
0.119225037300	19.581030380000	6.551396007000	0.1192250373	-9.434336309	14.7561679
0.178837555900	19.581263730000	6.551191228000	0.1788375559	-9.435597994	14.75641119
0.238450074500	19.578894020000	6.551399375000	0.2384500745	-9.434261228	14.75575395
0.298062593100	19.579582790000	6.551311151000	0.2980625931	-9.432909313	14.75617182
0.357675111800	19.581780770000	6.551807066000	0.3576751118	-9.435166365	14.75667648
0.417287630400	19.587199460000	6.552440559000	0.4172876304	-9.434033061	14.756147
0.476900149000	19.587744740000	6.552729687000	0.476900149	-9.435093804	14.75613176
0.536512667700	19.584750890000	6.552944549000	0.5365126677	-9.434542551	14.75625307
0.596125186300	19.588299470000	6.553581720000	0.5961251863	-9.434896767	14.75669332
0.655737704900	19.579144530000	6.551755097000	0.6557377049	-9.435734076	14.75620814
0.715350223500	19.542573680000	6.548076267000	0.7153502235	-9.433756689	14.75613896
0.774962742200	19.470093760000	6.548836295000	0.7749627422	-9.444582036	14.75626525
0.834575260800	19.420387780000	6.503791533000	0.8345752608	-9.441735893	14.75731991
0.894187779400	19.264938450000	6.473903553000	0.8941877794	-9.434230584	14.75769693
0.953800298100	19.286359970000	6.482468241000	0.9538002981	-9.4306258	14.75530418
1.013412817000	19.305661030000	6.494779035000	1.013412817	-9.430067405	14.7573765
1.073025335000	19.352989690000	6.541731918000	1.073025335	-9.438804738	14.75702492
1.132637854000	19.396516820000	6.549796333000	1.132637854	-9.43130615	14.75699547
1.192250373000	19.418140410000	6.550916630000	1.192250373	-9.437620286	14.75715881
1.251862891000	19.443614770000	6.556833429000	1.251862891	-9.43675219	14.75623235
1.311475410000	19.490382670000	6.558249292000	1.31147541	-9.432986435	14.75642069
1.371087928000	19.592659460000	6.576100756000	1.371087928	-9.43423457	14.75660245
1.430700447000	19.596616670000	6.594539619000	1.430700447	-9.438679502	14.75575406
1.490312966000	19.648921560000	6.583674659000	1.490312966	-9.436041438	14.75603236
1.549925484000	19.596507940000	6.567926344000	1.549925484	-9.439421463	14.75566199
1.609538003000	19.580820520000	6.552566446000	1.609538003	-9.433613282	14.75553796
1.669150522000	19.603604750000	6.552349973000	1.669150522	-9.432753955	14.75523076
1.728763040000	19.603703910000	6.550885336000	1.72876304	-9.434754161	14.75475264
1.788375559000	19.609425120000	6.553062136000	1.788375559	-9.434622955	14.7537431
1.847988077000	19.682059930000	6.556019037000	1.847988077	-9.434796808	14.75514165
1.907600596000	19.764491230000	6.578891810000	1.907600596	-9.431771706	14.7549512
1.967213115000	19.812735250000	6.602168247000	1.967213115	-9.436319647	14.75505209
2.026825633000	19.916093170000	6.625967946000	2.026825633	-9.436107931	14.75497678
