CALbumpMM			CALext		
t	x	y	t	x	y
0.000000000000	9.922488142000	8.078603314000	0.000000000000	-16.517333460000	14.819429020000
0.024915288020	9.920860860000	8.078643841000	0.024915288020	-16.516113540000	14.818311990000
0.049830576040	9.919946774000	8.078494974000	0.049830576040	-16.514043740000	14.820648740000
0.074745864060	9.919185730000	8.078414585000	0.074745864060	-16.512332170000	14.821173880000
0.099661152080	9.918434865000	8.078695248000	0.099661152080	-16.510120840000	14.822227430000
0.124576440100	9.917306412000	8.078565253000	0.124576440100	-16.509147990000	14.821489870000
0.149491728100	9.917715856000	8.078507695000	0.149491728100	-16.510348250000	14.821664410000
0.174407016100	9.916008184000	8.078655941000	0.174407016100	-16.513507560000	14.821742800000
0.199322304200	9.915955718000	8.078048252000	0.199322304200	-16.509565080000	14.820884840000
0.224237592200	9.917214759000	8.078155700000	0.224237592200	-16.510940980000	14.821341910000
0.249152880200	9.916702927000	8.077737674000	0.249152880200	-16.510010050000	14.822294980000
0.274068168200	9.913226594000	8.078220951000	0.274068168200	-16.508777590000	14.821805090000
0.298983456200	9.914587759000	8.078217483000	0.298983456200	-16.510172100000	14.821505020000
0.323898744300	9.915037493000	8.077920265000	0.323898744300	-16.508908890000	14.821530670000
0.348814032300	9.918014504000	8.077764377000	0.348814032300	-16.512138040000	14.820438000000
0.373729320300	9.918561296000	8.077938214000	0.373729320300	-16.508161220000	14.821551830000
0.398644608300	9.919085362000	8.077775454000	0.398644608300	-16.509669630000	14.821557990000
0.423559896400	9.921556665000	8.079837406000	0.423559896400	-16.513651590000	14.821815490000
0.448475184400	9.921603998000	8.079990837000	0.448475184400	-16.510311800000	14.820582030000
0.473390472400	9.919633905000	8.080091809000	0.473390472400	-16.513142340000	14.821178080000
0.498305760400	9.916106299000	8.080970712000	0.498305760400	-16.511510300000	14.820579660000
0.523221048400	9.911743048000	8.082110020000	0.523221048400	-16.511717020000	14.821036600000
0.548136336500	9.906477757000	8.082265496000	0.548136336500	-16.512704770000	14.820313640000
0.573051624500	9.905547114000	8.082256405000	0.573051624500	-16.512961580000	14.821323820000
0.597966912500	9.907768793000	8.084022445000	0.597966912500	-16.512536090000	14.820783230000
0.622882200500	9.909377352000	8.083674140000	0.622882200500	-16.513190090000	14.821013580000
0.647797488500	9.907495787000	8.083859080000	0.647797488500	-16.515445610000	14.821384740000
0.672712776600	9.905846811000	8.083695012000	0.672712776600	-16.515068560000	14.821437020000
0.697628064600	9.912119834000	8.083593000000	0.697628064600	-16.511794120000	14.820821640000
0.722543352600	9.913879795000	8.083223550000	0.722543352600	-16.515486050000	14.821066930000
0.747458640600	9.908874228000	8.082878988000	0.747458640600	-16.516286440000	14.821423210000
0.772373928600	9.911439062000	8.082498647000	0.772373928600	-16.512839080000	14.820762840000
0.797289216700	9.915827314000	8.082107149000	0.797289216700	-16.513699040000	14.820761130000
0.822204504700	9.914668193000	8.081865061000	0.822204504700	-16.513428070000	14.821271860000
0.847119792700	9.914363429000	8.081338161000	0.847119792700	-16.512768150000	14.820688000000
