GMfas2BEST			GMext		
t	x	y	t	x	y
0.00000000000	10.81097557000	0.84394556410	0.00000000000	7.00130502000	7.62330060000
0.05961251863	10.83551322000	0.84751182920	0.05961251863	7.00045191100	7.62239753500
0.11922503730	10.88179073000	0.84412452640	0.11922503730	6.99995581700	7.62230831000
0.17883755590	10.94215882000	0.83743174340	0.17883755590	6.99787240200	7.62297984100
0.23845007450	10.97163893000	0.83683187190	0.23845007450	6.99536950100	7.62296433600
0.29806259310	11.06183784000	0.82939851450	0.29806259310	6.99398233400	7.62325751700
0.35767511180	11.10010815000	0.82656922580	0.35767511180	6.99242364200	7.62344712100
0.41728763040	11.13475472000	0.83143660410	0.41728763040	6.99001354800	7.62333438500
0.47690014900	11.23150510000	0.82821304510	0.47690014900	6.98629911700	7.62350109500
0.53651266770	11.27251710000	0.82581585280	0.53651266770	6.98535616600	7.62383353900
0.59612518630	11.29083764000	0.81990440600	0.59612518630	6.98648410400	7.62322176800
0.65573770490	11.37794098000	0.80952655830	0.65573770490	6.98034611300	7.62349476900
0.71535022350	11.43570908000	0.81163906560	0.71535022350	6.97506687800	7.62282550300
0.77496274220	11.45022550000	0.80451421160	0.77496274220	6.97362902900	7.62229884100
0.83457526080	11.57479239000	0.80012313850	0.83457526080	6.97145004200	7.62191418600
0.89418777940	11.67619853000	0.78844066850	0.89418777940	6.97293810900	7.62183492400
0.95380029810	11.73118810000	0.78913697820	0.95380029810	6.97164335300	7.62218069000
1.01341281700	11.78461489000	0.78261639990	1.01341281700	6.97228058700	7.62141901000
1.07302533500	11.83877892000	0.77426373620	1.07302533500	6.97183673500	7.62109454900
1.13263785400	11.88342529000	0.77429574360	1.13263785400	6.96575190800	7.62182993400
1.19225037300	11.97389831000	0.76521008630	1.19225037300	6.96487325200	7.62121872500
1.25186289100	12.00908925000	0.76690857540	1.25186289100	6.96246242100	7.62129133900
1.31147541000	12.03219740000	0.76746715770	1.31147541000	6.96072752600	7.62103563700
1.37108792800	12.04354294000	0.77629126350	1.37108792800	6.95452372000	7.62137433500
1.43070044700	12.09213235000	0.77377060200	1.43070044700	6.94600077900	7.62193074000
1.49031296600	12.14646868000	0.76245710090	1.49031296600	6.94394441900	7.62110681400
1.54992548400	12.18675355000	0.76487939960	1.54992548400	6.93335158500	7.62189274100
1.60953800300	12.24349477000	0.76133065530	1.60953800300	6.91518386800	7.62379879800
1.66915052200	12.31529165000	0.75626129610	1.66915052200	6.89837489400	7.62577692000
1.72876304000	12.34628150000	0.76740363970	1.72876304000	6.87433470700	7.62653200600
1.78837555900	12.43792833000	0.74475057350	1.78837555900	6.87162401300	7.62747953100
1.84798807700	12.47790076000	0.73629698210	1.84798807700	6.85589473400	7.62834107300
1.90760059600	12.55779489000	0.72687089430	1.90760059600	6.84440535200	7.63072919400
1.96721311500	12.61925583000	0.72562367460	1.96721311500	6.83440519000	7.63018323800
2.02682563300	12.70601452000	0.71703028340	2.02682563300	6.83091488500	7.63018054300
2.08643815200	12.74096124000	0.70532359010	2.08643815200	6.82191979200	7.63048667600
2.14605067100	12.81838964000	0.70339019270	2.14605067100	6.81267597200	7.62903646300
2.20566318900	12.94238388000	0.70172994350	2.20566318900	6.80917962400	7.62796977200
2.26527570800	13.00759940000	0.69375229420	2.26527570800	6.80522233500	7.62666878700
2.32488822700	13.04241587000	0.67553251360	2.32488822700	6.80192435800	7.62484774600
2.38450074500	13.14814195000	0.66497173640	2.38450074500	6.79603722100	7.62339540900
2.44411326400	13.40676357000	0.61943678460	2.44411326400	6.79212314200	7.62247248500
2.50372578200	13.57626542000	0.58897737380	2.50372578200	6.79002686300	7.62073076300
2.56333830100	13.65515566000	0.57793074110	2.56333830100	6.79692799700	7.61942595700
2.62295082000	13.70354107000	0.57212568340	2.62295082000	6.78839440400	7.62189903900
2.68256333800	13.79465901000	0.56602226370	2.68256333800	6.79480029500	7.62188071700
2.74217585700	13.91661553000	0.55784482360	2.74217585700	6.78846502800	7.62522968000
2.80178837600	13.97426328000	0.54746606380	2.80178837600	6.79671727000	7.62267231800
2.86140089400	14.00989460000	0.54309961760	2.86140089400	6.79459229000	7.62394987900
2.92101341300	14.09930087000	0.54498237900	2.92101341300	6.79267979300	7.62525336700
2.98062593100	14.18806493000	0.54246537200	2.98062593100	6.78833783900	7.62613129000
3.04023845000	14.28221180000	0.52742552040	3.04023845000	6.79176398300	7.62688977300
3.09985096900	14.34983649000	0.52084134330	3.09985096900	6.79138580300	7.62854471300
3.15946348700	14.40873400000	0.52590952710	3.15946348700	6.79472109200	7.62974528900
3.21907600600	14.41596700000	0.52280633310	3.21907600600	6.80245240800	7.62909555300
3.27868852500	14.45584131000	0.52307595130	3.27868852500	6.79949773700	7.63012709500
3.33830104300	14.52157193000	0.52543046640	3.33830104300	6.80119967000	7.63048736300
3.39791356200	14.65267110000	0.51621368830	3.39791356200	6.80260778600	7.63027729000
3.45752608000	14.75748501000	0.50373350790	3.45752608000	6.80384000000	7.63046582400
3.51713859900	14.83107824000	0.49712360870	3.51713859900	6.80581709300	7.63026702700
3.57675111800	14.92651895000	0.48620577360	3.57675111800	6.80456306100	7.63029046400
3.63636363600	15.08347338000	0.47035025570	3.63636363600	6.80882953100	7.63068727800
3.69597615500	15.16157036000	0.46420446200	3.69597615500	6.81140535500	7.63009385700
3.75558867400	15.22649657000	0.46509266030	3.75558867400	6.80716452000	7.63143860900
3.81520119200	15.30792492000	0.46424550020	3.81520119200	6.80679704800	7.63144980800
3.87481371100	15.38558302000	0.46249352380	3.87481371100	6.80349738900	7.63168123400
