GF_namemissing			GFext		
t	x	y	t	x	y
3.5868822590	-0.0969737843	8.1005562130	3.5868822590	23.3610987000	29.4101102800
3.6438168980	-0.0890898978	8.0955376070	3.6438168980	23.3747558000	29.4117554900
3.7007515370	-0.0732398297	8.0923788970	3.7007515370	23.3903967900	29.4111552600
3.7576861760	-0.0862781105	8.0923040860	3.7576861760	23.4057585600	29.4124135700
3.8146208150	-0.1242889466	8.1047325520	3.8146208150	23.4146891100	29.4113348800
3.8715554540	-0.2117311142	8.1130639990	3.8715554540	23.4269757300	29.4073122500
3.9284900930	-0.3245937946	8.1157562860	3.9284900930	23.4520567300	29.4091095500
3.9854247320	-0.4488439101	8.1094816910	3.9854247320	23.4606913200	29.4083525800
4.0423593710	-0.5606927464	8.1224717860	4.0423593710	23.4732101000	29.4081344500
4.0992940100	-0.5864404770	8.1200090840	4.0992940100	23.4769970700	29.4082668000
4.1562286500	-0.6438571937	8.1197948940	4.1562286500	23.4868530300	29.4105570000
4.2131632890	-0.7854017489	8.1289900140	4.2131632890	23.4895313800	29.4107038200
4.2700979280	-0.8255687043	8.1173697150	4.2700979280	23.4936405400	29.4110094900
4.3270325670	-0.8434126063	8.1154901580	4.3270325670	23.4937526100	29.4105893000
4.3839672060	-0.9453574172	8.1118502370	4.3839672060	23.4954836900	29.4110839500
4.4409018450	-0.9981521930	8.1097988370	4.4409018450	23.5082939800	29.4122454400
4.4978364840	-1.0695582730	8.0380241200	4.4978364840	23.4986751800	29.4103827800
4.5547711230	-1.1283780760	8.0381029800	4.5547711230	23.5026071900	29.4105405800
4.6117057620	-1.1980724150	8.0259425430	4.6117057620	23.5157317700	29.4115250700
4.6686404010	-1.2546268520	8.0196516080	4.6686404010	23.5189257000	29.4095705700
4.7255750400	-1.2872181690	8.0354117360	4.7255750400	23.5206384500	29.4110922200
4.7825096790	-1.3843203180	8.0180620030	4.7825096790	23.5196054500	29.4097231500
4.8394443180	-1.4600228890	8.0133034740	4.8394443180	23.5162285100	29.4104372700
4.8963789570	-1.4954119980	8.0167780290	4.8963789570	23.5189969400	29.4115562600
4.9533135960	-1.5148506180	7.9123837690	4.9533135960	23.5303062400	29.4109208800
5.0102482350	-1.5562349700	7.8715295570	5.0102482350	23.5305228000	29.4107402700
5.0671828740	-1.6234325620	7.9361405470	5.0671828740	23.5372691200	29.4105741900
5.1241175130	-1.6344227670	7.9858364330	5.1241175130	23.5302136100	29.4107714700
5.1810521520	-1.6809816800	7.9915137950	5.1810521520	23.5381767600	29.4116829700
5.2379867910	-1.7214045520	7.9985510590	5.2379867910	23.5339903900	29.4113700700
5.2949214300	-1.8047438720	7.9903550650	5.2949214300	23.5381897800	29.4120498800
5.3518560690	-1.8064063800	7.9890631490	5.3518560690	23.5588496200	29.4075891300
5.4087907080	-1.8747691800	7.9753909710	5.4087907080	23.5865785400	29.4097285000
5.4657253470	-1.9809339140	7.9678555490	5.4657253470	23.6034407100	29.4093936500
5.5226599860	-1.9846938180	7.9768503360	5.5226599860	23.6119168500	29.4087489400
5.5795946250	-2.0569688150	7.9822471470	5.5795946250	23.6190666300	29.4078382600
5.6365292640	-2.0651160170	7.9791390350	5.6365292640	23.6191131200	29.4098313200
5.6934639030	-2.1123166870	7.9727836020	5.6934639030	23.6237575900	29.4095606800
5.7503985420	-2.0990849980	7.9632628370	5.7503985420	23.6306915400	29.4090423900
5.8073331820	-2.1104951930	7.9367309530	5.8073331820	23.6388914900	29.4076136300
5.8642678210	-2.1831782660	7.9065403470	5.8642678210	23.6473332300	29.4092641600
5.9212024600	-2.2155106360	7.8951005210	5.9212024600	23.6529856800	29.4085290700
5.9781370990	-2.2825565180	7.8702590900	5.9781370990	23.6655898600	29.4091992200
6.0350717380	-2.3239362150	7.8595627630	6.0350717380	23.6636828800	29.4093164700
6.0920063770	-2.3519582710	7.8557267100	6.0920063770	23.6703113100	29.4102833800
6.1489410160	-2.3786569690	7.8588609070	6.1489410160	23.6787919500	29.4117429000
6.2058756550	-2.4162839810	7.8620120820	6.2058756550	23.6734118200	29.4121191100
6.2628102940	-2.4243148830	7.8507818370	6.2628102940	23.6908373900	29.4084406600
6.3197449330	-2.4923933360	7.8427114250	6.3197449330	23.7229222200	29.4107496500
6.3766795720	-2.5336010830	7.8208267740	6.3766795720	23.7365623600	29.4088723100
6.4336142110	-2.5163191880	7.7555239740	6.4336142110	23.7397090600	29.4094295700
6.4905488500	-2.5724008740	7.7369657120	6.4905488500	23.7503648400	29.4114640900
6.5474834890	-2.5775535150	7.7228745020	6.5474834890	23.7526764100	29.4108431500
6.6044181280	-2.6166714470	7.7091341660	6.6044181280	23.7578725600	29.4106196100
6.6613527670	-2.6184113470	7.6915038400	6.6613527670	23.7639763400	29.4110484800
6.7182874060	-2.6234587820	7.6649515810	6.7182874060	23.7712423600	29.4114781700
6.7752220450	-2.5932723800	7.6527553810	6.7752220450	23.7871077100	29.4131772100
6.8321566840	-2.6738919080	7.6086404090	6.8321566840	23.8014323500	29.4124350800
6.8890913230	-2.6229044020	7.6014689790	6.8890913230	23.8250257300	29.4067449900
6.9460259620	-2.6854898680	7.5894274840	6.9460259620	23.8618678300	29.4075846800
7.0029606010	-2.7395649770	7.5918081130	7.0029606010	23.8721605000	29.4083824200
7.0598952400	-2.7777094140	7.5909832990	7.0598952400	23.8855159200	29.4082675400
7.1168298790	-2.7753001570	7.5926222110	7.1168298790	23.8988172400	29.4068804300
7.1737645180	-2.8052597730	7.5916252940	7.1737645180	23.8998644700	29.4088723600
7.2306991570	-2.8180156280	7.5864508400	7.2306991570	23.9242214800	29.4078621100
7.2876337960	-2.9507219080	7.5866270010	7.2876337960	23.9298784600	29.4074443100
7.3445684350	-3.0690853620	7.5919565540	7.3445684350	23.9314611000	29.4089088800
7.4015030740	-3.1171732010	7.5922704670	7.4015030740	23.9288557600	29.4099160600
7.4584377140	-3.1744331680	7.5944518890	7.4584377140	23.9213339800	29.4100114600
7.5153723530	-3.2607474020	7.5922149790	7.5153723530	23.9364180200	29.4103024400
7.5723069920	-3.2771203630	7.5877205860	7.5723069920	23.9202076900	29.4108395700
7.6292416310	-3.3040392090	7.5830218650	7.6292416310	23.9301613800	29.4105486200
7.6861762700	-3.2953307960	7.5812938690	7.6861762700	23.9383481600	29.4126141100
7.7431109090	-3.2946328280	7.5742083630	7.7431109090	23.9450983300	29.4116906900
7.8000455480	-3.3212051640	7.5802615880	7.8000455480	23.9448420700	29.4113743300
7.8569801870	-3.3663594160	7.5889188960	7.8569801870	23.9415562100	29.4121553000
7.9139148260	-3.3520237740	7.5925404760	7.9139148260	23.9501189800	29.4063308800
7.9708494650	-3.3533419110	7.5824927790	7.9708494650	23.9827484700	29.4088055100
8.0277841040	-3.4056754590	7.5871122940	8.0277841040	24.0109779600	29.4102487000
8.0847187430	-3.4393511540	7.5787680370	8.0847187430	24.0175705500	29.4108117100
8.1416533820	-3.4481077650	7.5806033930	8.1416533820	24.0150880800	29.4103848600
8.1985880210	-3.5282564950	7.5858616540	8.1985880210	24.0295377800	29.4107392500
8.2555226600	-3.5928676340	7.5937250340	8.2555226600	24.0309202800	29.4117074700
8.3124572990	-3.6310621700	7.5906120680	8.3124572990	24.0369340500	29.4109232000
8.3693919380	-3.6490289530	7.5923410850	8.3693919380	24.0358977500	29.4117590500
8.4263265770	-3.6722269760	7.5944549140	8.4263265770	24.0429665100	29.4119040500
8.4832612160	-3.6796554290	7.5966201830	8.4832612160	24.0467244200	29.4123729500
8.5401958550	-3.6786721020	7.6010692090	8.5401958550	24.0460694200	29.4126549700
8.5971304940	-3.6933480460	7.5877814530	8.5971304940	24.0571335100	29.4128493600
8.6540651330	-3.7170355090	7.5802985430	8.6540651330	24.0595247500	29.4137211300
8.7109997720	-3.6909033820	7.5790372070	8.7109997720	24.0662174300	29.4142127800
8.7679344110	-3.7108933440	7.5697137060	8.7679344110	24.0611662900	29.4135301400
8.8248690500	-3.7423703610	7.5689499190	8.8248690500	24.0774566700	29.4143731200
8.8818036890	-3.8206286070	7.5706091040	8.8818036890	24.0831381400	29.4095059500
8.9387383280	-3.8176828840	7.5417954870	8.9387383280	24.0971155400	29.4088591400
8.9956729670	-3.8143914370	7.5421376570	8.9956729670	24.1173381800	29.4093517100
9.0526076060	-3.8688241890	7.5687076620	9.0526076060	24.1316588200	29.4095476800
9.1095422460	-3.8756960410	7.5708058930	9.1095422460	24.1338676700	29.4088585300
9.1664768850	-3.9710160820	7.5292477870	9.1664768850	24.1390584400	29.4085727300
9.2234115240	-3.9661641700	7.5045895440	9.2234115240	24.1402279000	29.4092116600
9.2803461630	-3.9445560060	7.4954636730	9.2803461630	24.1476209600	29.4085000900
9.3372808020	-3.9425462560	7.4817513050	9.3372808020	24.1497802200	29.4094894200
9.3942154410	-3.9787287480	7.4757643530	9.3942154410	24.1562302400	29.4096611300
9.4511500800	-4.0235831000	7.4582086860	9.4511500800	24.1572999300	29.4085059700
9.5080847190	-4.0497823030	7.4557293610	9.5080847190	24.1579903700	29.4096983400
9.5650193580	-4.0550337830	7.4578852940	9.5650193580	24.1647434500	29.4099833000
9.6219539970	-4.0623543880	7.4531345750	9.6219539970	24.1712192800	29.4102224300
9.6788886360	-4.1345156880	7.4426566440	9.6788886360	24.1731050200	29.4101026300
9.7358232750	-4.1500445100	7.4294709800	9.7358232750	24.1771538600	29.4105161400
9.7927579140	-4.1366611780	7.3688066680	9.7927579140	24.1861370800	29.4113645800
9.8496925530	-4.1393366640	7.3444531540	9.8496925530	24.2042960200	29.4120435400
9.9066271920	-4.1991851650	7.3470351740	9.9066271920	24.2103472000	29.4125396600
9.9635618310	-4.1957768560	7.3366934530	9.9635618310	24.2219476200	29.4082344300
10.0204964700	-4.1966237070	7.3334025170	10.0204964700	24.2392990100	29.4070574300
10.0774311100	-4.2170608080	7.3258401860	10.0774311100	24.2490815700	29.4068048800
10.1343657500	-4.2361219030	7.3213765900	10.1343657500	24.2661070200	29.4070279400
10.1913003900	-4.2769225280	7.2994702840	10.1913003900	24.2719124100	29.4070403600
10.2482350300	-4.2604822100	7.2735292900	10.2482350300	24.2757183800	29.4065257800
10.3051696700	-4.2857244470	7.2493044190	10.3051696700	24.2801277000	29.4066536200
10.3621043000	-4.2799253380	7.2225812820	10.3621043000	24.2913417800	29.4074605200
10.4190389400	-4.2439538330	7.2105005060	10.4190389400	24.3009386100	29.4058905000
10.4759735800	-4.2505901380	7.2065908960	10.4759735800	24.3155135800	29.4069555500
10.5329082200	-4.3231502940	7.1941230300	10.5329082200	24.3217576800	29.4063027600
10.5898428600	-4.3532053640	7.1976813950	10.5898428600	24.3281142900	29.4079743400
10.6467775000	-4.3796456710	7.1853320810	10.6467775000	24.3264992000	29.4081213100
10.7037121400	-4.4547321560	7.1840911210	10.7037121400	24.3289998700	29.4080325000
10.7606467800	-4.5226827540	7.1789895600	10.7606467800	24.3322443600	29.4094264300
10.8175814200	-4.5523585040	7.1746183400	10.8175814200	24.3253342700	29.4078028300
10.8745160600	-4.5553634000	7.1791842330	10.8745160600	24.3335346800	29.4095848700
10.9314506900	-4.5409731740	7.1757208800	10.9314506900	24.3314779500	29.4088246700
10.9883853300	-4.5559480690	7.1742263080	10.9883853300	24.3435386800	29.4107900900
11.0453199700	-4.5691598490	7.1316990760	11.0453199700	24.3424485900	29.4110136100
11.1022546100	-4.6065223470	7.1097450820	11.1022546100	24.3460275900	29.4063177700
11.1591892500	-4.6487662330	7.0917389600	11.1591892500	24.3617955200	29.4063663600
11.2161238900	-4.6112288670	7.0746511360	11.2161238900	24.3653999300	29.4059929600
11.2730585300	-4.5951608350	7.0653887020	11.2730585300	24.3790427000	29.4069252300
