GF_namemissing			GFext		
t	x	y	t	x	y
18.4468230500	-5.9679556040	5.5778087380	18.4468230500	25.0520295900	29.4116959600
18.5037576900	-5.9474477980	5.5702867400	18.5037576900	25.0539191300	29.4095393100
18.5606923300	-6.0549530090	5.5315253930	18.5606923300	25.0660928500	29.4110957800
18.6176269600	-6.1020952570	5.5313122710	18.6176269600	25.0635082700	29.4053461900
18.6745616000	-6.0764056450	5.5119924600	18.6745616000	25.0805129000	29.4073089600
18.7314962400	-6.0503673150	5.4849143060	18.7314962400	25.0902609700	29.4084873300
18.7884308800	-6.0679071210	5.4886369670	18.7884308800	25.1157385700	29.4035275900
18.8453655200	-6.0672917740	5.4838346930	18.8453655200	25.1747768400	29.4010512600
18.9023001600	-6.0490049850	5.4787377040	18.9023001600	25.2338151100	29.3835412600
18.9592348000	-6.0528097380	5.4791274840	18.9592348000	25.2361671300	29.3858287000
19.0161694400	-6.0499180540	5.4621186570	19.0161694400	25.2529381100	29.3954594500
19.0731040800	-6.0447680130	5.4510356020	19.0731040800	25.2662306100	29.3869117000
19.1300387200	-6.0327038300	5.4445542980	19.1300387200	25.2660776400	29.3904810400
19.1869733500	-6.0599474100	5.3811621460	19.1869733500	25.2728319800	29.3931896500
19.2439079900	-6.0516077800	5.3610311010	19.2439079900	25.3042776600	29.3931047000
19.3008426300	-6.0484150930	5.3537514820	19.3008426300	25.3238242700	29.3927417900
19.3577772700	-6.0659496640	5.3516219650	19.3577772700	25.3402630900	29.3901892100
19.4147119100	-6.0975208830	5.3465581720	19.4147119100	25.3503541100	29.3856213700
19.4716465500	-6.1131476930	5.3500277220	19.4716465500	25.3866690600	29.3796924400
19.5285811900	-6.1027485580	5.3534784630	19.5285811900	25.3760811500	29.3784207400
19.5855158300	-6.0974794660	5.3350225760	19.5855158300	25.3757911700	29.3603109800
19.6424504700	-6.0954936570	5.3386607730	19.6424504700	25.3637087500	29.3635702100
19.6993851100	-6.0694073910	5.3293180590	19.6993851100	25.3820334000	29.3644577000
19.7563197400	-6.0851652740	5.3260462250	19.7563197400	25.4025900800	29.3618351000
19.8132543800	-6.1327139470	5.3339634780	19.8132543800	25.3787200900	29.3692276900
19.8701890200	-6.2044588520	5.3392053300	19.8701890200	25.3735591300	29.3700571400
19.9271236600	-6.2234221750	5.3115770670	19.9271236600	25.3719013200	29.3691598800
19.9840583000	-6.3639166950	5.2780503250	19.9840583000	25.4249631900	29.3355387900
20.0409929400	-6.4011788020	5.2689874100	20.0409929400	25.4809400000	29.3126075300
20.0979275800	-6.4273059790	5.2481335340	20.0979275800	25.4787807000	29.3050832600
20.1548622200	-6.5236005470	5.2447406190	20.1548622200	25.5024296300	29.3044434500
20.2117968600	-6.4903155130	5.2251222370	20.2117968600	25.5101387000	29.2928204100
20.2687315000	-6.4724526030	5.2193268760	20.2687315000	25.5537540800	29.2920301600
20.3256661400	-6.4602072270	5.2102631540	20.3256661400	25.5863817500	29.2871873700
20.3826007700	-6.4533666170	5.2037908350	20.3826007700	25.6022727100	29.2872754300
20.4395354100	-6.4648887740	5.2009255850	20.4395354100	25.5818542100	29.2876861100
20.4964700500	-6.4683192470	5.2063260150	20.4964700500	25.6123853500	29.2852130400
20.5534046900	-6.4716915610	5.1998667490	20.5534046900	25.6240817100	29.2927112000
20.6103393300	-6.4724457090	5.1995581030	20.6103393300	25.6467728300	29.3090794300
20.6672739700	-6.4689867290	5.1848279950	20.6672739700	25.6155347400	29.3108076900
20.7242086100	-6.4789645660	5.1738013880	20.7242086100	25.6905231000	29.3007610400
20.7811432500	-6.4787830460	5.1626720140	20.7811432500	25.7788640400	29.2929476100
20.8380778900	-6.5129899980	5.1432901020	20.8380778900	25.7538166900	29.2909835200
20.8950125300	-6.5223255380	5.1179071970	20.8950125300	25.7754049700	29.2815482800
20.9519471600	-6.5044716770	5.1620634230	20.9519471600	25.7682328000	29.2767619100
21.0088818000	-6.5098101090	5.1800795610	21.0088818000	25.7559049300	29.2770069800
21.0658164400	-6.5163715730	5.2035015720	21.0658164400	25.7856525400	29.2753247600
21.1227510800	-6.5239412000	5.2166987960	21.1227510800	25.8213768000	29.2750868700
21.1796857200	-6.4835914910	5.2155414370	21.1796857200	25.8737213700	29.2764883200
21.2366203600	-6.5426927460	5.2066359740	21.2366203600	25.8854014400	29.2742391400
21.2935550000	-6.5721281150	5.2010639090	21.2935550000	25.9117491400	29.2722455100
21.3504896400	-6.5642557360	5.2064031160	21.3504896400	25.9232246500	29.2703988500
21.4074242800	-6.5417035810	5.1939756250	21.4074242800	25.9672695500	29.2703488300
21.4643589200	-6.5238319500	5.1972579640	21.4643589200	25.9806225500	29.2725028800
21.5212935500	-6.4663462300	5.1960817610	21.5212935500	25.9934212300	29.2725890200
21.5782281900	-6.4717754180	5.2124894520	21.5782281900	25.9971408400	29.2685898700
21.6351628300	-6.4875019650	5.2199208890	21.6351628300	25.9846289700	29.2676062900
21.6920974700	-6.4874136050	5.2198614650	21.6920974700	25.9656829200	29.2666653700
21.7490321100	-6.4936951310	5.2221776030	21.7490321100	25.9394993100	29.2670294800
21.8059667500	-6.4777365760	5.2181411460	21.8059667500	25.9510678400	29.2702726500
21.8629013900	-6.4746545560	5.2201684170	21.8629013900	25.9302334500	29.2698637000
21.9198360300	-6.4722345640	5.2244440780	21.9198360300	25.8858304500	29.2731495400
