SOLfasMMUSED			SOLext		
t	x	y	t	x	y
0.000000000000	9.840361232000	8.512048008000	0.000000000000	26.322288590000	14.909638230000
0.024668821080	9.841314499000	8.511840774000	0.024668821080	26.322190120000	14.909767120000
0.049337642150	9.842310499000	8.511835357000	0.049337642150	26.322016370000	14.910081510000
0.074006463230	9.841175171000	8.511947538000	0.074006463230	26.322277310000	14.910003200000
0.098675284310	9.838580538000	8.511962837000	0.098675284310	26.322421980000	14.909913640000
0.123344105400	9.838492121000	8.511884588000	0.123344105400	26.322071080000	14.910160620000
0.148012926500	9.838786599000	8.512014392000	0.148012926500	26.321994700000	14.910354730000
0.172681747500	9.838856106000	8.511988267000	0.172681747500	26.322188440000	14.910108010000
0.197350568600	9.838813926000	8.512263066000	0.197350568600	26.322376230000	14.909951170000
0.222019389700	9.839061506000	8.511995875000	0.222019389700	26.322318150000	14.910166590000
0.246688210800	9.839368135000	8.511815063000	0.246688210800	26.322165740000	14.910211150000
0.271357031800	9.838631272000	8.512017645000	0.271357031800	26.322156800000	14.910115910000
0.296025852900	9.839363826000	8.511720841000	0.296025852900	26.322014660000	14.910149490000
0.320694674000	9.839542574000	8.512097434000	0.320694674000	26.322881700000	14.910289950000
0.345363495100	9.840503409000	8.511920750000	0.345363495100	26.322048490000	14.910193010000
0.370032316200	9.839485589000	8.511982754000	0.370032316200	26.322630820000	14.910107660000
0.394701137200	9.840771071000	8.512222533000	0.394701137200	26.322476130000	14.910177000000
0.419369958300	9.841566555000	8.512177314000	0.419369958300	26.322221890000	14.910219300000
0.444038779400	9.840980274000	8.512242485000	0.444038779400	26.322410340000	14.910079250000
0.468707600500	9.841841040000	8.512038864000	0.468707600500	26.322000150000	14.910011770000
0.493376421500	9.840849672000	8.512240961000	0.493376421500	26.322987050000	14.910324760000
0.518045242600	9.844848589000	8.512146304000	0.518045242600	26.322379280000	14.910134490000
0.542714063700	9.843200106000	8.512232885000	0.542714063700	26.322185170000	14.910259650000
0.567382884800	9.841214586000	8.512182573000	0.567382884800	26.322458520000	14.910003330000
