CALbump			CALext2		
t	x	y	t	x	y
0.0	12.82758441	7.37899481	0.0	-10.25371079	14.78305982
0.05961251863	12.82600101	7.377993563	0.05961251863	-10.25331378	14.7824137
0.1192250373	12.8258484	7.377768423	0.1192250373	-10.25378323	14.78258304
0.1788375559	12.82851174	7.376092532	0.1788375559	-10.25339737	14.78246634
0.2384500745	12.83087333	7.377688821	0.2384500745	-10.25390338	14.78261383
0.2980625931	12.83570389	7.378018845	0.2980625931	-10.25341677	14.78268544
0.3576751118	12.83543922	7.376948303	0.3576751118	-10.25386123	14.78264627
0.4172876304	12.83512776	7.376222651	0.4172876304	-10.25367329	14.78268232
0.476900149	12.84044829	7.37704053	0.476900149	-10.25272814	14.78263722
0.5365126677	12.84252268	7.378392198	0.5365126677	-10.25378939	14.78263881
0.5961251863	12.83976699	7.376589436	0.5961251863	-10.25366303	14.7827299
0.6557377049	12.84281439	7.376544209	0.6557377049	-10.25359336	14.78260101
0.7153502235	12.8505057	7.37585698	0.7153502235	-10.25355166	14.78258008
0.7749627422	12.84992902	7.378418061	0.7749627422	-10.25381377	14.78271577
0.8345752608	12.84423176	7.379132618	0.8345752608	-10.25339487	14.78267547
0.8941877794	12.84780606	7.379188395	0.8941877794	-10.25379961	14.78258995
0.9538002981	12.84586465	7.379014755	0.9538002981	-10.25390409	14.78251226
1.013412817	12.85198121	7.379693352	1.013412817	-10.25394136	14.78252859
1.073025335	12.84920614	7.379500613	1.073025335	-10.25369449	14.78263075
1.132637854	12.84405611	7.380401016	1.132637854	-10.25344975	14.78264533
1.192250373	12.84187229	7.379639063	1.192250373	-10.25308746	14.78259071
1.251862891	12.84400465	7.378855527	1.251862891	-10.25322524	14.78247063
1.31147541	12.83903545	7.379607334	1.31147541	-10.25368322	14.78262645
1.371087928	12.83984673	7.379437158	1.371087928	-10.25422924	14.78262794
1.430700447	12.8340128	7.375863242	1.430700447	-10.2534961	14.78254108
1.490312966	12.82496158	7.374455196	1.490312966	-10.25446383	14.78254495
1.549925484	12.81293405	7.375605796	1.549925484	-10.25429712	14.78262079
1.609538003	12.79144707	7.370748708	1.609538003	-10.25416461	14.78244211
1.669150522	12.75688463	7.371524017	1.669150522	-10.25470164	14.78249276
1.72876304	12.74723383	7.373252848	1.72876304	-10.2547773	14.78253946
1.788375559	12.69761136	7.379742087	1.788375559	-10.25558556	14.78228316
1.847988077	12.61405154	7.385136088	1.847988077	-10.25939975	14.78201497
1.907600596	12.53267231	7.387793074	1.907600596	-10.26524972	14.78194131
1.967213115	12.46535384	7.394798972	1.967213115	-10.47008034	14.78217334
2.026825633	12.4295299	7.394071085	2.026825633	-10.54398807	14.78070282
2.086438152	12.43827116	7.385881554	2.086438152	-10.54221889	14.78243192
2.146050671	12.45302653	7.378437323	2.146050671	-10.55710622	14.78314468
2.205663189	12.46684545	7.379914479	2.205663189	-10.55736589	14.78292914
2.265275708	12.47814701	7.380369666	2.265275708	-10.55759724	14.7831342
2.324888227	12.47280164	7.381742044	2.324888227	-10.56207393	14.78321433
2.384500745	12.51815462	7.373346515	2.384500745	-10.55706699	14.78301599
2.444113264	12.60086744	7.363550068	2.444113264	-10.56043299	14.78263179
2.503725782	12.61601698	7.367160362	2.503725782	-10.55907704	14.78286641
2.563338301	12.60192608	7.377120586	2.563338301	-10.56480373	14.7824227
2.62295082	12.59416365	7.40371094	2.62295082	-10.5625108	14.78293134
2.682563338	12.6243837	7.399657155	2.682563338	-10.55911136	14.78294831
2.742175857	12.66658295	7.402203382	2.742175857	-10.55968147	14.7825838
2.801788376	12.69357403	7.389771957	2.801788376	-10.55592846	14.7826848
2.861400894	12.69663359	7.391848206	2.861400894	-10.55520689	14.78269043
2.921013413	12.67991065	7.390890706	2.921013413	-10.55633762	14.78300935
2.980625931	12.69748758	7.39085707	2.980625931	-10.55417222	14.7828022
3.04023845	12.70478769	7.39358371	3.04023845	-10.55279693	14.78252749
3.099850969	12.70772068	7.38963919	3.099850969	-10.551855	14.78237983
3.159463487	12.71315454	7.389992153	3.159463487	-10.551354	14.7826194
3.219076006	12.70105968	7.399480024	3.219076006	-10.55096811	14.78265269
3.278688525	12.68906999	7.399904231	3.278688525	-10.5532588	14.78271162
3.338301043	12.6912754	7.401117224	3.338301043	-10.552095	14.78296454
3.397913562	12.68975514	7.388063311	3.397913562	-10.55065261	14.78248825
3.45752608	12.68995463	7.391378897	3.45752608	-10.54965021	14.78243646
3.517138599	12.69062729	7.396536845	3.517138599	-10.550929	14.78255468
3.576751118	12.69289401	7.394342896	3.576751118	-10.55024337	14.78272834
3.636363636	12.70507741	7.389640207	3.636363636	-10.54939469	14.78279597
3.695976155	12.71270992	7.388682976	3.695976155	-10.54927949	14.78279273
3.755588674	12.71203416	7.387170133	3.755588674	-10.55024134	14.78264407
3.815201192	12.69749913	7.389163749	3.815201192	-10.5510077	14.78258948
3.874813711	12.68152783	7.39384062	3.874813711	-10.55134663	14.7827188
3.93442623	12.67163815	7.400748661	3.93442623	-10.54985695	14.78290998
3.994038748	12.64965053	7.396343422	3.994038748	-10.54962839	14.78301603
4.053651267	12.65712123	7.391884463	4.053651267	-10.55096395	14.78294313
4.113263785	12.65675711	7.387431033	4.113263785	-10.54937652	14.78305091
4.172876304	12.67416665	7.381662094	4.172876304	-10.54916915	14.78301008
4.232488823	12.68341091	7.380199091	4.232488823	-10.54951432	14.78260811
4.292101341	12.69195129	7.376698396	4.292101341	-10.54877316	14.78282849
4.35171386	12.71616719	7.369043047	4.35171386	-10.54938446	14.78235224
4.411326379	12.74329857	7.370981151	4.411326379	-10.54907416	14.78239963
4.470938897	12.76879781	7.369858075	4.470938897	-10.54733322	14.78194259
4.530551416	12.75323782	7.378657041	4.530551416	-10.54785625	14.78238227
4.590163934	12.73484316	7.380038572	4.590163934	-10.54654266	14.78240546
4.649776453	12.72231281	7.380074447	4.649776453	-10.54718554	14.78244966
4.709388972	12.71348465	7.385970854	4.709388972	-10.55229135	14.78272484
4.76900149	12.6928842	7.385235343	4.76900149	-10.5521266	14.78261747
4.828614009	12.68656986	7.382258535	4.828614009	-10.54920946	14.78265204
4.888226528	12.68582511	7.381256382	4.888226528	-10.54876475	14.78274122
4.947839046	12.68557409	7.379900492	4.947839046	-10.55152188	14.78237972
5.007451565	12.66903771	7.38078581	5.007451565	-10.55324859	14.78254654
5.067064083	12.66653815	7.382450967	5.067064083	-10.5517119	14.78264113
5.126676602	12.6578474	7.382022282	5.126676602	-10.55212186	14.7826955
5.186289121	12.66454967	7.380323886	5.186289121	-10.55057014	14.782627
