CALbump			CALext2JULY		
1.984619201	17.83409387	7.159630348	1.984619201	-8.273202177	13.96755024
2.009426941	17.80725773	7.159195711	2.009426941	-8.274564741	13.96816
2.034234681	17.78074732	7.167203539	2.034234681	-8.267274251	13.96584797
2.059042421	17.75450913	7.16728089	2.059042421	-8.273038732	13.96632224
2.083850161	17.65129139	7.16523268	2.083850161	-8.281314043	13.97015547
2.108657901	17.60820031	7.165388637	2.108657901	-8.279094513	13.97099123
2.133465641	17.58270813	7.167012232	2.133465641	-8.278788455	13.97223637
2.158273381	17.54863923	7.166882851	2.158273381	-8.283719207	13.97213788
2.183081121	17.51774879	7.168805149	2.183081121	-8.287783697	13.97470227
2.207888861	17.48404093	7.169706573	2.207888861	-8.289829525	13.97398664
2.232696601	17.47492649	7.170549847	2.232696601	-8.288533341	13.97310136
2.257504341	17.41665398	7.173174595	2.257504341	-8.290057079	13.96955747
2.282312081	17.33813093	7.168780163	2.282312081	-8.28801997	13.97194015
2.307119821	17.27372753	7.167467957	2.307119821	-8.289740321	13.97414606
2.331927561	17.23787593	7.168140311	2.331927561	-8.289728997	13.97463602
2.356735301	17.04687199	7.171236691	2.356735301	-8.296558341	13.97788893
2.381543041	16.97120879	7.165908113	2.381543041	-8.295420626	13.97811287
2.406350781	16.84718909	7.163692831	2.406350781	-8.30450787	13.97890852
2.431158521	16.77301744	7.165368573	2.431158521	-8.312900505	13.97967888
2.455966261	16.75002327	7.166726636	2.455966261	-8.309913402	13.97933809
2.480774001	16.79263788	7.169724353	2.480774001	-8.303801509	13.97842831
2.505581742	16.82318809	7.168489783	2.505581742	-8.299761611	13.97683104
2.530389482	16.82480734	7.168397187	2.530389482	-8.294268156	13.97680685
2.555197222	16.78103431	7.162952087	2.555197222	-8.296573748	13.97749413
2.580004962	16.72878599	7.159151261	2.580004962	-8.302489171	13.97690932
2.604812702	16.65565469	7.151868331	2.604812702	-8.304560589	13.97522001
2.629620442	16.64106256	7.153998541	2.629620442	-8.308426904	13.9752931
2.654428182	16.65125163	7.158845051	2.654428182	-8.304260476	13.974393
2.679235922	16.6064743	7.157420838	2.679235922	-8.322252287	13.97442844
2.704043662	16.57124752	7.153185235	2.704043662	-8.318532421	13.97498229
2.728851402	16.54804835	7.151335801	2.728851402	-8.329769012	13.97364574
2.753659142	16.53006237	7.133574841	2.753659142	-8.384253027	13.96884436
2.778466882	16.49749774	7.109755613	2.778466882	-8.380830012	13.96157187
2.803274622	16.47993483	7.105492528	2.803274622	-8.400966637	13.96115162
2.828082362	16.42682107	7.104486651	2.828082362	-8.386215451	13.94463781
2.852890102	16.35095127	7.095997714	2.852890102	-8.336364309	13.93401576
2.877697842	16.26184048	7.0928201	2.877697842	-8.346883102	13.92839644
2.902505582	16.21410388	7.095515529	2.902505582	-8.350936522	13.91265985
2.927313322	16.20890042	7.093309176	2.927313322	-8.36960835	13.90201544
2.952121062	16.20675132	7.093496443	2.952121062	-8.375651866	13.90225636
2.976928802	16.17538051	7.093580711	2.976928802	-8.384770669	13.89952347
3.001736542	16.1563342	7.092267175	3.001736542	-8.382372781	13.89988958
3.026544282	16.13255736	7.087081426	3.026544282	-8.383344283	13.89959616
3.051352022	16.14589555	7.079559879	3.051352022	-8.37260378	13.8993476
3.076159762	16.14310217	7.080744905	3.076159762	-8.373351017	13.90038917
3.100967502	16.10618493	7.078953736	3.100967502	-8.378101483	13.89975309
3.125775242	15.98036699	7.074659576	3.125775242	-8.367467084	13.90207515
3.150582982	15.89108697	7.06514378	3.150582982	-8.385408456	13.89626712
3.175390722	15.84525216	7.073360352	3.175390722	-8.387186876	13.89599265
3.200198462	15.74066455	7.066254032	3.200198462	-8.392578581	13.88827147
3.225006202	15.6856672	7.062054937	3.225006202	-8.392562874	13.87291572
3.249813942	15.66357305	7.0671813	3.249813942	-8.393740188	13.87178725
3.274621682	15.62876992	7.071817099	3.274621682	-8.396239335	13.87015352
3.299429422	15.58059111	7.069277603	3.299429422	-8.394305074	13.87036962
3.324237162	15.61823088	7.068636861	3.324237162	-8.391056022	13.8679106
3.349044902	15.626644	7.076321923	3.349044902	-8.392562874	13.86796955
3.373852642	15.44927997	7.06618591	3.373852642	-8.415542324	13.86767801
3.398660382	15.37884299	7.053143321	3.398660382	-8.412689106	13.86869496
3.423468122	15.30079367	7.030886555	3.423468122	-8.411704678	13.86754874
3.448275862	15.26967323	7.026257262	3.448275862	-8.418775471	13.87007514
3.473083602	15.25619236	7.023216334	3.473083602	-8.410077664	13.87072013
3.497891342	15.23570396	7.024406233	3.497891342	-8.408536551	13.87186007
3.522699082	15.12431939	7.016421264	3.522699082	-8.44422821	13.86933236
3.547506822	15.00569926	7.007866994	3.547506822	-8.472344058	13.86753557
3.572314562	14.84004428	6.977654274	3.572314562	-8.51373077	13.86044675
3.597122302	14.79121479	6.957369097	3.597122302	-8.52660872	13.85753461
3.621930042	14.79739365	6.952699401	3.621930042	-8.533329309	13.85274748
3.646737782	14.70051386	6.951741872	3.646737782	-8.542311865	13.85226376
3.671545522	14.6338438	6.946700551	3.671545522	-8.544778152	13.8546815
3.696353262	14.53327101	6.942236733	3.696353262	-8.546690204	13.86222059
3.721161002	14.39834633	6.937360393	3.721161002	-8.559118379	13.86166407
3.745968742	14.38293513	6.935487674	3.745968742	-8.564964216	13.86653438
3.770776482	14.35485597	6.934364574	3.770776482	-8.600857271	13.86316878
3.795584222	14.28705938	6.934519791	3.795584222	-8.652441415	13.86640866
3.820391962	14.1428164	6.926368649	3.820391962	-8.662426499	13.85735409
3.845199702	14.08734246	6.927803455	3.845199702	-8.682215408	13.85989279
3.870007442	13.93037551	6.914749572	3.870007442	-8.714045527	13.86055354
3.894815182	13.92432627	6.925052688	3.894815182	-8.723171181	13.86228808
3.919622922	13.92962262	6.933560817	3.919622922	-8.743615002	13.85885086
3.944430662	13.82256456	6.930651082	3.944430662	-8.794433534	13.8691655
3.969238402	13.636719	6.925471295	3.969238402	-8.883110963	13.86586815
3.994046142	13.5332739	6.903233489	3.994046142	-8.907322122	13.86969325
4.018853882	13.44700263	6.880391883	4.018853882	-8.925526818	13.87590072
4.043661622	13.4143169	6.876851936	4.043661622	-8.922378533	13.87584078
4.068469362	13.39302477	6.875190493	4.068469362	-8.929681234	13.87351799
4.093277102	13.37213201	6.870815669	4.093277102	-8.957100233	13.87460582
4.118084842	13.41130673	6.870759558	4.118084842	-8.960601316	13.87407242
4.142892582	13.41752324	6.870777399	4.142892582	-8.96514661	13.8742669
4.167700323	13.29997827	6.855433276	4.167700323	-8.999162642	13.87257963
4.192508063	13.28760187	6.857956799	4.192508063	-8.997466933	13.87498251
4.217315803	13.26379572	6.853334523	4.217315803	-8.998859778	13.87540328
4.242123543	13.15218812	6.822983492	4.242123543	-9.005861499	13.87254753
4.266931283	13.09470825	6.807791229	4.266931283	-9.023608745	13.87204609
4.291739023	12.96287964	6.793777199	4.291739023	-9.045341299	13.86780304
4.316546763	12.9154173	6.782612759	4.316546763	-9.054913295	13.86541815
4.341354503	12.83474312	6.761775785	4.341354503	-9.060535946	13.86624679
4.366162243	12.70589505	6.752242633	4.366162243	-9.044481931	13.86800311
4.390969983	12.65330234	6.729080737	4.390969983	-9.082001705	13.8666226
4.415777723	12.64169027	6.726875269	4.415777723	-9.080397064	13.86699027
4.440585463	12.60400416	6.723806719	4.440585463	-9.104882065	13.85931396
4.465393203	12.55897909	6.720475057	4.465393203	-9.134029111	13.85165186
4.490200943	12.54508677	6.718593823	4.490200943	-9.128853705	13.85198196
4.515008683	12.51574235	6.717658516	4.515008683	-9.152294445	13.84552897
4.539816423	12.50722778	6.718638515	4.539816423	-9.13896672	13.85791648
4.564624163	12.49296298	6.718466036	4.564624163	-9.152204026	13.85407438
4.589431903	12.38751845	6.701239827	4.589431903	-9.16857419	13.8594109
4.614239643	12.38895363	6.704144044	4.614239643	-9.161737762	13.86033063
4.639047383	12.40284859	6.706497279	4.639047383	-9.15893693	13.86139464
4.663855123	12.35846437	6.697523956	4.663855123	-9.193369147	13.85198328
4.688662863	12.24352944	6.676264295	4.688662863	-9.221228598	13.85608139
4.713470603	12.22144193	6.662482924	4.713470603	-9.225631931	13.86017005
4.738278343	12.22634559	6.656151874	4.738278343	-9.212112712	13.85525027
4.763086083	12.2169533	6.651718989	4.763086083	-9.224845697	13.8569309
4.787893823	12.19202659	6.650920542	4.787893823	-9.218996899	13.84961993
4.812701563	12.11443543	6.643107952	4.812701563	-9.227337535	13.84947052
4.837509303	12.06417171	6.638927655	4.837509303	-9.22798455	13.85521431
4.862317043	12.05819783	6.638443542	4.862317043	-9.226928238	13.86112488
4.887124783	12.02062387	6.632569526	4.887124783	-9.212831396	13.85591325
4.911932523	11.89432473	6.600094477	4.911932523	-9.217457999	13.85453057
4.936740263	11.88982956	6.591765723	4.936740263	-9.225041295	13.85697253
4.961548003	11.80473898	6.579558442	4.961548003	-9.230958796	13.86457319
4.986355743	11.7743691	6.576603524	4.986355743	-9.228028715	13.86785069
5.011163483	11.76096286	6.572812627	5.011163483	-9.227904641	13.86486477
5.035971223	11.71356766	6.570024965	5.035971223	-9.240354622	13.86369711
5.060778963	11.57497798	6.563557037	5.060778963	-9.290952827	13.8635796
5.085586703	11.55862588	6.559163084	5.085586703	-9.310015296	13.86634023
5.110394443	11.54979553	6.559484401	5.110394443	-9.293139781	13.86639111
5.135202183	11.50264023	6.554700248	5.135202183	-9.32944286	13.86908659
5.160009923	11.28450632	6.514438629	5.160009923	-9.38836248	13.86772803
5.184817663	11.24148711	6.509027329	5.184817663	-9.400362804	13.87139639
5.209625403	11.17748981	6.501113814	5.209625403	-9.425092868	13.8755521
5.234433143	11.14490722	6.496846611	5.234433143	-9.451096167	13.86938618
5.259240883	11.10101396	6.49527886	5.259240883	-9.461887955	13.84945935
5.284048623	10.99738351	6.487553541	5.284048623	-9.45830113	13.84787026
5.308856363	10.932347	6.48135288	5.308856363	-9.473839951	13.84765905
5.333664103	10.71542073	6.446539865	5.333664103	-9.532439586	13.84445769
5.358471843	10.65728662	6.432995687	5.358471843	-9.576331538	13.84186916
5.383279583	10.57895144	6.421813158	5.383279583	-9.584507291	13.83819216
5.408087323	10.52131545	6.416779901	5.408087323	-9.595981519	13.84408468
5.432895063	10.41384513	6.405431753	5.432895063	-9.660109792	13.82900086
5.457702803	10.19921462	6.358676614	5.457702803	-9.743725835	13.84093297
5.482510543	10.14508438	6.348456032	5.482510543	-9.778942993	13.85443952
5.507318283	10.1342044	6.346691612	5.507318283	-9.770870702	13.85002611
5.532126023	9.993380645	6.345416157	5.532126023	-9.819089818	13.84483588
5.556933763	9.958917374	6.346636986	5.556933763	-9.881218055	13.85342532
5.581741503	9.970252408	6.343236906	5.581741503	-9.923308597	13.84933869
5.606549243	9.964662132	6.34482856	5.606549243	-9.946938401	13.85293637
5.631356983	9.825920003	6.334879784	5.631356983	-9.99632689	13.85345449
5.656164723	9.818442579	6.327688681	5.656164723	-9.996733367	13.85835098
5.680972463	9.822811026	6.322433358	5.680972463	-9.984771681	13.85871978
5.705780203	9.811348883	6.321138156	5.705780203	-10.01017352	13.86221005
5.730587943	9.662411671	6.307691298	5.730587943	-10.06860325	13.84498124
5.755395683	9.509297135	6.273765344	5.755395683	-10.07185879	13.83574755
5.780203423	9.502583775	6.262399373	5.780203423	-10.05615821	13.8383873
5.805011163	9.37098577	6.25153298	5.805011163	-10.10117754	13.84474569
5.829818903	9.350426382	6.254286036	5.829818903	-10.09831721	13.85193479
5.854626644	9.271885112	6.250007456	5.854626644	-10.10159781	13.86631115
5.879434384	9.226496555	6.237265545	5.879434384	-10.13191092	13.87236766
5.904242124	9.203128765	6.239765121	5.904242124	-10.12946368	13.8731058
5.929049864	9.087337526	6.229928932	5.929049864	-10.17699703	13.86938073
5.953857604	8.894157208	6.198630262	5.953857604	-10.20143937	13.84491881
5.978665344	8.896926531	6.189705789	5.978665344	-10.19263481	13.85454378
6.003473084	8.747308367	6.180246682	6.003473084	-10.20287929	13.85215294
6.028280824	8.701851516	6.177570527	6.028280824	-10.22732832	13.86033735
6.053088564	8.714858274	6.175701259	6.053088564	-10.22971984	13.862163
6.077896304	8.69743769	6.155897362	6.077896304	-10.2208856	13.85919915
6.102704044	8.313339088	6.116642457	6.102704044	-10.27884716	13.851759
6.127511784	8.318951515	6.110531394	6.127511784	-10.27634176	13.85653612
6.152319524	8.327485859	6.100341079	6.152319524	-10.27361404	13.85731381
6.177127264	7.875976122	6.047713859	6.177127264	-10.42727805	13.85593491
6.201935004	7.8433869	6.049866424	6.201935004	-10.41410253	13.86179725
6.226742744	7.873672142	6.029347922	6.226742744	-10.39374495	13.86151059
6.251550484	7.722854706	6.036738486	6.251550484	-10.43122529	13.86188575
6.276358224	7.737565837	6.040502478	6.276358224	-10.42618508	13.85940358
6.301165964	7.980043841	6.079900961	6.301165964	-10.42477651	13.86577743
6.325973704	7.796869576	6.090187199	6.325973704	-10.51692515	13.87210658
6.350781444	7.782572093	6.096885474	6.350781444	-10.53664196	13.87127957
6.375589184	7.928497128	6.106951035	6.375589184	-10.54539347	13.87979538
6.400396924	7.85853874	6.10359806	6.400396924	-10.56191701	13.87323388
6.425204664	7.843431132	6.105944645	6.425204664	-10.5695236	13.87536931
6.450012404	8.052679388	6.100495826	6.450012404	-10.57867653	13.87149298
6.474820144	7.895188896	6.096556	6.474820144	-10.56625301	13.87070794
6.499627884	8.024407464	6.100408859	6.499627884	-10.58886327	13.87144741
6.524435624	8.027235335	6.098393583	6.524435624	-10.58895907	13.87261739
6.549243364	7.943923563	6.102312455	6.549243364	-10.5861594	13.87211284
6.574051104	7.872036111	6.10585997	6.574051104	-10.5743826	13.8710175
6.598858844	7.883539478	6.09358081	6.598858844	-10.5762297	13.87385755
6.623666584	8.01644176	6.12934013	6.623666584	-10.57695308	13.88241181
6.648474324	8.775255225	6.220079821	6.648474324	-10.59206799	13.93224458
6.673282064	9.03293046	6.255081039	6.673282064	-10.53180292	13.9442036
6.698089804	8.73135299	6.255280209	6.698089804	-10.56508686	13.93410101
6.722897544	8.862932283	6.322646056	6.722897544	-10.58349624	13.93895075
6.747705284	9.07237303	6.32374015	6.747705284	-10.56164677	13.93776853
6.772513024	8.774992654	6.34204842	6.772513024	-10.59680052	13.93115607
6.797320764	8.016737108	6.35356252	6.797320764	-10.63217199	13.87616282
6.822128504	8.198940725	6.367713313	6.822128504	-10.67628953	13.87212688
6.846936244	8.723103663	6.407903507	6.846936244	-10.6689477	13.91964853
6.871743984	9.60884103	6.54434685	6.871743984	-10.68209915	13.9465145
6.896551724	9.405521461	6.550808403	6.896551724	-10.74739432	13.93637214
6.921359464	8.901028163	6.555379784	6.921359464	-10.74971452	13.91675522
6.946167204	9.847290194	6.601872459	6.946167204	-10.62764368	13.94116594
6.970974944	12.45468103	6.715452789	6.970974944	-10.56560159	13.92474831
