CALbump			CALext2JULY		
t	x	y	t	x	y
0.0	19.12864693	7.096966786	0.0	-8.212234346	13.9818554
0.02480774001	19.12789679	7.096615816	0.02480774001	-8.20971451	13.983078
0.04961548003	19.1270248	7.096586315	0.04961548003	-8.212444126	13.98214051
0.07442322004	19.12829043	7.096834996	0.07442322004	-8.212399409	13.98209078
0.09923096006	19.12888311	7.096922339	0.09923096006	-8.209983479	13.98204609
0.1240387001	19.12820383	7.097070072	0.1240387001	-8.214609123	13.98220547
0.1488464401	19.12839409	7.097173205	0.1488464401	-8.211984998	13.98180166
0.1736541801	19.12774625	7.096947372	0.1736541801	-8.212292636	13.98232464
0.1984619201	19.12774742	7.097088628	0.1984619201	-8.212340544	13.98208562
0.2232696601	19.12818332	7.097143641	0.2232696601	-8.213045725	13.98126469
0.2480774001	19.1277267	7.097196432	0.2480774001	-8.211648647	13.98236403
0.2728851402	19.12873611	7.097417946	0.2728851402	-8.212608398	13.98132976
0.2976928802	19.12804275	7.097161452	0.2976928802	-8.212738763	13.98204522
0.3225006202	19.12843295	7.097237592	0.3225006202	-8.212026072	13.98194176
0.3473083602	19.13002474	7.097601228	0.3473083602	-8.212996448	13.98162922
0.3721161002	19.12802219	7.097135461	0.3721161002	-8.213883434	13.98206506
0.3969238402	19.12793658	7.09697552	0.3969238402	-8.211486306	13.98222075
0.4217315803	19.12733214	7.097507703	0.4217315803	-8.211273382	13.98219309
0.4465393203	19.12956469	7.097794357	0.4465393203	-8.213494627	13.98141449
0.4713470603	19.13252227	7.098362716	0.4713470603	-8.215615267	13.98108755
0.4961548003	19.13349164	7.098822412	0.4961548003	-8.214799775	13.98065975
0.5209625403	19.15213896	7.100269102	0.5209625403	-8.221964417	13.98323327
0.5457702803	19.15334157	7.103950061	0.5457702803	-8.216813678	13.98414466
0.5705780203	19.14922723	7.102154633	0.5705780203	-8.220647789	13.98358064
0.5953857604	19.14000553	7.097953846	0.5953857604	-8.219843484	13.9818554
0.6201935004	19.13892502	7.097237336	0.6201935004	-8.217968925	13.98443262
0.6450012404	19.14000577	7.096812368	0.6450012404	-8.214920285	13.98400799
0.6698089804	19.13868034	7.096450719	0.6698089804	-8.213619546	13.98259906
0.6946167204	19.13946593	7.096360073	0.6946167204	-8.212929557	13.98178528
0.7194244604	19.13742348	7.095395334	0.7194244604	-8.212172617	13.98036446
0.7442322004	19.13500677	7.094428461	0.7442322004	-8.209453032	13.982224
0.7690399405	19.12790778	7.092478012	0.7690399405	-8.216845342	13.98063914
0.7938476805	19.10816538	7.08584332	0.7938476805	-8.2171115	13.98127989
0.8186554205	19.09032711	7.084862698	0.8186554205	-8.223195257	13.97971682
0.8434631605	19.04942133	7.080010209	0.8434631605	-8.237905674	13.97926456
0.8682709005	19.03240599	7.078805449	0.8682709005	-8.223175756	13.9790951
0.8930786405	19.09961801	7.043810741	0.8930786405	-8.232627558	13.98024194
0.9178863806	19.08235835	7.036838584	0.9178863806	-8.232563322	13.97998534
0.9426941206	19.02255315	7.038676205	0.9426941206	-8.231406681	13.97983329
0.9675018606	19.0160822	7.048085083	0.9675018606	-8.224202057	13.98032446
0.9923096006	18.91497918	7.0371375	0.9923096006	-8.237881326	13.97327861
1.017117341	18.77927474	7.031083495	1.017117341	-8.22272349	13.97610969
1.041925081	18.67632336	7.023712956	1.041925081	-8.224610164	13.97406277
1.066732821	18.46835946	7.016081553	1.066732821	-8.266472958	13.97761949
1.091540561	18.40239743	7.015113706	1.091540561	-8.268682974	13.98120861
1.116348301	18.29902021	7.011902779	1.116348301	-8.272316963	13.98238491
1.141156041	18.20628348	7.011762233	1.141156041	-8.27996223	13.98071098
1.165963781	18.12682236	7.009971961	1.165963781	-8.256094773	13.97762179
1.190771521	18.03359019	7.016790098	1.190771521	-8.276379445	13.98206659
1.215579261	17.9901476	7.01922014	1.215579261	-8.306423586	13.97634584
1.240387001	17.92655878	7.026596287	1.240387001	-8.28928619	13.97999796
1.265194741	17.93823086	7.031104239	1.265194741	-8.302019194	13.97840978
1.290002481	18.00247923	7.045428979	1.290002481	-8.307669682	13.96995465
1.314810221	18.03062323	7.050744778	1.314810221	-8.292389872	13.96845977
1.339617961	18.0141414	7.089361616	1.339617961	-8.286088874	13.96693043
1.364425701	18.06905809	7.09459767	1.364425701	-8.284987742	13.9664223
1.389233441	18.1212342	7.091114843	1.389233441	-8.284138883	13.96630988
1.414041181	18.1311651	7.090528929	1.414041181	-8.28338324	13.96502431
1.438848921	18.13605762	7.095969708	1.438848921	-8.281261908	13.96121988
1.463656661	18.16066205	7.100707147	1.463656661	-8.279197655	13.9664517
1.488464401	18.13871252	7.09947067	1.488464401	-8.283880698	13.96451973
1.513272141	18.11299658	7.101048203	1.513272141	-8.279283326	13.96558997
1.538079881	18.06418622	7.103220585	1.538079881	-8.284557357	13.97021673
1.562887621	18.007194	7.102436751	1.562887621	-8.288647645	13.97157262
1.587695361	17.9825075	7.102369748	1.587695361	-8.289588752	13.97267215
1.612503101	17.92152117	7.100393902	1.612503101	-8.286232226	13.97291158
1.637310841	17.86353686	7.106273609	1.637310841	-8.28499398	13.9738311
1.662118581	17.83057127	7.13558599	1.662118581	-8.285536774	13.97202293
1.686926321	17.83238868	7.137519883	1.686926321	-8.285454496	13.97189627
1.711734061	17.9301706	7.17229013	1.711734061	-8.272861244	13.96854879
1.736541801	17.95043841	7.174663438	1.736541801	-8.266692528	13.97151066
1.761349541	17.99058819	7.170077092	1.761349541	-8.249822232	13.96607408
1.786157281	17.9941914	7.171963458	1.786157281	-8.238318027	13.96581972
1.810965021	17.97870428	7.171099476	1.810965021	-8.25224553	13.96541071
1.835772761	17.95118177	7.167686403	1.835772761	-8.254955139	13.96726863
1.860580501	17.92056956	7.159424118	1.860580501	-8.260214217	13.96049626
1.885388241	17.9214733	7.163827594	1.885388241	-8.267765824	13.96107791
1.910195981	17.91551999	7.163648551	1.910195981	-8.263897704	13.95560544
1.935003721	17.91102273	7.163590196	1.935003721	-8.269500068	13.96131624
1.959811461	17.86788008	7.163191018	1.959811461	-8.274902551	13.96524431
