CALbump2			CALext		
t	x	y	t	x	y
0	17.87246722	10.76473892	0	8.254348368	14.78202182
0.059612519	17.87129408	10.76451937	0.059612519	8.25728341	14.7803084
0.119225037	17.87532793	10.76226568	0.119225037	8.260881574	14.78136006
0.178837556	17.87160593	10.76215444	0.178837556	8.258116812	14.78072023
0.238450075	17.87336722	10.75850157	0.238450075	8.263322458	14.78092985
0.298062593	17.87860473	10.74542234	0.298062593	8.263815605	14.77936294
0.357675112	17.87732632	10.74039192	0.357675112	8.265580729	14.7800289
0.41728763	17.90596359	10.72065942	0.41728763	8.267989509	14.78166458
0.476900149	17.90969286	10.7014854	0.476900149	8.268754724	14.78028145
0.536512668	17.90311218	10.69733759	0.536512668	8.267715768	14.78060404
0.596125186	17.90334029	10.69416354	0.596125186	8.264490909	14.77960917
0.655737705	17.89046927	10.69618056	0.655737705	8.264953902	14.77962351
0.715350224	17.89305627	10.69562202	0.715350224	8.263956325	14.77975349
0.774962742	17.88700176	10.69635847	0.774962742	8.263123477	14.77985151
0.834575261	17.87892894	10.69374365	0.834575261	8.266043881	14.77974782
0.894187779	17.86861819	10.69453673	0.894187779	8.265481761	14.78008615
0.953800298	17.85157322	10.70353271	0.953800298	8.259042038	14.77965266
1.013412817	17.81849238	10.7424891	1.013412817	8.255220835	14.78064993
1.073025335	17.82193101	10.76027107	1.073025335	8.247550508	14.78153529
1.132637854	17.82589076	10.75879385	1.132637854	8.246061463	14.78146456
1.192250373	17.80983794	10.75989938	1.192250373	8.235515851	14.78179992
1.251862891	17.80319206	10.7635422	1.251862891	8.233037678	14.78108867
1.31147541	17.79258937	10.76331291	1.31147541	8.230195073	14.77971763
1.371087928	17.78000348	10.76827528	1.371087928	8.192213332	14.78060392
1.430700447	17.78533722	10.76194796	1.430700447	8.175031253	14.78186695
1.490312966	17.78338216	10.76085909	1.490312966	8.156389418	14.78546234
1.549925484	17.78798836	10.75640647	1.549925484	8.129862139	14.78487352
1.609538003	17.76863186	10.76083946	1.609538003	8.098232207	14.78920821
1.669150522	17.69966792	10.76050656	1.669150522	8.075251925	14.80073079
1.72876304	17.64716827	10.75717237	1.72876304	8.088110238	14.81354676
1.788375559	17.63888508	10.73145844	1.788375559	8.085006629	14.802572
1.847988077	17.71253486	10.66471923	1.847988077	8.089219197	14.78920604
1.907600596	17.69361842	10.65732088	1.907600596	8.112312459	14.78697183
1.967213115	17.66416055	10.67354117	1.967213115	8.113278555	14.78865449
2.026825633	17.65617803	10.69903586	2.026825633	8.103410371	14.78756292
2.086438152	17.65917791	10.71871901	2.086438152	8.109324239	14.78631148
2.146050671	17.65979261	10.72278828	2.146050671	8.097115874	14.78634034
2.205663189	17.64759368	10.72843026	2.205663189	8.112832077	14.78378584
2.265275708	17.65615658	10.73085354	2.265275708	8.109254315	14.78317757
2.324888227	17.66109158	10.72920683	2.324888227	8.110965727	14.78092922
2.384500745	17.66227154	10.72336844	2.384500745	8.112088761	14.77928623
2.444113264	17.66018076	10.70005339	2.444113264	8.10914812	14.77590869
2.503725782	17.64796951	10.72783419	2.503725782	8.11400804	14.77683595
2.563338301	17.63794544	10.74116455	2.563338301	8.110825257	14.77788937
2.62295082	17.6325306	10.76788936	2.62295082	8.111654133	14.77857529
2.682563338	17.62843821	10.77720866	2.682563338	8.103403136	14.77893205
2.742175857	17.62067875	10.78798631	2.742175857	8.105685145	14.77800474
2.801788376	17.60867591	10.79413879	2.801788376	8.110889201	14.77703887
2.861400894	17.60961319	10.79512501	2.861400894	8.10697348	14.77725853
2.921013413	17.61815823	10.78417612	2.921013413	8.110526485	14.77566861
2.980625931	17.62948806	10.78117009	2.980625931	8.109137244	14.77560891
3.04023845	17.62165443	10.79394617	3.04023845	8.115076629	14.77536659
3.099850969	17.61093192	10.80061105	3.099850969	8.105441187	14.77510482
3.159463487	17.62394834	10.81179395	3.159463487	8.103205744	14.77551161
3.219076006	17.63036439	10.82099291	3.219076006	8.09678554	14.77792234
3.278688525	17.6351517	10.83250662	3.278688525	8.101476711	14.77587335
3.338301043	17.63572835	10.83707358	3.338301043	8.102380877	14.77477498
3.397913562	17.64248185	10.82530613	3.397913562	8.10448627	14.7762682
3.45752608	17.64285558	10.82137373	3.45752608	8.100175135	14.77608595
3.517138599	17.64592306	10.816372	3.517138599	8.105433526	14.77487744
3.576751118	17.64478012	10.82163406	3.576751118	8.101878959	14.77467308
3.636363636	17.64344131	10.83085928	3.636363636	8.102342842	14.77227759
3.695976155	17.6410965	10.83736531	3.695976155	8.106098458	14.77251242
3.755588674	17.64206097	10.83973776	3.755588674	8.105686584	14.7751099
3.815201192	17.64413769	10.83961576	3.815201192	8.105280079	14.77442383
3.874813711	17.64748058	10.83969167	3.874813711	8.104317164	14.77420796
3.93442623	17.63832758	10.83726592	3.93442623	8.097775079	14.77493495
3.994038748	17.64662625	10.83547846	3.994038748	8.09792717	14.77444591
4.053651267	17.64795584	10.83290913	4.053651267	8.101658586	14.77224858
4.113263785	17.65540664	10.82570927	4.113263785	8.108027595	14.7725866
4.172876304	17.69121008	10.8123833	4.172876304	8.102287963	14.77240369
4.232488823	17.70043129	10.82049675	4.232488823	8.108283994	14.77243567
4.292101341	17.6660166	10.82585322	4.292101341	8.102048335	14.7712883
4.35171386	17.6467016	10.8320988	4.35171386	8.098880588	14.77361329
4.411326379	17.64329928	10.83664477	4.411326379	8.108300329	14.77409273
4.470938897	17.64097409	10.83711757	4.470938897	8.099062791	14.77486448
4.530551416	17.64255955	10.83653234	4.530551416	8.100108951	14.77512491
4.590163934	17.6451042	10.83611716	4.590163934	8.101455706	14.77464266
4.649776453	17.64586439	10.83570274	4.649776453	8.104362027	14.77506867
4.709388972	17.64929014	10.83403921	4.709388972	8.101037349	14.77276809
4.76900149	17.65322174	10.83256283	4.76900149	8.097043815	14.77466116
4.828614009	17.64983864	10.83039364	4.828614009	8.101824015	14.7748592
4.888226528	17.64832999	10.83396295	4.888226528	8.099298781	14.77522843
4.947839046	17.64958713	10.83569344	4.947839046	8.099564163	14.77493711
