SOLfas2MM			SOLextMM		
t	x	y	t	x	y
2.123725765	-6.41468249	8.124217874	2.123725765	25.02051064	14.40115584
2.148710774	-6.418162609	8.125869761	2.148710774	25.02175782	14.40176872
2.173695783	-6.51827935	8.128186067	2.173695783	25.01790011	14.40157844
2.198680792	-6.53555138	8.129172301	2.198680792	25.02370407	14.40053223
2.223665801	-6.562678809	8.136962724	2.223665801	25.04093169	14.39664256
2.24865081	-6.681064352	8.13104714	2.24865081	25.02956791	14.39417715
2.273635819	-6.692096259	8.12814776	2.273635819	25.025722	14.39451185
2.298620828	-6.737652414	8.124928511	2.298620828	25.01811867	14.39351919
2.323605836	-6.750210621	8.134786438	2.323605836	25.0319343	14.39393595
2.348590845	-6.831659883	8.133722126	2.348590845	25.04856508	14.39363651
2.373575854	-6.869019473	8.13153864	2.373575854	25.04511686	14.395809
2.398560863	-6.915234702	8.117028966	2.398560863	25.04922405	14.39294817
2.423545872	-6.975230059	8.125724133	2.423545872	25.02505466	14.39138877
2.448530881	-7.032142874	8.121096972	2.448530881	25.01957938	14.39096835
2.47351589	-7.029855326	8.121703619	2.47351589	25.00087111	14.3890459
2.498500899	-7.068252775	8.117826092	2.498500899	24.99602312	14.38928087
2.523485908	-7.067525496	8.112277554	2.523485908	24.99878678	14.38920996
2.548470917	-7.083682491	8.109582564	2.548470917	24.99462223	14.38828742
2.573455926	-7.086446919	8.10578319	2.573455926	24.99503048	14.39068759
2.598440935	-7.085083879	8.109526167	2.598440935	24.99559169	14.3921705
2.623425944	-7.165377029	8.109503178	2.623425944	24.98956035	14.39301147
2.648410953	-7.213066098	8.114385152	2.648410953	24.99247395	14.39157596
2.673395962	-7.209690687	8.111688579	2.673395962	24.99198723	14.39337531
2.698380971	-7.201915187	8.110980944	2.698380971	24.99836797	14.39907297
2.72336598	-7.220024772	8.117140913	2.72336598	24.9906456	14.39635118
2.748350989	-7.240555637	8.117802633	2.748350989	24.99450706	14.39713563
2.773335998	-7.303225335	8.120686863	2.773335998	24.99597056	14.39899504
2.798321007	-7.354700108	8.121807217	2.798321007	25.00114642	14.3990889
2.823306016	-7.365304071	8.120551065	2.823306016	25.0063396	14.39962221
2.848291025	-7.38440038	8.122021682	2.848291025	25.01259265	14.39691156
2.873276034	-7.448050728	8.119538145	2.873276034	24.99521888	14.39321895
2.898261043	-7.446425596	8.117747285	2.898261043	24.99584061	14.39214194
2.923246052	-7.461016565	8.119317274	2.923246052	24.99793034	14.39249723
2.948231061	-7.531505163	8.121532213	2.948231061	24.95651337	14.40010154
2.97321607	-7.599739613	8.124878498	2.97321607	24.95886246	14.39151146
2.998201079	-7.700416392	8.121638829	2.998201079	24.88554515	14.39346892
3.023186088	-7.699596499	8.120685002	3.023186088	24.87957605	14.39496371
3.048171097	-7.706341619	8.123197349	3.048171097	24.85450891	14.39328513
3.073156106	-7.747927134	8.120652208	3.073156106	24.85329515	14.39508506
3.098141115	-7.781714223	8.118202362	3.098141115	24.8635116	14.39495289
3.123126124	-7.817881618	8.111939912	3.123126124	24.87385661	14.39303018
3.148111133	-7.830267538	8.112158897	3.148111133	24.88824986	14.39183737
3.173096142	-7.875313912	8.112696775	3.173096142	24.89094655	14.39024374
3.198081151	-7.956851621	8.115938216	3.198081151	24.91993809	14.38648302
3.22306616	-7.97758128	8.112145089	3.22306616	24.88117719	14.38240403
3.248051169	-8.046382892	8.11131353	3.248051169	24.76917284	14.38509272
3.273036178	-8.075310086	8.109816887	3.273036178	24.77717776	14.3889354
3.298021187	-8.15303476	8.112905944	3.298021187	24.74969152	14.38117891
3.323006196	-8.198732373	8.111526598	3.323006196	24.69566537	14.246607
3.347991205	-8.211389961	8.109428045	3.347991205	24.7197002	14.24453156
3.372976214	-8.203061581	8.114736496	3.372976214	24.7089385	14.23984624
3.397961223	-8.186655301	8.115941886	3.397961223	24.72332528	14.24007538
3.422946232	-8.29866188	8.111630729	3.422946232	24.6772286	14.22936205
3.447931241	-8.326063378	8.113402026	3.447931241	24.66783017	14.23903377
3.47291625	-8.369851556	8.114244256	3.47291625	24.65052674	14.2169877
3.497901259	-8.488041978	8.113260032	3.497901259	24.63307873	14.17194048
3.522886268	-8.511353848	8.111108789	3.522886268	24.63722587	14.1717628
3.547871277	-8.566208434	8.111930422	3.547871277	24.63739605	14.17815948
3.572856286	-8.594854118	8.106834798	3.572856286	24.63099666	14.17355488
3.597841295	-8.611608048	8.111943222	3.597841295	24.62271908	14.16170188
