GMfasBetter			GMext		
t	x	y	t	x	y
2.9146793850	-0.3782199865	2.9618088300	2.9146793850	26.3327448300	15.9885647800
2.9387676450	-0.3950656312	2.9731157420	2.9387676450	26.3325928900	15.9887440900
2.9628559040	-0.5003861664	2.9826068470	2.9628559040	26.3323330100	15.9882029800
2.9869441630	-0.5716568865	2.9871304410	2.9869441630	26.3321517600	15.9882175600
3.0110324230	-0.6171304596	2.9918924240	3.0110324230	26.3324881900	15.9885005900
3.0351206820	-0.7077764107	2.9923010630	3.0351206820	26.3318262200	15.9877700300
3.0592089420	-0.8515276944	3.0058194080	3.0592089420	26.3330280500	15.9873276400
3.0832972010	-0.8903126175	3.0119421750	3.0832972010	26.3325696800	15.9878460600
3.1073854600	-1.0464534670	3.0133903390	3.1073854600	26.3332309100	15.9870910900
3.1314737200	-1.1135253990	3.0151713130	3.1314737200	26.3318345500	15.9871914100
3.1555619790	-1.2029596050	3.0149028530	3.1555619790	26.3324874600	15.9876733200
3.1796502380	-1.2780233400	3.0000224480	3.1796502380	26.3329946100	15.9875832900
3.2037384980	-1.4738380210	3.0073221880	3.2037384980	26.3328389400	15.9873958900
3.2278267570	-1.5664974570	3.0104992310	3.2278267570	26.3311759100	15.9875884100
3.2519150170	-1.6045679910	3.0163096920	3.2519150170	26.3312683100	15.9880954700
3.2760032760	-1.7095257780	3.0228060980	3.2760032760	26.3299227400	15.9884781200
3.3000915350	-1.8050797270	3.0264113930	3.3000915350	26.3306853600	15.9882033700
3.3241797950	-1.8611161170	3.0322429710	3.3241797950	26.3300722600	15.9882375100
3.3482680540	-1.9920507550	3.0408342940	3.3482680540	26.3307412600	15.9879550700
3.3723563140	-2.0698632980	3.0499587410	3.3723563140	26.3295022300	15.9881629000
3.3964445730	-2.1679412980	3.0594757110	3.3964445730	26.3294827600	15.9876876500
3.4205328320	-2.3079214550	3.0785575580	3.4205328320	26.3296610600	15.9880318200
3.4446210920	-2.4123832530	3.0865043040	3.4446210920	26.3301251000	15.9882536600
3.4687093510	-2.5086935490	3.0882305230	3.4687093510	26.3292917500	15.9882780100
3.4927976100	-2.6697348470	3.1015102190	3.4927976100	26.3296092800	15.9888481300
3.5168858700	-2.8216571790	3.1091830630	3.5168858700	26.3295198100	15.9886741100
3.5409741290	-2.8880439420	3.1142383040	3.5409741290	26.3301230400	15.9890701600
3.5650623890	-3.1526729070	3.1311371800	3.5650623890	26.3285284700	15.9886926600
3.5891506480	-3.2605283100	3.1257960090	3.5891506480	26.3304458700	15.9884583300
3.6132389070	-3.4002705880	3.1316328040	3.6132389070	26.3284334500	15.9887808700
3.6373271670	-3.5047467430	3.1310991220	3.6373271670	26.3280772800	15.9887270100
3.6614154260	-3.6075104840	3.1283751860	3.6614154260	26.3299160400	15.9888038000
3.6855036860	-3.6964708530	3.1357168110	3.6855036860	26.3297397000	15.9887533800
3.7095919450	-3.8277829670	3.1490847230	3.7095919450	26.3297034800	15.9887482100
3.7336802040	-3.9096722570	3.1575934110	3.7336802040	26.3302191400	15.9893809800
3.7577684640	-4.0707246250	3.1808857080	3.7577684640	26.3306699300	15.9897743700
3.7818567230	-4.1621667840	3.1976428360	3.7818567230	26.3308447600	15.9894472900
3.8059449820	-4.1957691610	3.2031351260	3.8059449820	26.3305645400	15.9894513600
3.8300332420	-4.2739621560	3.2091929480	3.8300332420	26.3303655100	15.9896913100
3.8541215010	-4.3553049480	3.2143352470	3.8541215010	26.3302530100	15.9901363300
3.8782097610	-4.4752347900	3.2268896180	3.8782097610	26.3300859500	15.9899025400
3.9022980200	-4.6698529010	3.2453289230	3.9022980200	26.3296602200	15.9899453000
3.9263862790	-4.8068420720	3.2608081600	3.9263862790	26.3296188100	15.9901565500
3.9504745390	-5.0104204270	3.2791633040	3.9504745390	26.3310832200	15.9895830300
3.9745627980	-5.1099228920	3.2923955930	3.9745627980	26.3296952100	15.9899023500
3.9986510570	-5.1650899490	3.2998497330	3.9986510570	26.3298227600	15.9899459400
4.0227393170	-5.3639891520	3.3221334640	4.0227393170	26.3299495500	15.9910382200
4.0468275760	-5.4460313890	3.3285814100	4.0468275760	26.3283690800	15.9911538300
4.0709158360	-5.5257476680	3.3349336630	4.0709158360	26.3283536400	15.9906902900
4.0950040950	-5.5624702770	3.3390239760	4.0950040950	26.3278796300	15.9920289400
4.1190923540	-5.6709922490	3.3497126530	4.1190923540	26.3280549800	15.9903089600
4.1431806140	-5.8463568420	3.3579124610	4.1431806140	26.3263849600	15.9919082200
4.1672688730	-5.9064100950	3.3635844370	4.1672688730	26.3263030300	15.9915461100
4.1913571330	-5.9779079580	3.3709229020	4.1913571330	26.3256105500	15.9907510900
4.2154453920	-6.0736062680	3.3814555420	4.2154453920	26.3258754400	15.9907903800
4.2395336510	-6.1370984830	3.3904163540	4.2395336510	26.3256826500	15.9915022000
4.2636219110	-6.2183679270	3.4045554590	4.2636219110	26.3262041900	15.9915028600
4.2877101700	-6.3123417940	3.4110224210	4.2877101700	26.3260995300	15.9910431800
4.3117984290	-6.3591776520	3.4168586240	4.3117984290	26.3271844300	15.9910124100
4.3358866890	-6.5420079290	3.4326904380	4.3358866890	26.3254922800	15.9915358400
4.3599749480	-6.7679658980	3.4470597750	4.3599749480	26.3254407400	15.9925142400
4.3840632080	-6.8282594200	3.4513385030	4.3840632080	26.3271679000	15.9916609600
4.4081514670	-6.9427262300	3.4648353870	4.4081514670	26.3260093100	15.9920000500
4.4322397260	-7.0996068610	3.4845127110	4.4322397260	26.3246395100	15.9940266700
4.4563279860	-7.1552458320	3.4818826330	4.4563279860	26.3240904900	15.9931302300
4.4804162450	-7.2015822160	3.4936342150	4.4804162450	26.3244798600	15.9933185000
4.5045045050	-7.2657957220	3.5000750410	4.5045045050	26.3249077200	15.9929054600
4.5285927640	-7.4342637430	3.5101162210	4.5285927640	26.3244106700	15.9932629800
4.5526810230	-7.5255921780	3.5235494340	4.5526810230	26.3248252000	15.9928859800
4.5767692830	-7.6011392930	3.5377492690	4.5767692830	26.3249717900	15.9930768000
4.6008575420	-7.7547629840	3.5582682590	4.6008575420	26.3251788800	15.9936286100
4.6249458010	-7.8770384000	3.5804582750	4.6249458010	26.3263087300	15.9936358900
4.6490340610	-7.9739399750	3.5996484860	4.6490340610	26.3255551800	15.9946673700
4.6731223200	-8.0690264450	3.6202725780	4.6731223200	26.3264148300	15.9943502600
4.6972105800	-8.2246051750	3.6454983280	4.6972105800	26.3278028700	15.9947785300
4.7212988390	-8.3209242430	3.6480598540	4.7212988390	26.3272415100	15.9947822700
4.7453870980	-8.4243328130	3.6633963280	4.7453870980	26.3272715700	15.9962175000
4.7694753580	-8.4310709840	3.6526502690	4.7694753580	26.3274430900	15.9946173600
4.7935636170	-8.4304373210	3.6439484710	4.7935636170	26.3266819800	15.9934498700
4.8176518760	-8.4276583180	3.6434973990	4.8176518760	26.3283396200	15.9926811600
4.8417401360	-8.4276365080	3.6392689850	4.8417401360	26.3269090700	15.9925312300
4.8658283950	-8.4342286490	3.6342688720	4.8658283950	26.3275937700	15.9929296800
4.8899166550	-8.4324216700	3.6347624130	4.8899166550	26.3276770600	15.9917927500
4.9140049140	-8.4312515620	3.6319900820	4.9140049140	26.3276334900	15.9920124000
4.9380931730	-8.4268143720	3.6306537610	4.9380931730	26.3278060000	15.9914780100
4.9621814330	-8.4204721800	3.6247119160	4.9621814330	26.3273972000	15.9912338700
4.9862696920	-8.4134372310	3.6248530640	4.9862696920	26.3271033300	15.9915874100
5.0103579520	-8.4148926500	3.6229106080	5.0103579520	26.3273616200	15.9909482900
5.0344462110	-8.4199340210	3.6256531440	5.0344462110	26.3275436400	15.9905615300
5.0585344700	-8.4250465890	3.6305844240	5.0585344700	26.3275898000	15.9912776000
5.0826227300	-8.4197666730	3.6288034100	5.0826227300	26.3277183900	15.9905921200
5.1067109890	-8.4198535410	3.6281447600	5.1067109890	26.3276064300	15.9901462400
5.1307992480	-8.4175139030	3.6274632900	5.1307992480	26.3276207600	15.9899102900
5.1548875080	-8.4174949470	3.6299823400	5.1548875080	26.3280219600	15.9901301800
5.1789757670	-8.4177961710	3.6282993700	5.1789757670	26.3278837000	15.9896457400
5.2030640270	-8.4169093560	3.6263991520	5.2030640270	26.3278158300	15.9898691500
5.2271522860	-8.4185859040	3.6295628580	5.2271522860	26.3274019100	15.9902400700
5.2512405450	-8.4190296460	3.6300044230	5.2512405450	26.3278352200	15.9897471900
5.2753288050	-8.4015691250	3.6241534850	5.2753288050	26.3276129200	15.9893941300
5.2994170640	-8.4085951450	3.6259029140	5.2994170640	26.3276177300	15.9890351100
5.3235053240	-8.3499136190	3.6168641160	5.3235053240	26.3269833200	15.9877552300
5.3475935830	-8.2828899490	3.6037483490	5.3475935830	26.3272670800	15.9865212500
5.3716818420	-8.2484756220	3.5926891360	5.3716818420	26.3264988600	15.9860821200
5.3957701020	-8.2547420630	3.5987951380	5.3957701020	26.3265440700	15.9869521300
5.4198583610	-8.2432021310	3.6030524060	5.4198583610	26.3268301500	15.9874171900
5.4439466200	-8.1704426980	3.5909052040	5.4439466200	26.3277956500	15.9863551100
5.4680348800	-8.1498995870	3.5854602120	5.4680348800	26.3277123500	15.9850992000
5.4921231390	-8.1214972560	3.5870390350	5.4921231390	26.3272008300	15.9857023200
5.5162113990	-8.1021767240	3.5921384940	5.5162113990	26.3278498400	15.9870160200
5.5402996580	-8.0917202200	3.5935574260	5.5402996580	26.3283432600	15.9865642900
5.5643879170	-8.0770134110	3.5905672160	5.5643879170	26.3273951000	15.9877851100
5.5884761770	-8.0662317910	3.5910383650	5.5884761770	26.3277606000	15.9881248500
5.6125644360	-8.0577509610	3.5933189580	5.6125644360	26.3282785100	15.9875285400
5.6366526950	-8.0325087640	3.5905748490	5.6366526950	26.3276414000	15.9883690500
5.6607409550	-8.0369040030	3.5914636930	5.6607409550	26.3285186000	15.9882790000
5.6848292140	-8.0377949490	3.5893634720	5.6848292140	26.3278900500	15.9878671900
5.7089174740	-8.0323693110	3.5906263190	5.7089174740	26.3279281600	15.9882703100
5.7330057330	-7.9824119670	3.5862800590	5.7330057330	26.3275626400	15.9880979400
5.7570939920	-7.9612932830	3.5835204840	5.7570939920	26.3277063800	15.9882311300
5.7811822520	-7.9760048180	3.5845166830	5.7811822520	26.3270218600	15.9892509100
5.8052705110	-7.9718871360	3.5863418030	5.8052705110	26.3283487900	15.9884642400
5.8293587710	-7.9659878020	3.5861871240	5.8293587710	26.3286385700	15.9884852800
5.8534470300	-7.9166270110	3.5834316510	5.8534470300	26.3286756300	15.9877460400
5.8775352890	-7.9135832080	3.5836864460	5.8775352890	26.3282878900	15.9884321900
5.9016235490	-7.8984035700	3.5816111180	5.9016235490	26.3286904900	15.9882396600
5.9257118080	-7.8634728320	3.5755539320	5.9257118080	26.3282494300	15.9883722300
5.9498000670	-7.8407417950	3.5748389930	5.9498000670	26.3283597400	15.9890609700
5.9738883270	-7.8418493210	3.5764252020	5.9738883270	26.3287724700	15.9883788100
5.9979765860	-7.8360097520	3.5784547900	5.9979765860	26.3295763000	15.9882070100
6.0220648460	-7.7703394650	3.5684517260	6.0220648460	26.3287910400	15.9883899600
6.0461531050	-7.7229680410	3.5611316960	6.0461531050	26.3287056100	15.9881911700
6.0702413640	-7.7072393650	3.5538584270	6.0702413640	26.3284502100	15.9886805700
6.0943296240	-7.6351325580	3.5515328510	6.0943296240	26.3294863400	15.9874077900
6.1184178830	-7.5869511420	3.5515010240	6.1184178830	26.3281998900	15.9881515800
6.1425061430	-7.5022776530	3.5479203110	6.1425061430	26.3283519600	15.9880811800
6.1665944020	-7.4892274540	3.5469539900	6.1665944020	26.3289157000	15.9878542100
6.1906826610	-7.4679495790	3.5437994860	6.1906826610	26.3289835000	15.9886725400
6.2147709210	-7.4576851120	3.5436278230	6.2147709210	26.3287703000	15.9886393800
6.2388591800	-7.3767729390	3.5583735430	6.2388591800	26.3293885900	15.9883346700
6.2629474390	-7.3751791060	3.5504474220	6.2629474390	26.3303600800	15.9883186000
6.2870356990	-7.3776151880	3.5420242610	6.2870356990	26.3298293800	15.9889455100
6.3111239580	-7.3451197600	3.5353842620	6.3111239580	26.3298319700	15.9896040500
6.3352122180	-7.3012643710	3.5267812540	6.3352122180	26.3288594600	15.9897894900
6.3593004770	-7.2639975010	3.5214634120	6.3593004770	26.3288968400	15.9896460000
6.3833887360	-7.1617626190	3.5160788390	6.3833887360	26.3296129100	15.9892962800
6.4074769960	-6.9431776200	3.5143305240	6.4074769960	26.3281107200	15.9890470100
6.4315652550	-6.8269750870	3.5092271190	6.4315652550	26.3285054300	15.9884187300
6.4556535140	-6.7680420500	3.4984364460	6.4556535140	26.3288718100	15.9885708500
6.4797417740	-6.2961992990	3.4702583140	6.4797417740	26.3275647300	15.9865357500
			6.5038300330	26.3279664900	15.9825465800
			6.5279182930	26.3259924600	15.9828556700
			6.5520065520	26.3272421700	15.9838256200
			6.5760948110	26.3275535700	15.9830560200
			6.6001830710	26.3296389500	15.9837076400
			6.6242713300	26.3293715500	15.9862980300
			6.6483595900	26.3305958100	15.9835557800
			6.6724478490	26.3277868300	15.9833817600
			6.6965361080	26.3209879300	15.9895305700
			6.7206243680	26.3271065900	15.9908662500
			6.7447126270	26.3321304800	15.9881579700
			6.7688008860	26.3285510800	15.9892516900
			6.7928891460	26.3204655000	15.9912773900
			6.8169774050	26.3244759600	15.9899320500
			6.8410656650	26.3278853100	15.9901207100
			6.8651539240	26.3263069800	15.9925851900
			6.8892421830	26.3120675300	15.9949672100
			6.9133304430	26.3024608800	15.9979644200
					
					
					
					
