CALbump			CALextskinUSED		
t	x	y	t	x	y
0.000000000000	8.610631902000	8.192640062000	0.000	-12.99118638	14.71331276
0.059612518630	8.611262209000	8.193319492000	0.05961251863	-12.99170644	14.71268568
0.119225037300	8.611670762000	8.193963350000	0.1192250373	-12.99189053	14.71264893
0.178837555900	8.611260328000	8.194427260000	0.1788375559	-12.99204362	14.71254005
0.238450074500	8.610684963000	8.195369966000	0.2384500745	-12.99064486	14.71282272
0.298062593100	8.610121445000	8.193950271000	0.2980625931	-12.99186443	14.71265539
0.357675111800	8.608835801000	8.194803082000	0.3576751118	-12.99247969	14.71272467
0.417287630400	8.604916830000	8.193397807000	0.4172876304	-12.99148169	14.71256231
0.476900149000	8.606832979000	8.194335594000	0.476900149	-12.99263507	14.71278607
0.536512667700	8.606167084000	8.194351080000	0.5365126677	-12.99182849	14.71256945
0.596125186300	8.606434262000	8.199629843000	0.5961251863	-12.99036182	14.71263123
0.655737704900	8.604086438000	8.194330947000	0.6557377049	-12.99202855	14.71267126
0.715350223500	8.601993163000	8.192736102000	0.7153502235	-12.99120465	14.71253846
0.774962742200	8.597239703000	8.195278115000	0.7749627422	-12.99203043	14.71253627
0.834575260800	8.593225662000	8.192250182000	0.8345752608	-12.99221603	14.71252309
0.894187779400	8.591011373000	8.194505128000	0.8941877794	-12.99192975	14.71250229
0.953800298100	8.588026748000	8.198164786000	0.9538002981	-12.99136083	14.71236602
1.013412817000	8.580903402000	8.209650539000	1.013412817	-12.99185399	14.71271718
1.073025335000	8.590276827000	8.254179202000	1.073025335	-12.99208194	14.71258539
1.132637854000	8.570565660000	8.273815027000	1.132637854	-12.99516995	14.71222098
1.192250373000	8.548723193000	8.279383371000	1.192250373	-12.99691964	14.71168626
1.251862891000	8.490539073000	8.271322089000	1.251862891	-13.00268334	14.71159331
1.311475410000	8.479146519000	8.282249367000	1.31147541	-12.99963404	14.71050639
1.371087928000	8.481482324000	8.275061751000	1.371087928	-12.99633842	14.70942187
1.430700447000	8.475436469000	8.287773661000	1.430700447	-13.0004947	14.70851369
1.490312966000	8.463084594000	8.330182454000	1.490312966	-13.02478006	14.72001508
1.549925484000	8.434988201000	8.349934411000	1.549925484	-13.04454267	14.72014784
1.609538003000	8.434349652000	8.407264332000	1.609538003	-13.04239083	14.71423532
1.669150522000	8.415436830000	8.431448251000	1.669150522	-13.07484567	14.7117181
1.728763040000	8.390902565000	8.436169810000	1.72876304	-13.10993839	14.71584312
1.788375559000	8.429353370000	8.441618859000	1.788375559	-13.12355433	14.71473966
1.847988077000	8.433812063000	8.455444557000	1.847988077	-13.12254944	14.71404807
1.907600596000	8.436645469000	8.458350166000	1.907600596	-13.12663698	14.71359724
1.967213115000	8.436666571000	8.470445445000	1.967213115	-13.13143201	14.71398542
2.026825633000	8.402785436000	8.442792231000	2.026825633	-13.1342746	14.71390455
2.086438152000	8.424141933000	8.430558479000	2.086438152	-13.13189779	14.7131414
2.146050671000	8.436046011000	8.448949573000	2.146050671	-13.13478468	14.71218981
2.205663189000	8.413301197000	8.450028324000	2.205663189	-13.13362932	14.71270598
2.265275708000	8.409703926000	8.458252771000	2.265275708	-13.13735529	14.71335364
2.324888227000	8.435988967000	8.478838524000	2.324888227	-13.13541602	14.71305058
2.384500745000	8.422418333000	8.486942507000	2.384500745	-13.13941363	14.71342346
2.444113264000	8.407513475000	8.490427273000	2.444113264	-13.1383627	14.71325818
2.503725782000	8.403289311000	8.492885809000	2.503725782	-13.14177574	14.7136215
2.563338301000	8.391779270000	8.494553690000	2.563338301	-13.13838612	14.71288728
2.622950820000	8.385325844000	8.495697204000	2.62295082	-13.14107969	14.71335998
2.682563338000	8.385781868000	8.494781087000	2.682563338	-13.1417911	14.71354717
2.742175857000	8.392516471000	8.500602663000	2.742175857	-13.14594105	14.71288111
2.801788376000	8.393368191000	8.507779414000	2.801788376	-13.1482197	14.71265396
2.861400894000	8.396767816000	8.505768135000	2.861400894	-13.14707011	14.71282804
2.921013413000	8.385950840000	8.516850825000	2.921013413	-13.14700825	14.7124233
2.980625931000	8.384613820000	8.514185732000	2.980625931	-13.14415983	14.71260806
3.040238450000	8.388163085000	8.504519006000	3.04023845	-13.14605495	14.712331
3.099850969000	8.389329301000	8.501299377000	3.099850969	-13.14362984	14.71198326
3.159463487000	8.390807722000	8.492470569000	3.159463487	-13.14721195	14.71163618
3.219076006000	8.383967359000	8.492013581000	3.219076006	-13.14579807	14.71251144
3.278688525000	8.359261724000	8.480958467000	3.278688525	-13.14493685	14.71203009
3.338301043000	8.324458377000	8.481408221000	3.338301043	-13.14697961	14.71128475
3.397913562000	8.264066294000	8.478697276000	3.397913562	-13.14525818	14.71133404
3.457526080000	8.258617084000	8.490929991000	3.45752608	-13.14753177	14.7115005
3.517138599000	8.240059338000	8.491247922000	3.517138599	-13.14556253	14.71020018
3.576751118000	8.234150666000	8.490862397000	3.576751118	-13.14807943	14.71162643
3.636363636000	8.232824169000	8.491697522000	3.636363636	-13.14653599	14.71227133
3.695976155000	8.222531897000	8.468620539000	3.695976155	-13.14562906	14.71231214
3.755588674000	8.205400323000	8.430352280000	3.755588674	-13.14504874	14.71213798
3.815201192000	8.181129846000	8.409001354000	3.815201192	-13.14436983	14.71249694
3.874813711000	8.151076224000	8.396944997000	3.874813711	-13.14349547	14.7131894
3.934426230000	8.107387776000	8.370012446000	3.93442623	-13.14315192	14.7131582
3.994038748000	8.081814493000	8.353410943000	3.994038748	-13.14229958	14.71308237
4.053651267000	8.064919666000	8.346133557000	4.053651267	-13.14095244	14.7124209
4.113263785000	8.055910367000	8.347339399000	4.113263785	-13.14154576	14.71239607
4.172876304000	8.022703557000	8.355223751000	4.172876304	-13.1433593	14.71384814
4.232488823000	8.008487974000	8.355761797000	4.232488823	-13.14255602	14.71233547
4.292101341000	8.002237931000	8.390827940000	4.292101341	-13.14224476	14.71375585
4.351713860000	7.985776815000	8.405712620000	4.35171386	-13.14508232	14.71299711
4.411326379000	7.983827374000	8.409042898000	4.411326379	-13.14453582	14.71348055
4.470938897000	7.971723446000	8.408486308000	4.470938897	-13.14601502	14.71322295
4.530551416000	7.923966547000	8.379620588000	4.530551416	-13.14463579	14.71244271
4.590163934000	7.910992235000	8.374273183000	4.590163934	-13.14533618	14.7134628
4.649776453000	7.912178724000	8.366157929000	4.649776453	-13.14554667	14.71313789
4.709388972000	7.906813114000	8.356023784000	4.709388972	-13.14548171	14.71229875
4.769001490000	7.867336675000	8.343320621000	4.76900149	-13.14545787	14.71300513
4.828614009000	7.854409630000	8.336324197000	4.828614009	-13.14501144	14.71294512
4.888226528000	7.829123868000	8.333409705000	4.888226528	-13.14415043	14.71251566
4.947839046000	7.812607457000	8.336259516000	4.947839046	-13.14564554	14.71283924
5.007451565000	7.797965662000	8.335120312000	5.007451565	-13.14647424	14.7124604
5.067064083000	7.785837462000	8.333553807000	5.067064083	-13.14624616	14.71350245
5.126676602000	7.775905389000	8.331865424000	5.126676602	-13.1466563	14.71312877
5.186289121000	7.775047226000	8.321669582000	5.186289121	-13.1471765	14.71245722
5.245901639000	7.761783772000	8.339274207000	5.245901639	-13.14677938	14.71366282
5.305514158000	7.733061447000	8.332396900000	5.305514158	-13.1489518	14.7132579
5.365126677000	7.686934806000	8.336413054000	5.365126677	-13.15038923	14.71322084
5.424739195000	7.685871249000	8.345925411000	5.424739195	-13.15260121	14.71319166
5.484351714000	7.707153272000	8.325596599000	5.484351714	-13.14990803	14.71269419
5.543964232000	7.699264853000	8.332293312000	5.543964232	-13.15039656	14.71310189
5.603576751000	7.697416394000	8.335295825000	5.603576751	-13.15217275	14.71303608
5.663189270000	7.693128290000	8.335687089000	5.66318927	-13.15016132	14.71243931
5.722801788000	7.694509007000	8.333893399000	5.722801788	-13.15066765	14.71207788
5.782414307000	7.686374471000	8.337115738000	5.782414307	-13.1502557	14.71173117
5.842026826000	7.682990069000	8.350144520000	5.842026826	-13.14991371	14.71282515
5.901639344000	7.659324941000	8.358880999000	5.901639344	-13.15173844	14.71291385
5.961251863000	7.656946513000	8.367846264000	5.961251863	-13.15362928	14.71259826
6.020864382000	7.669363889000	8.390389211000	6.020864382	-13.15028799	14.71292998
6.080476900000	7.640172684000	8.352349600000	6.0804769	-13.15212129	14.71057491
6.140089419000	7.625243459000	8.350071865000	6.140089419	-13.15419659	14.7127441
6.199701937000	7.625549349000	8.346266409000	6.199701937	-13.1529504	14.71189167
6.259314456000	7.610087387000	8.352625708000	6.259314456	-13.15156808	14.71234746
6.318926975000	7.611503336000	8.345067778000	6.318926975	-13.15631057	14.71283423
6.378539493000	7.599096327000	8.345557960000	6.378539493	-13.16376905	14.71354207
6.438152012000	7.603460734000	8.344156763000	6.438152012	-13.15989231	14.71400631
6.497764531000	7.557699009000	8.343766125000	6.497764531	-13.15649398	14.71426127
6.557377049000	7.527478747000	8.346876635000	6.557377049	-13.14905594	14.71477061
6.616989568000	7.535491792000	8.347356851000	6.616989568	-13.14902203	14.71522961
6.676602086000	7.544817502000	8.348720695000	6.676602086	-13.14545178	14.71498255
6.736214605000	7.543514693000	8.337693123000	6.736214605	-13.14354667	14.71668114
6.795827124000	7.531151784000	8.328821393000	6.795827124	-13.14245593	14.71773329
6.855439642000	7.492634312000	8.332060043000	6.855439642	-13.14694066	14.71816031
6.915052161000	7.453190794000	8.347488057000	6.915052161	-13.16392155	14.7222248
6.974664680000	7.413847012000	8.363649333000	6.97466468	-13.16609245	14.71718451
7.034277198000	7.440317914000	8.392920733000	7.034277198	-13.16084613	14.70861086
7.093889717000	7.411510747000	8.404033233000	7.093889717	-13.14708009	14.70744991
7.153502235000	7.400720347000	8.406282385000	7.153502235	-13.1558496	14.71531736
7.213114754000	7.386876089000	8.411626842000	7.213114754	-13.15577245	14.71024282
7.272727273000	7.385291859000	8.408409261000	7.272727273	-13.1697734	14.70377415
7.332339791000	7.376144634000	8.417586404000	7.332339791	-13.16890036	14.70408869
7.391952310000	7.376645702000	8.421326367000	7.39195231	-13.16144152	14.70598715
7.451564829000	7.378837409000	8.439042302000	7.451564829	-13.15757492	14.71242387
7.511177347000	7.382267472000	8.441074239000	7.511177347	-13.1577798	14.71321814
7.570789866000	7.372022814000	8.449644627000	7.570789866	-13.16724776	14.7237032
7.630402385000	7.361332923000	8.441603031000	7.630402385	-13.171051	14.72605875
7.690014903000	7.367292275000	8.456796630000	7.690014903	-13.17001793	14.72836521
7.749627422000	7.367964480000	8.457090886000	7.749627422	-13.17967236	14.72303335
7.809239940000	7.351479473000	8.460389248000	7.80923994	-13.17503927	14.71842667
7.868852459000	7.329463448000	8.485112602000	7.868852459	-13.17468459	14.71497635
7.928464978000	7.325570377000	8.489492667000	7.928464978	-13.17855225	14.70929505
7.988077496000	7.328978000000	8.494657053000	7.988077496	-13.21863097	14.70657257
8.047690015000	7.315048970000	8.499988185000	8.047690015	-13.22054493	14.71575285
8.107302534000	7.299129887000	8.494829564000	8.107302534	-13.25414389	14.71792123
8.166915052000	7.319411286000	8.486802086000	8.166915052	-13.29361927	14.7164792
8.226527571000	7.318827559000	8.473653309000	8.226527571	-13.29087119	14.71803044
8.286140089000	7.317395384000	8.484112255000	8.286140089	-13.29653128	14.71686079
8.345752608000	7.310225541000	8.495342196000	8.345752608	-13.29825562	14.71654037
8.405365127000	7.286109782000	8.500385124000	8.405365127	-13.30198013	14.71598203
8.464977645000	7.275492906000	8.503167606000	8.464977645	-13.3030306	14.71603245
8.524590164000	7.279976998000	8.498419592000	8.524590164	-13.30130167	14.71673006
8.584202683000	7.253271278000	8.500319391000	8.584202683	-13.30201406	14.71626157
8.643815201000	7.246887753000	8.497892305000	8.643815201	-13.30063551	14.71743598
8.703427720000	7.231650062000	8.498961994000	8.70342772	-13.29626629	14.71706698
8.763040238000	7.216174034000	8.501615453000	8.763040238	-13.29795726	14.71800306
8.822652757000	7.185509296000	8.502802952000	8.822652757	-13.30087172	14.71919956
8.882265276000	7.190310311000	8.505560025000	8.882265276	-13.30756524	14.72093488
8.941877794000	7.187905863000	8.513376675000	8.941877794	-13.30708575	14.72054551
