GMfasMMM			GMext		
t	x	y	t	x	y
2.9871107350	6.7048844610	1.5956520160	2.9871107350	43.9709329100	7.2054465630
3.0106312920	6.7009369530	1.5949700010	3.0106312920	43.9687249300	7.2064594740
3.0341518490	6.6513878040	1.6009521250	3.0341518490	43.9699762500	7.2068631690
3.0576724060	6.6119141800	1.6046850150	3.0576724060	43.9694909800	7.2065634930
3.0811929630	6.4202243900	1.6285963400	3.0811929630	43.9692029600	7.2092002350
3.1047135200	6.3576450130	1.6411719740	3.1047135200	43.9697687000	7.2091859830
3.1282340770	6.2198600410	1.6600849500	3.1282340770	43.9703666600	7.2093733400
3.1517546340	5.9379163140	1.6902598160	3.1517546340	43.9691734200	7.2145527910
3.1752751910	5.8755008420	1.6902755660	3.1752751910	43.9674601700	7.2164626570
3.1987957470	5.7451498110	1.7066453220	3.1987957470	43.9667862000	7.2182734000
3.2223163040	5.6208041300	1.7253783780	3.2223163040	43.9685545100	7.2207934670
3.2458368610	5.4994899520	1.7468718560	3.2458368610	43.9642637600	7.2242058990
3.2693574180	5.4166249270	1.7459843560	3.2693574180	43.9598432300	7.2296559130
3.2928779750	5.3825302550	1.7485550790	3.2928779750	43.9637271600	7.2292392620
3.3163985320	5.2588282070	1.7755949780	3.3163985320	43.9761694800	7.2396521160
3.3399190890	5.1352153730	1.7877346030	3.3399190890	43.9774845400	7.2499921570
3.3634396460	5.0268729440	1.7830066580	3.3634396460	43.9772743000	7.2531663520
3.3869602030	4.9152419920	1.7889610430	3.3869602030	43.9776539700	7.2570358750
3.4104807600	4.8051206510	1.8018765680	3.4104807600	43.9772120400	7.2599059650
3.4340013170	4.6690000820	1.8136567220	3.4340013170	43.9784341400	7.2621019250
3.4575218740	4.5366220190	1.8272105910	3.4575218740	43.9786976000	7.2661730490
3.4810424310	4.3834401280	1.8486711650	3.4810424310	43.9781655100	7.2702237370
3.5045629880	4.3003389550	1.8619754180	3.5045629880	43.9769554100	7.2732774010
3.5280835450	4.1754173110	1.8852380870	3.5280835450	43.9760709000	7.2754878660
3.5516041020	3.9691119760	1.9304437460	3.5516041020	43.9751603600	7.2782394090
3.5751246590	3.9189120020	1.9431901860	3.5751246590	43.9722238800	7.2804342850
3.5986452160	3.7818101270	1.9671334660	3.5986452160	43.9703794900	7.2841327240
3.6221657730	3.6017366950	1.9893862650	3.6221657730	43.9689718100	7.2899278870
3.6456863300	3.7176064980	1.9810710210	3.6456863300	43.9631971700	7.2948130250
3.6692068870	3.7272072010	1.9808278180	3.6692068870	43.9632512600	7.2968014940
3.6927274440	3.6584206100	1.9919917030	3.6927274440	43.9613839100	7.2990634380
3.7162480010	3.5468254790	2.0031284560	3.7162480010	43.9590013800	7.3090672830
3.7397685580	3.5233717040	2.0025253390	3.7397685580	43.9594240600	7.3120981940
3.7632891150	3.5024451120	2.0044510770	3.7632891150	43.9688622400	7.3192851330
3.7868096720	3.5332841930	2.0037544870	3.7868096720	43.9638965100	7.3390398890
3.8103302290	3.5037334430	2.0052424690	3.8103302290	43.9661505500	7.3410548470
3.8338507860	3.3816899050	2.0218828230	3.8338507860	43.9636307500	7.3467412730
3.8573713430	3.2957413950	2.0268016660	3.8573713430	43.9651030400	7.3487415860
3.8808919000	3.1893813240	2.0384689370	3.8808919000	43.9609197500	7.3569932880
3.9044124560	3.1656440120	2.0386658870	3.9044124560	43.9609835300	7.3577699780
3.9279330130	3.0518723090	2.0547868820	3.9279330130	43.9546239600	7.3659251620
3.9514535700	2.9751989650	2.0628138040	3.9514535700	43.9569670600	7.3671397690
3.9749741270	2.9345686460	2.0594276540	3.9749741270	43.9572073000	7.3687302430
3.9984946840	2.8820440310	2.0639548210	3.9984946840	43.9479506900	7.3731040150
4.0220152410	2.8490996610	2.0678202530	4.0220152410	43.9465279700	7.3737543220
4.0455357980	2.7848460290	2.0728155810	4.0455357980	43.9355788400	7.3769810900
4.0690563550	2.6080538700	2.0974587460	4.0690563550	43.9299729500	7.3867245040
4.0925769120	2.5739491530	2.0977733040	4.0925769120	43.9267879900	7.3860263940
4.1160974690	2.4021103720	2.1068314330	4.1160974690	43.9284261100	7.4011616280
4.1396180260	2.3266302180	2.1199806860	4.1396180260	43.9225089500	7.4143533310
4.1631385830	2.2896183910	2.1278089380	4.1631385830	43.9227194400	7.4207849070
4.1866591400	2.2794578190	2.1275594180	4.1866591400	43.9186587100	7.4246015020
4.2101796970	2.2414118910	2.1295725310	4.2101796970	43.9156528700	7.4299809950
4.2337002540	2.0339154360	2.1556693060	4.2337002540	43.9130524000	7.4375900300
4.2572208110	1.9876731200	2.1617538920	4.2572208110	43.9121589700	7.4392258400
