CALbump			CALext			
t	x	y	t	x	y	
0.00000000000	28.88089746000	16.61112050000	0.00000000000	22.41988902000	24.81767902000	
0.02464814769	28.87605103000	16.61359764000	0.02464814769	22.41962588000	24.81750852000	
0.04929629538	28.87767913000	16.61500560000	0.04929629538	22.41894548000	24.81735644000	
0.07394444308	28.87360939000	16.61684567000	0.07394444308	22.41827527000	24.81714245000	
0.09859259077	28.87497896000	16.61605628000	0.09859259077	22.41744316000	24.81730424000	
0.12324073850	28.87753342000	16.61735894000	0.12324073850	22.42008350000	24.81744239000	
0.14788888620	28.87460483000	16.61641053000	0.14788888620	22.41646275000	24.81730736000	
0.17253703380	28.87743960000	16.61543636000	0.17253703380	22.41713262000	24.81754428000	
0.19718518150	28.87820851000	16.61586865000	0.19718518150	22.41792204000	24.81730725000	
0.22183332920	28.88526433000	16.61668248000	0.22183332920	22.41568163000	24.81748332000	
0.24648147690	28.88073464000	16.61511692000	0.24648147690	22.41480408000	24.81735659000	
0.27112962460	28.88619076000	16.61515383000	0.27112962460	22.41487037000	24.81721787000	
0.29577777230	28.88314854000	16.61720176000	0.29577777230	22.41319615000	24.81730419000	
0.32042592000	28.88088746000	16.61531102000	0.32042592000	22.41460434000	24.81735039000	
0.34507406770	28.87986005000	16.61488708000	0.34507406770	22.41278816000	24.81708653000	
0.36972221540	28.88104206000	16.61546371000	0.36972221540	22.41400584000	24.81700572000	
0.39437036310	28.87314545000	16.61695436000	0.39437036310	22.41404060000	24.81719673000	
0.41901851080	28.86187340000	16.61897423000	0.41901851080	22.41428716000	24.81742304000	
0.44366665850	28.86045718000	16.61837621000	0.44366665850	22.41660606000	24.81723884000	
0.46831480610	28.86525258000	16.61868597000	0.46831480610	22.41349341000	24.81735467000	
0.49296295380	28.87035060000	16.61741840000	0.49296295380	22.41566732000	24.81718572000	
0.51761110150	28.86924400000	16.61638391000	0.51761110150	22.41496260000	24.81704413000	
0.54225924920	28.87107834000	16.61774970000	0.54225924920	22.41506378000	24.81686669000	
0.56690739690	28.87675820000	16.61707962000	0.56690739690	22.41597058000	24.81716601000	
0.59155554460	28.87674594000	16.61680771000	0.59155554460	22.41414870000	24.81737904000	
0.61620369230	28.87683278000	16.61761052000	0.61620369230	22.41400204000	24.81712451000	
0.64085184000	28.87609318000	16.61643116000	0.64085184000	22.41393261000	24.81720427000	
0.66549998770	28.87715852000	16.61756072000	0.66549998770	22.41621735000	24.81722702000	
0.69014813540	28.87632649000	16.61679628000	0.69014813540	22.41307370000	24.81734100000	
0.71479628310	28.87980603000	16.61592850000	0.71479628310	22.41283268000	24.81727508000	
0.73944443080	28.87744587000	16.61556649000	0.73944443080	22.41299239000	24.81738253000	
0.76409257840	28.87889093000	16.61536447000	0.76409257840	22.41386607000	24.81731405000	
0.78874072610	28.87805159000	16.61591934000	0.78874072610	22.41426407000	24.81731716000	
0.81338887380	28.87628695000	16.61552984000	0.81338887380	22.41430294000	24.81748148000	
0.83803702150	28.87709287000	16.61615016000	0.83803702150	22.41391296000	24.81744809000	
0.86268516920	28.88121184000	16.61415784000	0.86268516920	22.41198759000	24.81729441000	
0.88733331690	28.88176601000	16.61450975000	0.88733331690	22.41063401000	24.81729693000	
0.91198146460	28.88344688000	16.61398679000	0.91198146460	22.41335222000	24.81724441000	
0.93662961230	28.88159114000	16.61297207000	0.93662961230	22.41669259000	24.81750307000	
0.96127776000	28.88185763000	16.61348659000	0.96127776000	22.41798364000	24.81750018000	
0.98592590770	28.88295756000	16.61346127000	0.98592590770	22.41329661000	24.81771258000	
1.01057405500	28.88309414000	16.61271582000	1.01057405500	22.41608485000	24.81757884000	
1.03522220300	28.87930945000	16.61210646000	1.03522220300	22.41476379000	24.81732653000	
1.05987035100	28.87581712000	16.61401570000	1.05987035100	22.41799043000	24.81759513000	
1.08451849800	28.87719828000	16.61288709000	1.08451849800	22.41478561000	24.81738350000	
1.10916664600	28.87728984000	16.61295266000	1.10916664600	22.41879419000	24.81759200000	
1.13381479400	28.87949390000	16.61265268000	1.13381479400	22.41119296000	24.81741567000	
1.15846294200	28.87991877000	16.61301652000	1.15846294200	22.41724917000	24.81747422000	
1.18311108900	28.87540721000	16.61263321000	1.18311108900	22.41553791000	24.81736897000	
1.20775923700	28.87342207000	16.61254438000	1.20775923700	22.41260075000	24.81742924000	
1.23240738500	28.87478267000	16.61235641000	1.23240738500	22.41004740000	24.81745300000	
1.25705553200	28.87752930000	16.61320475000	1.25705553200	22.41516103000	24.81748299000	
1.28170368000	28.87971504000	16.61366578000	1.28170368000	22.41419385000	24.81745526000	
1.30635182800	28.87969705000	16.61310323000	1.30635182800	22.41246110000	24.81724227000	
1.33099997500	28.88187881000	16.61343208000	1.33099997500	22.41487575000	24.81749775000	
1.35564812300	28.88371963000	16.61343336000	1.35564812300	22.41579894000	24.81742476000	
1.38029627100	28.88089746000	16.61353246000	1.38029627100	22.41348944000	24.81754030000	
1.40494441800	28.88216265000	16.61321503000	1.40494441800	22.41390600000	24.81756823000	
1.42959256600	28.88490175000	16.61252556000	1.42959256600	22.41695985000	24.81747698000	
1.45424071400	28.88436080000	16.61312768000	1.45424071400	22.41291943000	24.81731931000	
1.47888886200	28.88357829000	16.61366431000	1.47888886200	22.41243408000	24.81745895000	
1.50353700900	28.88177398000	16.61308913000	1.50353700900	22.41564787000	24.81760620000	
1.52818515700	28.88438780000	16.61345864000	1.52818515700	22.41379268000	24.81735974000	
1.55283330500	28.87732853000	16.61355315000	1.55283330500	22.41664605000	24.81739851000	
