CALins			CALext2USE		
t	x	y	t	x	y
0.000	26.74990078	6.125484933	0.0	-5.91071891	14.28467598
0.05961251863	26.74771872	6.127429947	0.05961251863	-5.911128892	14.28310296
0.1192250373	26.74562318	6.126291971	0.1192250373	-5.911333949	14.28282356
0.1788375559	26.74669946	6.123597714	0.1788375559	-5.911622884	14.28336066
0.2384500745	26.7465228	6.124483343	0.2384500745	-5.91104921	14.28343389
0.2980625931	26.74734629	6.121594397	0.2980625931	-5.911082996	14.28335898
0.3576751118	26.74303452	6.124787594	0.3576751118	-5.911100874	14.28331987
0.4172876304	26.74145355	6.124863475	0.4172876304	-5.911053811	14.28322914
0.476900149	26.74093633	6.12258813	0.476900149	-5.912082674	14.28335138
0.5365126677	26.74906127	6.128041599	0.5365126677	-5.911950109	14.28321277
0.5961251863	26.75411097	6.13185216	0.5961251863	-5.91070659	14.28309778
0.6557377049	26.75333757	6.131707186	0.6557377049	-5.910862633	14.28308086
0.7153502235	26.75258755	6.131392383	0.7153502235	-5.90984491	14.28309543
0.7749627422	26.72467547	6.126155332	0.7749627422	-5.910894356	14.28328373
0.8345752608	26.60850172	6.111762593	0.8345752608	-5.91206497	14.28285051
0.8941877794	26.44728194	6.036653834	0.8941877794	-5.911216748	14.28232666
0.9538002981	26.41065945	6.009957874	0.9538002981	-5.912880352	14.28318396
1.013412817	26.36654336	6.013162977	1.013412817	-5.912942605	14.28295758
1.073025335	26.32866066	6.002349589	1.073025335	-5.911387559	14.28274559
1.132637854	26.30964597	5.995174675	1.132637854	-5.913211907	14.28311269
1.192250373	26.28780927	6.036054324	1.192250373	-5.912012709	14.28316318
1.251862891	26.35434702	6.099049167	1.251862891	-5.913468076	14.28337463
1.31147541	26.42545943	6.127561719	1.31147541	-5.91128713	14.28308094
1.371087928	26.42189743	6.128382716	1.371087928	-5.909569119	14.28319423
1.430700447	26.42767845	6.125847386	1.430700447	-5.911959193	14.28303828
1.490312966	26.43800399	6.118278576	1.490312966	-5.912750428	14.28295095
1.549925484	26.43569312	6.1215425	1.549925484	-5.911922244	14.28305057
1.609538003	26.43705398	6.115569936	1.609538003	-5.911299479	14.28291762
1.669150522	26.44192198	6.11248277	1.669150522	-5.910648773	14.28316221
