CALins			CALext2USE		
1.72876304	26.50294949	6.120874654	1.72876304	-5.911677373	14.28327111
1.788375559	26.61037274	6.147103832	1.788375559	-5.91003224	14.28330568
1.847988077	26.60065831	6.151131943	1.847988077	-5.910795009	14.28312396
1.907600596	26.60959254	6.14650228	1.907600596	-5.911375159	14.28300203
1.967213115	26.62672942	6.147903026	1.967213115	-5.910405832	14.28321348
2.026825633	26.62724826	6.147606805	2.026825633	-5.910865965	14.28306214
2.086438152	26.6743549	6.1533635	2.086438152	-5.911958472	14.28332445
2.146050671	26.68555058	6.138488223	2.146050671	-5.91134223	14.28293543
2.205663189	26.70275741	6.143025698	2.205663189	-5.910991892	14.2833545
2.265275708	26.7087346	6.150665074	2.265275708	-5.911781983	14.28294685
2.324888227	26.722259	6.136754972	2.324888227	-5.911927629	14.28317605
2.384500745	26.74120869	6.136427624	2.384500745	-5.913500874	14.28336669
2.444113264	26.76763331	6.153360485	2.444113264	-5.913087039	14.28356671
2.503725782	26.77705203	6.156119903	2.503725782	-5.912791743	14.28348525
2.563338301	26.772074	6.171734028	2.563338301	-5.914579869	14.28351541
2.62295082	26.77189212	6.185026797	2.62295082	-5.913385404	14.28385018
2.682563338	26.76861022	6.175283334	2.682563338	-5.912985598	14.28344833
2.742175857	26.77986809	6.191077963	2.742175857	-5.913365941	14.28332562
2.801788376	26.78266306	6.194472394	2.801788376	-5.911835017	14.28306678
2.861400894	26.78391869	6.189069279	2.861400894	-5.914087186	14.28344623
2.921013413	26.78631376	6.192491427	2.921013413	-5.910713206	14.28294951
2.980625931	26.87762041	6.198288194	2.980625931	-5.910960501	14.28280623
3.04023845	26.91728748	6.206165632	3.04023845	-5.907306659	14.28190059
3.099850969	26.95325693	6.214470676	3.099850969	-5.902210667	14.28106331
3.159463487	26.97859211	6.219015586	3.159463487	-5.895529479	14.27819859
3.219076006	26.99181874	6.223402842	3.219076006	-5.889848237	14.27548065
3.278688525	27.06138208	6.23203605	3.278688525	-5.884226766	14.27293925
3.338301043	27.05260804	6.253073834	3.338301043	-5.888581177	14.2680217
3.397913562	27.11360522	6.264193765	3.397913562	-5.904819261	14.26672054
3.45752608	27.1317725	6.27006022	3.45752608	-5.906861799	14.26559535
3.517138599	27.16312587	6.277598651	3.517138599	-5.904951636	14.26910337
3.576751118	27.19883027	6.28879632	3.576751118	-5.901850254	14.27036306
3.636363636	27.2239479	6.293406741	3.636363636	-5.893465758	14.27226761
3.695976155	27.2479988	6.305139473	3.695976155	-5.886035331	14.2733173
3.755588674	27.28241592	6.310519788	3.755588674	-5.849245754	14.2730063
3.815201192	27.29903155	6.330511561	3.815201192	-5.770634445	14.27693659
3.874813711	27.355958	6.34861856	3.874813711	-5.752257388	14.27957835
3.93442623	27.39322305	6.36067981	3.93442623	-5.727955635	14.27583081
3.994038748	27.44368448	6.379397445	3.994038748	-5.69987964	14.27415104
4.053651267	27.46212018	6.399178592	4.053651267	-5.643692994	14.27400706
4.113263785	27.48687053	6.414371978	4.113263785	-5.605536573	14.27849596
4.172876304	27.49147455	6.415846843	4.172876304	-5.590988104	14.27960617
4.232488823	27.49255415	6.417306774	4.232488823	-5.585892284	14.28092906
4.292101341	27.48234379	6.415854785	4.292101341	-5.581299084	14.28058386
4.35171386	27.49040317	6.417062887	4.35171386	-5.581437556	14.28132869
4.411326379	27.49382591	6.421568177	4.411326379	-5.578686339	14.28116455
4.470938897	27.50370464	6.425183164	4.470938897	-5.557921973	14.28268847
4.530551416	27.52388926	6.429560393	4.530551416	-5.525267873	14.28163253
4.590163934	27.53473566	6.43177584	4.590163934	-5.523391241	14.28180285
4.649776453	27.54944658	6.432424895	4.649776453	-5.521744462	14.28185334
4.709388972	27.57079376	6.430440696	4.709388972	-5.523031338	14.28230087
4.76900149	27.57912572	6.433976006	4.76900149	-5.533830553	14.28236941
4.828614009	27.59169761	6.435380172	4.828614009	-5.527755725	14.28307259
4.888226528	27.61231694	6.438487899	4.888226528	-5.522812021	14.28270015
4.947839046	27.60601788	6.443015658	4.947839046	-5.520678254	14.28217534
5.007451565	27.62061998	6.439705637	5.007451565	-5.522047834	14.28208718
5.067064083	27.62931308	6.439505667	5.067064083	-5.518417792	14.28164232
5.126676602	27.64930656	6.436801418	5.126676602	-5.514137641	14.28213106
5.186289121	27.62173929	6.429748206	5.186289121	-5.520167853	14.28185697
5.245901639	27.61519555	6.4261724	5.245901639	-5.529603759	14.28228734
5.305514158	27.63215655	6.427344639	5.305514158	-5.520113792	14.28260353
5.365126677	27.60240202	6.421184311	5.365126677	-5.527253639	14.28276342
5.424739195	27.61047626	6.427520534	5.424739195	-5.526475407	14.28252139
5.484351714	27.60224804	6.425784517	5.484351714	-5.530811896	14.28229525
5.543964232	27.59860386	6.42584494	5.543964232	-5.5272592	14.28253592
5.603576751	27.59683203	6.426257812	5.603576751	-5.530291728	14.28305864
5.66318927	27.58269379	6.422740525	5.66318927	-5.524989	14.28258802
5.722801788	27.57192168	6.421168344	5.722801788	-5.528438238	14.28267245
5.782414307	27.57595031	6.42356057	5.782414307	-5.529881168	14.28255709
5.842026826	27.56771376	6.420858763	5.842026826	-5.527077951	14.28258038
5.901639344	27.56826423	6.420176325	5.901639344	-5.529790276	14.2827621
5.961251863	27.55910281	6.417115706	5.961251863	-5.530323009	14.2830658
6.020864382	27.54774273	6.413227889	6.020864382	-5.531584796	14.28277711
6.0804769	27.55594186	6.422799601	6.0804769	-5.532068501	14.28299506
6.140089419	27.55709528	6.418467086	6.140089419	-5.5315128	14.28273606
6.199701937	27.53422611	6.423183621	6.199701937	-5.530970884	14.28300354
6.259314456	27.46817203	6.408883039	6.259314456	-5.532890425	14.28286332
6.318926975	27.416655	6.392083685	6.318926975	-5.531363019	14.28236814
6.378539493	27.41232961	6.382386422	6.378539493	-5.532152322	14.28264333
6.438152012	27.4117645	6.380305946	6.438152012	-5.530665867	14.28279913
6.497764531	27.38293143	6.397034969	6.497764531	-5.535206713	14.28286327
6.557377049	27.36054281	6.408670095	6.557377049	-5.531658358	14.28278909
6.616989568	27.37834059	6.420968621	6.616989568	-5.533812727	14.28302987
6.676602086	27.36964413	6.429731279	6.676602086	-5.535867109	14.28298721
6.736214605	27.33981907	6.424605677	6.736214605	-5.533534164	14.28289818
6.795827124	27.29285873	6.429120701	6.795827124	-5.53505192	14.28270171
6.855439642	27.25770937	6.4204925	6.855439642	-5.531213716	14.28273092
6.915052161	27.19978578	6.414495324	6.915052161	-5.532578982	14.28275273
6.97466468	27.13604483	6.403515545	6.97466468	-5.531049876	14.28247225
7.034277198	27.05728575	6.397114812	7.034277198	-5.528730489	14.2826442
7.093889717	27.01475276	6.400114624	7.093889717	-5.530961886	14.28234063
7.153502235	27.02428772	6.405280641	7.153502235	-5.532762274	14.28255453
7.213114754	27.01880528	6.4096403	7.213114754	-5.528960204	14.28291394
7.272727273	26.98368599	6.410008703	7.272727273	-5.52654524	14.28310161
7.332339791	26.95382558	6.417416011	7.332339791	-5.524764665	14.28318815
7.39195231	26.90139073	6.414651275	7.39195231	-5.532616479	14.28294333
7.451564829	26.88856385	6.40723814	7.451564829	-5.534363377	14.28325189
7.511177347	26.87205467	6.405386794	7.511177347	-5.536047603	14.28322466
7.570789866	26.86595534	6.404245365	7.570789866	-5.534372587	14.28286093
7.630402385	26.83546347	6.418289639	7.630402385	-5.535457256	14.28333801
7.690014903	26.82480589	6.425080604	7.690014903	-5.539618903	14.28332404
7.749627422	26.80560103	6.415467059	7.749627422	-5.53613465	14.28327391
7.80923994	26.74697505	6.413878137	7.80923994	-5.543869656	14.28347244
7.868852459	26.60465368	6.408039996	7.868852459	-5.56043655	14.28344804
7.928464978	26.53405037	6.403278872	7.928464978	-5.589219081	14.28314657
7.988077496	26.52526604	6.36801463	7.988077496	-5.61892848	14.28412787
8.047690015	26.53017887	6.381098477	8.047690015	-5.634089509	14.28355378
8.107302534	26.49898542	6.393757107	8.107302534	-5.649460155	14.28329593
8.166915052	26.49630596	6.407519047	8.166915052	-5.669222118	14.28360189
8.226527571	26.49322268	6.407899702	8.226527571	-5.682458754	14.28341981
8.286140089	26.4527375	6.393559423	8.286140089	-5.684301438	14.28337535
8.345752608	26.47222631	6.374908349	8.345752608	-5.687915659	14.28354328
8.405365127	26.44062791	6.355625356	8.405365127	-5.690923573	14.2834694
8.464977645	26.42884183	6.357532886	8.464977645	-5.694773281	14.28435063
8.524590164	26.42459858	6.350359668	8.524590164	-5.686400608	14.28402592
8.584202683	26.40409624	6.350071632	8.584202683	-5.685047375	14.28394455
8.643815201	26.39702463	6.354122105	8.643815201	-5.687792934	14.28375985
8.70342772	26.38725614	6.351034617	8.70342772	-5.686113372	14.28407173
8.763040238	26.35413018	6.337779494	8.763040238	-5.685204512	14.28416527
8.822652757	26.33855552	6.32422904	8.822652757	-5.681699869	14.28415767
8.882265276	26.32891198	6.333050277	8.882265276	-5.67786084	14.28367097
8.941877794	26.28470195	6.325396287	8.941877794	-5.675666858	14.28356967
9.001490313	26.29714742	6.323380496	9.001490313	-5.676945735	14.28334664
9.061102832	26.32695121	6.329110668	9.061102832	-5.674819704	14.28314426
9.12071535	26.41357908	6.336068097	9.12071535	-5.671921248	14.28430456
9.180327869	26.44115816	6.335514928	9.180327869	-5.678448602	14.28280625
9.239940387	26.44790096	6.328547364	9.239940387	-5.670815877	14.28321661
9.299552906	26.4527625	6.327414437	9.299552906	-5.670892333	14.28305168
9.359165425	26.45786879	6.326166988	9.359165425	-5.672652438	14.2842278
9.418777943	26.47305848	6.326122018	9.418777943	-5.673309881	14.28431545
9.478390462	26.48049856	6.326364359	9.478390462	-5.674000917	14.28313133
9.538002981	26.56613701	6.326892837	9.538002981	-5.673419989	14.28301936
9.597615499	26.60049424	6.332320256	9.597615499	-5.673269586	14.28317756
9.657228018	26.60847523	6.333593038	9.657228018	-5.674948489	14.2830459
9.716840537	26.62835402	6.335696471	9.716840537	-5.673916452	14.2826781
9.776453055	26.64618571	6.332036557	9.776453055	-5.672016019	14.28282408
9.836065574	26.69686074	6.3320671	9.836065574	-5.675330733	14.28253367
9.895678092	26.71603353	6.330304206	9.895678092	-5.674352774	14.28239069
9.955290611	26.74093258	6.333486697	9.955290611	-5.678539451	14.28280931
10.01490313	26.75337758	6.332933197	10.01490313	-5.679756027	14.28231475
10.07451565	26.75607905	6.331014998	10.07451565	-5.676402427	14.28286618
10.13412817	26.77231636	6.335651127	10.13412817	-5.675045033	14.28252109
10.19374069	26.77945852	6.335018593	10.19374069	-5.678188618	14.28251154
10.2533532	26.76891865	6.327042769	10.2533532	-5.67705132	14.28302308
10.31296572	26.76872309	6.344420677	10.31296572	-5.672151766	14.2842457
10.37257824	26.762354	6.33932453	10.37257824	-5.668569542	14.28287529
10.43219076	26.7526968	6.328937391	10.43219076	-5.66305277	14.28394856
10.49180328	26.76885369	6.33250051	10.49180328	-5.66382991	14.28175614
10.5514158	26.77476534	6.334598352	10.5514158	-5.664947718	14.28177021
10.61102832	26.78093178	6.338099818	10.61102832	-5.665968182	14.28170203
10.67064083	26.8075682	6.349352356	10.67064083	-5.672176675	14.28211362
10.73025335	26.84642576	6.34351454	10.73025335	-5.666196591	14.28194858
10.78986587	26.86934583	6.358249572	10.78986587	-5.668957692	14.28218274
10.84947839	26.87902454	6.35246543	10.84947839	-5.669718701	14.28232893
10.90909091	26.90550578	6.364573668	10.90909091	-5.663694137	14.28387336
10.96870343	26.91240265	6.369019359	10.96870343	-5.663715093	14.28216196
11.02831595	26.89334711	6.352682334	11.02831595	-5.664973912	14.28385738
11.08792846	26.89165962	6.333416	11.08792846	-5.664956895	14.28257783
11.14754098	26.91028998	6.35074147	11.14754098	-5.664501767	14.2819846
11.2071535	26.92162211	6.361943623	11.2071535	-5.663150294	14.2838473
11.26676602	26.97564507	6.378337788	11.26676602	-5.665127633	14.28220895
11.32637854	27.03231784	6.397334354	11.32637854	-5.664270977	14.28200928
11.38599106	27.0495764	6.408183256	11.38599106	-5.663336723	14.28182225
11.44560358	27.08471451	6.418082903	11.44560358	-5.662818663	14.28115201
11.5052161	27.11782866	6.42100499	11.5052161	-5.644907643	14.28378857
11.56482861	27.16117849	6.434482066	11.56482861	-5.535180854	14.28188486
11.62444113	27.19374506	6.430331031	11.62444113	-5.448208166	14.28035288
11.68405365	27.2565892	6.435090057	11.68405365	-5.377112858	14.28016257
11.74366617	27.3247508	6.464609034	11.74366617	-5.353330658	14.27859758
11.80327869	27.38308416	6.474031635	11.80327869	-5.323634383	14.27794667
11.86289121	27.43557712	6.497142342	11.86289121	-5.287171867	14.27795066
11.92250373	27.42871758	6.486237305	11.92250373	-5.294455572	14.27759588
11.98211624	27.41803252	6.480904371	11.98211624	-5.300385774	14.27859088
12.04172876	27.4040632	6.476674733	12.04172876	-5.300072666	14.27860376
12.10134128	27.40907814	6.476633658	12.10134128	-7.605000642	13.92434938
12.1609538	27.40178141	6.475260382	12.1609538	-7.604490775	13.92635488
12.22056632	27.41004237	6.477911451	12.22056632	-7.587741216	13.92526611
12.28017884	27.4216109	6.480910091	12.28017884	-7.593967011	13.9262853
12.33979136	27.41237219	6.477933054	12.33979136	-7.604517024	13.92855762
12.39940387	27.42366355	6.475331581	12.39940387	-7.60238906	13.93106792
12.45901639	27.41462282	6.476747406	12.45901639	-7.605639334	13.93209563
12.51862891	27.42524317	6.478779193	12.51862891	-7.608024482	13.93194721
12.57824143	27.41872526	6.480376842	12.57824143	-7.59987677	13.93128265
12.63785395	27.4243194	6.482842952	12.63785395	-7.608984879	13.93274997
12.69746647	27.42313011	6.477660141	12.69746647	-7.602763512	13.93255365
12.75707899	27.41754909	6.484314092	12.75707899	-7.598117717	13.93412836
12.81669151	27.4266234	6.48416195	12.81669151	-7.611119888	13.93448225
12.87630402	27.42575133	6.48493391	12.87630402	-7.604277902	13.9372459
12.93591654	27.40663001	6.47319271	12.93591654	-7.610466477	13.93625812
12.99552906	27.39143871	6.46469592	12.99552906	-7.604756631	13.93465327
13.05514158	27.38795474	6.457010572	13.05514158	-7.59243615	13.93554146
13.1147541	27.39106145	6.464070098	13.1147541	-7.603338513	13.93478904
13.17436662	27.40523767	6.474280892	13.17436662	-7.602212953	13.93728695
13.23397914	27.40524274	6.473626765	13.23397914	-7.60274386	13.9382667
13.29359165	27.40722059	6.474994343	13.29359165	-7.603651033	13.93551405
13.35320417	27.39961509	6.472191236	13.35320417	-7.601478934	13.93688985
13.41281669	27.40216855	6.470464261	13.41281669	-7.600947911	13.93769005
13.47242921	27.40943832	6.472430749	13.47242921	-7.601715337	13.93716367
13.53204173	27.40034256	6.475736272	13.53204173	-7.603872659	13.93662144
13.59165425	27.39036719	6.47210472	13.59165425	-7.600816874	13.93728699
13.65126677	27.36347794	6.469222964	13.65126677	-7.599821487	13.93673397
13.71087928	27.29365494	6.466661287	13.71087928	-7.606862458	13.93775015
13.7704918	27.26813134	6.463697902	13.7704918	-7.609822022	13.93644049
13.83010432	27.24073355	6.457725053	13.83010432	-7.603841937	13.93617504
13.88971684	27.25095076	6.46808449	13.88971684	-7.604781707	13.93761917
13.94932936	27.23910177	6.470728437	13.94932936	-7.599318414	13.93675675
14.00894188	27.20613894	6.478483106	14.00894188	-7.602394552	13.93672678
14.0685544	27.17815382	6.478120339	14.0685544	-7.602352658	13.93636391
14.12816692	27.16222954	6.476314176	14.12816692	-7.615952495	13.93321943
14.18777943	27.12751148	6.487738554	14.18777943	-7.607826268	13.93656719
14.24739195	27.10465679	6.48629449	14.24739195	-7.604330942	13.93693164
14.30700447	27.06834951	6.493226327	14.30700447	-7.612882457	13.9326243
14.36661699	27.05438773	6.478215608	14.36661699	-7.605065779	13.9314542
14.42622951	26.97610853	6.471270805	14.42622951	-7.611226682	13.93389587
14.48584203	26.91691054	6.463221641	14.48584203	-7.615751855	13.9327057
14.54545455	26.89695191	6.46224196	14.54545455	-7.609878523	13.9325255
14.60506706	26.8926677	6.464319752	14.60506706	-7.613008209	13.93297724
14.66467958	26.87537792	6.464824504	14.66467958	-7.618980054	13.9336084
14.7242921	26.86476954	6.46380477	14.7242921	-7.610444223	13.93168018
14.78390462	26.85102017	6.470205935	14.78390462	-7.606672149	13.93311903
14.84351714	26.80047787	6.464612655	14.84351714	-7.60311853	13.93373062
14.90312966	26.76075162	6.461188215	14.90312966	-7.600569715	13.93342276
14.96274218	26.66633345	6.576748488	14.96274218	-7.593447578	13.93536329
