SOLend2BEST			mass_A		
t	x	y	t	x	y
0.0	15.732596340000	7.199999844000	0.0	27.2631573	14.2736839
0.018655324230	15.727560990000	7.200850791000	0.01865532423	27.26334241	14.27368205
0.037310648460	15.727076270000	7.200290061000	0.03731064846	27.26280102	14.27396274
0.055965972690	15.723928920000	7.200817594000	0.05596597269	27.26247741	14.27372109
0.074621296920	15.721292910000	7.200248132000	0.07462129692	27.26195373	14.27385888
0.093276621150	15.708151920000	7.201922597000	0.09327662115	27.26194068	14.27467342
0.111931945400	15.694426470000	7.199206151000	0.1119319454	27.26101235	14.27581286
0.130587269600	15.674585560000	7.198357328000	0.1305872696	27.26169766	14.27547098
0.149242593800	15.665047900000	7.198843404000	0.1492425938	27.26118832	14.27644494
0.167897918100	15.608147780000	7.200462385000	0.1678979181	27.25663497	14.27755253
0.186553242300	15.563991080000	7.204603731000	0.1865532423	27.25089976	14.2802805
0.205208566500	15.545293140000	7.204980086000	0.2052085665	27.24225362	14.27992283
0.223863890800	15.439419280000	7.200703305000	0.2238638908	27.20331738	14.27132947
0.242519215000	15.336227520000	7.202008544000	0.242519215	27.15382183	14.27485643
0.261174539200	15.251282760000	7.200794702000	0.2611745392	27.11152993	14.27789819
0.279829863400	15.198609390000	7.197747223000	0.2798298634	27.09611105	14.27982191
0.298485187700	15.188964020000	7.197516088000	0.2984851877	27.07788151	14.27606955
0.317140511900	15.239633150000	7.197764943000	0.3171405119	27.08247441	14.27868522
0.335795836100	15.257623540000	7.202158418000	0.3357958361	27.0833402	14.2770449
0.354451160400	15.277089280000	7.201699201000	0.3544511604	27.09195643	14.27526375
0.373106484600	15.293040330000	7.201860997000	0.3731064846	27.09348545	14.27522912
0.391761808800	15.313913910000	7.201330862000	0.3917618088	27.09384513	14.27425879
0.410417133000	15.345139640000	7.202554119000	0.410417133	27.09577878	14.27420956
0.429072457300	15.378594810000	7.201618372000	0.4290724573	27.09986868	14.27443299
0.447727781500	15.375656300000	7.201150701000	0.4477277815	27.10328372	14.27441088
0.466383105700	15.381241160000	7.201005139000	0.4663831057	27.10745041	14.27319064
0.485038430000	15.384945310000	7.200767801000	0.48503843	27.10875335	14.27327044
0.503693754200	15.391416880000	7.200040156000	0.5036937542	27.10867608	14.27350627
0.522349078400	15.383460850000	7.200250275000	0.5223490784	27.10812701	14.27316435
0.541004402700	15.375298870000	7.201817465000	0.5410044027	27.10889145	14.27246005
0.559659726900	15.374643980000	7.201313436000	0.5596597269	27.10902596	14.27320361
0.578315051100	15.380394230000	7.200824842000	0.5783150511	27.11179474	14.27249118
0.596970375300	15.381085660000	7.201019632000	0.5969703753	27.10913167	14.27339015
0.615625699600	15.375355010000	7.201126604000	0.6156256996	27.11229108	14.27266565
0.634281023800	15.375452620000	7.200431745000	0.6342810238	27.11042982	14.27320497
0.652936348000	15.373834170000	7.200581995000	0.652936348	27.11099298	14.27298229
0.671591672300	15.373129560000	7.200704540000	0.6715916723	27.11228965	14.27310209
0.690246996500	15.370753150000	7.200955513000	0.6902469965	27.1110362	14.27256786
0.708902320700	15.370601740000	7.200661215000	0.7089023207	27.11235812	14.27234711
0.727557645000	15.368718550000	7.200687634000	0.727557645	27.11133242	14.27263487
0.746212969200	15.368053420000	7.200451385000	0.7462129692	27.11093306	14.27250761
0.764868293400	15.368008230000	7.200522057000	0.7648682934	27.11303784	14.27268012
0.783523617600	15.367587880000	7.200296609000	0.7835236176	27.11251455	14.27216072
0.802178941900	15.366794590000	7.200623725000	0.8021789419	27.11028428	14.27241551
0.820834266100	15.366410760000	7.200835206000	0.8208342661	27.11345494	14.27230326
0.839489590300	15.366130060000	7.201191954000	0.8394895903	27.11092761	14.27225949
0.858144914600	15.363253030000	7.200725018000	0.8581449146	27.112247	14.27253786
0.876800238800	15.363742280000	7.201077457000	0.8768002388	27.11371624	14.27254288
0.895455563000	15.361729760000	7.201114484000	0.895455563	27.11279754	14.27198027
0.914110887200	15.363742230000	7.201159991000	0.9141108872	27.11133739	14.27242374
0.932766211500	15.363426380000	7.200315424000	0.9327662115	27.11219657	14.27264291
0.951421535700	15.363144300000	7.200851650000	0.9514215357	27.11225994	14.27224457
0.970076859900	15.364422700000	7.200474240000	0.9700768599	27.11071985	14.27246531
0.988732184200	15.363934320000	7.200508596000	0.9887321842	27.11374044	14.27237927
1.007387508000	15.363135150000	7.199961706000	1.007387508	27.11311374	14.27193974
1.026042833000	15.361920550000	7.199915421000	1.026042833	27.1121302	14.2724612
1.044698157000	15.363117930000	7.199875771000	1.044698157	27.11332694	14.27214662
1.063353481000	15.362922870000	7.199834492000	1.063353481	27.11186441	14.27247905
1.082008805000	15.361778230000	7.200373287000	1.082008805	27.11365337	14.27205211
1.100664130000	15.361447960000	7.200170854000	1.10066413	27.11293746	14.27260108
1.119319454000	15.361261840000	7.200205860000	1.119319454	27.11290362	14.27241821
1.137974778000	15.362304620000	7.200296155000	1.137974778	27.11293883	14.27236348
1.156630102000	15.363291960000	7.200395558000	1.156630102	27.11320934	14.27263988
1.175285426000	15.361906500000	7.200529827000	1.175285426	27.11155607	14.27303781
1.193940751000	15.362482870000	7.200459909000	1.193940751	27.11377075	14.27211008
1.212596075000	15.361548440000	7.200556795000	1.212596075	27.11198059	14.27231827
1.231251399000	15.362651170000	7.200275033000	1.231251399	27.11351998	14.27261583
1.249906723000	15.361126790000	7.200757823000	1.249906723	27.11183546	14.27287069
1.268562048000	15.362115380000	7.200324555000	1.268562048	27.11268573	14.27225558
1.287217372000	15.361424990000	7.200241672000	1.287217372	27.11220115	14.27279209
1.305872696000	15.362144490000	7.200141949000	1.305872696	27.11302082	14.2720865
1.324528020000	15.361926730000	7.200418784000	1.32452802	27.11233426	14.27249699
1.343183345000	15.362444020000	7.200212181000	1.343183345	27.11321943	14.27275531
1.361838669000	15.361751890000	7.200084399000	1.361838669	27.11235247	14.2726752
1.380493993000	15.362201870000	7.200608798000	1.380493993	27.11190459	14.27226281
1.399149317000	15.361676780000	7.200250571000	1.399149317	27.11183451	14.27203075
1.417804641000	15.361980020000	7.200498670000	1.417804641	27.1133886	14.27266412
1.436459966000	15.360923100000	7.200442696000	1.436459966	27.11224458	14.2720921
1.455115290000	15.363373190000	7.200536119000	1.45511529	27.11161142	14.27241631
1.473770614000	15.361910690000	7.200655873000	1.473770614	27.11216016	14.27228074
1.492425938000	15.362733680000	7.200631067000	1.492425938	27.11302404	14.27274249
1.511081263000	15.361834680000	7.200478410000	1.511081263	27.11184703	14.2725145
1.529736587000	15.358868150000	7.201127285000	1.529736587	27.11324688	14.27259713
1.548391911000	15.359271400000	7.201257582000	1.548391911	27.11190961	14.27183469
1.567047235000	15.361140060000	7.201446891000	1.567047235	27.1121641	14.2718785
1.585702560000	15.361408710000	7.200989107000	1.58570256	27.11346965	14.27235636
1.604357884000	15.361741190000	7.200495902000	1.604357884	27.11253964	14.27233575
1.623013208000	15.361890400000	7.200519748000	1.623013208	27.11162133	14.27233881
1.641668532000	15.360186150000	7.200665297000	1.641668532	27.11283781	14.27228264
1.660323856000	15.355338680000	7.201108416000	1.660323856	27.11094016	14.27215122
1.678979181000	15.345844120000	7.203603359000	1.678979181	27.11065155	14.27226427
1.697634505000	15.247593810000	7.211943252000	1.697634505	27.10067649	14.27352117
1.716289829000	15.190212920000	7.218881722000	1.716289829	27.08735588	14.2747905
1.734945153000	14.949605890000	7.236324250000	1.734945153	26.96155751	14.27557584
1.753600478000	14.711040450000	7.197987872000	1.753600478	26.90486013	14.29460531
1.772255802000	14.362385330000	7.217355159000	1.772255802	26.8309689	14.31901246
1.790911126000	14.255942250000	7.214219985000	1.790911126	26.792883	14.33480732
1.809566450000	13.660835250000	7.195731543000	1.80956645	26.67026817	14.34531183
1.828221774000	13.188201330000	7.183902570000	1.828221774	26.53235695	14.35061752
1.846877099000	13.105917000000	7.166584472000	1.846877099	26.51707273	14.34942578
