GFsupBEST?			GFext		
t	x	y	t	x	y
1.768346596	21.11596139	21.02082298	1.768346596	2.4605209	24.54478422
1.823607427	21.11791723	21.02150574	1.823607427	2.458546617	24.54487714
1.878868258	21.1049379	21.01758752	1.878868258	2.470014522	24.53916332
1.934129089	21.11205723	21.01606786	1.934129089	2.440771191	24.54184812
1.98938992	21.12991089	21.01429348	1.98938992	2.469369934	24.54324458
2.044650752	21.15472054	21.01432031	2.044650752	2.497968677	24.53138019
2.099911583	21.17681913	21.01616823	2.099911583	2.515151472	24.53039012
2.155172414	21.19667238	21.01705394	2.155172414	2.510551237	24.52705613
2.210433245	21.19357935	21.01651312	2.210433245	2.525519397	24.5293536
2.265694076	21.21619724	21.01978076	2.265694076	2.542917764	24.52729206
2.320954907	21.23204025	21.01922668	2.320954907	2.521639319	24.53046422
2.376215738	21.25563009	21.02104238	2.376215738	2.525739084	24.52954909
2.431476569	21.25326737	21.02222695	2.431476569	2.552922792	24.53065027
2.486737401	21.25736501	21.02198929	2.486737401	2.558609399	24.53401732
2.541998232	21.2848055	21.02123315	2.541998232	2.558689318	24.53380438
2.597259063	21.38664495	21.02543933	2.597259063	2.611494269	24.5292633
2.652519894	21.39932545	21.02889116	2.652519894	2.6099281	24.53369191
2.707780725	21.39724356	21.036921	2.707780725	2.609408364	24.53456485
2.763041556	21.37606479	21.04024487	2.763041556	2.597351623	24.53646309
2.818302387	21.3902003	21.0327404	2.818302387	2.59475608	24.53846218
2.873563218	21.36944668	21.04343799	2.873563218	2.5943998	24.5392563
2.92882405	21.3748184	21.03841447	2.92882405	2.606425764	24.54052142
2.984084881	21.37508276	21.03861753	2.984084881	2.601900325	24.5407464
3.039345712	21.37987173	21.03792546	3.039345712	2.625635141	24.54357071
3.094606543	21.41278298	21.0435772	3.094606543	2.638477785	24.54343355
3.149867374	21.46519145	21.04073208	3.149867374	2.63720258	24.54668252
3.205128205	21.48197314	21.03438075	3.205128205	2.65876687	24.54620694
3.260389036	21.48193785	21.03479526	3.260389036	2.668055814	24.54932739
3.315649867	21.50646056	21.03082325	3.315649867	2.671437286	24.54961266
3.370910698	21.49731539	21.02939671	3.370910698	2.672837149	24.54834822
3.42617153	21.4975264	21.02018671	3.42617153	2.665811629	24.54758464
3.481432361	21.50911578	21.01800634	3.481432361	2.652271719	24.54714614
3.536693192	21.56825657	21.01471346	3.536693192	2.643795571	24.54531223
3.591954023	21.63983044	21.01369745	3.591954023	2.651658125	24.54171293
3.647214854	21.68281769	21.01362896	3.647214854	2.659663899	24.53576705
3.702475685	21.68356164	21.0154611	3.702475685	2.669416682	24.53740817
3.757736516	21.70386444	21.01578013	3.757736516	2.682017064	24.53717089
3.812997347	21.71791106	21.01761921	3.812997347	2.66770296	24.53685846
3.868258179	21.73167905	21.01760827	3.868258179	2.691755416	24.52722292
3.92351901	21.72802698	21.01833204	3.92351901	2.731868033	24.52605017
3.978779841	21.73138027	21.01868468	3.978779841	2.778876434	24.52718839
4.034040672	21.73513263	21.01835165	4.034040672	2.773687208	24.53108623
4.089301503	21.71313385	21.01886229	4.089301503	2.78692284	24.53300329
4.144562334	21.74867886	21.02064054	4.144562334	2.834365341	24.53855124
4.199823165	21.81319057	21.02251349	4.199823165	2.841595151	24.54692793
4.255083996	21.75552545	21.02107911	4.255083996	2.877655609	24.55300769
4.310344828	21.72955158	21.02922974	4.310344828	2.868874679	24.55336164
4.365605659	21.74278099	21.0275652	4.365605659	2.906028122	24.56056193
4.42086649	21.74621726	21.0273034	4.42086649	2.898524692	24.56130121
4.476127321	21.75941866	21.02749478	4.476127321	2.910478627	24.54869215
4.531388152	21.76335586	21.02415061	4.531388152	2.927892367	24.5479518
4.586648983	21.75017596	21.0275466	4.586648983	2.929957528	24.54501723
4.641909814	21.73891203	21.0269929	4.641909814	2.928339317	24.54887444
4.697170645	21.72613575	21.02671132	4.697170645	2.940472436	24.5465538
4.752431477	21.73051137	21.02748977	4.752431477	2.942493536	24.54604946
4.807692308	21.76894107	21.02737601	4.807692308	2.951774798	24.54590277
4.862953139	21.77937406	21.02445193	4.862953139	2.950950518	24.5426042
4.91821397	21.82354981	21.02208729	4.91821397	2.953742565	24.5387985
4.973474801	21.83828754	21.02430021	4.973474801	2.955494296	24.53815531
5.028735632	21.83296125	21.02397065	5.028735632	2.945876503	24.53511287
5.083996463	21.8342778	21.02587673	5.083996463	2.954886895	24.53730489
5.139257294	21.83821693	21.02138506	5.139257294	2.959829782	24.53716309
5.194518126	21.86470448	21.02360702	5.194518126	2.94936935	24.53567053
5.249778957	21.82561797	21.01288647	5.249778957	2.95347048	24.53729514
5.305039788	21.83035433	21.00054991	5.305039788	2.941754208	24.53408442
5.360300619	21.83063938	21.00080351	5.360300619	2.947362405	24.53198283
5.41556145	21.82119599	20.99976975	5.41556145	2.943502925	24.52802697
5.470822281	21.82239468	20.99924964	5.470822281	2.933514068	24.52400074
5.526083112	21.82807548	21.00752963	5.526083112	2.950317584	24.5229665
5.581343943	21.82794063	21.00469634	5.581343943	2.934864605	24.51877042
5.636604775	21.81899937	21.00305086	5.636604775	2.93747742	24.51352174
5.691865606	21.78585526	21.00997759	5.691865606	2.915300479	24.51523286
5.747126437	21.79617015	21.01500925	5.747126437	2.92965877	24.51052303
5.802387268	21.80224815	21.01622195	5.802387268	2.916564006	24.50285815
