GMfasBEST			GMextMMM		
t	x	y	t	x	y
0.0000000000	16.6302292200	1.2818682550	0.0000000000	42.8513223200	13.6906546000
0.0229368320	16.6300349200	1.2816552660	0.0229368320	42.8509463800	13.6904036400
0.0458736639	16.6307297200	1.2815099130	0.0458736639	42.8506268700	13.6904555300
0.0688104959	16.6299817300	1.2814495200	0.0688104959	42.8510380500	13.6901577100
0.0917473279	16.6303510400	1.2815558740	0.0917473279	42.8509340100	13.6901145300
0.1146841598	16.6300130500	1.2813474670	0.1146841598	42.8516129000	13.6899002200
0.1376209918	16.6299591200	1.2814300300	0.1376209918	42.8512356100	13.6899845800
0.1605578238	16.6300522100	1.2814817490	0.1605578238	42.8509874100	13.6897318800
0.1834946557	16.6303085700	1.2815301910	0.1834946557	42.8512776700	13.6896645900
0.2064314877	16.6284304300	1.2817209770	0.2064314877	42.8512016200	13.6896846800
0.2293683196	16.6289965100	1.2818213860	0.2293683196	42.8510081700	13.6896705200
0.2523051516	16.6299665900	1.2817813910	0.2523051516	42.8517355600	13.6897056800
0.2752419836	16.6302115800	1.2818371180	0.2752419836	42.8516921000	13.6898403900
0.2981788155	16.6297943900	1.2817281330	0.2981788155	42.8514043200	13.6896611700
0.3211156475	16.6301885800	1.2817920510	0.3211156475	42.8510081100	13.6899927800
0.3440524795	16.6307233800	1.2818557420	0.3440524795	42.8511181500	13.6895664700
0.3669893114	16.6308147600	1.2818213310	0.3669893114	42.8514301300	13.6898306100
0.3899261434	16.6304406000	1.2817200200	0.3899261434	42.8509583300	13.6898196500
0.4128629754	16.6307989300	1.2817303030	0.4128629754	42.8506814400	13.6896062400
0.4357998073	16.6308176200	1.2817454990	0.4357998073	42.8503429300	13.6897414200
0.4587366393	16.6308254800	1.2815471060	0.4587366393	42.8510882500	13.6895133500
0.4816734713	16.6309677700	1.2816381010	0.4816734713	42.8508770800	13.6897473900
0.5046103032	16.6309895100	1.2814574930	0.5046103032	42.8508076300	13.6896928900
0.5275471352	16.6312773500	1.2813673200	0.5275471352	42.8506795100	13.6894932200
0.5504839672	16.6320432800	1.2813035360	0.5504839672	42.8507829300	13.6897476000
0.5734207991	16.6312589800	1.2813848760	0.5734207991	42.8504894000	13.6895105700
0.5963576311	16.6312504400	1.2812638990	0.5963576311	42.8504331000	13.6890904800
0.6192944630	16.6319397100	1.2812892640	0.6192944630	42.8507197000	13.6892927700
0.6422312950	16.6317797200	1.2816760770	0.6422312950	42.8502514600	13.6896024200
0.6651681270	16.6310752800	1.2822943210	0.6651681270	42.8507982000	13.6899873700
0.6881049589	16.6312682900	1.2824919130	0.6881049589	42.8498815800	13.6900749300
0.7110417909	16.6305713500	1.2824499110	0.7110417909	42.8499267200	13.6901562200
0.7339786229	16.6301341800	1.2825257350	0.7339786229	42.8493415900	13.6902189100
0.7569154548	16.6303252900	1.2824567040	0.7569154548	42.8492828700	13.6903704100
0.7798522868	16.6304474500	1.2824552040	0.7798522868	42.8488791200	13.6903511800
0.8027891188	16.6305364100	1.2822518280	0.8027891188	42.8498633700	13.6901063700
0.8257259507	16.6304167900	1.2822772940	0.8257259507	42.8493346100	13.6902748800
0.8486627827	16.6309460900	1.2820679990	0.8486627827	42.8493196000	13.6901805100
0.8715996147	16.6314650900	1.2820134930	0.8715996147	42.8493259400	13.6902193200
0.8945364466	16.6324041300	1.2818894020	0.8945364466	42.8488406800	13.6901823400
0.9174732786	16.6317713400	1.2816274820	0.9174732786	42.8490234800	13.6901696700
0.9404101106	16.6318346500	1.2814925190	0.9404101106	42.8489399500	13.6899683100
0.9633469425	16.6309767200	1.2814696030	0.9633469425	42.8496175900	13.6896030900
0.9862837745	16.6315058600	1.2812927130	0.9862837745	42.8485572600	13.6898882800
1.0092206060	16.6318987100	1.2814991120	1.0092206060	42.8485526900	13.6898624900
1.0321574380	16.6306181700	1.2810996760	1.0321574380	42.8487359200	13.6898631600
1.0550942700	16.6174100000	1.2784657130	1.0550942700	42.8484165800	13.6898399900
1.0780311020	16.5786284000	1.2751417800	1.0780311020	42.8488572800	13.6896677100
1.1009679340	16.5475613600	1.2311592530	1.1009679340	42.8478029600	13.6901967100
1.1239047660	16.4804746900	1.2152491800	1.1239047660	42.8478421800	13.6901025000
1.1468415980	16.4561375600	1.1631528080	1.1468415980	42.8471249400	13.6904359700
1.1697784300	16.4302339200	1.1581810670	1.1697784300	42.8483979000	13.6900968100
1.1927152620	16.2928706500	1.1424612960	1.1927152620	42.8481438400	13.6904720200
1.2156520940	16.1956966000	1.1002732540	1.2156520940	42.8484240800	13.6914919600
1.2385889260	16.0373784400	1.0410693990	1.2385889260	42.8483480700	13.6919697100
1.2615257580	15.8738257600	1.0299425120	1.2615257580	42.8467760700	13.6933489700
1.2844625900	15.6845859700	0.9855170495	1.2844625900	42.8459548000	13.6954672900
1.3073994220	15.6061573500	0.9815729277	1.3073994220	42.8444105000	13.6962677900
1.3303362540	15.4842375500	0.9812865773	1.3303362540	42.8458053700	13.6970608700
1.3532730860	15.3346630400	0.9830842601	1.3532730860	42.8450063100	13.6987712900
1.3762099180	15.1381885500	0.9474619682	1.3762099180	42.8449089900	13.7019629300
1.3991467500	15.0350856100	0.9469313571	1.3991467500	42.8430980300	13.7022608500
1.4220835820	14.8574175200	0.9461856027	1.4220835820	42.8401826800	13.7041524800
1.4450204140	14.7030887200	0.9607857125	1.4450204140	42.8414975800	13.7073459400
1.4679572460	14.4122977400	0.9845290332	1.4679572460	42.8375202400	13.7207743100
1.4908940780	14.3657591600	0.9888650233	1.4908940780	42.8371217600	13.7227490000
1.5138309100	14.2265364200	0.9941501508	1.5138309100	42.8378734500	13.7217833200
1.5367677420	14.0785724600	1.0008453300	1.5367677420	42.8395810300	13.7231292100
1.5597045740	13.8993370100	1.0125815610	1.5597045740	42.8423719100	13.7342469000
1.5826414060	13.6334326100	1.0410240470	1.5826414060	42.8426589500	13.7464381800
1.6055782380	13.4790195000	1.0521944630	1.6055782380	42.8422179000	13.7519469900
1.6285150690	13.3424216800	1.0639951080	1.6285150690	42.8468981800	13.7549830100
1.6514519010	13.2253846300	1.0660124430	1.6514519010	42.8449126600	13.7583949100
1.6743887330	13.1704584900	1.0701345660	1.6743887330	42.8448632000	13.7603270000
1.6973255650	12.9817190900	1.1053576550	1.6973255650	42.8469990900	13.7649226000
1.7202623970	12.8720573000	1.1165859530	1.7202623970	42.8481715700	13.7672543900
1.7431992290	12.8049267300	1.1229596030	1.7431992290	42.8480906700	13.7686478200
1.7661360610	12.6406164500	1.1408096300	1.7661360610	42.8460331300	13.7723719400
1.7890728930	12.5153765600	1.1501453180	1.7890728930	42.8466236300	13.7743711200
1.8120097250	12.4032036900	1.1730357250	1.8120097250	42.8459995000	13.7764019800
1.8349465570	12.2399195700	1.1881034340	1.8349465570	42.8444625200	13.7816344500
1.8578833890	12.0872508500	1.2096823910	1.8578833890	42.8458776200	13.7845084900
1.8808202210	11.9677062800	1.2362488710	1.8808202210	42.8492264000	13.7851535100
1.9037570530	11.8829467500	1.2443129620	1.9037570530	42.8451721000	13.7885613800
1.9266938850	11.8039960600	1.2570750620	1.9266938850	42.8491225200	13.7902870800
1.9496307170	11.7797648600	1.2612871740	1.9496307170	42.8454759700	13.7886282800
1.9725675490	11.6062218000	1.2887649710	1.9725675490	42.8490143900	13.8007771600
1.9955043810	11.5859492100	1.2994509160	1.9955043810	42.8516172700	13.8019547700
2.0184412130	11.4920996600	1.3331621680	2.0184412130	42.8501733700	13.8022559200
2.0413780450	11.4433878700	1.3621453190	2.0413780450	42.8469130400	13.8054538100
2.0643148770	11.3711994400	1.3761658250	2.0643148770	42.8498801800	13.8160771700
2.0872517090	11.2902904000	1.3831436140	2.0872517090	42.8500278600	13.8206372500
2.1101885410	11.2437161900	1.3829098460	2.1101885410	42.8488354300	13.8216990900
2.1331253730	11.1737845500	1.3909797500	2.1331253730	42.8507998500	13.8267028100
2.1560622050	10.9757487600	1.4238071010	2.1560622050	42.8492335000	13.8308537100
2.1789990370	10.8210279800	1.4474766410	2.1789990370	42.8511816000	13.8337336300
2.2019358690	10.7696509100	1.4684429570	2.2019358690	42.8509586600	13.8357180200
2.2248727010	10.6861087700	1.4896335320	2.2248727010	42.8521802800	13.8379004300
2.2478095330	10.6155795800	1.5066455350	2.2478095330	42.8504052800	13.8405474800
2.2707463650	10.5180622600	1.5288506630	2.2707463650	42.8495585000	13.8421773400
2.2936831960	10.3899947800	1.5589783710	2.2936831960	42.8500678800	13.8445244500
2.3166200280	10.3231826400	1.5885237170	2.3166200280	42.8475897300	13.8464751100
2.3395568600	10.2339531900	1.6130749800	2.3395568600	42.8462683000	13.8494668100
2.3624936920	10.2162330500	1.6134298940	2.3624936920	42.8462337400	13.8482473800
2.3854305240	10.1108759100	1.6383342810	2.3854305240	42.8465466300	13.8516251600
2.4083673560	10.0711925800	1.6420259340	2.4083673560	42.8435589400	13.8524782000
2.4313041880	9.9794518320	1.6593564130	2.4313041880	42.8437848200	13.8545564600
2.4542410200	9.9719170420	1.6746305440	2.4542410200	42.8459969700	13.8552630800
2.4771778520	9.9188072690	1.6814302860	2.4771778520	42.8441810900	13.8568786400
2.5001146840	9.7658343070	1.7062794580	2.5001146840	42.8452333100	13.8606613600
2.5230515160	9.7466206960	1.7098144270	2.5230515160	42.8447543000	13.8597688400
2.5459883480	9.7206958150	1.7089837300	2.5459883480	42.8476184500	13.8615951400
2.5689251800	9.7737042160	1.7036458440	2.5689251800	42.8451155500	13.8629530500
2.5918620120	9.7500459380	1.7128994590	2.5918620120	42.8470524200	13.8623035300
2.6147988440	9.6428426260	1.7228134560	2.6147988440	42.8460997600	13.8654047800
2.6377356760	9.5938869860	1.7263873160	2.6377356760	42.8448309900	13.8666509200
2.6606725080	9.5383239030	1.7268871330	2.6606725080	42.8481764100	13.8663871600
2.6836093400	9.4788213310	1.7402382140	2.6836093400	42.8465277300	13.8703012300
2.7065461720	9.4466152430	1.7486527280	2.7065461720	42.8475254600	13.8682690200
2.7294830040	9.3798160830	1.7644410890	2.7294830040	42.8484524300	13.8726612000
2.7524198360	9.1838395100	1.7853836420	2.7524198360	42.8299005800	13.8809489800
2.7753566680	9.0149508500	1.8198404840	2.7753566680	42.8308028800	13.8911974500
2.7982935000	8.9251905710	1.8416068310	2.7982935000	42.8275015000	13.8967078000
2.8212303320	8.8202740680	1.8558056290	2.8212303320	42.8205804400	13.9036967500
2.8441671640	8.7145356830	1.8669112980	2.8441671640	42.8135523700	13.9083011600
2.8671039960	8.6488811220	1.8697909460	2.8671039960	42.8068165000	13.9110561500
2.8900408280	8.5455550940	1.8818397800	2.8900408280	42.8010016800	13.9144002800
2.9129776600	8.3808275890	1.9065960110	2.9129776600	42.7934126700	13.9216835600
2.9359144910	8.3687707440	1.9067055930	2.9359144910	42.7891799600	13.9231444600
2.9588513230	8.3503990580	1.9298583420	2.9588513230	42.7903781300	13.9262078700
2.9817881550	8.2648653090	2.0033778330	2.9817881550	42.7917666800	13.9268858600
3.0047249870	8.2289345420	2.0369335340	3.0047249870	42.7876646600	13.9306495600
3.0276618190	8.2165730040	2.0448479800	3.0276618190	42.7856119400	13.9309290500
3.0505986510	8.1832611810	2.0574285300	3.0505986510	42.7846940000	13.9330238100
3.0735354830	8.1231732620	2.0736878200	3.0735354830	42.7823348400	13.9334903500
3.0964723150	7.9722070520	2.1348583060	3.0964723150	42.7844228800	13.9419560600
3.1194091470	7.9490241620	2.1440384100	3.1194091470	42.7833535300	13.9415430600
3.1423459790	7.9028798220	2.1638899640	3.1423459790	42.7824197500	13.9430614700
3.1652828110	7.7251132570	2.2056142080	3.1652828110	42.7852465700	13.9480340500
3.1882196430	7.6451371420	2.2231912210	3.1882196430	42.7899858500	13.9511882500
