GMfasBEST1MMM			GMext		
t	x	y	t	x	y
2.1880797220	14.3810914700	2.6199289030	2.1880797220	46.0440482800	10.4811895200
2.2118631970	14.2788799000	2.6358343250	2.2118631970	46.0428945700	10.4823560800
2.2356466730	14.1933695800	2.6149830080	2.2356466730	46.0398829500	10.4814792200
2.2594301480	14.0278128300	2.6281502080	2.2594301480	46.0414966300	10.4798802800
2.2832136230	13.9064232300	2.6392049850	2.2832136230	46.0437789400	10.4780047900
2.3069970980	13.7634846400	2.6628090880	2.3069970980	46.0428710800	10.4789693300
2.3307805740	13.6805700600	2.6870895950	2.3307805740	46.0416798100	10.4816865600
2.3545640490	13.6051259100	2.7055125830	2.3545640490	46.0455618500	10.4820870700
2.3783475240	13.5393194600	2.7201681540	2.3783475240	46.0446403200	10.4844583600
2.4021309990	13.4332272500	2.7365180300	2.4021309990	46.0453714600	10.4854576800
2.4259144750	13.2866686500	2.7541329180	2.4259144750	46.0453514300	10.4851849100
2.4496979500	13.1161460100	2.7767076130	2.4496979500	46.0465384900	10.4844365000
2.4734814250	12.9638743200	2.7818302620	2.4734814250	46.0462116800	10.4837374900
2.4972649000	12.7947533000	2.8037487540	2.4972649000	46.0454840900	10.4845534900
2.5210483760	12.6410205900	2.8292336940	2.5210483760	46.0458921100	10.4846208300
2.5448318510	12.3640087100	2.8833192580	2.5448318510	46.0473645200	10.4835304800
2.5686153260	12.1629210400	2.9066700450	2.5686153260	46.0449009500	10.4845030000
2.5923988010	11.9724665300	2.9516530320	2.5923988010	46.0431107700	10.4861510600
2.6161822770	11.7964009000	3.0283582070	2.6161822770	46.0443055800	10.4874176800
2.6399657520	11.6875585500	3.0713688730	2.6399657520	46.0440137100	10.4887770100
2.6637492270	11.5699400200	3.1071023160	2.6637492270	46.0454452400	10.4889823100
2.6875327020	11.4113463900	3.1272136150	2.6875327020	46.0457117400	10.4888067800
2.7113161780	11.2435440900	3.1608148990	2.7113161780	46.0470654600	10.4873545700
2.7350996530	11.1759147800	3.1746533750	2.7350996530	46.0475920400	10.4881225000
2.7588831280	11.0281702900	3.2328990890	2.7588831280	46.0480465300	10.4888990700
2.7826666030	10.9201209600	3.2733872140	2.7826666030	46.0478090900	10.4903333400
2.8064500780	10.8431946200	3.2956701740	2.8064500780	46.0475878800	10.4900791900
2.8302335540	10.7299317200	3.3223104720	2.8302335540	46.0470754800	10.4902055300
2.8540170290	10.6125050100	3.3369551090	2.8540170290	46.0469826100	10.4893212100
2.8778005040	10.4042166900	3.3707943050	2.8778005040	46.0482620000	10.4875126900
2.9015839790	10.2471329500	3.3953767560	2.9015839790	46.0481209500	10.4872500000
2.9253674550	9.9804414610	3.4594059590	2.9253674550	46.0487812800	10.4876105700
2.9491509300	9.9326854220	3.4673339720	2.9491509300	46.0497477700	10.4866809600
2.9729344050	9.7989601450	3.4997458290	2.9729344050	46.0497066400	10.4870366500
2.9967178800	9.6118616610	3.5176923510	2.9967178800	46.0478369300	10.4876427600
3.0205013560	9.4343415140	3.5428431680	3.0205013560	46.0486699600	10.4864181200
3.0442848310	9.3017737370	3.5922640440	3.0442848310	46.0484476200	10.4880613700
3.0680683060	9.2457650380	3.6337972590	3.0680683060	46.0516794700	10.4897462600
3.0918517810	9.1903247950	3.6454108370	3.0918517810	46.0493700700	10.4882800300
3.1156352570	9.0653637210	3.6564070520	3.1156352570	46.0498572100	10.4873722000
3.1394187320	8.8611548990	3.7074429400	3.1394187320	46.0512960300	10.4884013500
3.1632022070	8.8155565320	3.7212822900	3.1632022070	46.0502776800	10.4881979800
3.1869856820	8.5835809590	3.7418808710	3.1869856820	46.0498305000	10.4897353200
3.2107691580	8.4610900940	3.7590891030	3.2107691580	46.0480810000	10.4891247400
3.2345526330	8.3103319230	3.7821248010	3.2345526330	46.0464027300	10.4880656000
3.2583361080	8.3121256410	3.7821908200	3.2583361080	46.0466613900	10.4872699100
3.2821195830	8.2974983060	3.8138451350	3.2821195830	46.0489120700	10.4866174300
3.3059030590	8.3031764080	3.8300527300	3.3059030590	46.0531147300	10.4858238600
3.3296865340	8.2033758130	3.8485741960	3.3296865340	46.0514835400	10.4872710200
3.3534700090	8.0608896380	3.8633126460	3.3534700090	46.0486007800	10.4875217400
3.3772534840	7.9824994670	3.8733081820	3.3772534840	46.0470730600	10.4872360300
3.4010369600	7.7668574100	3.9100302500	3.4010369600	46.0464350100	10.4877006900
3.4248204350	7.6092606560	3.9559871580	3.4248204350	46.0499880000	10.4893176700
3.4486039100	7.5622516840	3.9571617140	3.4486039100	46.0505208300	10.4871082900
3.4723873850	7.4004749830	3.9729778160	3.4723873850	46.0515219300	10.4861621700
3.4961708600	7.2010612200	4.0004208540	3.4961708600	46.0494969500	10.4877819100
3.5199543360	7.0954745500	4.0021037560	3.5199543360	46.0475963000	10.4895829300
3.5437378110	6.9248444020	4.0054706270	3.5437378110	46.0455841800	10.4910661000
3.5675212860	6.7852156720	4.0283682430	3.5675212860	46.0495601100	10.4885261200
3.5913047610	6.5857318150	4.0298377700	3.5913047610	46.0491523900	10.4871578200
3.6150882370	6.3019487420	4.0326328420	3.6150882370	46.0450083100	10.4901800500
3.6388717120	6.0883764440	4.0313121600	3.6388717120	46.0473426800	10.4882726800
3.6626551870	5.9213978120	4.0331729640	3.6626551870	46.0442625000	10.4891281800
3.6864386620	5.7262621590	4.0466661360	3.6864386620	46.0430268300	10.4904415900
3.7102221380	5.6129557510	4.0605704860	3.7102221380	46.0418828900	10.4905898400
3.7340056130	5.5203668820	4.0555026090	3.7340056130	46.0396016600	10.4922678100
3.7577890880	5.3867361960	4.0465201590	3.7577890880	46.0442564000	10.4882386900
3.7815725630	5.3327777320	4.0540534010	3.7815725630	46.0442720900	10.4882623500
3.8053560390	4.9793035430	4.0668540760	3.8053560390	46.0422390000	10.4931724500
3.8291395140	4.8480690080	4.0849977750	3.8291395140	46.0411242500	10.4932693200
3.8529229890	4.8178609610	4.0866104170	3.8529229890	46.0440164300	10.4916320300
3.8767064640	4.7356371070	4.0873949860	3.8767064640	46.0450620100	10.4905568600
3.9004899400	4.6405542120	4.0701981670	3.9004899400	46.0414894900	10.4921592200
3.9242734150	4.2467488330	4.1006911320	3.9242734150	46.0375914100	10.4989724200
3.9480568900	4.1790861280	4.1076762140	3.9480568900	46.0366844700	10.4968900500
3.9718403650	4.0393214400	4.1144296890	3.9718403650	46.0364514900	10.4962078700
3.9956238410	3.7773490400	4.1513146570	3.9956238410	46.0371100800	10.4990019400
4.0194073160	3.6806686760	4.1660633330	4.0194073160	46.0454471200	10.4942090900
4.0431907910	3.4917470600	4.1845032650	4.0431907910	46.0526802200	10.4905389000
4.0669742660	3.3535935750	4.2070079190	4.0669742660	46.0536529600	10.4884507100
4.0907577420	3.3136163990	4.2186480740	4.0907577420	46.0538249000	10.4890658700
4.1145412170	3.3021232610	4.2184809580	4.1145412170	46.0506069700	10.4903894800
4.1383246920	3.2549925610	4.2214740940	4.1383246920	46.0492479100	10.4907070000
4.1621081670	3.0454903260	4.2242285400	4.1621081670	46.0481839600	10.4920712000
4.1858916420	2.9937355290	4.2186071080	4.1858916420	46.0467251200	10.4925879700
4.2096751180	2.8601398150	4.2298620390	4.2096751180	46.0502393000	10.4939348800
4.2334585930	2.7623265410	4.2442280520	4.2334585930	46.0455630200	10.4958115000
4.2572420680	2.5602386490	4.2618649150	4.2572420680	46.0451653900	10.4964314400
4.2810255430	2.4830993860	4.2631955160	4.2810255430	46.0423407000	10.4975913700
4.3048090190	2.4701833420	4.2732066910	4.3048090190	46.0428172500	10.4958258500
4.3285924940	2.4633728390	4.2758875820	4.3285924940	46.0435935500	10.4927184500
4.3523759690	2.4011561960	4.2855921350	4.3523759690	46.0441905900	10.4915656300
4.3761594440	2.4321878570	4.2870581770	4.3761594440	46.0459026900	10.4893754300
4.3999429200	2.4575171040	4.2704932650	4.3999429200	46.0505128200	10.4859094200
4.4237263950	2.3227262110	4.2703164370	4.4237263950	46.0477956300	10.4872108000
4.4475098700	2.2213261900	4.2681571330	4.4475098700	46.0431386500	10.4899004900
4.4712933450	2.1289641360	4.2727718400	4.4712933450	46.0378941900	10.4942387000
4.4950768210	2.0696909570	4.2829205000	4.4950768210	46.0364280900	10.4965972100
4.5188602960	1.9422113840	4.2946413070	4.5188602960	46.0387798700	10.4944001600
4.5426437710	1.7403870310	4.2952122320	4.5426437710	46.0345486100	10.5005125000
4.5664272460	1.6550447470	4.3087422840	4.5664272460	46.0392976400	10.4987616600
4.5902107220	1.5755267810	4.3162544270	4.5902107220	46.0432849400	10.4963771700
4.6139941970	1.4534894450	4.3305476300	4.6139941970	46.0460270900	10.4933772700
4.6377776720	1.2643092000	4.3502827170	4.6377776720	46.0450606300	10.4950430300
4.6615611470	1.0126743040	4.3465295410	4.6615611470	46.0457149000	10.5071204900
4.6853446230	0.9534737657	4.3515919090	4.6853446230	46.0428841900	10.5068144500
4.7091280980	0.9555653801	4.3528778200	4.7091280980	46.0376697000	10.5063196400
4.7329115730	0.8697640244	4.3585532820	4.7329115730	46.0434109400	10.4961290500
4.7566950480	0.8126890767	4.3617677280	4.7566950480	46.0420666700	10.4938721000
4.7804785240	0.7342191710	4.3768196440	4.7804785240	46.0399576100	10.4935004200
4.8042619990	0.5399131996	4.4042565230	4.8042619990	46.0358160800	10.4954005900
4.8280454740	0.4003592067	4.4264221710	4.8280454740	46.0342615700	10.4973568300
4.8518289490	0.3720504612	4.4383995200	4.8518289490	46.0404211800	10.4934746500
4.8756124240	0.3149737666	4.4558495430	4.8756124240	46.0438420800	10.4898003600
4.8993959000	0.2168523321	4.4601380360	4.8993959000	46.0426616800	10.4919233300
4.9231793750	0.1192408808	4.4811576490	4.9231793750	46.0439363200	10.4916507200
4.9469628500	0.0984488022	4.4894506890	4.9469628500	46.0452804200	10.4920858800
4.9707463250	0.0895198317	4.4887578000	4.9707463250	46.0467720600	10.4901301500
4.9945298010	0.0393179080	4.5009420550	4.9945298010	46.0470551900	10.4903549900
5.0183132760	-0.0269080882	4.5136336620	5.0183132760	46.0472030700	10.4898384000
5.0420967510	-0.0430429234	4.5126175940	5.0420967510	46.0481061300	10.4886043700
5.0658802260	0.0024836706	4.5122057760	5.0658802260	46.0488396300	10.4883703500
5.0896637020	-0.0093596666	4.5265922310	5.0896637020	46.0489761400	10.4876892000
5.1134471770	-0.0275327702	4.5246341370	5.1134471770	46.0479525400	10.4879101100
5.1372306520	-0.0308227919	4.5159013340	5.1372306520	46.0479225900	10.4881330500
5.1610141270	0.0012351149	4.5072389550	5.1610141270	46.0469914700	10.4883818200
5.1847976030	0.0466317779	4.5032975550	5.1847976030	46.0405865100	10.4916413600
5.2085810780	0.0145049924	4.5047243070	5.2085810780	46.0364182000	10.4931857100
5.2323645530	0.0260539337	4.5087460380	5.2323645530	46.0447018600	10.4864375300
5.2561480280	0.0874706335	4.5002773870	5.2561480280	46.0453732500	10.4869832600
5.2799315040	0.1113726567	4.4968835630	5.2799315040	46.0444990000	10.4889280900
5.3037149790	0.0914526158	4.5000490780	5.3037149790	46.0430994900	10.4891282300
5.3274984540	0.0983721897	4.4992581080	5.3274984540	46.0461432700	10.4865727000
5.3512819290	0.1136651053	4.5016352350	5.3512819290	46.0496941100	10.4830348500
5.3750654050	0.1203492657	4.5040846470	5.3750654050	46.0480208300	10.4866400200
5.3988488800	0.1312339785	4.5003054550	5.3988488800	46.0473542800	10.4867258000
5.4226323550	0.1666688375	4.4944625330	5.4226323550	46.0487653500	10.4828089400
5.4464158300	0.2038732805	4.4915754450	5.4464158300	46.0476257100	10.4830804300
5.4701993060	0.2537647110	4.4795876300	5.4701993060	46.0471981500	10.4861021900
5.4939827810	0.3101229524	4.4556533460	5.4939827810	46.0437378000	10.4870218400
5.5177662560	0.2844535789	4.4615708740	5.5177662560	46.0415420800	10.4867534400
5.5415497310	0.2732374272	4.4689109090	5.5415497310	46.0419415200	10.4869007600
5.5653332060	0.3707227312	4.4491845020	5.5653332060	46.0445406000	10.4867348300
5.5891166820	0.4306908697	4.4501198220	5.5891166820	46.0436148200	10.4873132800
5.6129001570	0.4286327553	4.4460147820	5.6129001570	46.0448291900	10.4865735000
5.6366836320	0.4331149828	4.4460435880	5.6366836320	46.0468024300	10.4839376700
5.6604671070	0.4364910470	4.4461095890	5.6604671070	46.0460977000	10.4853320500
5.6842505830	0.5456326624	4.4262292280	5.6842505830	46.0460008000	10.4857348900
5.7080340580	0.5624544216	4.4236824950	5.7080340580	46.0463855500	10.4856614800
5.7318175330	0.5684426220	4.4195942380	5.7318175330	46.0467006700	10.4841939000
5.7556010080	0.5998857533	4.4111230990	5.7556010080	46.0457258000	10.4858522200
5.7793844840	0.6277021043	4.4076845000	5.7793844840	46.0416614100	10.4888922800
5.8031679590	0.6305947750	4.4022334610	5.8031679590	46.0442967700	10.4868785300
5.8269514340	0.6381560881	4.4016696350	5.8269514340	46.0451478800	10.4856522000
5.8507349090	0.6377297934	4.4011802850	5.8507349090	46.0455148400	10.4860897400
5.8745183850	0.7909240435	4.3801679700	5.8745183850	46.0469864300	10.4849270600
5.8983018600	0.8922548440	4.3495673390	5.8983018600	46.0449830100	10.4856868900
5.9220853350	0.9622325249	4.3339813970	5.9220853350	46.0458335300	10.4824142600
5.9458688100	1.0892685160	4.3100996350	5.9458688100	46.0464994300	10.4825848200
5.9696522860	1.4827075400	4.2163000870	5.9696522860	46.0418289400	10.4730403500
5.9934357610	1.5447056830	4.2009280950	5.9934357610	46.0421603700	10.4739840900
6.0172192360	1.6826664820	4.1910215620	6.0172192360	46.0437646500	10.4686891400
6.0410027110	1.7931352510	4.1756241240	6.0410027110	46.0438092400	10.4670472200
6.0647861870	1.9259964330	4.1480008830	6.0647861870	46.0450096000	10.4740739500
6.0885696620	1.9380332660	4.1506315360	6.0885696620	46.0445740400	10.4781025100
6.1123531370	1.9917802760	4.1503991170	6.1123531370	46.0451092400	10.4773973000
6.1361366120	2.1659428980	4.1166751220	6.1361366120	46.0441135100	10.4842526900
6.1599200880	2.2208870080	4.1068271470	6.1599200880	46.0434292800	10.4852721200
6.1837035630	2.3250851750	4.0989899100	6.1837035630	46.0434923900	10.4821329900
6.2074870380	2.3557896960	4.1193575570	6.2074870380	46.0444212000	10.4828363500
6.2312705130	2.4075784120	4.0994746190	6.2312705130	46.0441613200	10.4854208100
6.2550539880	2.6210947190	4.0673687380	6.2550539880	46.0452895700	10.4818375300
6.2788374640	2.8835860120	4.0512890170	6.2788374640	46.0457978800	10.4783877700
6.3026209390	3.0117123190	4.0689499260	6.3026209390	46.0528468300	10.4745539800
6.3264044140	3.0456800180	4.0551411830	6.3264044140	46.0494458400	10.4788810400
6.3501878890	3.7315343850	4.0032871660	6.3501878890	46.0587408300	10.4691318800
6.3739713650	3.8217377040	3.9819466260	6.3739713650	46.0515739900	10.4741754100
6.3977548400	3.7849474770	3.9784371970	6.3977548400	46.0483839000	10.4782084300
6.4215383150	3.7465049210	3.9860719260	6.4215383150	46.0469109100	10.4834268500
6.4453217900	3.8439404400	4.0008979190	6.4453217900	46.0484644700	10.4830418400
6.4691052660	4.8411174320	3.9393447320	6.4691052660	46.0467142000	10.4789607900
6.4928887410	6.9770014980	3.7576119820	6.4928887410	46.0544919600	10.4307411100
6.5166722160	8.5778635750	3.6425748340	6.5166722160	46.0870803400	10.3844406200
			6.5404556910	46.1310703500	10.1803420800
			6.5642391670	46.0249822800	10.2818874000
			6.5880226420	45.8898380700	10.4399682000
			6.6118061170	45.8841653100	10.4499666900
			6.6355895920	45.9293257200	10.4291239400
			6.6593730680	45.9247425900	10.4317511300
			6.6831565430	45.9070780000	10.4440812400
			6.7069400180	45.8753542500	10.4554392200
			6.7307234930	45.8580740100	10.4794532800
			6.7545069690	45.8700628000	10.4668325000
			6.7782904440	45.8772672400	10.4554603700
			6.8020739190	45.8786112300	10.4515314900
			6.8258573940	45.8793388500	10.4547041400
			6.8496408700	45.8851160800	10.4474428900
			6.8734243450	45.8842901000	10.4471574000
			6.8972078200	45.8850139700	10.4455229600
			6.9209912950	45.8865871300	10.4452911000
			6.9447747700	45.8864657000	10.4444639500
			6.9685582460	45.8870318900	10.4436079400
			6.9923417210	45.8868766500	10.4432108200
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
