 CALbump2BEST 			CALext		
 t 	 x 	 y 	t	x	y
0	 19.3614698100 	 4.6143753200 	0	-7.78917256	14.58549156
 0.0235549065 	 19.3637636300 	 4.6143688030 	0.023554906	-7.789679208	14.58432408
 0.0471098130 	 19.3603613300 	 4.6142259030 	0.047109813	-7.790016284	14.58394636
 0.0706647195 	 19.3628432500 	 4.6146523240 	0.070664719	-7.789334102	14.5840825
 0.0942196260 	 19.3645964600 	 4.6148823660 	0.094219626	-7.789387338	14.58391685
 0.1177745324 	 19.3637328900 	 4.6150130110 	0.117774532	-7.789427675	14.58431417
 0.1413294389 	 19.3622973400 	 4.6151467240 	0.141329439	-7.789626832	14.58418772
 0.1648843454 	 19.3615523200 	 4.6158061450 	0.164884345	-7.788790228	14.58385488
 0.1884392519 	 19.3651561500 	 4.6165514740 	0.188439252	-7.790109789	14.58470852
 0.2119941584 	 19.3636823100 	 4.6167345320 	0.211994158	-7.789139231	14.58421197
 0.2355490649 	 19.3631118700 	 4.6163641430 	0.235549065	-7.789668358	14.5839288
 0.2591039714 	 19.3643901100 	 4.6164328420 	0.259103971	-7.790474424	14.58390313
 0.2826588778 	 19.3639390000 	 4.6168589450 	0.282658878	-7.791070556	14.58425175
 0.3062137843 	 19.3639000600 	 4.6167131780 	0.306213784	-7.790123733	14.58417252
 0.3297686908 	 19.3670572300 	 4.6164984940 	0.329768691	-7.790249715	14.58422753
 0.3533235973 	 19.3660328200 	 4.6161647340 	0.353323597	-7.789839654	14.58432318
 0.3768785038 	 19.3661040500 	 4.6161360370 	0.376878504	-7.790081884	14.58431057
 0.4004334103 	 19.3670771700 	 4.6155675060 	0.40043341	-7.790015365	14.58437807
 0.4239883168 	 19.3601484000 	 4.6130404670 	0.423988317	-7.790304222	14.58445283
 0.4475432233 	 19.3554331000 	 4.6111209030 	0.447543223	-7.789455837	14.58396503
 0.4710981297 	 19.3598002900 	 4.6094219080 	0.47109813	-7.789654293	14.58411783
 0.4946530362 	 19.3608691400 	 4.6087457800 	0.494653036	-7.7884003	14.58414052
 0.5182079427 	 19.3593362400 	 4.6078112380 	0.518207943	-7.788699878	14.58372438
 0.5417628492 	 19.3562124000 	 4.6076759940 	0.541762849	-7.78754724	14.58354349
 0.5653177557 	 19.3582614800 	 4.6060355410 	0.565317756	-7.788725736	14.58425781
 0.5888726622 	 19.3559325300 	 4.5983205280 	0.588872662	-7.786641597	14.58406295
 0.6124275687 	 19.3558195400 	 4.6044578590 	0.612427569	-7.787292402	14.58373463
 0.6359824751 	 19.3529449200 	 4.6043955440 	0.635982475	-7.786221449	14.58382238
 0.6595373816 	 19.3499450700 	 4.5996811290 	0.659537382	-7.786302042	14.5836272
 0.6830922881 	 19.3481775000 	 4.6019390290 	0.683092288	-7.786452125	14.58303253
 0.7066471946 	 19.3362894400 	 4.6066135510 	0.706647195	-7.784283206	14.58244651
 0.7302021011 	 19.3152507200 	 4.6071756690 	0.730202101	-7.7825614	14.582375
 0.7537570076 	 19.2430083200 	 4.6062802850 	0.753757008	-7.781798569	14.58181585
 0.7773119141 	 19.2239822100 	 4.6098951950 	0.777311914	-7.777341878	14.58142124
 0.8008668206 	 19.1965240700 	 4.6120992850 	0.800866821	-7.776372272	14.57911147
 0.8244217270 	 19.1593404600 	 4.6155080230 	0.824421727	-7.779879944	14.57711314
 0.8479766335 	 19.0765048500 	 4.6236509270 	0.847976634	-7.779822983	14.57935836
 0.8715315400 	 19.0682763700 	 4.6274814120 	0.87153154	-7.777099825	14.57992883
 0.8950864465 	 19.0518688000 	 4.6491439910 	0.895086447	-7.778926042	14.57797881
 0.9186413530 	 19.0420445600 	 4.6699492250 	0.918641353	-7.783790016	14.57590037
 0.9421962595 	 19.0239045100 	 4.6911505740 	0.94219626	-7.787022654	14.57668022
 0.9657511660 	 19.0283325300 	 4.6985631930 	0.965751166	-7.788298401	14.57688639
 0.9893060725 	 18.9793761400 	 4.7491976470 	0.989306073	-7.794146222	14.57724589
 1.0128609790 	 18.9753728700 	 4.7665352160 	1.012860979	-7.792582581	14.57815047
 1.0364158850 	 18.9521354400 	 4.7780032920 	1.036415885	-7.794711813	14.57739085
 1.0599707920 	 18.9468330500 	 4.7912695010 	1.059970792	-7.793217966	14.57886653
 1.0835256980 	 18.9112028200 	 4.8275363060 	1.083525698	-7.792541564	14.57883448
 1.1070806050 	 18.8527531600 	 4.8418773110 	1.107080605	-7.794151757	14.57923802
 1.1306355110 	 18.8327203800 	 4.8484882040 	1.130635511	-7.794307914	14.57937657
 1.1541904180 	 18.8101730400 	 4.8590774060 	1.154190418	-7.794250569	14.57973352
 1.1777453240 	 18.7709107400 	 4.8961182420 	1.177745324	-7.795256155	14.58050127
 1.2013002310 	 18.7631204100 	 4.9062431630 	1.201300231	-7.794713889	14.58175364
 1.2248551370 	 18.7582870800 	 4.9163638010 	1.224855137	-7.794502752	14.58127437
 1.2484100440 	 18.7432798300 	 4.9296032480 	1.248410044	-7.797076003	14.58154836
 1.2719649500 	 18.7451427700 	 4.9743851660 	1.27196495	-7.797470795	14.58178029
 1.2955198570 	 18.7458130400 	 4.9834108360 	1.295519857	-7.794843835	14.58222641
 1.3190747630 	 18.7497553300 	 5.0011148890 	1.319074763	-7.795860729	14.58321857
 1.3426296700 	 18.7673926400 	 5.0066312120 	1.34262967	-7.795881302	14.58381983
 1.3661845760 	 18.7656476500 	 5.0080405810 	1.366184576	-7.796064072	14.5825839
 1.3897394830 	 18.7598617200 	 5.0170606660 	1.389739483	-7.79662179	14.58405556
 1.4132943890 	 18.7907293000 	 5.0271125960 	1.413294389	-7.7948869	14.58489031
 1.4368492960 	 18.7822734300 	 5.0504843060 	1.436849296	-7.792647776	14.58598185
 1.4604042020 	 18.7673357600 	 5.0628894780 	1.460404202	-7.798013365	14.58457194
 1.4839591090 	 18.7713003200 	 5.0661489320 	1.483959109	-7.799002564	14.58525922
 1.5075140150 	 18.7654262500 	 5.0792280010 	1.507514015	-7.797547017	14.58644535
 1.5310689220 	 18.7589414200 	 5.0898856560 	1.531068922	-7.801871133	14.58610284
 1.5546238280 	 18.7649147000 	 5.0996637260 	1.554623828	-7.796586831	14.58752166
 1.5781787350 	 18.7695417200 	 5.0954239760 	1.578178735	-7.798202998	14.58737667
 1.6017336410 	 18.7734474500 	 5.0966299220 	1.601733641	-7.79894644	14.58662811
 1.6252885480 	 18.7797749900 	 5.0931406920 	1.625288548	-7.796022442	14.5869206
 1.6488434540 	 18.7987293900 	 5.0921699190 	1.648843454	-7.798103283	14.58532345
 1.6723983610 	 18.8016663300 	 5.0856670840 	1.672398361	-7.796348048	14.58565198
 1.6959532670 	 18.8239616500 	 5.0816817440 	1.695953267	-7.793877706	14.58676281
 1.7195081740 	 18.8269912500 	 5.0822403540 	1.719508174	-7.797317087	14.58487412
 1.7430630800 	 18.8352011500 	 5.0814680280 	1.74306308	-7.794190514	14.58269273
 1.7666179870 	 18.8309221900 	 5.0791363730 	1.766617987	-7.793555888	14.58186093
 1.7901728930 	 18.8207965100 	 5.0784424740 	1.790172893	-7.791700154	14.58368676
 1.8137278000 	 18.8154511200 	 5.0824595470 	1.8137278	-7.794511816	14.58501571
 1.8372827060 	 18.8182973900 	 5.0792175700 	1.837282706	-7.795775513	14.58417702
 1.8608376120 	 18.8133723600 	 5.0762770270 	1.860837612	-7.79482957	14.58369891
 1.8843925190 	 18.8018971300 	 5.0750684230 	1.884392519	-7.792768789	14.58553145
 1.9079474250 	 18.7783343500 	 5.0742784950 	1.907947425	-7.796476859	14.58369387
 1.9315023320 	 18.7721341600 	 5.0739739800 	1.931502332	-7.796393356	14.58408533
 1.9550572380 	 18.7416161000 	 5.0808100780 	1.955057238	-7.793366813	14.58510202
 1.9786121450 	 18.7427458600 	 5.0813617060 	1.978612145	-7.794329235	14.58534429
 2.0021670510 	 18.7396719200 	 5.0843313590 	2.002167051	-7.798376533	14.58486557
 2.0257219580 	 18.7412136100 	 5.0874420600 	2.025721958	-7.79730937	14.58464397
 2.0492768640 	 18.7504162100 	 5.0830992410 	2.049276864	-7.794128219	14.58503117
 2.0728317710 	 18.7500346400 	 5.0818700730 	2.072831771	-7.79562482	14.58589591
 2.0963866770 	 18.7399901100 	 5.0859277330 	2.096386677	-7.794899305	14.5852993
 2.1199415840 	 18.7299682100 	 5.0943911580 	2.119941584	-7.795846318	14.58653138
 2.1434964900 	 18.7025799100 	 5.0966629110 	2.14349649	-7.796355133	14.5860284
 2.1670513970 	 18.6816419300 	 5.1065086250 	2.167051397	-7.796773882	14.58638915
 2.1906063030 	 18.6476204700 	 5.1280612650 	2.190606303	-7.797952778	14.58613817
 2.2141612100 	 18.6358105400 	 5.1329688940 	2.21416121	-7.794181982	14.58685501
 2.2377161160 	 18.6308277000 	 5.1358961410 	2.237716116	-7.796838985	14.58629803
 2.2612710230 	 18.6178642300 	 5.1393230960 	2.261271023	-7.796107099	14.58631793
 2.2848259290 	 18.6051522400 	 5.1417256360 	2.284825929	-7.796166445	14.58697473
 2.3083808360 	 18.5903950400 	 5.1424751150 	2.308380836	-7.795554093	14.58623414
 2.3319357420 	 18.5996487500 	 5.1433347380 	2.331935742	-7.798182671	14.58555371
 2.3554906490 	 18.6142306600 	 5.1427113680 	2.355490649	-7.79804862	14.58568648
 2.3790455550 	 18.6121361600 	 5.1416714140 	2.379045555	-7.798730006	14.58625523
 2.4026004620 	 18.6085823900 	 5.1416065200 	2.402600462	-7.800021648	14.58615886
 2.4261553680 	 18.6113029100 	 5.1411239660 	2.426155368	-7.798022356	14.58600397
 2.4497102750 	 18.6123782000 	 5.1408557000 	2.449710275	-7.798135049	14.58614107
 2.4732651810 	 18.6060181700 	 5.1409581030 	2.473265181	-7.799627552	14.58647014
 2.4968200880 	 18.6028080900 	 5.1414769530 	2.496820088	-7.799500969	14.58713561
 2.5203749940 	 18.5951354100 	 5.1426232690 	2.520374994	-7.797145501	14.58726197
 2.5439299010 	 18.5553991500 	 5.1454705820 	2.543929901	-7.79814899	14.58642224
 2.5674848070 	 18.5073244300 	 5.1485893080 	2.567484807	-7.794479826	14.58707907
 2.5910397140 	 18.4681260400 	 5.1525256050 	2.591039714	-7.795749699	14.58744495
 2.6145946200 	 18.4490308100 	 5.1547651100 	2.61459462	-7.795899294	14.58764101
 2.6381495270 	 18.3399304500 	 5.1589551600 	2.638149527	-7.797672423	14.58840383
 2.6617044330 	 18.3197997900 	 5.1593734000 	2.661704433	-7.799614666	14.58829636
 2.6852593400 	 18.2969389400 	 5.1657000810 	2.68525934	-7.794130163	14.58894276
 2.7088142460 	 18.2536950900 	 5.1689455090 	2.708814246	-7.794062292	14.5883486
 2.7323691520 	 18.2297202300 	 5.1707379180 	2.732369152	-7.795231288	14.58932524
 2.7559240590 	 18.2319022200 	 5.1693502420 	2.755924059	-7.794965582	14.59050071
 2.7794789650 	 18.2069744900 	 5.1728736930 	2.779478965	-7.794207392	14.58950862
 2.8030338720 	 18.1924814900 	 5.1668820580 	2.803033872	-7.795633021	14.58973829
 2.8265887780 	 18.1803834800 	 5.1618082840 	2.826588778	-7.792870328	14.58912924
 2.8501436850 	 18.1317191600 	 5.1673704570 	2.850143685	-7.793707062	14.58882001
 2.8736985910 	 18.0970260000 	 5.1677368340 	2.873698591	-7.793699891	14.58921785
 2.8972534980 	 18.0788997400 	 5.1690851970 	2.897253498	-7.794788949	14.58896563
 2.9208084040 	 18.0160685000 	 5.1780400370 	2.920808404	-7.797121254	14.58832505
 2.9443633110 	 17.9165776100 	 5.1935947050 	2.944363311	-7.795191899	14.58795789
 2.9679182170 	 17.8858840100 	 5.1994083830 	2.967918217	-7.792143396	14.58784729
 2.9914731240 	 17.8300483300 	 5.2029956710 	2.991473124	-7.794837027	14.5884938
 3.0150280300 	 17.7785074100 	 5.2061038760 	3.01502803	-7.794702366	14.58704108
 3.0385829370 	 17.7344169000 	 5.2089574030 	3.038582937	-7.793166108	14.58726161
 3.0621378430 	 17.6661399800 	 5.2108700780 	3.062137843	-7.792875146	14.58799611
 3.0856927500 	 17.6263693300 	 5.2130570620 	3.08569275	-7.792754053	14.5884878
 3.1092476560 	 17.5654795500 	 5.2109928540 	3.109247656	-7.793786236	14.58965055
 3.1328025630 	 17.5531599100 	 5.2111564810 	3.132802563	-7.796240027	14.59049496
 3.1563574690 	 17.5079864300 	 5.2083520120 	3.156357469	-7.801130554	14.59025831
 3.1799123760 	 17.4845340500 	 5.2088456570 	3.179912376	-7.801844087	14.59003321
 3.2034672820 	 17.4751460500 	 5.2090759430 	3.203467282	-7.801423376	14.59037506
 3.2270221890 	 17.4429010600 	 5.2079150090 	3.227022189	-7.805243153	14.58916001
 3.2505770950 	 17.3987354500 	 5.2088501190 	3.250577095	-7.806547283	14.58930915
 3.2741320020 	 17.3529798200 	 5.2100387070 	3.274132002	-7.806823093	14.5899826
 3.2976869080 	 17.3039662500 	 5.2127967910 	3.297686908	-7.815948608	14.59471636
 3.3212418150 	 17.2726442500 	 5.2099384600 	3.321241815	-7.816299411	14.59289921
 3.3447967210 	 17.2195153500 	 5.2107259430 	3.344796721	-7.823939344	14.59674126
 3.3683516280 	 17.1658601600 	 5.2105735790 	3.368351628	-7.823687656	14.5945505
 3.3919065340 	 17.0822043100 	 5.2104241540 	3.391906534	-7.833025165	14.59638324
 3.4154614410 	 17.0157054200 	 5.2079303940 	3.415461441	-7.845619966	14.5949612
 3.4390163470 	 16.9805047500 	 5.2100712480 	3.439016347	-7.851553161	14.59321187
 3.4625712540 	 16.9516503800 	 5.2104447810 	3.462571254	-7.859660746	14.59293305
 3.4861261600 	 16.9601302400 	 5.2104224780 	3.48612616	-7.85689708	14.59117353
 3.5096810670 	 16.9624371000 	 5.2111168720 	3.509681067	-7.861554146	14.59124278
 3.5332359730 	 16.8917150300 	 5.2134158660 	3.533235973	-7.853645585	14.5912395
 3.5567908800 	 16.8354433700 	 5.2137109050 	3.55679088	-7.861173864	14.59098226
 3.5803457860 	 16.7841117400 	 5.2110928130 	3.580345786	-7.859787952	14.58916276
 3.6039006930 	 16.7642144700 	 5.2095154270 	3.603900693	-7.871601955	14.58635605
 3.6274555990 	 16.7571972300 	 5.2065696300 	3.627455599	-7.880316505	14.58669246
 3.6510105050 	 16.7349825800 	 5.2057469130 	3.651010505	-7.880565353	14.58617706
 3.6745654120 	 16.6948501400 	 5.2020899100 	3.674565412	-7.885794332	14.58617354
 3.6981203180 	 16.6855907300 	 5.2020275190 	3.698120318	-7.882524209	14.58627797
 3.7216752250 	 16.6854961100 	 5.1990704670 	3.721675225	-7.89010697	14.58509561
 3.7452301310 	 16.6801933900 	 5.1945962960 	3.745230131	-7.891411216	14.58619461
 3.7687850380 	 16.6684039900 	 5.1916794670 	3.768785038	-7.887282183	14.58586493
 3.7923399440 	 16.6403817700 	 5.1925089650 	3.792339944	-7.886718959	14.58581702
 3.8158948510 	 16.6266805000 	 5.1951588790 	3.815894851	-7.886220976	14.58749426
 3.8394497570 	 16.5819039900 	 5.1950030510 	3.839449757	-7.893346703	14.58283818
 3.8630046640 	 16.5711612400 	 5.1996262910 	3.863004664	-7.890030225	14.5859817
 3.8865595700 	 16.5420287900 	 5.2045612900 	3.88655957	-7.882994734	14.58737703
 3.9101144770 	 16.5175904300 	 5.2045434180 	3.910114477	-7.886416203	14.58466426
 3.9336693830 	 16.4662488400 	 5.2004351990 	3.933669383	-7.881310962	14.58381395
 3.9572242900 	 16.4364336200 	 5.2005458690 	3.95722429	-7.881085687	14.5823084
 3.9807791960 	 16.3897426500 	 5.2036151370 	3.980779196	-7.878183232	14.58230446
 4.0043341030 	 16.3321474800 	 5.1985329840 	4.004334103	-7.873502032	14.58329711
 4.0278890090 	 16.3403274900 	 5.1944195040 	4.027889009	-7.875831048	14.58140176
 4.0514439160 	 16.3454845600 	 5.1986196200 	4.051443916	-7.873851352	14.58241178
 4.0749988220 	 16.3323801600 	 5.1936652170 	4.074998822	-7.872426183	14.57992597
 4.0985537290 	 16.3109103200 	 5.1940681280 	4.098553729	-7.87640332	14.57986043
 4.1221086350 	 16.2879410100 	 5.1950715210 	4.122108635	-7.872297471	14.58012283
 4.1456635420 	 16.3046531500 	 5.1961678590 	4.145663542	-7.870514249	14.58039831
 4.1692184480 	 16.3150665100 	 5.1950345910 	4.169218448	-7.872504872	14.57918937
 4.1927733550 	 16.3125187800 	 5.1985241450 	4.192773355	-7.871875091	14.58031732
 4.2163282610 	 16.2959888900 	 5.2010794970 	4.216328261	-7.872568898	14.57936235
 4.2398831680 	 16.2978734400 	 5.2028832120 	4.239883168	-7.876160684	14.57994517
 4.2634380740 	 16.2953284200 	 5.2032304730 	4.263438074	-7.871217475	14.57944206
 4.2869929810 	 16.2895229800 	 5.1998574530 	4.286992981	-7.869444706	14.57947219
 4.3105478870 	 16.2937830600 	 5.1960298290 	4.310547887	-7.869097386	14.58061957
 4.3341027940 	 16.2865099300 	 5.2005369660 	4.334102794	-7.868416585	14.58078912
 4.3576577000 	 16.2814791700 	 5.2040344150 	4.3576577	-7.869589491	14.58252893
 4.3812126070 	 16.2791569900 	 5.2041335020 	4.381212607	-7.866204634	14.58075915
 4.4047675130 	 16.2822140200 	 5.2037298020 	4.404767513	-7.868803792	14.58117706
 4.4283224200 	 16.2853110400 	 5.2015278540 	4.42832242	-7.868878427	14.58038948
 4.4518773260 	 16.2833188800 	 5.2010027980 	4.451877326	-7.865366182	14.58106364
 4.4754322330 	 16.2867445100 	 5.2025190960 	4.475432233	-7.865992961	14.57956159
 4.4989871390 	 16.2920945400 	 5.2045536000 	4.498987139	-7.864136145	14.58154859
 4.5225420460 	 16.2912085500 	 5.2042905160 	4.522542046	-7.868243552	14.58195506
 4.5460969520 	 16.2963214200 	 5.2019941750 	4.546096952	-7.868090097	14.58014003
 4.5696518580 	 16.3042432400 	 5.1986004280 	4.569651858	-7.865313522	14.58004205
 4.5932067650 	 16.3089202000 	 5.1989740210 	4.593206765	-7.863124603	14.58034495
 4.6167616710 	 16.3107606900 	 5.2005856210 	4.616761671	-7.861793604	14.58038881
 4.6403165780 	 16.3163131700 	 5.1979486590 	4.640316578	-7.863486351	14.57980556
 4.6638714840 	 16.4046068100 	 5.1673862060 	4.663871484	-7.858559956	14.57806221
 4.6874263910 	 16.4136528900 	 5.1605926060 	4.687426391	-7.858079416	14.57839231
 4.7109812970 	 16.4216472300 	 5.1589320780 	4.710981297	-7.860832652	14.57876655
 4.7345362040 	 16.4202903400 	 5.1551184960 	4.734536204	-7.855975666	14.57897086
 4.7580911100 	 16.4195607600 	 5.1526596790 	4.75809111	-7.859359438	14.57968189
 4.7816460170 	 16.4331889500 	 5.1492051270 	4.781646017	-7.86232514	14.57814846
 4.8052009230 	 16.4296112800 	 5.1535222780 	4.805200923	-7.856439108	14.57873077
 4.8287558300 	 16.4292615100 	 5.1507726280 	4.82875583	-7.861112876	14.57936758
 4.8523107360 	 16.4303382800 	 5.1477849320 	4.852310736	-7.855681945	14.57768236
 4.8758656430 	 16.4253953800 	 5.1465187660 	4.875865643	-7.860524147	14.57921362
 4.8994205490 	 16.4215821200 	 5.1461856020 	4.899420549	-7.857128216	14.57899574
 4.9229754560 	 16.3986645700 	 5.1498194800 	4.922975456	-7.863044737	14.57922258
 4.9465303620 	 16.3735542200 	 5.1514815260 	4.946530362	-7.864490768	14.57985823
 4.9700852690 	 16.3670633800 	 5.1469271460 	4.970085269	-7.866238345	14.57941349
 4.9936401750 	 16.3468290500 	 5.1463659470 	4.993640175	-7.861726381	14.57926043
 5.0171950820 	 16.3374309900 	 5.1444591700 	5.017195082	-7.865290974	14.579373
 5.0407499880 	 16.3412880200 	 5.1397871760 	5.040749988	-7.860352409	14.577692
 5.0643048950 	 16.3398645400 	 5.1391198870 	5.064304895	-7.862295443	14.57861827
 5.0878598010 	 16.3263092300 	 5.1377852510 	5.087859801	-7.862561421	14.57982425
 5.1114147080 	 16.2794385800 	 5.1365123020 	5.111414708	-7.862629762	14.57874492
 5.1349696140 	 16.2756759900 	 5.1366620290 	5.134969614	-7.859876083	14.57752608
 5.1585245210 	 16.2775557500 	 5.1357333180 	5.158524521	-7.861730032	14.57806436
 5.1820794270 	 16.2671450000 	 5.1335541960 	5.182079427	-7.859916138	14.57810948
 5.2056343340 	 16.2598092300 	 5.1359161070 	5.205634334	-7.864610858	14.57745603
 5.2291892400 	 16.2622108900 	 5.1272164930 	5.22918924	-7.861424018	14.57856497
 5.2527441470 	 16.2646258600 	 5.1278787720 	5.252744147	-7.861385711	14.57942479
 5.2762990530 	 16.2638798100 	 5.1275437940 	5.276299053	-7.861135859	14.57904768
 5.2998539600 	 16.2636402500 	 5.1227416740 	5.29985396	-7.859335339	14.57735789
 5.3234088660 	 16.2666602500 	 5.1210658100 	5.323408866	-7.859307073	14.57776296
 5.3469637730 	 16.2707229200 	 5.1208716700 	5.346963773	-7.85880374	14.57855449
 5.3705186790 	 16.2748985200 	 5.1259649350 	5.370518679	-7.857944172	14.57915967
 5.3940735860 	 16.2751879200 	 5.1282920130 	5.394073586	-7.855096139	14.57772417
 5.4176284920 	 16.2800805800 	 5.1282575370 	5.417628492	-7.854672428	14.57740086
 5.4411833990 	 16.3099773400 	 5.1139678280 	5.441183399	-7.853255698	14.57745742
 5.4647383050 	 16.3137967500 	 5.1299221620 	5.464738305	-7.852330297	14.58137235
 5.4882932110 	 16.3565600800 	 5.1304591500 	5.488293211	-7.850451544	14.58059458
 5.5118481180 	 16.3777849500 	 5.1321681350 	5.511848118	-7.854622306	14.5810944
 5.5354030240 	 16.4041747500 	 5.1350431730 	5.535403024	-7.85443474	14.5809273
 5.5589579310 	 16.4507858400 	 5.1108018910 	5.558957931	-7.854251474	14.58011677
 5.5825128370 	 16.4772267600 	 5.0960632720 	5.582512837	-7.855092685	14.58012443
 5.6060677440 	 16.4894241400 	 5.1046901610 	5.606067744	-7.861767749	14.58176363
 5.6296226500 	 16.5005296200 	 5.1060717420 	5.62962265	-7.861549971	14.58208128
 5.6531775570 	 16.5033009900 	 5.1119849650 	5.653177557	-7.863050972	14.58115829
