GMfas1MMM			GMextMMM		
t	x	y	t	x	y
2.0523100420	16.3217435500	2.7918712330	2.0523100420	46.1687992900	8.8373371780
2.0761741120	16.2218560500	2.8127900530	2.0761741120	46.1683975300	8.8351648250
2.1000381830	16.0641717800	2.8462079390	2.1000381830	46.1708366100	8.8317209700
2.1239022530	15.9294056700	2.8690987610	2.1239022530	46.1696367800	8.8293392290
2.1477663230	15.8125920400	2.8954252870	2.1477663230	46.1690150200	8.8281914950
2.1716303930	15.6872954500	2.9221819920	2.1716303930	46.1657101800	8.8285594040
2.1954944640	15.5285443600	2.9511307460	2.1954944640	46.1656239600	8.8268455610
2.2193585340	15.2432955900	2.9969763530	2.2193585340	46.1684299000	8.8185547960
2.2432226040	15.0982277000	3.0224676790	2.2432226040	46.1676564400	8.8180811640
2.2670866740	14.9529790900	3.0491299480	2.2670866740	46.1681800400	8.8115301920
2.2909507450	14.9037720700	3.0590071880	2.2909507450	46.1676024500	8.8117334900
2.3148148150	14.7800032200	3.0871700200	2.3148148150	46.1690094900	8.8065970290
2.3386788850	14.6473072000	3.1147358220	2.3386788850	46.1676079700	8.8031964630
2.3625429550	14.5007911600	3.1374831320	2.3625429550	46.1685564300	8.8033705570
2.3864070260	14.3456104900	3.1518226810	2.3864070260	46.1140209400	8.8020483470
2.4102710960	14.2824509200	3.1600483070	2.4102710960	46.1166256800	8.7917267040
2.4341351660	14.0419370000	3.1464340230	2.4341351660	46.1131526100	8.7812745580
2.4579992360	13.9495338900	3.1510293540	2.4579992360	46.1145479800	8.7784268440
2.4818633070	13.9068697800	3.1587052150	2.4818633070	46.1147932700	8.7758887410
2.5057273770	13.7218398100	3.1798485240	2.5057273770	46.1238734300	8.7691615730
2.5295914470	13.6695498900	3.2003522140	2.5295914470	46.1196293200	8.7708549780
2.5534555170	13.6176597400	3.2139304760	2.5534555170	46.1177015700	8.7715964530
2.5773195880	13.5802285700	3.2220981230	2.5773195880	46.1177444800	8.7713154700
2.6011836580	13.4743497500	3.2394069480	2.6011836580	46.1174677500	8.7720504210
2.6250477280	13.3685909300	3.2117543530	2.6250477280	46.1260878200	8.7659725460
2.6489117980	13.2725190800	3.2171761230	2.6489117980	46.1277093200	8.7637124920
2.6727758690	13.1649118300	3.2335878910	2.6727758690	46.1280169600	8.7639459550
2.6966399390	13.0046755500	3.2519778410	2.6966399390	46.1260470200	8.7692040420
2.7205040090	12.9806072600	3.2574476290	2.7205040090	46.1280476300	8.7664550940
2.7443680790	12.9456029900	3.2649091100	2.7443680790	46.1315755600	8.7658153100
