SOLfasBEST			SOLext		
t	x	y	t	x	y
0.0000000000000	7.4025972420000	9.3228198350000	0.0000000000000	-13.1354357100000	14.1094616600000
0.0596125186300	7.4321654170000	9.3221096730000	0.0596125186300	-13.1355127300000	14.1089352600000
0.1192250373000	7.5575470050000	9.3271899010000	0.1192250373000	-13.1354168700000	14.1087922600000
0.1788375559000	7.6463476490000	9.3310368150000	0.1788375559000	-13.1356443800000	14.1088122400000
0.2384500745000	7.6850222860000	9.3283333800000	0.2384500745000	-13.1365572500000	14.1088303700000
0.2980625931000	7.7273791100000	9.3311912410000	0.2980625931000	-13.1377778000000	14.1090187900000
0.3576751118000	7.7633733180000	9.3389986890000	0.3576751118000	-13.1371985400000	14.1084176400000
0.4172876304000	7.8350022790000	9.3359748960000	0.4172876304000	-13.1379290700000	14.1084453200000
0.4769001490000	7.9115514670000	9.3375963150000	0.4769001490000	-13.1370459500000	14.1089053100000
0.5365126677000	7.9850775770000	9.3458248630000	0.5365126677000	-13.1391028400000	14.1085757300000
0.5961251863000	8.0957939010000	9.3633653020000	0.5961251863000	-13.1380162400000	14.1087243400000
0.6557377049000	8.1606395840000	9.3870845470000	0.6557377049000	-13.1383499100000	14.1091118000000
0.7153502235000	8.1978488180000	9.3885203910000	0.7153502235000	-13.1398614700000	14.1085265500000
0.7749627422000	8.3076794020000	9.3908257720000	0.7749627422000	-13.1410266800000	14.1089896300000
0.8345752608000	8.3299517410000	9.3946075800000	0.8345752608000	-13.1428110500000	14.1083646300000
0.8941877794000	8.3874360830000	9.3966101610000	0.8941877794000	-13.1448899300000	14.1080415400000
0.9538002981000	8.3946986970000	9.4033237240000	0.9538002981000	-13.1446588900000	14.1074862600000
1.0134128170000	8.4438919460000	9.4077993170000	1.0134128170000	-13.1497882900000	14.1067438600000
1.0730253350000	8.4640289990000	9.4081299380000	1.0730253350000	-13.1581310300000	14.1064565000000
1.1326378540000	8.5114727560000	9.4113690440000	1.1326378540000	-13.1638115100000	14.1065191700000
1.1922503730000	8.6080958100000	9.4116188630000	1.1922503730000	-13.1533481800000	14.1066788300000
1.2518628910000	8.6915089700000	9.4094932060000	1.2518628910000	-13.1613206400000	14.1059878500000
