GMfasMMM			GMext		
t	x	y	t	x	y
0.5338831716	26.2247533600	0.5898299127	0.5338831716	46.9791023500	13.2391211600
0.5522929362	26.2251756100	0.5898058074	0.5522929362	46.9795594100	13.2391098600
0.5707027007	26.2253938300	0.5899459646	0.5707027007	46.9788658500	13.2396050600
0.5891124653	26.2242097900	0.5898454413	0.5891124653	46.9790712000	13.2383245900
0.6075222298	26.2252037300	0.5896929517	0.6075222298	46.9790766600	13.2388260400
0.6259319943	26.2253462600	0.5895339951	0.6259319943	46.9792042900	13.2387681300
0.6443417589	26.2257842300	0.5894697337	0.6443417589	46.9801054500	13.2391903800
0.6627515234	26.2258147000	0.5893401708	0.6627515234	46.9793441900	13.2383874400
0.6811612879	26.2256575800	0.5891675936	0.6811612879	46.9798623900	13.2380231500
0.6995710525	26.2262666900	0.5893279699	0.6995710525	46.9796508700	13.2378056100
0.7179808170	26.2249096800	0.5891879380	0.7179808170	46.9791185700	13.2374727600
0.7363905816	26.2262552800	0.5889542523	0.7363905816	46.9793034500	13.2375673200
0.7548003461	26.2255379200	0.5892815296	0.7548003461	46.9792510900	13.2374679600
0.7732101106	26.2257785900	0.5890943881	0.7732101106	46.9785589800	13.2366178400
0.7916198752	26.2260588100	0.5889858332	0.7916198752	46.9800585400	13.2371060900
0.8100296397	26.2250650300	0.5890367417	0.8100296397	46.9796525200	13.2370703200
0.8284394043	26.2256034400	0.5889524532	0.8284394043	46.9794175900	13.2366731400
0.8468491688	26.2260426500	0.5890587072	0.8468491688	46.9796108000	13.2366690900
0.8652589333	26.2260243300	0.5890738803	0.8652589333	46.9796627800	13.2360642500
0.8836686979	26.2250301900	0.5891445368	0.8836686979	46.9788318600	13.2357406900
0.9020784624	26.2256698200	0.5890454385	0.9020784624	46.9783547800	13.2362188700
0.9204882270	26.2265707200	0.5889060898	0.9204882270	46.9787602000	13.2346054600
0.9388979915	26.2258022300	0.5887186133	0.9388979915	46.9789128300	13.2350052500
0.9573077560	26.2280673400	0.5882847390	0.9573077560	46.9794786700	13.2350123000
0.9757175206	26.2282093700	0.5883298469	0.9757175206	46.9786079000	13.2353672800
0.9941272851	26.2321944300	0.5882252539	0.9941272851	46.9792157600	13.2345742900
1.0125370500	26.2381875100	0.5884487881	1.0125370500	46.9786469500	13.2341949300
1.0309468140	26.2452089300	0.5887487182	1.0309468140	46.9793699700	13.2340824900
1.0493565790	26.2556233100	0.5899442799	1.0493565790	46.9794253100	13.2349653000
1.0677663430	26.2572539600	0.5897219734	1.0677663430	46.9794750900	13.2345346800
