 CALbump 			 CALext 		
 t 	 x 	 y 	 t 	 x 	 y 
 1.19861410 	 15.82873956 	 10.55528403 	 1.19861410 	 -15.63904445 	 13.45996919 
 1.21734245 	 15.80840281 	 10.55602022 	 1.21734245 	 -15.64657787 	 13.46415782 
 1.23607079 	 15.79538126 	 10.55581390 	 1.23607079 	 -15.65276336 	 13.46259647 
 1.25479914 	 15.75415442 	 10.55593401 	 1.25479914 	 -15.65685649 	 13.46361397 
 1.27352748 	 15.69357350 	 10.55519607 	 1.27352748 	 -15.65836423 	 13.45968601 
 1.29225583 	 15.65829624 	 10.55569581 	 1.29225583 	 -15.65525158 	 13.45481545 
 1.31098418 	 15.63988057 	 10.55571375 	 1.31098418 	 -15.65424615 	 13.45319898 
 1.32971252 	 15.57732823 	 10.55525075 	 1.32971252 	 -15.65180368 	 13.45032050 
 1.34844087 	 15.54281805 	 10.55621932 	 1.34844087 	 -15.64743226 	 13.44582478 
 1.36716921 	 15.50999747 	 10.55681001 	 1.36716921 	 -15.64109386 	 13.43389490 
 1.38589756 	 15.40084408 	 10.55543440 	 1.38589756 	 -15.66809456 	 13.41825276 
 1.40462590 	 15.37256598 	 10.55628203 	 1.40462590 	 -15.65681223 	 13.40924603 
 1.42335425 	 15.28633246 	 10.55899195 	 1.42335425 	 -15.65012028 	 13.39415049 
 1.44208259 	 15.16374790 	 10.56112448 	 1.44208259 	 -15.64397649 	 13.38143531 
 1.46081094 	 15.08476087 	 10.55978324 	 1.46081094 	 -15.62812631 	 13.36986511 
 1.47953928 	 15.04682663 	 10.56034323 	 1.47953928 	 -15.62316164 	 13.36553933 
 1.49826763 	 14.93911881 	 10.55963917 	 1.49826763 	 -15.61630104 	 13.36512147 
 1.51699597 	 14.85552005 	 10.56128527 	 1.51699597 	 -15.59385111 	 13.36959635 
 1.53572432 	 14.78549436 	 10.56230835 	 1.53572432 	 -15.61416079 	 13.37371609 
 1.55445266 	 14.72123190 	 10.56229246 	 1.55445266 	 -15.62481073 	 13.38848719 
 1.57318101 	 14.62416066 	 10.56074629 	 1.57318101 	 -15.62353839 	 13.39639149 
 1.59190936 	 14.59410564 	 10.56110827 	 1.59190936 	 -15.62010301 	 13.40645911 
 1.61063770 	 14.59291116 	 10.55993529 	 1.61063770 	 -15.62390790 	 13.41328624 
 1.62936605 	 14.57772764 	 10.55954717 	 1.62936605 	 -15.61853802 	 13.42008606 
 1.64809439 	 14.55769120 	 10.56034970 	 1.64809439 	 -15.57358178 	 13.44307792 
 1.66682274 	 14.56382128 	 10.55927729 	 1.66682274 	 -15.56530882 	 13.45308575 
 1.68555108 	 14.55824585 	 10.55832581 	 1.68555108 	 -15.55829993 	 13.45965127 
 1.70427943 	 14.52492847 	 10.56083769 	 1.70427943 	 -15.55956175 	 13.46132957 
 1.72300777 	 14.46621400 	 10.56059715 	 1.72300777 	 -15.56614236 	 13.46324704 
 1.74173612 	 14.43060725 	 10.55966342 	 1.74173612 	 -15.56226331 	 13.46723061 
 1.76046446 	 14.39297541 	 10.56149947 	 1.76046446 	 -15.56433162 	 13.46850871 
 1.77919281 	 14.38356429 	 10.56244538 	 1.77919281 	 -15.56710493 	 13.46753641 
 1.79792115 	 14.36403461 	 10.56303127 	 1.79792115 	 -15.55295551 	 13.46300682 
 1.81664950 	 14.30129020 	 10.56121422 	 1.81664950 	 -15.56962805 	 13.46873983 
 1.83537784 	 14.27742824 	 10.55865258 	 1.83537784 	 -15.56883013 	 13.47010937 
 1.85410619 	 14.26079028 	 10.55884993 	 1.85410619 	 -15.54796595 	 13.46434117 
 1.87283454 	 14.26033092 	 10.55777831 	 1.87283454 	 -15.55029278 	 13.47083108 
 1.89156288 	 14.25531358 	 10.55702644 	 1.89156288 	 -15.54192790 	 13.47345500 
 1.91029123 	 14.25118816 	 10.55676147 	 1.91029123 	 -15.54613464 	 13.47554568 
 1.92901957 	 14.23918936 	 10.55678239 	 1.92901957 	 -15.54877564 	 13.47230171 
 1.94774792 	 14.19804112 	 10.55553448 	 1.94774792 	 -15.54983809 	 13.46894550 
 1.96647626 	 14.13298589 	 10.55519024 	 1.96647626 	 -15.55331720 	 13.46443257 
 1.98520461 	 14.11232366 	 10.55618911 	 1.98520461 	 -15.54341699 	 13.46497434 
 2.00393295 	 14.10752062 	 10.55637656 	 2.00393295 	 -15.53637553 	 13.46513669 
 2.02266130 	 14.09400106 	 10.55725035 	 2.02266130 	 -15.53735020 	 13.46172279 
 2.04138964 	 14.04219980 	 10.55750208 	 2.04138964 	 -15.55029340 	 13.45568563 
 2.06011799 	 13.99662449 	 10.55935838 	 2.06011799 	 -15.55342171 	 13.45392084 
 2.07884633 	 13.99931315 	 10.55895347 	 2.07884633 	 -15.55002623 	 13.45472229 
 2.09757468 	 13.98845460 	 10.55628802 	 2.09757468 	 -15.54937629 	 13.45465249 
 2.11630303 	 13.96957647 	 10.55669290 	 2.11630303 	 -15.55429079 	 13.45799619 
 2.13503137 	 13.95880372 	 10.55732116 	 2.13503137 	 -15.54459953 	 13.45262251 
 2.15375972 	 13.95594367 	 10.55710445 	 2.15375972 	 -15.53806937 	 13.45058211 
 2.17248806 	 13.95055588 	 10.55740808 	 2.17248806 	 -15.51303639 	 13.44462360 
 2.19121641 	 13.94741402 	 10.55682697 	 2.19121641 	 -15.49742886 	 13.44333826 
 2.20994475 	 13.93626570 	 10.55727170 	 2.20994475 	 -15.49105386 	 13.45042436 
 2.22867310 	 13.92915984 	 10.55726053 	 2.22867310 	 -15.49862493 	 13.45673843 
 2.24740144 	 13.92846669 	 10.55691287 	 2.24740144 	 -15.49878265 	 13.45967437 
 2.26612979 	 13.91619184 	 10.55740911 	 2.26612979 	 -15.48729572 	 13.45888272 
 2.28485813 	 13.91384027 	 10.55712306 	 2.28485813 	 -15.48047059 	 13.45726321 
 2.30358648 	 13.91487356 	 10.55691298 	 2.30358648 	 -15.46286472 	 13.45631640 
 2.32231482 	 13.92495594 	 10.55630202 	 2.32231482 	 -15.46321458 	 13.45674110 
 2.34104317 	 13.93079331 	 10.55592583 	 2.34104317 	 -15.44314889 	 13.46068450 
 2.35977151 	 13.94194064 	 10.55401445 	 2.35977151 	 -15.43285574 	 13.47453578 
 2.37849986 	 13.94585365 	 10.55286783 	 2.37849986 	 -15.41707229 	 13.47412393 
 2.39722821 	 13.94327176 	 10.55382275 	 2.39722821 	 -15.41577814 	 13.47423351 
 2.41595655 	 13.94132861 	 10.55397384 	 2.41595655 	 -15.41887459 	 13.47728424 
 2.43468490 	 13.93621944 	 10.55317979 	 2.43468490 	 -15.39659439 	 13.47786524 
 2.45341324 	 13.93750130 	 10.55340830 	 2.45341324 	 -15.39758817 	 13.47687307 
 2.47214159 	 13.94835043 	 10.55217454 	 2.47214159 	 -15.36442879 	 13.48295809 
 2.49086993 	 13.95624788 	 10.54997430 	 2.49086993 	 -15.34987822 	 13.50070125 
 2.50959828 	 13.95184486 	 10.55064553 	 2.50959828 	 -15.35939146 	 13.52463553 
 2.52832662 	 13.95075241 	 10.55093065 	 2.52832662 	 -15.35683513 	 13.52947978 
 2.54705497 	 13.95037651 	 10.55150534 	 2.54705497 	 -15.35388501 	 13.53305799 
 2.56578331 	 13.95198783 	 10.55122087 	 2.56578331 	 -15.35800151 	 13.53373493 
 2.58451166 	 13.95579609 	 10.55074463 	 2.58451166 	 -15.34685679 	 13.53572463 
 2.60324000 	 13.96053927 	 10.54997531 	 2.60324000 	 -15.35054985 	 13.54069818 
 2.62196835 	 13.95583852 	 10.54989617 	 2.62196835 	 -15.34697690 	 13.53823187 
 2.64069669 	 13.95219548 	 10.55106263 	 2.64069669 	 -15.35013448 	 13.54052240 
 2.65942504 	 13.95005474 	 10.55123172 	 2.65942504 	 -15.34372104 	 13.53732735 
 2.67815339 	 13.95138754 	 10.55157213 	 2.67815339 	 -15.34230875 	 13.53891200 
 2.69688173 	 13.95201917 	 10.55160851 	 2.69688173 	 -15.33621751 	 13.53403981 
 2.71561008 	 13.94883821 	 10.55232301 	 2.71561008 	 -15.33552281 	 13.53637567 
 2.73433842 	 13.93986927 	 10.55233526 	 2.73433842 	 -15.33642731 	 13.53930597 
 2.75306677 	 13.93772078 	 10.55289310 	 2.75306677 	 -15.33838989 	 13.54184102 
 2.77179511 	 13.93801280 	 10.55241348 	 2.77179511 	 -15.34057745 	 13.54279507 
 2.79052346 	 13.92780173 	 10.55177898 	 2.79052346 	 -15.34067802 	 13.54470941 
 2.80925180 	 13.92113223 	 10.55433494 	 2.80925180 	 -15.33273940 	 13.54549299 
