GMfasBEST			GMextMMM		
t	x	y	t	x	y
0.9671408015	21.8353742100	2.2477334500	0.9671408015	46.2803202700	12.2418985300
0.9907296016	21.6197942500	2.2847470640	0.9907296016	46.2909035800	12.2680022400
1.0143184020	21.4675899100	2.3078427350	1.0143184020	46.2881077700	12.2786527000
1.0379072020	21.3163668000	2.3372733530	1.0379072020	46.2895083300	12.2837058500
1.0614960020	21.1320640000	2.3597761510	1.0614960020	46.2882552300	12.2881100600
1.0850848020	20.9724982200	2.3970707370	1.0850848020	46.2795749800	12.2940174000
1.1086736020	20.8541754000	2.4062053770	1.1086736020	46.2792638800	12.2955416100
1.1322624020	20.5394548000	2.4425847460	1.1322624020	46.2624265600	12.3157175800
1.1558512020	20.4421863100	2.4609172020	1.1558512020	46.3092387700	12.3194649100
1.1794400020	20.3429610900	2.4651529830	1.1794400020	46.3048746100	12.3335403400
1.2030288020	20.2202179300	2.4771854440	1.2030288020	46.2933427100	12.3486095200
1.2266176020	20.1655226000	2.4468720530	1.2266176020	46.2839974600	12.3578206100
1.2502064020	20.0584164000	2.4541985700	1.2502064020	46.2800845700	12.3603042000
1.2737952020	19.8551246400	2.4395957170	1.2737952020	46.2761291700	12.3621185200
1.2973840020	19.7469259300	2.4367929140	1.2973840020	46.2615217900	12.3632166900
1.3209728020	19.7092142000	2.4229942560	1.3209728020	46.2370070000	12.3693536200
1.3445616020	19.5730407400	2.4285885330	1.3445616020	46.2077798000	12.3808969000
1.3681504020	19.4221236900	2.4418129640	1.3681504020	46.2039450700	12.3855207700
1.3917392020	19.2852153100	2.4479872270	1.3917392020	46.2038899000	12.3860576200
1.4153280020	19.0240389500	2.4468317540	1.4153280020	46.1867343400	12.3832231000
1.4389168020	18.8505208100	2.4631444810	1.4389168020	46.2492378300	12.4133287000
1.4625056020	18.7168692700	2.4745121980	1.4625056020	46.2365007000	12.4224695900
1.4860944020	18.5284757300	2.4791195950	1.4860944020	46.2212419300	12.4293323000
1.5096832020	18.4237868800	2.4848616190	1.5096832020	46.2228700100	12.4295126100
1.5332720020	18.3282600600	2.4929307910	1.5332720020	46.2176896500	12.4371410000
1.5568608020	18.2035567200	2.4942384510	1.5568608020	46.2115046100	12.4443229200
1.5804496030	18.1501197800	2.4838853070	1.5804496030	46.2101344500	12.4487234400
1.6040384030	18.0249320600	2.4897299110	1.6040384030	46.1977961600	12.4535002700
1.6276272030	17.7399647400	2.5055449580	1.6276272030	46.1699780500	12.4625704600
1.6512160030	17.6457901800	2.5089990940	1.6512160030	46.1635249400	12.4644420100
1.6748048030	17.3517578000	2.5267081410	1.6748048030	46.1475190500	12.4895111100
1.6983936030	17.2313913200	2.5289221800	1.6983936030	46.1938969700	12.4895511000
1.7219824030	17.0399597700	2.5182862690	1.7219824030	46.1486663500	12.5233977200
1.7455712030	16.9306444500	2.5012928320	1.7455712030	46.1220350500	12.5276307000
1.7691600030	16.8430824800	2.4929584240	1.7691600030	46.1189217000	12.5243357300
1.7927488030	16.7374638300	2.5017980360	1.7927488030	46.1163257200	12.5224600100
1.8163376030	16.6771777500	2.5065246570	1.8163376030	46.1056572000	12.5267586200
1.8399264030	16.5007966000	2.5185962850	1.8399264030	46.0805794300	12.5386142400
1.8635152030	16.4255677500	2.5236866900	1.8635152030	46.0683378700	12.5440272800
1.8871040030	16.3786467500	2.5305394380	1.8871040030	46.0657831400	12.5459040100
1.9106928030	16.1207139000	2.5671308320	1.9106928030	46.0416075800	12.5567642200
1.9342816030	15.9802681200	2.5877665050	1.9342816030	46.0246898400	12.5642978900
1.9578704030	15.8635917100	2.6026446710	1.9578704030	46.1025864500	12.5854401100
1.9814592030	15.7962350100	2.6103252260	1.9814592030	46.1022320800	12.5920260000
2.0050480030	15.6867920600	2.6208488400	2.0050480030	46.0974860600	12.6033036400
2.0286368030	15.4546080000	2.6152976080	2.0286368030	46.0884482300	12.6138234600
2.0522256030	15.3196042300	2.6190152400	2.0522256030	46.0922313400	12.6165022700
2.0758144030	15.2504537300	2.6213523550	2.0758144030	46.0969099900	12.6161476300
2.0994032030	15.0757502100	2.6355950400	2.0994032030	46.0732500600	12.6327207900
2.1229920030	14.9984724300	2.6543292860	2.1229920030	46.0680920600	12.6224817500
2.1465808030	14.9339660400	2.6644213040	2.1465808030	46.0542137300	12.6266457400
2.1701696030	14.8848845500	2.6733773930	2.1701696030	46.0492999700	12.6290326400
2.1937584040	14.8069395500	2.6798491040	2.1937584040	46.0417313800	12.6288117400
2.2173472040	14.7537372200	2.6572787490	2.2173472040	46.0413633800	12.6328954500
2.2409360040	14.7033064800	2.6544840690	2.2409360040	46.0368823000	12.6382329700
2.2645248040	14.5515243400	2.6664991150	2.2645248040	46.1007317300	12.6654548100
2.2881136040	14.4829931500	2.6893236700	2.2881136040	46.0888998900	12.6739749100
2.3117024040	14.4127662200	2.6901276370	2.3117024040	46.0584597700	12.6813818600
2.3352912040	14.4349911100	2.6787219730	2.3352912040	46.0480928900	12.6862189100
2.3588800040	14.4380791400	2.6633318280	2.3588800040	46.0463033600	12.6891803200
2.3824688040	14.4283420700	2.6680452670	2.3824688040	46.0335486400	12.6953717100
2.4060576040	14.3420728100	2.6816593210	2.4060576040	46.0253985900	12.7005604300
2.4296464040	14.2158850200	2.6954813530	2.4296464040	46.0154355800	12.7048012600
2.4532352040	14.1993450500	2.6998482760	2.4532352040	46.0123221900	12.7050704700
2.4768240040	14.0175581700	2.7245324330	2.4768240040	45.9771555300	12.7153365200
2.5004128040	13.8755287400	2.7354004970	2.5004128040	45.9686942600	12.7197510500
2.5240016040	13.6990867200	2.7583008180	2.5240016040	45.9519509400	12.7297968900
2.5475904040	13.6049177300	2.7771246560	2.5475904040	45.9397136000	12.7378172800
2.5711792040	13.3679470200	2.7927232890	2.5711792040	45.9871725100	12.7623053800
2.5947680040	13.2785486400	2.8030366510	2.5947680040	45.9824236900	12.7679148900
2.6183568040	13.1625251900	2.8027636150	2.6183568040	45.9778987900	12.7729174300
2.6419456040	12.8596393400	2.8128444580	2.6419456040	45.9680102200	12.7804513600
2.6655344040	12.7915066100	2.8169411460	2.6655344040	45.9649161500	12.7844339900
2.6891232040	12.6647065900	2.8209370400	2.6891232040	45.9633885700	12.7890015900
2.7127120040	12.4313163100	2.8413056840	2.7127120040	45.9517776100	12.7962471300
2.7363008040	12.3386534100	2.8590852210	2.7363008040	45.9500704300	12.7960507700
2.7598896040	12.2258514400	2.8810464770	2.7598896040	45.9461280100	12.7985581500
2.7834784040	11.9081678800	2.9288029110	2.7834784040	45.9166404200	12.8022889500
2.8070672040	11.7709530800	2.9505057910	2.8070672040	45.8930428900	12.8156132500
2.8306560050	11.7077112400	2.9628846130	2.8306560050	45.9839942700	12.8330718900
2.8542448050	11.5575047900	2.9805223980	2.8542448050	45.9584642000	12.8489815500
2.8778336050	11.3288493200	3.0039877350	2.8778336050	45.9106993000	12.8630682400
2.9014224050	11.1623406000	3.0320982850	2.9014224050	45.8943398700	12.8684758800
2.9250112050	11.1203053100	3.0432435200	2.9250112050	45.8864530500	12.8743117800
2.9486000050	11.0046401800	3.0681462080	2.9486000050	45.8589167300	12.8823221800
2.9721888050	10.8565113100	3.0961653560	2.9721888050	45.8199412800	12.9048038100
