CALbump			CALskinUSE		
t	x	y	t	x	y
0.0	19.39389247	14.01405596	0.0	-11.54205903	20.19613916
0.06128577557	19.57872901	14.0137776	0.06128577557	-11.54128366	20.19466437
0.1225715511	19.7780676	14.00793683	0.1225715511	-11.53783508	20.1947319
0.1838573267	19.91732296	14.00262555	0.1838573267	-11.5364325	20.19485609
0.2451431023	19.83679363	13.94782096	0.2451431023	-11.53891181	20.19487348
0.3064288779	19.78756385	13.85860109	0.3064288779	-11.53728491	20.19488197
0.3677146534	19.90683063	13.76736919	0.3677146534	-11.53747196	20.19507288
0.429000429	20.13065072	13.71489143	0.429000429	-11.53836443	20.19515651
0.4902862046	20.20670971	13.74025915	0.4902862046	-11.53803	20.19484116
0.5515719801	20.2560008	13.75076935	0.5515719801	-11.54279936	20.19490797
0.6128577557	20.25278935	13.75293117	0.6128577557	-11.5423209	20.19489729
0.6741435313	20.26733982	13.75119773	0.6741435313	-11.54183248	20.19505459
0.7354293069	20.27934367	13.74740304	0.7354293069	-11.54526544	20.19484236
0.7967150824	20.16781749	13.8051302	0.7967150824	-11.542324	20.19440243
0.858000858	20.07172704	13.84765947	0.858000858	-11.54513566	20.19437739
0.9192866336	19.94125377	13.87021698	0.9192866336	-11.54566403	20.19426096
0.9805724091	19.95730313	13.91485419	0.9805724091	-11.54474859	20.19401362
1.041858185	19.90896067	13.93322843	1.041858185	-11.5455534	20.19402062
1.10314396	19.79902285	13.95509603	1.10314396	-11.54411993	20.19395021
1.164429736	19.81867549	13.99046192	1.164429736	-11.54385257	20.19382607
1.225715511	19.73938264	14.00911646	1.225715511	-11.5437691	20.19377545
1.287001287	19.68496511	14.01717149	1.287001287	-11.54364112	20.19387422
1.348287063	19.65312429	14.01939002	1.348287063	-11.54402029	20.19375352
1.409572838	19.62890722	14.01945239	1.409572838	-11.54231993	20.1938106
1.470858614	19.57822152	14.02336774	1.470858614	-11.5439663	20.19389658
1.532144389	19.55688487	14.04368941	1.532144389	-11.54298724	20.19380956
1.593430165	19.54075495	14.08650937	1.593430165	-11.54301032	20.1937257
1.65471594	19.55952541	14.09855121	1.65471594	-11.54269407	20.19368913
1.716001716	19.48642887	14.11571172	1.716001716	-11.54472952	20.19374774
1.777287492	19.48325754	14.15941812	1.777287492	-11.54364398	20.19371709
1.838573267	19.41010644	14.19102745	1.838573267	-11.54456143	20.19372559
1.899859043	19.33054947	14.21159623	1.899859043	-11.54354294	20.19349137
1.961144818	19.33457465	14.24280518	1.961144818	-11.54448383	20.19380557
2.022430594	19.288136	14.27430869	2.022430594	-11.54315838	20.19366723
