GMfasBEST1MMM			GMext		
t	x	y	t	x	y
0.0000000000	10.7039348900	1.7652293520	0.0000000000	45.1860204800	6.8340297530
0.0232655530	10.6976329100	1.7640850570	0.0232655530	45.1859478000	6.8339688590
0.0465311060	10.6899748000	1.7644030940	0.0465311060	45.1862684400	6.8337990580
0.0697966591	10.6854340200	1.7654026470	0.0697966591	45.1860406400	6.8339377530
0.0930622121	10.6862212000	1.7660005370	0.0930622121	45.1864524900	6.8339296740
0.1163277651	10.6899311300	1.7656647990	0.1163277651	45.1860556500	6.8337662140
0.1395933181	10.6980519700	1.7664936110	0.1395933181	45.1859083400	6.8338781570
0.1628588712	10.7002245400	1.7666311000	0.1628588712	45.1866544200	6.8335027800
0.1861244242	10.7054977400	1.7652798850	0.1861244242	45.1860620400	6.8337236810
0.2093899772	10.7077718700	1.7655671940	0.2093899772	45.1863448900	6.8339337040
0.2326555302	10.7082451600	1.7655686580	0.2326555302	45.1862478300	6.8338585810
0.2559210832	10.7098292300	1.7658166350	0.2559210832	45.1861456400	6.8338139540
0.2791866363	10.7119476900	1.7657966310	0.2791866363	45.1860899200	6.8337976000
0.3024521893	10.7121012800	1.7654184730	0.3024521893	45.1866791100	6.8336855620
0.3257177423	10.7170607500	1.7639962720	0.3257177423	45.1858987600	6.8338374440
0.3489832953	10.7177208600	1.7630624080	0.3489832953	45.1862263100	6.8336289180
0.3722488484	10.7182059100	1.7627950200	0.3722488484	45.1859335600	6.8337063340
0.3955144014	10.7198891500	1.7625619730	0.3955144014	45.1859674700	6.8336989390
0.4187799544	10.7178179200	1.7629068510	0.4187799544	45.1856357100	6.8336323540
0.4420455074	10.7145795200	1.7636027930	0.4420455074	45.1855508200	6.8339166570
0.4653110604	10.7127225700	1.7643452460	0.4653110604	45.1859246100	6.8338066740
0.4885766135	10.7097808500	1.7655280910	0.4885766135	45.1859644700	6.8340719030
0.5118421665	10.7047546300	1.7655579730	0.5118421665	45.1862828700	6.8340688020
0.5351077195	10.7039324900	1.7654928360	0.5351077195	45.1863917300	6.8341743690
0.5583732725	10.7042219500	1.7655958710	0.5583732725	45.1866432500	6.8340311940
0.5816388256	10.7042055500	1.7659493130	0.5816388256	45.1863609600	6.8340702790
0.6049043786	10.7038088700	1.7658130680	0.6049043786	45.1862554000	6.8340711320
0.6281699316	10.7023307500	1.7662495850	0.6281699316	45.1863516900	6.8342239340
0.6514354846	10.7024512200	1.7663514630	0.6514354846	45.1859667800	6.8341693570
0.6747010376	10.7042754100	1.7663239250	0.6747010376	45.1859558300	6.8340956980
0.6979665907	10.7043324800	1.7664517750	0.6979665907	45.1864440400	6.8341845620
0.7212321437	10.7049232900	1.7658485940	0.7212321437	45.1862363800	6.8339221920
0.7444976967	10.7046764100	1.7655838350	0.7444976967	45.1860155600	6.8341371470
0.7677632497	10.7051990900	1.7653376090	0.7677632497	45.1860955200	6.8339963950
0.7910288028	10.7042179100	1.7642383010	0.7910288028	45.1858080400	6.8340352670
0.8142943558	10.7041727200	1.7638890940	0.8142943558	45.1859373700	6.8342104600
0.8375599088	10.7020080400	1.7634532010	0.8375599088	45.1856342600	6.8341079030
0.8608254618	10.6984432000	1.7634540350	0.8608254618	45.1860590400	6.8341480920
0.8840910148	10.6995905300	1.7646371800	0.8840910148	45.1862127300	6.8340663700
0.9073565679	10.6995337200	1.7662060020	0.9073565679	45.1859729800	6.8340720390
0.9306221209	10.6991866900	1.7661427240	0.9306221209	45.1859623200	6.8339372330
0.9538876739	10.6955809700	1.7669595770	0.9538876739	45.1857383200	6.8340727670
0.9771532269	10.6841791700	1.7695699510	0.9771532269	45.1860665800	6.8340561070
1.0004187800	10.6818671900	1.7687516270	1.0004187800	45.1860451700	6.8340297710
1.0236843330	10.6822019900	1.7684478710	1.0236843330	45.1861895900	6.8341022650
1.0469498860	10.6785995000	1.7676744280	1.0469498860	45.1859369000	6.8340387100
1.0702154390	10.6807866400	1.7675160350	1.0702154390	45.1857318600	6.8341578740
1.0934809920	10.6852134900	1.7673661700	1.0934809920	45.1860557000	6.8342104320
1.1167465450	10.6859146900	1.7678546760	1.1167465450	45.1862221400	6.8341160720
1.1400120980	10.6841606200	1.7685840730	1.1400120980	45.1859809400	6.8339898750
1.1632776510	10.6440367500	1.7762093230	1.1632776510	45.1854633500	6.8342368650
1.1865432040	10.6287417200	1.7783309100	1.1865432040	45.1855784600	6.8341505900
1.2098087570	10.6156612000	1.7807757410	1.2098087570	45.1861558900	6.8340876110
1.2330743100	10.6117352400	1.7842014390	1.2330743100	45.1858152100	6.8341517460
1.2563398630	10.5909738200	1.7947311600	1.2563398630	45.1860233800	6.8343995360
1.2796054160	10.5796224200	1.7924991890	1.2796054160	45.1857623900	6.8344970080
1.3028709690	10.5654801700	1.7905690220	1.3028709690	45.1858151000	6.8345408750
1.3261365220	10.5483051600	1.7911486880	1.3261365220	45.1855635300	6.8346230090
1.3494020750	10.5444697200	1.7917287990	1.3494020750	45.1860764500	6.8345829800
1.3726676280	10.5045117600	1.8086377440	1.3726676280	45.1857757900	6.8345404000
1.3959331810	10.4769333300	1.8099888370	1.3959331810	45.1859531800	6.8348506670
1.4191987340	10.4633501800	1.8058843880	1.4191987340	45.1854653700	6.8347919890
1.4424642870	10.4457663500	1.8001340530	1.4424642870	45.1854575200	6.8349492840
1.4657298400	10.4451187700	1.7982556870	1.4657298400	45.1861587400	6.8347429650
1.4889953930	10.4366851700	1.7998956180	1.4889953930	45.1859425700	6.8349112490
1.5122609460	10.4180017400	1.7999603540	1.5122609460	45.1856762300	6.8348770200
1.5355264990	10.3923479400	1.8014156370	1.5355264990	45.1858506600	6.8343939560
1.5587920520	10.3898311200	1.8014337680	1.5587920520	45.1858895000	6.8346706000
1.5820576060	10.3799413200	1.8034586150	1.5820576060	45.1860859000	6.8348466340
1.6053231590	10.3122651000	1.8169088340	1.6053231590	45.1850731800	6.8352155930
1.6285887120	10.2991491400	1.8164422440	1.6285887120	45.1854104500	6.8350623320
1.6518542650	10.2728201100	1.8189919390	1.6518542650	45.1857229000	6.8352990480
1.6751198180	10.2374561800	1.8179242240	1.6751198180	45.1853747300	6.8355556220
1.6983853710	10.1995680300	1.8233209530	1.6983853710	45.1848561900	6.8355302200
1.7216509240	10.1004006300	1.8343477410	1.7216509240	45.1853797200	6.8357236110
1.7449164770	10.0231720900	1.8462183620	1.7449164770	45.1835914100	6.8360574180
1.7681820300	9.9634387020	1.8540485380	1.7681820300	45.1843427900	6.8362405260
1.7914475830	9.9070641200	1.8639581290	1.7914475830	45.1850851000	6.8363274370
1.8147131360	9.7846956810	1.8800400610	1.8147131360	45.1846964700	6.8362838730
1.8379786890	9.6643082420	1.8943368770	1.8379786890	45.1851771400	6.8366148910
1.8612442420	9.5231646520	1.9164823720	1.8612442420	45.1853867400	6.8370045950
1.8845097950	9.3823029190	1.9435492020	1.8845097950	45.1851606200	6.8379591650
1.9077753480	9.2238232000	1.9767432810	1.9077753480	45.1848793100	6.8386172220
1.9310409010	8.9578198290	2.0405098680	1.9310409010	45.1845135200	6.8395695020
1.9543064540	8.7042616750	2.1036710700	1.9543064540	45.1837455600	6.8409989160
1.9775720070	8.3592494600	2.2232966520	1.9775720070	45.1830949100	6.8430769950
2.0008375600	8.2290831720	2.2648995730	2.0008375600	45.1828551500	6.8445735190
2.0241031130	8.1826506480	2.2778277370	2.0241031130	45.1824025900	6.8424779540
2.0473686660	8.0554539180	2.2967931500	2.0473686660	45.1821063600	6.8437125400
2.0706342190	7.7574388150	2.3382261110	2.0706342190	45.1806424400	6.8458731710
2.0938997720	7.6946183780	2.3426353730	2.0938997720	45.1817921600	6.8453756980
2.1171653250	7.4484522700	2.3973612490	2.1171653250	45.1781325000	6.8483447110
2.1404308780	7.3776590790	2.4229590480	2.1404308780	45.1782786400	6.8495963060
2.1636964310	7.2618528480	2.4504564750	2.1636964310	45.1778681200	6.8492737550
2.1869619840	7.1531903720	2.4585531350	2.1869619840	45.1779546100	6.8503560030
2.2102275370	7.0110108640	2.4674000610	2.2102275370	45.1776551000	6.8501687830
2.2334930900	6.8616142320	2.4990169520	2.2334930900	45.1779407500	6.8500498540
2.2567586430	6.7156981440	2.5203271160	2.2567586430	45.1757514300	6.8516460380
2.2800241960	6.6445918230	2.5237080880	2.2800241960	45.1752920200	6.8516785430
2.3032897490	6.4521488520	2.5416720770	2.3032897490	45.1756574000	6.8530150480
2.3265553020	6.3939123190	2.5474113670	2.3265553020	45.1750551200	6.8530623850
2.3498208550	6.2714406890	2.5666970630	2.3498208550	45.1727971500	6.8566759480
2.3730864080	6.2462766720	2.5666654770	2.3730864080	45.1725056500	6.8551754660
2.3963519610	6.1952069500	2.5755812240	2.3963519610	45.1710525900	6.8568663750
2.4196175140	6.0752973900	2.5914075430	2.4196175140	45.1679417100	6.8606040840
2.4428830670	6.0252891950	2.5888177450	2.4428830670	45.1684977200	6.8585485370
2.4661486200	5.9500011100	2.5961945950	2.4661486200	45.1696595800	6.8576183340
2.4894141730	5.8459468580	2.6098388770	2.4894141730	45.1686759100	6.8578816750
2.5126797260	5.7783681050	2.6128160610	2.5126797260	45.1686130700	6.8580469160
2.5359452790	5.6406915290	2.6133998020	2.5359452790	45.1684972500	6.8587041900
2.5592108320	5.5332983030	2.6233513240	2.5592108320	45.1683699600	6.8570278310
2.5824763850	5.3953036250	2.6388743610	2.5824763850	45.1690933800	6.8578426580
2.6057419380	5.3299474160	2.6458981370	2.6057419380	45.1685435800	6.8578158750
2.6290074920	5.2367428260	2.6566176190	2.6290074920	45.1719562400	6.8564222530
2.6522730450	5.1586710900	2.6676325540	2.6522730450	45.1711606700	6.8572845720
2.6755385980	5.1231992140	2.6704771490	2.6755385980	45.1725388600	6.8556376490
2.6988041510	4.9824633610	2.6813016380	2.6988041510	45.1721009900	6.8565183240
2.7220697040	4.9106076990	2.6920812210	2.7220697040	45.1710323400	6.8559009610
2.7453352570	4.8349963820	2.6982203540	2.7453352570	45.1708502100	6.8575810470
2.7686008100	4.7688748380	2.7070607090	2.7686008100	45.1714859800	6.8581029070
2.7918663630	4.7202724400	2.7199360450	2.7918663630	45.1727510300	6.8568086410
2.8151319160	4.6189315210	2.7307616800	2.8151319160	45.1721375400	6.8571822280
2.8383974690	4.4163180310	2.7515019490	2.8383974690	45.1696057100	6.8578474940
2.8616630220	4.3366934430	2.7646240570	2.8616630220	45.1715859600	6.8585110190
2.8849285750	4.2298762520	2.7850245660	2.8849285750	45.1684574900	6.8627564970
2.9081941280	4.1543153120	2.7993397440	2.9081941280	45.1718158900	6.8634169040
2.9314596810	4.0592093820	2.8140997260	2.9314596810	45.1728549900	6.8627328800
2.9547252340	3.9514830260	2.8270046850	2.9547252340	45.1727753800	6.8637801860
2.9779907870	3.8999709850	2.8351255550	2.9779907870	45.1735127300	6.8625403560
3.0012563400	3.8178522370	2.8496741480	3.0012563400	45.1736249600	6.8644348140
3.0245218930	3.6601629270	2.8803904980	3.0245218930	45.1685123100	6.8692364310
3.0477874460	3.5907934210	2.8841687130	3.0477874460	45.1688583300	6.8718201650
3.0710529990	3.4648270320	2.8948908330	3.0710529990	45.1761184200	6.8757603270
3.0943185520	3.3721444800	2.9022850720	3.0943185520	45.1765304900	6.8843310330
3.1175841050	3.2577543800	2.9176620770	3.1175841050	45.1753574100	6.8912863840
3.1408496580	3.1963726870	2.9223762910	3.1408496580	45.1789175300	6.8950562120
3.1641152110	3.1524023320	2.9369729710	3.1641152110	45.1792760200	6.8987784440
3.1873807640	3.0888594190	2.9432447560	3.1873807640	45.1801149800	6.9019864680
3.2106463170	3.0472870200	2.9449149940	3.2106463170	45.1804436700	6.9049541700
3.2339118700	2.9872811620	2.9591831690	3.2339118700	45.1783448700	6.9087580810
3.2571774230	2.9086293000	2.9741270050	3.2571774230	45.1795303200	6.9124102220
3.2804429760	2.8173906740	2.9891329670	3.2804429760	45.1742362400	6.9183815220
3.3037085290	2.7961015870	2.9809656560	3.3037085290	45.1741207500	6.9192715660
3.3269740820	2.7770436900	2.9791276690	3.3269740820	45.1711514500	6.9241124160
3.3502396350	2.7641212550	2.9754012960	3.3502396350	45.1733720300	6.9249883240
3.3735051880	2.7516071700	2.9749207650	3.3735051880	45.1743094800	6.9271800000
3.3967707410	2.7466161770	2.9749038900	3.3967707410	45.1737480300	6.9262291720
3.4200362940	2.6369533190	2.9904776300	3.4200362940	45.1690526300	6.9300063450
3.4433018470	2.6069067350	2.9913383640	3.4433018470	45.1697539500	6.9316438770
3.4665674000	2.5195713530	3.0148076040	3.4665674000	45.1689716200	6.9347420790
3.4898329530	2.4208185800	3.0271653880	3.4898329530	45.1662563000	6.9368157290
3.5130985060	2.3376234350	3.0374776690	3.5130985060	45.1686564600	6.9388958920
3.5363640590	2.2357912920	3.0467460260	3.5363640590	45.1697954900	6.9403989950
3.5596296120	2.1607519320	3.0523012400	3.5596296120	45.1699514000	6.9425911890
3.5828951650	2.1220604060	3.0574767630	3.5828951650	45.1696198500	6.9421228830
3.6061607180	1.9126089580	3.1058455400	3.6061607180	45.1645932900	6.9489795000
3.6294262710	1.8029782320	3.1269131920	3.6294262710	45.1591200700	6.9461680290
3.6526918240	1.6574043660	3.1468901360	3.6526918240	45.1386097200	6.9510173870
3.6759573780	1.5744693750	3.1555474120	3.6759573780	45.1538079200	6.9511191210
3.6992229310	1.5204281810	3.1652386580	3.6992229310	45.1423693100	6.9634942520
3.7224884840	1.4978380510	3.1751034160	3.7224884840	45.1249788400	6.9736445610
3.7457540370	1.5005960600	3.1764582180	3.7457540370	45.1208809500	6.9772436880
3.7690195900	1.4856562540	3.1774017810	3.7690195900	45.1137291700	6.9821727950
3.7922851430	1.4387615930	3.1813075600	3.7922851430	45.1126141200	6.9854328880
3.8155506960	1.3269286650	3.1884774180	3.8155506960	45.1102290200	6.9904845650
3.8388162490	1.2802090080	3.1956288590	3.8388162490	45.1112148400	6.9942368600
3.8620818020	1.2522102300	3.1970271850	3.8620818020	45.1122929600	6.9974274430
3.8853473550	1.1907240380	3.2016282940	3.8853473550	45.1050057700	7.0041296540
3.9086129080	1.1031596000	3.2129866270	3.9086129080	45.1044075700	7.0060034020
3.9318784610	1.0843649420	3.2138939560	3.9318784610	45.1077343400	7.0052346190
3.9551440140	0.9654614001	3.2259324940	3.9551440140	45.1076913800	7.0072705850
3.9784095670	0.8604999827	3.2439333010	3.9784095670	45.0984191100	7.0153745880
4.0016751200	0.8534996517	3.2435115820	4.0016751200	45.0943182300	7.0162050920
4.0249406730	0.8315182153	3.2458676510	4.0249406730	45.0927253600	7.0158025460
4.0482062260	0.6996456138	3.2650109150	4.0482062260	45.0742175800	7.0240494180
4.0714717790	0.6160616356	3.2745150810	4.0714717790	45.0683894800	7.0232780710
4.0947373320	0.5324784533	3.2841529560	4.0947373320	45.0718924300	7.0220481670
4.1180028850	0.4741454339	3.2928556180	4.1180028850	45.0623851500	7.0246188440
4.1412684380	0.4069745741	3.2945936190	4.1412684380	45.0609559200	7.0265770920
4.1645339910	0.3766468786	3.2953257140	4.1645339910	45.0581775400	7.0285400040
4.1877995440	0.2936751787	3.3046707450	4.1877995440	45.0560288400	7.0280504430
4.2110650970	0.2004066094	3.3161926010	4.2110650970	45.0585544000	7.0281579680
4.2343306500	0.1501401756	3.3363546820	4.2343306500	45.0543965200	7.0334665560
4.2575962030	0.2033537150	3.3265521930	4.2575962030	45.0528080200	7.0370096260
4.2808617560	0.2560500547	3.3123119510	4.2808617560	45.0534023800	7.0350112130
4.3041273090	0.1909156217	3.3105702790	4.3041273090	45.0495234600	7.0363887090
4.3273928620	0.0803227477	3.3190540710	4.3273928620	45.0506478600	7.0346873210
4.3506584150	0.0504704876	3.3224244960	4.3506584150	45.0508402400	7.0329600770
4.3739239680	-0.0153291329	3.3358841170	4.3739239680	45.0507836400	7.0355015040
4.3971895210	-0.0701650840	3.3381601780	4.3971895210	45.0507877700	7.0341263540
4.4204550740	-0.2257349105	3.3554317030	4.4204550740	45.0662870800	7.0407963430
4.4437206270	-0.3253432237	3.3635412430	4.4437206270	45.0634297700	7.0484225580
