CALins			CALext1		
t	x	y	t	x	y
0	25.96565309	4.714947954	0.000000000000	-17.500330760000	14.491763260000
0.059612519	25.96464975	4.714258292	0.059612518630	-17.499538360000	14.490242140000
0.119225037	25.96945394	4.712623438	0.119225037300	-17.500406350000	14.490278990000
0.178837556	25.96907139	4.712588517	0.178837555900	-17.499717960000	14.490373750000
0.238450075	25.96962551	4.712278284	0.238450074500	-17.500142930000	14.490289580000
0.298062593	25.9668154	4.714719132	0.298062593100	-17.500257260000	14.490698770000
0.357675112	25.9663867	4.714712843	0.357675111800	-17.499548820000	14.490121200000
0.41728763	25.96641063	4.715466424	0.417287630400	-17.500365350000	14.489889490000
0.476900149	25.96660756	4.714859305	0.476900149000	-17.500628750000	14.490125520000
0.536512668	25.96948664	4.713101377	0.536512667700	-17.501263580000	14.490214170000
0.596125186	25.96770069	4.713282983	0.596125186300	-17.500054950000	14.490194690000
0.655737705	25.96518215	4.711317885	0.655737704900	-17.500770050000	14.490110840000
0.715350224	25.95762036	4.711354589	0.715350223500	-17.499769510000	14.489856050000
0.774962742	25.97002923	4.684610409	0.774962742200	-17.495387380000	14.490313310000
0.834575261	25.93295564	4.642412032	0.834575260800	-17.495836410000	14.490024480000
0.894187779	25.93496964	4.629256068	0.894187779400	-17.493708450000	14.491316350000
0.953800298	25.93002113	4.597091963	0.953800298100	-17.494367890000	14.491978880000
1.013412817	25.86357222	4.572357573	1.013412817000	-17.491628740000	14.492038690000
1.073025335	25.89852065	4.536497313	1.073025335000	-17.494498090000	14.492954460000
1.132637854	25.9056424	4.489336049	1.132637854000	-17.494675190000	14.492900900000
1.192250373	25.89698132	4.417124459	1.192250373000	-17.490646940000	14.492912500000
1.251862891	25.87456435	4.389000933	1.251862891000	-17.501787040000	14.497861690000
1.31147541	25.89414306	4.418743009	1.311475410000	-17.515885070000	14.505178900000
1.371087928	25.89816201	4.483842789	1.371087928000	-17.527661120000	14.508587210000
1.430700447	25.87038418	4.55179808	1.430700447000	-17.525912780000	14.506478270000
1.490312966	25.86389866	4.581192333	1.490312966000	-17.514475940000	14.502611690000
1.549925484	25.83852836	4.61521634	1.549925484000	-17.519156600000	14.503669710000
1.609538003	25.79581529	4.613260701	1.609538003000	-17.516221380000	14.502959150000
1.669150522	25.78571606	4.633993702	1.669150522000	-17.519451470000	14.503889410000
1.72876304	25.76151954	4.668361701	1.728763040000	-17.513989870000	14.501746640000
1.788375559	25.76954962	4.661216143	1.788375559000	-17.511450670000	14.500675640000
1.847988077	25.74902929	4.666660388	1.847988077000	-17.514808630000	14.500567590000
1.907600596	25.73892627	4.659881905	1.907600596000	-17.510082600000	14.498553670000
1.967213115	25.67455942	4.639686192	1.967213115000	-17.517193360000	14.499145420000
2.026825633	25.61168769	4.641075324	2.026825633000	-17.512708240000	14.499186270000
2.086438152	25.62313576	4.658524435	2.086438152000	-17.515988060000	14.497764930000
2.146050671	25.68351795	4.687608092	2.146050671000	-17.517592710000	14.497409500000
2.205663189	25.69903204	4.716793684	2.205663189000	-17.510747760000	14.496137130000
