CALins			CALext		
t	x	y	t	x	y
0.0000000	23.9674849	7.201497811	0.000000000000	-1.534071547000	14.670490040000
0.05961251863	23.96678743	7.201366677	0.059612518630	-1.533411600000	14.669965410000
0.1192250373	23.9688155	7.20222712	0.119225037300	-1.529643591000	14.670381210000
0.1788375559	23.97066909	7.202385467	0.178837555900	-1.529898659000	14.671509500000
0.2384500745	23.96929707	7.202553258	0.238450074500	-1.530222374000	14.671294260000
0.2980625931	23.96977833	7.203252104	0.298062593100	-1.532062360000	14.672564800000
0.3576751118	23.97270305	7.204808566	0.357675111800	-1.526990022000	14.672901080000
0.4172876304	23.9733453	7.209493147	0.417287630400	-1.526423047000	14.674528120000
0.476900149	23.97612856	7.209056412	0.476900149000	-1.517549316000	14.672435440000
0.5365126677	23.96871899	7.207273165	0.536512667700	-1.528357647000	14.674046010000
0.5961251863	23.94775588	7.203532816	0.596125186300	-1.541562719000	14.674652950000
0.6557377049	23.84520415	7.173311156	0.655737704900	-1.550714561000	14.675167140000
0.7153502235	23.80215909	7.160627177	0.715350223500	-1.568461803000	14.690795630000
0.7749627422	23.79863977	7.183485191	0.774962742200	-1.559217701000	14.693755780000
0.8345752608	23.79428752	7.208511685	0.834575260800	-1.557208654000	14.691954950000
0.8941877794	23.80952336	7.250976023	0.894187779400	-1.577939587000	14.686859230000
0.9538002981	23.85765982	7.277843982	0.953800298100	-1.594995263000	14.684544080000
1.013412817	23.93057326	7.283309635	1.013412817000	-1.583179785000	14.687208550000
1.073025335	23.93888473	7.266004321	1.073025335000	-1.654857104000	14.694347520000
1.132637854	23.95285316	7.217694873	1.132637854000	-1.714134645000	14.681221680000
1.192250373	23.96680508	7.201924062	1.192250373000	-1.756919179000	14.675058640000
1.251862891	23.9746285	7.193823149	1.251862891000	-1.798414120000	14.672103060000
1.31147541	24.04458903	7.195614703	1.311475410000	-1.841280228000	14.669040020000
1.371087928	24.04591943	7.179291167	1.371087928000	-1.824788807000	14.665895280000
1.430700447	24.05463112	7.144379317	1.430700447000	-1.863394422000	14.666416910000
1.490312966	24.02971756	7.125847218	1.490312966000	-1.948666677000	14.669723700000
1.549925484	24.01097263	7.121087042	1.549925484000	-1.977993053000	14.670100600000
1.609538003	24.01728419	7.111747096	1.609538003000	-1.990100423000	14.674074520000
1.669150522	24.03064303	7.104485852	1.669150522000	-2.000366982000	14.670798820000
1.72876304	24.02814522	7.084885269	1.728763040000	-2.025933077000	14.671174980000
1.788375559	24.03031031	7.073146384	1.788375559000	-2.028910716000	14.670224290000
1.847988077	24.03840667	7.067509737	1.847988077000	-2.028397849000	14.669761590000
1.907600596	24.0458562	7.05929704	1.907600596000	-2.020621326000	14.668336680000
1.967213115	24.04055707	7.050624239	1.967213115000	-2.029478264000	14.668356390000
2.026825633	24.0386884	7.048769605	2.026825633000	-2.041818054000	14.667443570000
2.086438152	24.04240895	7.046091756	2.086438152000	-2.099267466000	14.668319910000
2.146050671	24.03862497	7.034884679	2.146050671000	-2.168958876000	14.673101960000
2.205663189	24.04221239	7.028089087	2.205663189000	-2.186397105000	14.674623560000
2.265275708	24.05227082	7.022882846	2.265275708000	-2.181719698000	14.673784640000
2.324888227	24.04713785	7.013561654	2.324888227000	-2.207902786000	14.678775060000
2.384500745	24.04985937	6.999826062	2.384500745000	-2.206591679000	14.676540640000
2.444113264	24.05124412	6.993779921	2.444113264000	-2.238683014000	14.676918240000
2.503725782	24.04786837	6.987275615	2.503725782000	-2.249577204000	14.674783200000
2.563338301	24.04283204	6.979156938	2.563338301000	-2.278018015000	14.670798650000
2.62295082	24.03973706	6.976641859	2.622950820000	-2.259889650000	14.667998760000
