SOLendBESTmatchedpost			SOLext		
t	x	y	t	x	y
0.530845941	21.17049366	7.850970485	0.530845941	26.08202438	12.73652134
0.549804725	21.16513746	7.852156497	0.549804725	26.08123459	12.73619014
0.568763508	21.16204835	7.852663303	0.568763508	26.08152283	12.73595311
0.587722292	21.16031549	7.852313458	0.587722292	26.08152421	12.73672534
0.606681075	21.16301586	7.852579612	0.606681075	26.0811864	12.73691201
0.625639859	21.16107808	7.852169644	0.625639859	26.08168409	12.73657594
0.644598643	21.16221448	7.852359026	0.644598643	26.08102226	12.73630151
0.663557426	21.16199913	7.851666696	0.663557426	26.08104835	12.73674604
0.68251621	21.16504883	7.851538119	0.68251621	26.08025031	12.73613982
0.701474993	21.16197138	7.851823761	0.701474993	26.08097681	12.73582885
0.720433777	21.16056894	7.852400798	0.720433777	26.08118834	12.73625819
0.739392561	21.15932876	7.85251713	0.739392561	26.08038145	12.73594417
0.758351344	21.15837663	7.852605538	0.758351344	26.07939251	12.73617345
0.777310128	21.15888779	7.852970279	0.777310128	26.08031098	12.7357874
0.796268911	21.15788197	7.853035136	0.796268911	26.08021724	12.73533922
0.815227695	21.15752322	7.852897499	0.815227695	26.08040579	12.73520584
0.834186479	21.15818047	7.85204708	0.834186479	26.0805351	12.73598103
0.853145262	21.16080851	7.851609172	0.853145262	26.08048496	12.73596682
0.872104046	21.16296823	7.851775828	0.872104046	26.07984586	12.73611359
0.891062829	21.16244972	7.852031281	0.891062829	26.08127925	12.73559485
0.910021613	21.16168632	7.851954473	0.910021613	26.08201131	12.73581078
0.928980397	21.15970424	7.852183217	0.928980397	26.08050722	12.7352848
0.94793918	21.16027264	7.851834691	0.94793918	26.08097183	12.73547941
0.966897964	21.16215107	7.851893569	0.966897964	26.08206868	12.73582002
0.985856747	21.16517668	7.851426242	0.985856747	26.08163999	12.73676657
1.004815531	21.16479613	7.851221638	1.004815531	26.08164948	12.73702297
1.023774315	21.17037616	7.852171782	1.023774315	26.08219099	12.73570457
1.042733098	21.17015447	7.852422899	1.042733098	26.08426148	12.73668701
1.061691882	21.17612033	7.851784176	1.061691882	26.08535213	12.73600654
1.080650665	21.175715	7.852061491	1.080650665	26.08317095	12.73601359
1.099609449	21.18819386	7.851400951	1.099609449	26.0861153	12.73599513
1.118568233	21.22316802	7.851824146	1.118568233	26.08753488	12.73619968
1.137527016	21.25695219	7.851410035	1.137527016	26.08753074	12.73709324
1.1564858	21.2575978	7.85138086	1.1564858	26.0857721	12.73563969
1.175444583	21.26245219	7.851568494	1.175444583	26.08611954	12.73629577
1.194403367	21.2701778	7.852687812	1.194403367	26.08650351	12.73640134
1.213362151	21.20256967	7.854617797	1.213362151	26.0822914	12.73815879
1.232320934	21.15523082	7.854375273	1.232320934	26.08114329	12.73761509
1.251279718	21.08500613	7.861159698	1.251279718	26.08014502	12.73765588
1.270238501	20.95391505	7.866892526	1.270238501	26.07416083	12.73477387
1.289197285	20.9288812	7.866635828	1.289197285	26.07491195	12.73395983
1.308156069	20.92547656	7.878285727	1.308156069	26.07533699	12.73385541
1.327114852	20.86165964	7.87270447	1.327114852	26.06972713	12.73454824
1.346073636	20.76147903	7.887915772	1.346073636	26.06513174	12.73727718
1.36503242	20.71558111	7.881174731	1.36503242	26.06445883	12.73625209
1.383991203	20.63397189	7.880630587	1.383991203	26.06907532	12.73687482
1.402949987	20.54675945	7.883727253	1.402949987	26.06405823	12.73866769
1.42190877	20.46365897	7.875370739	1.42190877	26.06305171	12.74294979
1.440867554	20.41602341	7.870417443	1.440867554	26.06512636	12.74775498
1.459826338	20.40424291	7.86927053	1.459826338	26.06184536	12.74715979
1.478785121	20.39341139	7.884413401	1.478785121	26.08150605	12.74610813
1.497743905	20.38712394	7.900459098	1.497743905	26.08745763	12.75116628
1.516702688	20.31702842	7.915112783	1.516702688	26.08756141	12.74789563
1.535661472	20.28434045	7.921278066	1.535661472	26.09313809	12.74631548
1.554620256	20.24633273	7.936175103	1.554620256	26.08721046	12.74898183
1.573579039	20.20840712	7.935858708	1.573579039	26.08379903	12.75555822
1.592537823	20.10511074	7.93573038	1.592537823	26.07108629	12.75745006
1.611496606	20.04185745	7.937941192	1.611496606	26.07033779	12.75157767
1.63045539	19.86896823	7.952324386	1.63045539	26.08378821	12.75147701
1.649414174	19.70752869	7.947191056	1.649414174	26.08473945	12.76020731
1.668372957	19.53917112	7.956659948	1.668372957	26.10969715	12.76234215
1.687331741	19.4562256	7.954133293	1.687331741	26.11962204	12.76587615
1.706290524	19.28123348	7.957504252	1.706290524	26.09741222	12.77948709
1.725249308	18.98596835	7.944323989	1.725249308	26.08881577	12.82652148
1.744208092	18.94772211	7.946020197	1.744208092	26.0979599	12.82901539
1.763166875	18.80636316	7.952821135	1.763166875	26.10694345	12.82679842
1.782125659	18.64646264	7.96836904	1.782125659	26.08699776	12.84094119
1.801084442	18.46802229	7.96998946	1.801084442	26.09774232	12.82369073
1.820043226	18.24531535	7.955448851	1.820043226	26.1091952	12.81184997
1.83900201	18.1894558	7.960419791	1.83900201	26.09506533	12.81621538
1.857960793	17.85612384	7.955163668	1.857960793	26.11947339	12.8063051
1.876919577	17.77084809	7.947642727	1.876919577	26.13193225	12.79715301
1.89587836	17.61615674	7.939718538	1.89587836	26.06749739	12.79412437
1.914837144	17.4788966	7.930925217	1.914837144	26.08931715	12.78850443
1.933795928	17.36726419	7.933591964	1.933795928	26.07954708	12.79919437
1.952754711	17.25381213	7.939150723	1.952754711	26.06885099	12.80513744
1.971713495	17.16292418	7.943553429	1.971713495	26.06695658	12.80422487
1.990672278	16.9968927	7.939262159	1.990672278	26.05995711	12.80338029
2.009631062	16.88601045	7.949120772	2.009631062	26.06610005	12.81850959
2.028589846	16.78838239	7.949827684	2.028589846	26.0675132	12.81454046
2.047548629	16.74264544	7.947079289	2.047548629	26.07113256	12.8125381
2.066507413	16.65234003	7.947983499	2.066507413	26.08769773	12.8288223
2.085466196	16.58092927	7.947323681	2.085466196	26.09125848	12.83051778
2.10442498	16.49485898	7.946554538	2.10442498	26.08874516	12.82129964
2.123383764	16.45432388	7.948006008	2.123383764	26.07700236	12.82068112
2.142342547	16.35186849	7.94579171	2.142342547	26.08014169	12.82393064
2.161301331	16.26351286	7.94908996	2.161301331	26.08644898	12.8188254
2.180260115	16.19459396	7.953393426	2.180260115	26.1050711	12.81254457
2.199218898	16.17015505	7.953673348	2.199218898	26.10246656	12.81060872
2.218177682	16.05976345	7.949422073	2.218177682	26.07365736	12.80940073
2.237136465	15.98689024	7.952721052	2.237136465	26.0617138	12.80674592
2.256095249	15.92344465	7.948324032	2.256095249	26.05850109	12.80635424
2.275054033	15.86654763	7.949404711	2.275054033	26.05746157	12.80484731
2.294012816	15.82907679	7.949378144	2.294012816	26.07052095	12.79681061
2.3129716	15.7596916	7.948639716	2.3129716	26.08388293	12.78248393
2.331930383	15.71668273	7.948574506	2.331930383	26.08654206	12.77515298
2.350889167	15.63284573	7.949091898	2.350889167	26.12733969	12.75327133
2.369847951	15.56088565	7.948520351	2.369847951	26.10151074	12.75803882
2.388806734	15.54104402	7.948664856	2.388806734	26.08943193	12.74939922
2.407765518	15.48667354	7.946830731	2.407765518	26.07878021	12.7520656
2.426724301	15.39279808	7.947223923	2.426724301	26.08376872	12.75006021
2.445683085	15.28861129	7.94063356	2.445683085	26.08572441	12.7476967
2.464641869	15.2489976	7.94243387	2.464641869	26.09544563	12.74738054
2.483600652	15.17082998	7.942856989	2.483600652	26.11376486	12.73935042
2.502559436	15.09671092	7.944079814	2.502559436	26.13077225	12.72781823
