SOLfas2			SOLextNEW		
t	x	y	t	x	y
0.000000000000	9.115789276000	7.852631409000	0.000000000000	-5.789473559000	14.757894420000
0.059612518630	9.118936009000	7.851377521000	0.059612518630	-5.789278387000	14.757399650000
0.119225037300	9.144402509000	7.851180890000	0.119225037300	-5.788366195000	14.757477840000
0.178837555900	9.146100064000	7.850454493000	0.178837555900	-5.789113812000	14.757444800000
0.238450074500	9.132849836000	7.847960473000	0.238450074500	-5.790080700000	14.757433010000
0.298062593100	9.180787744000	7.843606369000	0.298062593100	-5.790574109000	14.757292870000
0.357675111800	9.259511897000	7.834608077000	0.357675111800	-5.789587268000	14.757386540000
0.417287630400	9.251758241000	7.836820274000	0.417287630400	-5.790838367000	14.757270050000
0.476900149000	9.242606862000	7.842040137000	0.476900149000	-5.789746555000	14.757418220000
0.536512667700	9.213215729000	7.843929278000	0.536512667700	-5.790697013000	14.757402630000
0.596125186300	9.155450054000	7.850884859000	0.596125186300	-5.790162579000	14.757288820000
0.655737704900	9.138119988000	7.844820831000	0.655737704900	-5.790663318000	14.757329030000
0.715350223500	9.141045257000	7.843675826000	0.715350223500	-5.791925139000	14.757271460000
0.774962742200	9.158310014000	7.845761102000	0.774962742200	-5.789895349000	14.757098310000
0.834575260800	9.193695455000	7.836839563000	0.834575260800	-5.790490162000	14.757233660000
0.894187779400	9.206336684000	7.827244428000	0.894187779400	-5.788937061000	14.757191910000
0.953800298100	9.204701890000	7.826337171000	0.953800298100	-5.790268782000	14.757259420000
1.013412817000	9.205716695000	7.828929639000	1.013412817000	-5.790311140000	14.757210420000
1.073025335000	9.236687611000	7.833606505000	1.073025335000	-5.791595552000	14.757058750000
1.132637854000	9.250545670000	7.831454312000	1.132637854000	-5.787634295000	14.756967870000
1.192250373000	9.248269493000	7.833998599000	1.192250373000	-5.789988262000	14.757153570000
1.251862891000	9.210336158000	7.826660381000	1.251862891000	-5.789157068000	14.756917320000
1.311475410000	9.183842762000	7.833883155000	1.311475410000	-5.788794175000	14.757028820000
1.371087928000	9.036772668000	7.800010644000	1.371087928000	-5.787928847000	14.757266810000
1.430700447000	9.044287436000	7.793996551000	1.430700447000	-5.788161695000	14.757118180000
1.490312966000	9.017745651000	7.795421853000	1.490312966000	-5.787922663000	14.757133080000
1.549925484000	9.016055350000	7.800592782000	1.549925484000	-5.786697302000	14.757200890000
1.609538003000	9.070672306000	7.824015192000	1.609538003000	-5.783453489000	14.757075640000
