CALbump			CALextJUMPS		
t	x	y	t	x	y
0.00000000000000	23.55489909000000	4.16336592200000	0.00000000000000	-13.61533180000000	13.12773038000000
0.02520097780000	23.55422857000000	4.16369758200000	0.02520097780000	-13.61496393000000	13.12741850000000
0.05040195560000	23.55233990000000	4.16488248400000	0.05040195560000	-13.61508906000000	13.12859313000000
0.07560293339000	23.54943598000000	4.16353210900000	0.07560293339000	-13.61653582000000	13.12981529000000
0.10080391120000	23.54493468000000	4.16419419500000	0.10080391120000	-13.61960259000000	13.12929341000000
0.12600488900000	23.54852400000000	4.16729444300000	0.12600488900000	-13.61944714000000	13.12863945000000
0.15120586680000	23.55118811000000	4.17039886900000	0.15120586680000	-13.61990706000000	13.12919160000000
0.17640684460000	23.55691693000000	4.17965149000000	0.17640684460000	-13.61500837000000	13.12839395000000
0.20160782240000	23.55665516000000	4.18106910500000	0.20160782240000	-13.61374814000000	13.12754639000000
0.22680880020000	23.56176914000000	4.19302425100000	0.22680880020000	-13.61676723000000	13.12728347000000
0.25200977800000	23.55151404000000	4.20531770100000	0.25200977800000	-13.61729714000000	13.12775288000000
0.27721075580000	23.54716614000000	4.21409192400000	0.27721075580000	-13.61828626000000	13.12851309000000
0.30241173360000	23.54522904000000	4.22184741400000	0.30241173360000	-13.61913681000000	13.12961794000000
0.32761271140000	23.54407588000000	4.22561654100000	0.32761271140000	-13.62049712000000	13.13144415000000
0.35281368920000	23.54284779000000	4.22491448000000	0.35281368920000	-13.61981120000000	13.13182677000000
0.37801466700000	23.54257079000000	4.22542269700000	0.37801466700000	-13.61936723000000	13.13121822000000
0.40321564480000	23.54572614000000	4.22413463900000	0.40321564480000	-13.61791156000000	13.13217245000000
0.42841662260000	23.54595100000000	4.22282600300000	0.42841662260000	-13.61488267000000	13.13257394000000
0.45361760040000	23.54499406000000	4.22807841500000	0.45361760040000	-13.61485518000000	13.13142114000000
0.47881857820000	23.54395445000000	4.22776178700000	0.47881857820000	-13.61427329000000	13.13070387000000
0.50401955600000	23.54525225000000	4.22967830100000	0.50401955600000	-13.61282318000000	13.13059588000000
0.52922053380000	23.54715825000000	4.23034893600000	0.52922053380000	-13.61044742000000	13.12893503000000
0.55442151160000	23.54867388000000	4.22857839700000	0.55442151160000	-13.60753223000000	13.12800486000000
0.57962248940000	23.54740909000000	4.22445518100000	0.57962248940000	-13.61259927000000	13.12922851000000
0.60482346720000	23.54754691000000	4.22503875300000	0.60482346720000	-13.61406310000000	13.12872960000000
