GMend			GMext		
t	x	y	t	x	y
0.0000000000	26.0086723100	1.0534579700	0.0000000000	46.9743736800	9.4064121850
0.0236345159	26.0077792200	1.0534972100	0.0236345159	46.9736612200	9.4065914190
0.0472690317	26.0073796700	1.0533296370	0.0472690317	46.9737576400	9.4065303400
0.0709035475	26.0067088400	1.0536460580	0.0709035475	46.9740863300	9.4062745130
0.0945380634	26.0077042800	1.0538110110	0.0945380634	46.9743676100	9.4058390410
0.1181725792	26.0089585800	1.0535971600	0.1181725792	46.9748256200	9.4054058340
0.1418070951	26.0092134300	1.0535067710	0.1418070951	46.9742485900	9.4052997730
0.1654416109	26.0086480300	1.0533615940	0.1654416109	46.9742472900	9.4049107050
0.1890761268	26.0092646800	1.0535686170	0.1890761268	46.9746647000	9.4048265830
0.2127106426	26.0082607200	1.0538092710	0.2127106426	46.9746584300	9.4047088290
0.2363451585	26.0074613700	1.0538221140	0.2363451585	46.9743771700	9.4049258530
0.2599796743	26.0070418600	1.0537698750	0.2599796743	46.9747144900	9.4049279410
0.2836141902	26.0078255700	1.0535407760	0.2836141902	46.9745181200	9.4048522460
0.3072487060	26.0068220300	1.0535171090	0.3072487060	46.9744929100	9.4043996040
0.3308832219	26.0091843500	1.0531201000	0.3308832219	46.9757277700	9.4039283010
0.3545177377	26.0089937900	1.0531802100	0.3545177377	46.9751332000	9.4037373030
0.3781522536	26.0092046900	1.0530448210	0.3781522536	46.9752176600	9.4037800910
0.4017867694	26.0090089700	1.0530089100	0.4017867694	46.9750460600	9.4035517310
0.4254212852	26.0097416400	1.0526535300	0.4254212852	46.9754964800	9.4034104470
0.4490558011	26.0101106300	1.0528125050	0.4490558011	46.9763269500	9.4029656040
0.4726903169	26.0087498800	1.0529496650	0.4726903169	46.9760145200	9.4036100750
0.4963248328	26.0082188800	1.0529217900	0.4963248328	46.9765769500	9.4033114810
0.5199593486	26.0096825900	1.0527224590	0.5199593486	46.9764565400	9.4029866280
0.5435938645	26.0091761400	1.0529644120	0.5435938645	46.9755282300	9.4031206680
0.5672283803	26.0079663100	1.0530694010	0.5672283803	46.9758583600	9.4035258510
0.5908628962	26.0064823800	1.0531136410	0.5908628962	46.9755857100	9.4038302810
0.6144974120	26.0088545700	1.0527791500	0.6144974120	46.9760351800	9.4035079000
0.6381319279	26.0089443300	1.0526545850	0.6381319279	46.9760407500	9.4032278140
0.6617664437	26.0103816300	1.0525378090	0.6617664437	46.9754497300	9.4023471120
0.6854009596	26.0091730100	1.0526160970	0.6854009596	46.9752945900	9.4027935720
0.7090354754	26.0097037800	1.0527185220	0.7090354754	46.9764878500	9.4025293480
0.7326699913	26.0096547500	1.0527568540	0.7326699913	46.9753230200	9.4026093850
0.7563045071	26.0096072300	1.0527911460	0.7563045071	46.9753527900	9.4028222770
0.7799390229	26.0110671700	1.0528887160	0.7799390229	46.9760150700	9.4022186640
0.8035735388	26.0108872500	1.0525842340	0.8035735388	46.9760839400	9.4021778460
0.8272080546	26.0115332500	1.0524929710	0.8272080546	46.9769204300	9.4010897420
0.8508425705	26.0113671400	1.0525894680	0.8508425705	46.9766280800	9.4013075360
0.8744770863	26.0131247800	1.0522393620	0.8744770863	46.9775676900	9.4001272030
0.8981116022	26.0117230100	1.0523750170	0.8981116022	46.9778748700	9.4003345220
0.9217461180	26.0112547300	1.0523571740	0.9217461180	46.9764276300	9.4009957160
0.9453806339	26.0109721900	1.0525221390	0.9453806339	46.9764503400	9.4007661830
0.9690151497	26.0109609700	1.0524744640	0.9690151497	46.9761632900	9.4003891520
0.9926496656	26.0117743600	1.0523223670	0.9926496656	46.9777189600	9.3996763590
1.0162841810	26.0119738800	1.0522240640	1.0162841810	46.9779620000	9.3998381930
1.0399186970	26.0124022800	1.0521396540	1.0399186970	46.9788723700	9.3995055170
1.0635532130	26.0129818000	1.0522895100	1.0635532130	46.9782437700	9.3996307410
1.0871877290	26.0118424300	1.0525326900	1.0871877290	46.9767229100	9.3992451390
1.1108222450	26.0123255300	1.0521992180	1.1108222450	46.9775180700	9.3993204780
1.1344567610	26.0121162400	1.0525198300	1.1344567610	46.9765810900	9.3992736460
1.1580912770	26.0127986700	1.0524522180	1.1580912770	46.9772582400	9.3998363800
1.1817257920	26.0119655400	1.0526383690	1.1817257920	46.9773419800	9.4004495380
1.2053603080	26.0111969100	1.0529572230	1.2053603080	46.9753870500	9.4000455370
1.2289948240	26.0061450500	1.0531582350	1.2289948240	46.9755039300	9.4010641720
1.2526293400	26.0026766700	1.0520760480	1.2526293400	46.9762008400	9.4019316970
1.2762638560	25.9938780600	1.0496681690	1.2762638560	46.9758146400	9.4027943970
1.2998983720	25.9820595700	1.0493335970	1.2998983720	46.9747279200	9.4039871960
1.3235328870	25.9706186700	1.0510762700	1.3235328870	46.9739794600	9.4045534860
1.3471674030	25.9658837100	1.0546049050	1.3471674030	46.9745800100	9.4044971960
1.3708019190	25.9520497900	1.0585289980	1.3708019190	46.9759034200	9.4036752740
1.3944364350	25.9335131800	1.0602874690	1.3944364350	46.9767656500	9.4033244950
1.4180709510	25.9191356700	1.0611835390	1.4180709510	46.9765409000	9.4037178760
1.4417054670	25.9049807900	1.0621200910	1.4417054670	46.9756186800	9.4038535680
1.4653399830	25.7870472900	1.0595108800	1.4653399830	46.9765669900	9.4024363700
1.4889744980	25.7909508700	1.0214622180	1.4889744980	46.9757911400	9.4012614470
1.5126090140	25.6891135300	1.0314016450	1.5126090140	46.9758398400	9.4010017670
1.5362435300	25.0783534500	1.1710731810	1.5362435300	46.9753822700	9.4023222320
1.5598780460	24.5111210900	1.2477056400	1.5598780460	46.9727732500	9.4031966090
1.5835125620	24.3711651800	1.2707254650	1.5835125620	46.9723496700	9.4031566580
1.6071470780	24.0746127700	1.3211122200	1.6071470780	46.9698358800	9.4034376000
1.6307815930	23.8754596200	1.3522215400	1.6307815930	46.9696169600	9.4036779300
1.6544161090	23.5948072500	1.3631607390	1.6544161090	46.9638832700	9.4068213930
1.6780506250	23.5460324400	1.3788238610	1.6780506250	46.9641238100	9.4063741930
1.7016851410	23.4087307800	1.4026962060	1.7016851410	46.9616253100	9.4073357030
1.7253196570	23.3015295100	1.4195105310	1.7253196570	46.9579264300	9.4081836130
1.7489541730	23.3029665300	1.4196701670	1.7489541730	46.9572096900	9.4074341700
1.7725886890	23.3495524800	1.4246338260	1.7725886890	46.9578187400	9.4081182690
1.7962232040	23.3469875000	1.4223398980	1.7962232040	46.9583638200	9.4076854640
1.8198577200	23.3361276400	1.4207427180	1.8198577200	46.9605654400	9.4063211100
1.8434922360	23.2504821000	1.4261417650	1.8434922360	46.9620376900	9.4058585240
1.8671267520	23.0867897500	1.4374983390	1.8671267520	46.9576442500	9.4085892500
1.8907612680	22.6322358400	1.4922349890	1.8907612680	46.9518538900	9.4126909160
1.9143957840	22.4572340400	1.4776618630	1.9143957840	46.9493326200	9.4170044630
1.9380302990	22.2024593800	1.4799421800	1.9380302990	46.9288032400	9.4231099770
1.9616648150	21.5355095000	1.5800128300	1.9616648150	46.8667702900	9.4456143910
1.9852993310	21.4391669800	1.5886731020	1.9852993310	46.8643634200	9.4417163640
2.0089338470	21.2514105200	1.6337381040	2.0089338470	46.8503707200	9.4463375700
2.0325683630	21.0317318000	1.6561883230	2.0325683630	46.8412817500	9.4472870130
2.0562028790	20.5882196400	1.7132310350	2.0562028790	46.8315479800	9.4547149660
2.0798373950	20.4857453300	1.7287772020	2.0798373950	46.8277035400	9.4563352540
2.1034719100	20.3211753200	1.7504090950	2.1034719100	46.8263488900	9.4596729260
2.1271064260	20.2040618800	1.7651216530	2.1271064260	46.8135560900	9.4647457860
2.1507409420	19.9125000000	1.7954880090	2.1507409420	46.8255233700	9.4700484350
2.1743754580	19.8508368100	1.8077883050	2.1743754580	46.8263715100	9.4732125770
2.1980099740	19.7171566300	1.8287595880	2.1980099740	46.8231660200	9.4787097960
2.2216444900	19.4342305100	1.8505178990	2.2216444900	46.8194704100	9.4864810780
2.2452790050	19.3777006600	1.8612248860	2.2452790050	46.8211284000	9.4881953590
2.2689135210	19.3068766300	1.8721450810	2.2689135210	46.8195545500	9.4914574600
2.2925480370	19.1732013600	1.8903287640	2.2925480370	46.8112231200	9.4972354310
2.3161825530	19.1375158000	1.8935044240	2.3161825530	46.8127622000	9.4982289370
2.3398170690	19.0439625800	1.9122859160	2.3398170690	46.8103328500	9.5000544320
2.3634515850	18.9497179500	1.9273585330	2.3634515850	46.8076683400	9.5044508370
2.3870861010	18.7959570400	1.9490557980	2.3870861010	46.8047970300	9.5077474040
2.4107206160	18.6950208500	1.9563253310	2.4107206160	46.8026138900	9.5099800770
2.4343551320	18.5688651100	1.9712675220	2.4343551320	46.7913508100	9.5120258990
2.4579896480	18.3908392100	1.9915550730	2.4579896480	46.7761032900	9.5198085020
2.4816241640	18.2263557300	2.0168840570	2.4816241640	46.7582679900	9.5269249630
2.5052586800	17.8309331100	2.0730217170	2.5052586800	46.7328279800	9.5450987370
2.5288931960	17.7377883600	2.0843308510	2.5288931960	46.7347387300	9.5444022030
2.5525277110	17.6145829200	2.1116452670	2.5525277110	46.7262634300	9.5429449780
2.5761622270	17.4761671300	2.1402860220	2.5761622270	46.7585315600	9.5566649650
2.5997967430	17.3541910000	2.1521576120	2.5997967430	46.7604724100	9.5652231310
2.6234312590	17.3139312500	2.1568765170	2.6234312590	46.7622909400	9.5675872420
2.6470657750	17.1999150400	2.1734140070	2.6470657750	46.7586294300	9.5749629810
2.6707002910	17.1192537900	2.1813530730	2.6707002910	46.7508942900	9.5814134170
2.6943348070	16.9041210500	2.2008657910	2.6943348070	46.7199238300	9.5889026490
2.7179693220	16.7832362900	2.2216435040	2.7179693220	46.6963575100	9.6012003350
2.7416038380	16.6835707800	2.2368698080	2.7416038380	46.6867660700	9.6064740410
2.7652383540	16.6039700400	2.2430955710	2.7652383540	46.6744280900	9.6131125190
2.7888728700	16.5267128400	2.2491726370	2.7888728700	46.6612343800	9.6182929180
2.8125073860	16.4939210500	2.2531259520	2.8125073860	46.6513099900	9.6227715990
2.8361419020	16.3420514800	2.2378429720	2.8361419020	46.6556928700	9.6432026650
2.8597764170	16.2367099900	2.2327221730	2.8597764170	46.6545303800	9.6574612600
2.8834109330	16.1245298500	2.2372264310	2.8834109330	46.6505227300	9.6669389360
2.9070454490	16.0431251000	2.2400739890	2.9070454490	46.6445753700	9.6712702560
2.9306799650	15.8846853600	2.2493079500	2.9306799650	46.6315345700	9.6822102750
2.9543144810	15.7723996200	2.2643123590	2.9543144810	46.6194134700	9.6899453390
2.9779489970	15.7279551400	2.2733498660	2.9779489970	46.6151507600	9.6914648450
3.0015835130	15.6917734200	2.2765774780	3.0015835130	46.6118745200	9.6943094800
3.0252180280	15.6496449000	2.2795328220	3.0252180280	46.6134655400	9.6953654030
3.0488525440	15.5781401700	2.2537371960	3.0488525440	46.5993762100	9.6986332540
3.0724870600	15.5431048800	2.2406559680	3.0724870600	46.5957951700	9.6992796540
3.0961215760	15.5226331300	2.2294303050	3.0961215760	46.5892900900	9.7004066460
3.1197560920	15.4459882500	2.2309403410	3.1197560920	46.5787057800	9.7078953420
3.1433906080	15.4219087000	2.2351397830	3.1433906080	46.5610193200	9.7193131920
3.1670251230	15.4310818100	2.2426788470	3.1670251230	46.5564136000	9.7217115330
3.1906596390	15.4380095000	2.2495299440	3.1906596390	46.5503743500	9.7224969500
3.2142941550	15.4404250200	2.2559566960	3.2142941550	46.5412129900	9.7243277230
3.2379286710	15.4106552000	2.2603357830	3.2379286710	46.5409770600	9.7223234410
3.2615631870	15.2825235200	2.2808509810	3.2615631870	46.5518625800	9.7301840360
3.2851977030	15.2055342600	2.2891713400	3.2851977030	46.5484610700	9.7466980900
3.3088322190	15.1528287500	2.2938112560	3.3088322190	46.5515680800	9.7516618370
3.3324667340	15.1166273000	2.2996932220	3.3324667340	46.5422078900	9.7582998440
3.3561012500	14.9860852500	2.3141548480	3.3561012500	46.5408534500	9.7591779350
3.3797357660	14.8472669600	2.3322862880	3.3797357660	46.5488350500	9.7610779460
3.4033702820	14.7294163800	2.3489830040	3.4033702820	46.5502770800	9.7655098360
3.4270047980	14.6078552700	2.3609650010	3.4270047980	46.5482714500	9.7705908160
3.4506393140	14.4413762100	2.3495238360	3.4506393140	46.5442529000	9.7744317250
3.4742738300	14.1920637000	2.3653403300	3.4742738300	46.5468930700	9.7735034140
3.4979083450	13.8470482000	2.4120462510	3.4979083450	46.5574710100	9.7731914250
3.5215428610	13.7494490200	2.4215920190	3.5215428610	46.5611474500	9.7728932300
3.5451773770	13.5716268800	2.4371365220	3.5451773770	46.5632406500	9.7767723890
3.5688118930	13.2121572500	2.4587700910	3.5688118930	46.5664321000	9.7771495850
3.5924464090	13.1419461200	2.4760382220	3.5924464090	46.5688815600	9.7790766050
3.6160809250	12.9624409500	2.5030201970	3.6160809250	46.5740534100	9.7800954830
3.6397154400	12.7809388900	2.5305173630	3.6397154400	46.5813554000	9.7791214300
