CALbumpCOM			CALext		
t	x	y	t	x	y
0.000000000000	9.845702603000	7.919845516000	0.000000000000	-11.405996240000	13.852671080000
0.059612518630	9.865904259000	7.900464537000	0.059612518630	-11.454620740000	13.868039320000
0.119225037300	9.823586141000	7.976771697000	0.119225037300	-11.601458240000	13.895682230000
0.178837555900	9.698546187000	7.996326281000	0.178837555900	-11.682927630000	13.914945440000
0.238450074500	9.613512384000	8.018815599000	0.238450074500	-11.751879450000	13.927496230000
0.298062593100	9.587951073000	8.026115480000	0.298062593100	-11.793692550000	13.929319280000
0.357675111800	9.551475332000	8.033734396000	0.357675111800	-11.860045150000	13.931028600000
0.417287630400	9.546127809000	8.058828596000	0.417287630400	-11.926811610000	13.913739200000
0.476900149000	9.494089337000	8.092793841000	0.476900149000	-12.142346170000	13.917521450000
0.536512667700	9.382317343000	8.123174681000	0.536512667700	-12.265613850000	13.929859400000
0.596125186300	9.351251687000	8.161214822000	0.596125186300	-12.586987840000	13.592612490000
0.655737704900	9.273816111000	8.164883829000	0.655737704900	-12.786431870000	13.579695820000
0.715350223500	9.255624808000	8.166790250000	0.715350223500	-12.835450930000	13.568174010000
0.774962742200	9.224436843000	8.172349842000	0.774962742200	-12.886951860000	13.555887820000
0.834575260800	9.212400196000	8.173505238000	0.834575260800	-12.899803230000	13.595822420000
0.894187779400	9.116389401000	8.178952147000	0.894187779400	-12.960921240000	13.599398030000
0.953800298100	9.053612541000	8.189802734000	0.953800298100	-13.099304250000	13.617609860000
1.013412817000	9.081078685000	8.174264808000	1.013412817000	-13.126202850000	13.610147090000
1.073025335000	9.087095192000	8.169575854000	1.073025335000	-13.287989100000	13.572205400000
1.132637854000	9.089623450000	8.164611440000	1.132637854000	-13.274858800000	13.595802780000
1.192250373000	9.076317569000	8.170987716000	1.192250373000	-13.245748650000	13.632299530000
1.251862891000	9.205296443000	8.147062840000	1.251862891000	-13.283296660000	13.624248420000
1.311475410000	9.208677688000	8.142996513000	1.311475410000	-13.295174510000	13.646102180000
1.371087928000	9.153453290000	8.196571746000	1.371087928000	-13.386902760000	13.845899220000
1.430700447000	9.150788255000	8.239796307000	1.430700447000	-13.494132720000	13.700226350000
1.490312966000	9.146159373000	8.240077353000	1.490312966000	-13.629770850000	13.677148590000
