GMEndBEST			GMext		
t	x	y	t	x	y
0.0000000000	27.1554972000	1.4804977110	0.0000000000	47.5920628500	10.7248476700
0.0239234450	27.1582055800	1.4828307350	0.0239234450	47.5916871100	10.7253576800
0.0478468900	27.1587555300	1.4827977550	0.0478468900	47.5912849600	10.7255610200
0.0717703349	27.1559595200	1.4843201030	0.0717703349	47.5909077600	10.7258525500
0.0956937799	27.1572767300	1.4849305790	0.0956937799	47.5899450500	10.7265680800
0.1196172249	27.1650798300	1.4880967370	0.1196172249	47.5891037500	10.7274258800
0.1435406699	27.1610620900	1.4887894790	0.1435406699	47.5877463200	10.7284822500
0.1674641148	27.1573865000	1.4900757980	0.1674641148	47.5871666700	10.7287982600
0.1913875598	27.1743768800	1.5044936170	0.1913875598	47.5873484000	10.7320573500
0.2153110048	27.1703666200	1.5005782140	0.2153110048	47.5874318300	10.7317057100
0.2392344498	27.1568273600	1.4995242920	0.2392344498	47.5878846400	10.7326857800
0.2631578947	27.1553629300	1.5002279940	0.2631578947	47.5874035700	10.7327123600
0.2870813397	27.1680192200	1.5057894170	0.2870813397	47.5875189300	10.7363875200
0.3110047847	27.1590976200	1.5027411970	0.3110047847	47.5861976800	10.7366580500
0.3349282297	27.1510380900	1.4988013170	0.3349282297	47.5842114500	10.7381501700
0.3588516746	27.1608534200	1.4961570260	0.3588516746	47.5851559800	10.7390205600
0.3827751196	27.1630182700	1.4916686390	0.3827751196	47.5830887300	10.7410213700
0.4066985646	27.1516520100	1.4926350820	0.4066985646	47.5792947400	10.7454140000
0.4306220096	27.1513849700	1.4930287060	0.4306220096	47.5784949300	10.7473618600
0.4545454545	27.1489302600	1.4941293390	0.4545454545	47.5773192200	10.7483319200
0.4784688995	27.1463834600	1.4948045900	0.4784688995	47.5761316900	10.7487074600
0.5023923445	27.1466928200	1.5034750850	0.5023923445	47.5737161900	10.7524812200
0.5263157895	27.1508486700	1.4993203570	0.5263157895	47.5750480200	10.7549625500
0.5502392344	27.1361075700	1.4875929470	0.5502392344	47.5704445600	10.7576081400
0.5741626794	27.0330500000	1.4957998410	0.5741626794	47.5694487600	10.7612553000
0.5980861244	26.7957429000	1.4953509130	0.5980861244	47.5493628900	10.7679259600
0.6220095694	26.6848135200	1.4969507530	0.6220095694	47.5667004200	10.7765708100
0.6459330144	26.5346389600	1.5178363320	0.6459330144	47.5376541600	10.7975375800
0.6698564593	26.4033761300	1.5331250660	0.6698564593	47.5165704700	10.8069890800
0.6937799043	26.2451381400	1.5441242300	0.6937799043	47.4931539000	10.8138176700
0.7177033493	26.1087684000	1.5264651100	0.7177033493	47.4727651800	10.8230163700
0.7416267943	25.9005671200	1.5248619530	0.7416267943	47.4561239000	10.8341994600
0.7655502392	25.7732654500	1.5350194830	0.7655502392	47.4480978100	10.8413273600
0.7894736842	25.6472192000	1.5567638570	0.7894736842	47.4370668400	10.8481811100
0.8133971292	25.4034669300	1.6089430430	0.8133971292	47.4028694600	10.8622914300
0.8373205742	25.2855563200	1.6176985420	0.8373205742	47.3901312400	10.8713393700
0.8612440191	24.9059060100	1.6110200390	0.8612440191	47.4270451900	10.8767717800
0.8851674641	24.8212484400	1.5963599160	0.8851674641	47.4156971100	10.8872292400
0.9090909091	24.6807642700	1.6036108340	0.9090909091	47.4021645100	10.9006533700
0.9330143541	24.5404580800	1.6250431450	0.9330143541	47.3854946600	10.9114276700
0.9569377990	24.3922877400	1.6529012600	0.9569377990	47.3691333300	10.9225366500
0.9808612440	24.1550665200	1.6944504130	0.9808612440	47.3511558300	10.9316739600
1.0047846890	23.9451452000	1.7183001120	1.0047846890	47.3284807300	10.9438680500
1.0287081340	23.4981289900	1.8046665500	1.0287081340	47.2468682400	10.9762853600
1.0526315790	23.3448690500	1.8340898740	1.0526315790	47.2347894000	10.9859958700
1.0765550240	23.1400639500	1.8720343110	1.0765550240	47.3225296100	10.9962812700
1.1004784690	22.6837335100	1.9203018550	1.1004784690	47.2930798000	11.0158178700
1.1244019140	22.5671630700	1.9186652870	1.1244019140	47.2843388400	11.0198934600
1.1483253590	22.3824585400	1.9336747480	1.1483253590	47.2575890000	11.0346524000
1.1722488040	22.2061995000	1.9401822100	1.1722488040	47.2343819200	11.0388546500
1.1961722490	21.8709326900	1.9559407090	1.1961722490	47.1860926200	11.0642421100
1.2200956940	21.8000566500	1.9755883540	1.2200956940	47.1854743700	11.0668626200
1.2440191390	21.6072762100	2.0116679160	1.2440191390	47.2603159500	11.0792119300
1.2679425840	21.4792513900	2.0336206760	1.2679425840	47.2495417400	11.0897668400
1.2918660290	21.4182718400	2.0263361470	1.2918660290	47.2463639600	11.0861813900
1.3157894740	21.3124557300	2.0402332760	1.3157894740	47.2261873600	11.0959354000
1.3397129190	21.1714767200	2.0583709660	1.3397129190	47.2154148900	11.0996215100
1.3636363640	20.9050393700	2.0842625880	1.3636363640	47.1953590600	11.1072783100
1.3875598090	20.8264367300	2.0719573070	1.3875598090	47.1912152400	11.1142113300
1.4114832540	20.6687834000	2.0776355880	1.4114832540	47.1850703200	11.1204483600
1.4354066990	20.5307374000	2.1128643260	1.4354066990	47.1748149300	11.1219393800
1.4593301440	20.3737281200	2.1525363020	1.4593301440	47.1531662800	11.1368432000
1.4832535890	20.2192531300	2.1824160400	1.4832535890	47.1391793100	11.1433395900
1.5071770330	20.0802252900	2.2171055540	1.5071770330	47.1297087100	11.1467973800
1.5311004780	19.9204511300	2.2322051030	1.5311004780	47.1310488400	11.1456528800
1.5550239230	19.7877791200	2.2590332430	1.5550239230	47.1212961100	11.1506205200
1.5789473680	19.6741868100	2.2925463800	1.5789473680	47.0962609200	11.1568241900
1.6028708130	19.5324834500	2.3210015470	1.6028708130	47.0716517200	11.1721187400
1.6267942580	19.3717324500	2.3522110000	1.6267942580	47.1419765200	11.1791198700
1.6507177030	19.2074142100	2.4080527620	1.6507177030	47.1116018500	11.2001067100
1.6746411480	19.0968366700	2.4318627940	1.6746411480	47.0921047500	11.2107002600
1.6985645930	18.8970702600	2.4604024080	1.6985645930	47.0667766000	11.2243281500
1.7224880380	18.7661825200	2.4890135910	1.7224880380	47.0536922000	11.2331799900
1.7464114830	18.6516957800	2.5025499260	1.7464114830	47.0379677100	11.2347307900
1.7703349280	18.4701893900	2.5310405400	1.7703349280	47.0040688900	11.2531866200
1.7942583730	18.4520519900	2.5478499220	1.7942583730	46.9960490200	11.2590936800
1.8181818180	18.3973424700	2.5717535020	1.8181818180	46.9834340000	11.2684612800
1.8421052630	18.2215270900	2.5952931910	1.8421052630	46.9657194100	11.2679239600
1.8660287080	18.1761667700	2.6088430820	1.8660287080	46.9492201900	11.2723799800
1.8899521530	18.0778914000	2.6370070320	1.8899521530	47.0138031400	11.2838197700
1.9138755980	17.8729392500	2.6612105350	1.9138755980	46.9913637600	11.3056091800
1.9377990430	17.7372334200	2.6968733170	1.9377990430	46.9782889000	11.3097057100
1.9617224880	17.6645163900	2.7149147120	1.9617224880	46.9666246000	11.3162788500
1.9856459330	17.4417060300	2.7617788510	1.9856459330	46.9448611700	11.3278040400
2.0095693780	17.3669755700	2.7892278130	2.0095693780	46.9285430600	11.3375733700
2.0334928230	17.3138484500	2.8013746330	2.0334928230	46.9158953900	11.3392353900
2.0574162680	17.2887042100	2.7960382760	2.0574162680	46.9041100000	11.3415421700
2.0813397130	17.0847605100	2.8311260010	2.0813397130	46.8785698400	11.3519978500
2.1052631580	17.0270332200	2.8494544130	2.1052631580	46.8690873000	11.3573605000
2.1291866030	16.9123246600	2.8352756090	2.1291866030	46.8547197700	11.3691216900
2.1531100480	16.8364118800	2.8533917830	2.1531100480	46.8398645100	11.3712064400
2.1770334930	16.7393046100	2.8773754510	2.1770334930	46.8860592400	11.3814805700
2.2009569380	16.5446608500	2.8914503790	2.2009569380	46.8702138100	11.4021993500
2.2248803830	16.4162986800	2.9081823950	2.2248803830	46.8601692600	11.4105313000
2.2488038280	16.1414933700	2.9633188020	2.2488038280	46.8205241700	11.4246525900
2.2727272730	15.9638968400	2.9579044370	2.2727272730	46.8026531100	11.4336935400
2.2966507180	15.7698270900	2.9922275640	2.2966507180	46.7769365000	11.4438385500
2.3205741630	15.7015214600	2.9970903090	2.3205741630	46.7660532400	11.4479961400
2.3444976080	15.5969227300	2.9989437560	2.3444976080	46.7545409100	11.4521473200
2.3684210530	15.5404813300	3.0103744460	2.3684210530	46.7530743700	11.4520477500
2.3923444980	15.3959155500	3.0358096240	2.3923444980	46.7405257600	11.4582489100
2.4162679430	15.3492369800	3.0431166770	2.4162679430	46.7436621800	11.4547233400
