CALbump			5+D1:F275		
t	x	y	t	x	y
0.00000000000000	19.05505808000000	6.35168602600000	0.00000000000000	-11.60825377000000	13.71088087000000
0.05961251863000	19.05451914000000	6.35268916100000	0.05961251863000	-11.60945920000000	13.70828316000000
0.11922503730000	19.05330658000000	6.35268060700000	0.11922503730000	-11.60899587000000	13.70820239000000
0.17883755590000	19.05434718000000	6.35294911600000	0.17883755590000	-11.60844980000000	13.70826615000000
0.23845007450000	19.05412030000000	6.35260438200000	0.23845007450000	-11.61071595000000	13.70839590000000
0.29806259310000	19.05556888000000	6.35301362300000	0.29806259310000	-11.61008906000000	13.70851917000000
0.35767511180000	19.05676759000000	6.35347565200000	0.35767511180000	-11.61075723000000	13.70850012000000
0.41728763040000	19.05478507000000	6.35265853200000	0.41728763040000	-11.60986459000000	13.70852218000000
0.47690014900000	19.05492469000000	6.35219244800000	0.47690014900000	-11.60910415000000	13.70839496000000
0.53651266770000	19.05510654000000	6.35114064000000	0.53651266770000	-11.60946024000000	13.70830544000000
0.59612518630000	19.05541601000000	6.35156311100000	0.59612518630000	-11.60930685000000	13.70859969000000
0.65573770490000	19.05466454000000	6.35110684000000	0.65573770490000	-11.60829232000000	13.70842526000000
0.71535022350000	19.05460897000000	6.35137041100000	0.71535022350000	-11.61004506000000	13.70855223000000
0.77496274220000	19.05571837000000	6.35134577000000	0.77496274220000	-11.60945969000000	13.70822870000000
0.83457526080000	19.05793076000000	6.35178172300000	0.83457526080000	-11.60967441000000	13.70848337000000
0.89418777940000	19.05738260000000	6.35169003900000	0.89418777940000	-11.61056179000000	13.70837389000000
0.95380029810000	19.05784906000000	6.35162237700000	0.95380029810000	-11.61027987000000	13.70848739000000
1.01341281700000	19.05693403000000	6.35194521300000	1.01341281700000	-11.60977869000000	13.70861763000000
1.07302533500000	19.05520899000000	6.35126743500000	1.07302533500000	-11.61192878000000	13.70819423000000
1.13263785400000	19.05200318000000	6.35091315100000	1.13263785400000	-11.61198611000000	13.70779480000000
1.19225037300000	19.04807247000000	6.35118148000000	1.19225037300000	-11.61193331000000	13.70829277000000
1.25186289100000	19.04088490000000	6.35008657600000	1.25186289100000	-11.61311007000000	13.70763173000000
1.31147541000000	19.02272188000000	6.34992132500000	1.31147541000000	-11.61437821000000	13.70763684000000
1.37108792800000	19.00793610000000	6.35392480500000	1.37108792800000	-11.61563514000000	13.70720148000000
1.43070044700000	18.98989527000000	6.35612151800000	1.43070044700000	-11.61458287000000	13.70726457000000
1.49031296600000	19.00586430000000	6.35821458400000	1.49031296600000	-11.61796489000000	13.70644061000000
1.54992548400000	18.98367738000000	6.35566599000000	1.54992548400000	-11.63188726000000	13.70601631000000
1.60953800300000	18.93244404000000	6.36081759200000	1.60953800300000	-11.63845986000000	13.70423927000000
