mass_A			SOLext		
t	x	y	t	x	y
0.000000000000	16.325559760000	8.009590982000	0.000000000000	-11.313944030000	14.503557770000
0.059612518630	16.326712680000	8.011146913000	0.059612518630	-11.315693990000	14.503117150000
0.119225037300	16.329054600000	8.009958017000	0.119225037300	-11.314444850000	14.503229660000
0.178837555900	16.346131400000	8.009093341000	0.178837555900	-11.315162190000	14.503044750000
0.238450074500	16.363866010000	8.010438106000	0.238450074500	-11.314907500000	14.503107470000
0.298062593100	16.346080590000	8.014044005000	0.298062593100	-11.313421100000	14.503166260000
0.357675111800	16.334689660000	8.013436581000	0.357675111800	-11.315000610000	14.503114160000
0.417287630400	16.374605580000	8.015821010000	0.417287630400	-11.313881930000	14.503317430000
0.476900149000	16.350837470000	8.013450091000	0.476900149000	-11.315642170000	14.503044920000
0.536512667700	16.366023500000	8.014074288000	0.536512667700	-11.313935840000	14.503045510000
0.596125186300	16.383800040000	8.012035438000	0.596125186300	-11.314477670000	14.503183380000
0.655737704900	16.391701850000	8.011944805000	0.655737704900	-11.314887580000	14.502967250000
0.715350223500	16.368532850000	8.011622402000	0.715350223500	-11.314755330000	14.503114190000
0.774962742200	16.364054210000	8.013372606000	0.774962742200	-11.313003530000	14.503038540000
0.834575260800	16.387143050000	8.013884413000	0.834575260800	-11.313227160000	14.502999380000
0.894187779400	16.394857390000	8.014054769000	0.894187779400	-11.312968540000	14.503052960000
0.953800298100	16.453131660000	8.011665059000	0.953800298100	-11.312817400000	14.502997370000
1.013412817000	16.487896630000	8.009101331000	1.013412817000	-11.312308550000	14.503130170000
1.073025335000	16.568262480000	8.003648485000	1.073025335000	-11.310341560000	14.503043940000
1.132637854000	16.622621190000	7.992742085000	1.132637854000	-11.311077760000	14.503188160000
1.192250373000	16.711533230000	7.993872921000	1.192250373000	-11.309335450000	14.503133650000
1.251862891000	16.807706010000	7.980519325000	1.251862891000	-11.309356540000	14.503118360000
1.311475410000	16.852969480000	7.973863941000	1.311475410000	-11.306853380000	14.503199970000
1.371087928000	16.929622960000	7.950973511000	1.371087928000	-11.305252360000	14.503043370000
1.430700447000	17.044047820000	7.935429471000	1.430700447000	-11.301771440000	14.503117550000
1.490312966000	17.099227180000	7.953626928000	1.490312966000	-11.303402660000	14.503103410000
1.549925484000	17.089815190000	7.973273751000	1.549925484000	-11.300021030000	14.502912280000
1.609538003000	17.065510070000	7.993732051000	1.609538003000	-11.302526050000	14.502946330000
1.669150522000	17.065737100000	8.000628353000	1.669150522000	-11.302565030000	14.502946930000
1.728763040000	17.035617450000	7.999725823000	1.728763040000	-11.302680980000	14.502948320000
1.788375559000	16.943198650000	8.020419394000	1.788375559000	-11.301820180000	14.502917470000
1.847988077000	16.896427130000	8.033497378000	1.847988077000	-11.304304790000	14.503053650000
1.907600596000	16.887040770000	8.027499418000	1.907600596000	-11.301005670000	14.503041090000
1.967213115000	16.774219170000	8.018758041000	1.967213115000	-11.300440630000	14.502788450000
