CALtend			CALext1		
1.609538003	8.655897248	10.2145861	1.609538003	-7.315077734	14.19054898
1.669150522	8.633885116	10.22117375	1.669150522	-7.313576781	14.18792527
1.72876304	8.595559772	10.23054479	1.72876304	-7.315391157	14.18888429
1.788375559	8.597957423	10.23951988	1.788375559	-7.318499422	14.18539898
1.847988077	8.52514666	10.24273623	1.847988077	-7.317844611	14.18477385
1.907600596	8.50607511	10.24562136	1.907600596	-7.32186527	14.18407098
1.967213115	8.502448544	10.24557767	1.967213115	-7.32154847	14.18570557
2.026825633	8.522379612	10.2207592	2.026825633	-7.320701377	14.18620981
2.086438152	8.578042752	10.20938701	2.086438152	-7.318235842	14.18449017
2.146050671	8.619303414	10.20422668	2.146050671	-7.316290418	14.18451591
2.205663189	8.608866169	10.20548066	2.205663189	-7.311571248	14.18429608
2.265275708	8.573058229	10.21363153	2.265275708	-7.313907453	14.18356734
2.324888227	8.534302507	10.21364381	2.324888227	-7.315006095	14.18275386
2.384500745	8.488877971	10.23183003	2.384500745	-7.315922594	14.18193473
2.444113264	8.471784427	10.23477457	2.444113264	-7.320250549	14.18147416
2.503725782	8.418538424	10.23543036	2.503725782	-7.318672952	14.18138058
2.563338301	8.335508569	10.25537052	2.563338301	-7.32189567	14.18286085
2.62295082	8.228486984	10.28493954	2.62295082	-7.32455352	14.18718816
2.682563338	8.22990399	10.27631853	2.682563338	-7.325293421	14.18578728
2.742175857	8.256350883	10.27123942	2.742175857	-7.33784345	14.1859639
2.801788376	8.311277988	10.27255451	2.801788376	-7.320775096	14.18634797
2.861400894	8.385777626	10.26182187	2.861400894	-7.317659056	14.18642839
2.921013413	8.431472977	10.25704171	2.921013413	-7.313296936	14.18637629
2.980625931	8.462753362	10.25994593	2.980625931	-7.308352821	14.18491059
3.04023845	8.469904143	10.25665877	3.04023845	-7.30504392	14.18657841
3.099850969	8.426389237	10.2917903	3.099850969	-7.310702853	14.18665025
3.159463487	8.395805922	10.28378014	3.159463487	-7.312920902	14.18551709
3.219076006	8.368619493	10.28999311	3.219076006	-7.311887328	14.18659956
3.278688525	8.389584722	10.28557266	3.278688525	-7.312491805	14.1866217
3.338301043	8.386300472	10.28487096	3.338301043	-7.317365191	14.18677687
3.397913562	8.405753718	10.28217747	3.397913562	-7.315270869	14.18568423
3.45752608	8.43771499	10.27674221	3.45752608	-7.318096823	14.18630419
3.517138599	8.445073974	10.27733587	3.517138599	-7.314350538	14.18380233
3.576751118	8.446177818	10.275748	3.576751118	-7.318838596	14.18553255
3.636363636	8.495043727	10.27483176	3.636363636	-7.315792421	14.1850409
3.695976155	8.535539171	10.26886505	3.695976155	-7.317011932	14.18354692
3.755588674	8.528036395	10.27236232	3.755588674	-7.314793226	14.18459566
3.815201192	8.521480614	10.27311024	3.815201192	-7.318854193	14.18448331
3.874813711	8.524870412	10.27584901	3.874813711	-7.31407721	14.18337525
3.93442623	8.540823729	10.27267375	3.93442623	-7.311534508	14.18140876
3.994038748	8.561578734	10.27264513	3.994038748	-7.31497321	14.18305472
4.053651267	8.592474581	10.27239037	4.053651267	-7.31623392	14.1833771
4.113263785	8.581343758	10.2789534	4.113263785	-7.310473408	14.1839779
4.172876304	8.573872534	10.27768687	4.172876304	-7.31311571	14.18251924
4.232488823	8.604575781	10.27782593	4.232488823	-7.31321251	14.18330418
4.292101341	8.647548822	10.27572682	4.292101341	-7.314470552	14.18363115
4.35171386	8.734683287	10.26408892	4.35171386	-7.316981898	14.18400865
4.411326379	8.822940805	10.24719605	4.411326379	-7.318984265	14.18615342
4.470938897	8.931222925	10.22539466	4.470938897	-7.31684932	14.1871375
4.530551416	9.07551169	10.21004028	4.530551416	-7.317761432	14.19372272
4.590163934	9.100109673	10.19660487	4.590163934	-7.317918612	14.19287453
4.649776453	9.070964749	10.20872692	4.649776453	-7.313343165	14.19194137
4.709388972	8.984255359	10.22874805	4.709388972	-7.313577343	14.19026021
4.76900149	8.929457501	10.25292759	4.76900149	-7.309882475	14.19236776
4.828614009	8.91009311	10.27444667	4.828614009	-7.314747579	14.19078686
4.888226528	8.88178567	10.28320776	4.888226528	-7.310038326	14.18845077
4.947839046	8.867905325	10.28911552	4.947839046	-7.303023506	14.18854767
5.007451565	8.82246273	10.30126017	5.007451565	-7.308169492	14.18845723
5.067064083	8.761518855	10.3164584	5.067064083	-7.316067089	14.18709423
5.126676602	8.736189118	10.33627763	5.126676602	-7.322133625	14.18955002
5.186289121	8.694572553	10.34841701	5.186289121	-7.316363275	14.1881668
5.245901639	8.647541485	10.35553983	5.245901639	-7.319308868	14.18871037
5.305514158	8.613648601	10.36030867	5.305514158	-7.316186297	14.18447627
5.365126677	8.583769112	10.36181366	5.365126677	-7.317536705	14.18472745
5.424739195	8.537570913	10.36321947	5.424739195	-7.316757229	14.18365761
5.484351714	8.480034812	10.36848914	5.484351714	-7.318264479	14.18500661
5.543964232	8.486125362	10.37404961	5.543964232	-7.312816591	14.18487081
5.603576751	8.49821493	10.37118761	5.603576751	-7.316364359	14.18398186
5.66318927	8.534171755	10.36709623	5.66318927	-7.317302205	14.18571254
5.722801788	8.542742557	10.36206757	5.722801788	-7.315501277	14.18435032
5.782414307	8.53757571	10.36179966	5.782414307	-7.314128304	14.18595793
5.842026826	8.540092651	10.36186188	5.842026826	-7.31533413	14.18483123
5.901639344	8.540485107	10.36087655	5.901639344	-7.316532055	14.18493182
5.961251863	8.529348899	10.36340093	5.961251863	-7.319082146	14.18561152
6.020864382	8.515967053	10.36465023	6.020864382	-7.312513442	14.18385335
6.0804769	8.508646522	10.36840114	6.0804769	-7.309883462	14.1833342
6.140089419	8.504059411	10.37061619	6.140089419	-7.314704724	14.18417721
6.199701937	8.508148251	10.37056978	6.199701937	-7.311647541	14.18278862
6.259314456	8.504486691	10.37102984	6.259314456	-7.309783194	14.18244571
6.318926975	8.469227794	10.37365517	6.318926975	-7.305215009	14.18235644
6.378539493	8.416974683	10.37719528	6.378539493	-7.308570415	14.18237313
6.438152012	8.384048694	10.37773945	6.438152012	-7.307090355	14.18201117
6.497764531	8.318275144	10.38106688	6.497764531	-7.310323145	14.18224097
6.557377049	8.235862223	10.38266127	6.557377049	-7.318041723	14.18281694
6.616989568	8.196097572	10.38227151	6.616989568	-7.320489608	14.18314597
6.676602086	8.174243431	10.37932527	6.676602086	-7.325208971	14.18358254
6.736214605	8.085738781	10.3800545	6.736214605	-7.34333478	14.18376931
6.795827124	8.045320234	10.38306222	6.795827124	-7.397842956	14.18252019
6.855439642	7.990002219	10.38610362	6.855439642	-7.437087562	14.1814593
6.915052161	7.956124326	10.38810348	6.915052161	-7.464419058	14.18205614
6.97466468	7.990341838	10.37463117	6.97466468	-7.467437268	14.18233839
7.034277198	8.025174932	10.36807206	7.034277198	-7.467164698	14.18222687
7.093889717	8.068176582	10.36246996	7.093889717	-7.466634048	14.1820779
7.153502235	8.059423858	10.36345682	7.153502235	-7.470555063	14.18208775
7.213114754	8.057858615	10.36320324	7.213114754	-7.466862941	14.18234288
7.272727273	8.044886203	10.36402113	7.272727273	-7.468412635	14.18218866
7.332339791	8.026744248	10.36429062	7.332339791	-7.471622365	14.18239244
7.39195231	8.039674869	10.362722	7.39195231	-7.472123296	14.18257583
7.451564829	8.045030063	10.36377808	7.451564829	-7.470205796	14.18269706
7.511177347	8.040398394	10.36293149	7.511177347	-7.469839409	14.18278513
7.570789866	8.040997838	10.36277634	7.570789866	-7.47038455	14.18311648
7.630402385	8.040577174	10.36236325	7.630402385	-7.469564857	14.18311582
7.690014903	8.008530977	10.36001668	7.690014903	-7.47150218	14.1831254
7.749627422	7.975419284	10.36565	7.749627422	-7.472529964	14.183386
7.80923994	7.988599105	10.36304349	7.80923994	-7.470370046	14.18335394
7.868852459	7.991005204	10.36352513	7.868852459	-7.469852776	14.18338789
7.928464978	7.982610172	10.36325447	7.928464978	-7.468972745	14.18292628
7.988077496	8.036211237	10.35838529	7.988077496	-7.467729382	14.18267269
8.047690015	8.058768589	10.35614865	8.047690015	-7.465085408	14.18241202
8.107302534	8.079709201	10.35354811	8.107302534	-7.464729183	14.18199478
8.166915052	8.073294606	10.35290918	8.166915052	-7.464124849	14.18217762
8.226527571	8.060348037	10.35392735	8.226527571	-7.462137242	14.18181025
8.286140089	8.048078211	10.35162605	8.286140089	-7.459734275	14.18190689
8.345752608	8.068513853	10.34580617	8.345752608	-7.460764563	14.18169274
8.405365127	8.109041575	10.33831126	8.405365127	-7.458183161	14.18154256
8.464977645	8.107969387	10.33957043	8.464977645	-7.459126835	14.18179882
8.524590164	8.111896406	10.33240015	8.524590164	-7.458975945	14.18158703
8.584202683	8.120605251	10.32743156	8.584202683	-7.460658938	14.18182917
8.643815201	8.139989405	10.32271676	8.643815201	-7.46045581	14.18176845
8.70342772	8.273047152	10.30054981	8.70342772	-7.458645513	14.18171552
8.763040238	8.308019744	10.2928171	8.763040238	-7.458346883	14.18196829
8.822652757	8.334785793	10.28455343	8.822652757	-7.458494215	14.18187846
8.882265276	8.357702434	10.28251708	8.882265276	-7.458617911	14.18178082
8.941877794	8.369393411	10.28181234	8.941877794	-7.457969538	14.1819702
9.001490313	8.377504556	10.28045274	9.001490313	-7.459493393	14.1819237
9.061102832	8.355258264	10.28184031	9.061102832	-7.45872958	14.18176279
9.12071535	8.394890907	10.2782882	9.12071535	-7.459287544	14.18156475
9.180327869	8.399417304	10.27583653	9.180327869	-7.459950541	14.18147322
9.239940387	8.388087804	10.27814266	9.239940387	-7.460397869	14.18180443
9.299552906	8.365380485	10.27935787	9.299552906	-7.458853185	14.18186754
9.359165425	8.26793184	10.28814369	9.359165425	-7.459181555	14.18192748
9.418777943	8.253981808	10.28762176	9.418777943	-7.459202368	14.18178937
9.478390462	8.273654369	10.28507743	9.478390462	-7.45719992	14.18210505
9.538002981	8.312565227	10.27962066	9.538002981	-7.457976276	14.18221378
9.597615499	8.317137109	10.27391014	9.597615499	-7.455942505	14.18217702
9.657228018	8.374400167	10.2723569	9.657228018	-7.45746233	14.18236363
9.716840537	8.351249687	10.27442702	9.716840537	-7.455877442	14.18234626
9.776453055	8.302120393	10.27786923	9.776453055	-7.456569457	14.18211118
9.836065574	8.274457072	10.27706587	9.836065574	-7.456112315	14.18197151
9.895678092	8.274889305	10.27881201	9.895678092	-7.458339673	14.18191004
9.955290611	8.268023682	10.2777981	9.955290611	-7.457841986	14.18194785
10.01490313	8.246944578	10.27899805	10.01490313	-7.456058487	14.18184946
10.07451565	8.252763247	10.27584057	10.07451565	-7.455238643	14.1820485
10.13412817	8.271476577	10.26995203	10.13412817	-7.455608929	14.18177571
10.19374069	8.283320754	10.26344889	10.19374069	-7.455308799	14.18187051
10.2533532	8.299991458	10.2519971	10.2533532	-7.454545786	14.18186752
10.31296572	8.298661291	10.25534776	10.31296572	-7.453265188	14.18180608
10.37257824	8.310198703	10.25704361	10.37257824	-7.452555942	14.18173344
10.43219076	8.310702707	10.25507694	10.43219076	-7.452727065	14.18155141
10.49180328	8.392508833	10.24138344	10.49180328	-7.449890938	14.18136831
10.5514158	8.46981349	10.21248399	10.5514158	-7.44252867	14.18039723
10.61102832	8.510053696	10.20696187	10.61102832	-7.436417538	14.17949057
10.67064083	8.693594828	10.20687202	10.67064083	-7.410368766	14.17886881
10.73025335	8.799043394	10.18557744	10.73025335	-7.355335837	14.18002244
10.78986587	8.914587232	10.1565859	10.78986587	-7.323609084	14.18061894
10.84947839	8.926836787	10.14129353	10.84947839	-7.302276369	14.18268246
10.90909091	8.956826398	10.13689385	10.90909091	-7.29956057	14.18341945
10.96870343	8.969199575	10.12923235	10.96870343	-7.299621559	14.1829698
11.02831595	8.962259879	10.13032071	11.02831595	-7.30059127	14.18309567
11.08792846	8.956124832	10.13520367	11.08792846	-7.302301675	14.18346865
11.14754098	8.961021073	10.13260559	11.14754098	-7.299206568	14.18307435
11.2071535	8.960302646	10.13039409	11.2071535	-7.299310399	14.18321048
11.26676602	8.95640647	10.12999688	11.26676602	-7.300538076	14.18331631
11.32637854	8.95245851	10.13231475	11.32637854	-7.301332064	14.18305133
11.38599106	8.943072008	10.13270642	11.38599106	-7.303250742	14.18297312
11.44560358	8.944068561	10.13369155	11.44560358	-7.303590258	14.18260203
11.5052161	8.945760676	10.13355049	11.5052161	-7.303594276	14.18258119
11.56482861	8.941164409	10.13336295	11.56482861	-7.301869712	14.18245909
11.62444113	8.945257738	10.13384748	11.62444113	-7.304325246	14.18242621
11.68405365	8.952736192	10.13293327	11.68405365	-7.302813969	14.18235672
11.74366617	8.952180709	10.13265222	11.74366617	-7.303210051	14.18230698
11.80327869	8.952085256	10.13207253	11.80327869	-7.304292595	14.18227043
11.86289121	8.939484812	10.13780125	11.86289121	-7.304646773	14.18230244
11.92250373	8.888919695	10.15175007	11.92250373	-7.309819048	14.18256811
11.98211624	8.7989636	10.17904009	11.98211624	-7.311884681	14.1826738
12.04172876	8.763519404	10.19772062	12.04172876	-7.314465981	14.18278944
12.10134128	2003570,000000000000	10.20150401	12.10134128	-7.308684092	14.18263123
12.1609538	8.779544424	10.19080675	12.1609538	-7.308785061	14.18269297
12.22056632	8.79692679	10.18678167	12.22056632	-7.304835931	14.18269551
12.28017884	8.815669874	10.18459157	12.28017884	-7.304176769	14.18214947
12.33979136	8.805552184	10.19550216	12.33979136	-7.304241237	14.18191909
12.39940387	8.791941501	10.20646812	12.39940387	-7.306184651	14.18190445
12.45901639	8.794507328	10.20712275	12.45901639	-7.307928811	14.18212145
12.51862891	8.802461957	10.20971764	12.51862891	-7.308134873	14.18219468
12.57824143	8.793448172	10.21261746	12.57824143	-7.308521696	14.18225939
12.63785395	8.782589109	10.21510086	12.63785395	-7.309900281	14.1823227
12.69746647	8.733908865	10.22527585	12.69746647	-7.311955229	14.182556
12.75707899	8.73452745	10.22195851	12.75707899	-7.309043453	14.18217905
12.81669151	8.730652168	10.22341139	12.81669151	-7.307586156	14.18217482
12.87630402	8.775369482	10.21576257	12.87630402	-7.309625257	14.18228775
12.93591654	8.798559554	10.21337751	12.93591654	-7.310402795	14.18266376
12.99552906	8.792985067	10.21576328	12.99552906	-7.311233634	14.18264314
13.05514158	8.795317903	10.217322	13.05514158	-7.31078352	14.18271405
13.1147541	8.812726969	10.21374631	13.1147541	-7.311324498	14.18260237
13.17436662	8.836217364	10.2106109	13.17436662	-7.308623842	14.18250859
13.23397914	8.843963677	10.20845587	13.23397914	-7.310850989	14.18264419
13.29359165	8.880975933	10.21757095	13.29359165	-7.311636595	14.18312416
13.35320417	8.865131196	10.21594813	13.35320417	-7.309784975	14.18273283
13.41281669	8.887921219	10.21225821	13.41281669	-7.308540954	14.18259381
13.47242921	8.898559317	10.21014567	13.47242921	-7.305787791	14.1825625
13.53204173	8.897557212	10.21379955	13.53204173	-7.306076704	14.18246657
13.59165425	8.892291233	10.21434463	13.59165425	-7.306185658	14.18246842
13.65126677	8.892122258	10.21934749	13.65126677	-7.30727148	14.18242717
13.71087928	8.884078133	10.22448215	13.71087928	-7.307588773	14.18255103
13.7704918	8.892596049	10.22571851	13.7704918	-7.307670365	14.18261763
13.83010432	8.875834433	10.23720665	13.83010432	-7.310257836	14.18256694
13.88971684	8.899174584	10.24517304	13.88971684	-7.31226619	14.18279559
13.94932936	8.887800779	10.2638196	13.94932936	-7.31168542	14.18291744
14.00894188	8.645548153	10.1083524	14.00894188	-7.301144665	14.18230946
