CALtend			CALext1		
t	x	y	t	x	y
0.0	8.664302054	10.05209069	0.0	-6.043362198	14.25559654
0.05961251863	8.689705745	10.05621998	0.05961251863	-6.075855036	14.24397802
0.1192250373	8.649511824	10.07896425	0.1192250373	-6.1561324	14.2420585
0.1788375559	8.399710615	10.13882769	0.1788375559	-6.339090232	14.2426531
0.2384500745	7.937955611	10.2134164	0.2384500745	-6.741487135	14.23355451
0.2980625931	7.592171852	10.29882775	0.2980625931	-7.118905313	14.23550691
0.3576751118	7.488508402	10.329979	0.3576751118	-7.335687909	14.23147388
0.4172876304	7.761921402	10.33408932	0.4172876304	-7.354962542	14.21688932
0.476900149	8.178864538	10.33289713	0.476900149	-7.33620104	14.20720601
0.5365126677	8.473174947	10.3174423	0.5365126677	-7.310801278	14.20345372
0.5961251863	8.662695764	10.28221054	0.5961251863	-7.325641834	14.20378917
0.6557377049	8.691737212	10.27055789	0.6557377049	-7.318306615	14.20232439
0.7153502235	8.522250099	10.27502924	0.7153502235	-7.320326525	14.19936969
0.7749627422	8.519926856	10.27807356	0.7749627422	-7.319933815	14.19610882
0.8345752608	8.675568282	10.26588253	0.8345752608	-7.312522381	14.19451944
0.8941877794	8.727591732	10.27108664	0.8941877794	-7.318046124	14.19222382
0.9538002981	8.724198781	10.28160706	0.9538002981	-7.317553183	14.19073403
1.013412817	8.693248711	10.2891396	1.013412817	-7.314903499	14.19372005
1.073025335	8.681647244	10.28347483	1.073025335	-7.322932784	14.18921395
1.132637854	8.703095284	10.26706857	1.132637854	-7.316252041	14.1906844
1.192250373	8.69283866	10.2646597	1.192250373	-7.315989047	14.18913923
1.251862891	8.683630516	10.25930689	1.251862891	-7.314635261	14.18798257
1.31147541	8.771182431	10.24000826	1.31147541	-7.310881306	14.1913064
1.371087928	8.696320366	10.25217337	1.371087928	-7.304377759	14.19052911
1.430700447	8.746395484	10.23003845	1.430700447	-7.311350785	14.18949188
1.490312966	8.766705506	10.21397245	1.490312966	-7.309539232	14.19140091
1.549925484	8.735196022	10.21009682	1.549925484	-7.308478119	14.19202434
