mass_A			mass_B		
t	x	y	t	x	y
0	36.33411598	0	0	18.87601635	0
0.02516483	36.33351365	0	0.02516483	18.87578317	0
0.050329659	36.33418115	0	0.050329659	18.87615481	0
0.075494489	36.3348703	0	0.075494489	18.87510152	0
0.100659319	36.33460237	0	0.100659319	18.87602739	0
0.125824148	36.33406706	0	0.125824148	18.87654013	0
0.150988978	36.33343772	0	0.150988978	18.87452253	0
0.176153807	36.3342625	0	0.176153807	18.87705511	0
0.201318637	36.3341283	0	0.201318637	18.87713131	0
0.226483467	36.3343527	0	0.226483467	18.87637836	0
0.251648296	36.33417922	0	0.251648296	18.87595977	0
0.276813126	36.33348122	0	0.276813126	18.87630789	0
0.301977956	36.33458282	0	0.301977956	18.87692361	0
0.327142785	36.33412365	0	0.327142785	18.87681905	0
0.352307615	36.33448024	0	0.352307615	18.8761694	0
0.377472445	36.33478921	0	0.377472445	18.87640604	0
0.402637274	36.33443279	0	0.402637274	18.87602129	0
0.427802104	36.33427646	0	0.427802104	18.87689797	0
0.452966933	36.33402604	0	0.452966933	18.87787002	0
0.478131763	36.334632	0	0.478131763	18.87771003	0
0.503296593	36.33429169	0	0.503296593	18.87703488	0
0.528461422	36.33439093	0	0.528461422	18.8777093	0
0.553626252	36.33472541	0	0.553626252	18.87698735	0
0.578791082	36.33464008	0	0.578791082	18.8740748	0
0.603955911	36.33449886	0	0.603955911	18.87096813	0
0.629120741	36.33467294	0	0.629120741	18.84792847	0
0.654285571	36.33541679	0	0.654285571	18.80727055	0
0.6794504	36.33352346	0	0.6794504	18.71824895	0
0.70461523	36.3342621	0	0.70461523	18.69741698	0
0.729780059	36.3321081	0	0.729780059	18.58200722	0
0.754944889	36.33459353	0	0.754944889	18.55668294	0
0.780109719	36.34301697	0	0.780109719	18.42491253	0
0.805274548	36.34168482	0	0.805274548	18.30049796	0
0.830439378	36.33687517	0	0.830439378	18.10105719	0
0.855604208	36.34470874	0	0.855604208	17.76252806	0
0.880769037	36.34292563	0	0.880769037	17.69960732	0
0.905933867	36.3241571	0	0.905933867	17.50808584	0
0.931098697	36.32694378	0	0.931098697	17.40802752	0
0.956263526	36.32466476	0	0.956263526	17.29066001	0
0.981428356	36.3184075	0	0.981428356	17.11046518	0
1.006593185	36.31561959	0	1.006593185	17.00494862	0
