mass_B			ExtMarker		
t	x	y	t	x	y
1.89397422	140.8183564	0	1.89397422	63.16449645	0
1.912362319	140.6699469	0	1.912362319	63.04469196	0
1.930750418	140.5981337	0	1.930750418	62.99956648	0
1.949138518	140.6148679	0	1.949138518	63.00875581	0
1.967526617	140.4146531	0	1.967526617	62.98253585	0
1.985914716	140.4176805	0	1.985914716	62.95847539	0
2.004302815	140.412402	0	2.004302815	62.86048953	0
2.022690914	140.4215273	0	2.022690914	62.83652827	0
2.041079014	140.2395889	0	2.041079014	62.6868872	0
2.059467113	140.0624677	0	2.059467113	62.57589194	0
2.077855212	139.9700414	0	2.077855212	62.56081271	0
2.096243311	139.8371913	0	2.096243311	62.48325249	0
2.114631411	139.5669361	0	2.114631411	62.35045051	0
2.13301951	139.3893987	0	2.13301951	62.23695481	0
2.151407609	139.3676167	0	2.151407609	62.1574754	0
2.169795708	139.2498075	0	2.169795708	62.06561666	0
2.188183807	139.0823143	0	2.188183807	62.01677848	0
2.206571907	138.9638119	0	2.206571907	61.92949565	0
2.224960006	138.9377102	0	2.224960006	61.86585077	0
2.243348105	138.5845534	0	2.243348105	61.74060012	0
2.261736204	138.4968755	0	2.261736204	61.63185262	0
2.280124304	138.4412855	0	2.280124304	61.55017049	0
2.298512403	138.3081343	0	2.298512403	61.44771863	0
2.316900502	138.2041558	0	2.316900502	61.37529508	0
2.335288601	138.0361583	0	2.335288601	61.25438598	0
2.3536767	137.8566929	0	2.3536767	61.08187812	0
2.3720648	137.7576356	0	2.3720648	61.01948049	0
2.390452899	137.6126334	0	2.390452899	60.84042137	0
2.408840998	137.2952009	0	2.408840998	60.75773354	0
2.427229097	137.182802	0	2.427229097	60.62486357	0
2.445617197	137.0652048	0	2.445617197	60.53118938	0
2.464005296	137.0319117	0	2.464005296	60.44906169	0
2.482393395	137.0141466	0	2.482393395	60.38940811	0
2.500781494	137.0106524	0	2.500781494	60.3724615	0
2.519169593	137.0234776	0	2.519169593	60.34035778	0
2.537557693	137.0336427	0	2.537557693	60.36229812	0
2.555945792	137.0398426	0	2.555945792	60.35436857	0
2.574333891	137.0239538	0	2.574333891	60.33050285	0
2.59272199	137.0052015	0	2.59272199	60.33186138	0
2.61111009	137.0164522	0	2.61111009	60.33309869	0
2.629498189	137.0360601	0	2.629498189	60.38017988	0
2.647886288	137.0784664	0	2.647886288	60.40044458	0
2.666274387	137.0968991	0	2.666274387	60.40610339	0
2.684662486	137.0808275	0	2.684662486	60.40847298	0
2.703050586	137.0706057	0	2.703050586	60.40332724	0
2.721438685	137.0536948	0	2.721438685	60.40086765	0
2.739826784	137.045331	0	2.739826784	60.39731217	0
2.758214883	137.0433106	0	2.758214883	60.40006023	0
2.776602983	137.0430493	0	2.776602983	60.39625312	0
2.794991082	137.0425634	0	2.794991082	60.39361256	0
2.813379181	137.042131	0	2.813379181	60.3995112	0
2.83176728	137.0500116	0	2.83176728	60.3957748	0
2.850155379	137.0505285	0	2.850155379	60.40118756	0
2.868543479	137.0410433	0	2.868543479	60.38958675	0
2.886931578	136.9986891	0	2.886931578	60.37731545	0
2.905319677	136.9794985	0	2.905319677	60.36687206	0
2.923707776	136.9355925	0	2.923707776	60.37383634	0
2.942095876	136.9283049	0	2.942095876	60.36037644	0
2.960483975	136.8487531	0	2.960483975	60.3381758	0
2.978872074	136.7485769	0	2.978872074	60.32339372	0
2.997260173	136.7506795	0	2.997260173	60.34086008	0
3.015648272	136.7809255	0	3.015648272	60.36343662	0
3.034036372	136.8104395	0	3.034036372	60.39329044	0
3.052424471	136.8111925	0	3.052424471	60.38761909	0
3.07081257	136.807242	0	3.07081257	60.37057109	0
3.089200669	136.812509	0	3.089200669	60.38648414	0
3.107588769	136.8051363	0	3.107588769	60.38138161	0
3.125976868	136.7970456	0	3.125976868	60.37766211	0
3.144364967	136.7989481	0	3.144364967	60.39067424	0
3.162753066	136.798651	0	3.162753066	60.38865172	0
3.181141165	136.8088069	0	3.181141165	60.41623328	0
3.199529265	136.80847	0	3.199529265	60.40166038	0
3.217917364	136.7946805	0	3.217917364	60.39095473	0
3.236305463	136.7916897	0	3.236305463	60.39784872	0
3.254693562	136.7951226	0	3.254693562	60.38704659	0
3.273081662	136.7979411	0	3.273081662	60.39750953	0
3.291469761	136.7987845	0	3.291469761	60.39233542	0
3.30985786	136.7998908	0	3.30985786	60.3988892	0
3.328245959	136.7989219	0	3.328245959	60.39354532	0
3.346634058	136.804596	0	3.346634058	60.39930716	0
3.365022158	136.8052411	0	3.365022158	60.39892324	0
3.383410257	136.8022014	0	3.383410257	60.40604162	0
3.401798356	136.7999301	0	3.401798356	60.40608804	0
3.420186455	136.7974957	0	3.420186455	60.40657467	0
3.438574555	136.778557	0	3.438574555	60.3924001	0
3.456962654	136.7657313	0	3.456962654	60.38438542	0
3.475350753	136.7731241	0	3.475350753	60.40586814	0
3.493738852	136.7883341	0	3.493738852	60.40708588	0
3.512126951	136.8067797	0	3.512126951	60.39881079	0
3.530515051	136.8252078	0	3.530515051	60.41721486	0
3.54890315	136.8395226	0	3.54890315	60.41523868	0
3.567291249	136.8726437	0	3.567291249	60.40286455	0
3.585679348	136.922546	0	3.585679348	60.41516351	0
3.604067448	136.9873048	0	3.604067448	60.40197051	0
3.622455547	137.0547813	0	3.622455547	60.41124898	0
3.640843646	137.1117286	0	3.640843646	60.40983172	0
3.659231745	137.1129815	0	3.659231745	60.40785706	0
3.677619844	137.0977295	0	3.677619844	60.39657101	0
3.696007944	137.081773	0	3.696007944	60.40063101	0
3.714396043	137.0837282	0	3.714396043	60.39928408	0
3.732784142	137.1083942	0	3.732784142	60.41029355	0
3.751172241	137.1115154	0	3.751172241	60.41082802	0
3.769560341	137.1157714	0	3.769560341	60.42568739	0
3.78794844	137.122368	0	3.78794844	60.42893196	0
3.806336539	137.1610694	0	3.806336539	60.42405248	0
3.824724638	137.2090093	0	3.824724638	60.4283864	0
3.843112737	137.302506	0	3.843112737	60.4331487	0
3.861500837	137.3784076	0	3.861500837	60.44271634	0
3.879888936	137.4565551	0	3.879888936	60.45881153	0
3.898277035	137.5682548	0	3.898277035	60.47072867	0
3.916665134	137.5737525	0	3.916665134	60.45838161	0
3.935053234	137.5602589	0	3.935053234	60.44613775	0
3.953441333	137.5584591	0	3.953441333	60.43590663	0
3.971829432	137.6000861	0	3.971829432	60.44495227	0
3.990217531	137.6642303	0	3.990217531	60.4562965	0
4.00860563	137.7684958	0	4.00860563	60.45240135	0
