GMfas			Ext		
t	x	y	t	x	y
0	13.62961026	16.08423201	0	-1.744073351	23.83566913
0.055260831	13.62686446	16.08468609	0.055260831	-1.743661236	23.83526026
0.110521662	13.62646588	16.08491688	0.110521662	-1.7445321	23.83529262
0.165782493	13.62649041	16.08506875	0.165782493	-1.744139283	23.83510581
0.221043324	13.6195156	16.08422455	0.221043324	-1.745698816	23.83539502
0.276304156	13.61458287	16.08463181	0.276304156	-1.745763081	23.83558526
0.331564987	13.61820335	16.08509988	0.331564987	-1.745590582	23.83548321
0.386825818	13.62180742	16.08509265	0.386825818	-1.745471809	23.83573035
0.442086649	13.63218715	16.08474361	0.442086649	-1.746813654	23.83580485
0.49734748	13.63791752	16.08443811	0.49734748	-1.74661895	23.83569896
0.552608311	13.64777609	16.08515804	0.552608311	-1.747814554	23.83569583
0.607869142	13.64556656	16.08517573	0.607869142	-1.747084676	23.83572988
0.663129973	13.65206875	16.08542518	0.663129973	-1.746198344	23.83576063
0.718390805	13.66630034	16.088435	0.718390805	-1.746314267	23.83567147
0.773651636	13.6890379	16.0895878	0.773651636	-1.745966126	23.83577504
0.828912467	13.7214568	16.09011094	0.828912467	-1.744843473	23.83575325
0.884173298	13.73079695	16.09297156	0.884173298	-1.746015039	23.83592759
0.939434129	13.7351225	16.09034465	0.939434129	-1.745482942	23.83589102
0.99469496	13.73878678	16.09129051	0.99469496	-1.745773208	23.83581273
1.049955791	13.74005998	16.08959136	1.049955791	-1.744889123	23.83587907
1.105216622	13.74068259	16.08953462	1.105216622	-1.744960177	23.83589084
1.160477454	13.74056376	16.08924282	1.160477454	-1.745536192	23.8357973
1.215738285	13.74662592	16.08963726	1.215738285	-1.744879946	23.83550945
1.270999116	13.74895438	16.08847979	1.270999116	-1.744995331	23.83573364
1.326259947	13.74888325	16.08891891	1.326259947	-1.744133517	23.83559247
1.381520778	13.74484331	16.08827207	1.381520778	-1.744779139	23.83550114
1.436781609	13.74426065	16.08800209	1.436781609	-1.742986214	23.83526739
1.49204244	13.75066208	16.0880371	1.49204244	-1.744985889	23.83523558
1.547303271	13.74297257	16.08657954	1.547303271	-1.743051491	23.83541983
1.602564103	13.75281094	16.08772578	1.602564103	-1.743153584	23.83517996
1.657824934	13.74898591	16.0867572	1.657824934	-1.744069691	23.83552466
1.713085765	13.75205146	16.08699844	1.713085765	-1.744504762	23.8353037
1.768346596	13.7447873	16.08667986	1.768346596	-1.743604499	23.83534597
1.823607427	13.74328918	16.08581382	1.823607427	-1.744614385	23.83526882
1.878868258	13.74819604	16.08677473	1.878868258	-1.743472233	23.8355082
1.934129089	13.74402094	16.0860081	1.934129089	-1.743920574	23.83548109
1.98938992	13.73700976	16.08533736	1.98938992	-1.743871265	23.83539636
2.044650752	13.73616068	16.085224	2.044650752	-1.744584421	23.8355175
2.099911583	13.74114161	16.08519885	2.099911583	-1.744976812	23.83564423
2.155172414	13.73662842	16.08478017	2.155172414	-1.745235722	23.83562054
2.210433245	13.73474426	16.08392572	2.210433245	-1.746090183	23.83543163
2.265694076	13.73536466	16.08378095	2.265694076	-1.746934039	23.83583713
2.320954907	13.73701195	16.08425266	2.320954907	-1.747346582	23.83569846
2.376215738	13.74094698	16.08456366	2.376215738	-1.747931613	23.83562831
2.431476569	13.74324969	16.08489462	2.431476569	-1.748238158	23.83574499
2.486737401	13.74986013	16.08562834	2.486737401	-1.748440951	23.83567962
2.541998232	13.75290525	16.08568948	2.541998232	-1.747948041	23.83570332
2.597259063	13.76691538	16.08680964	2.597259063	-1.748529672	23.83589872
2.652519894	13.75830305	16.08696393	2.652519894	-1.749229623	23.8362147
2.707780725	13.7616077	16.08686659	2.707780725	-1.750588382	23.83613106
2.763041556	13.75900303	16.08752761	2.763041556	-1.752697697	23.83620174
2.818302387	13.74523199	16.08597567	2.818302387	-1.752430753	23.83631987
2.873563218	13.74061654	16.08553243	2.873563218	-1.754550583	23.83612315
2.92882405	13.72961425	16.08643731	2.92882405	-1.751726153	23.83643595
2.984084881	13.74632263	16.08621839	2.984084881	-1.753465004	23.83633576
3.039345712	13.72050738	16.07797804	3.039345712	-1.746205193	23.83632035
3.094606543	13.73015069	16.08125094	3.094606543	-1.743345701	23.83633739
3.149867374	13.73036053	16.08192624	3.149867374	-1.741179007	23.83632279
3.205128205	13.73156993	16.08330463	3.205128205	-1.73974845	23.83581761
3.260389036	13.71522357	16.08056325	3.260389036	-1.742178971	23.83538759
3.315649867	13.7054878	16.07908621	3.315649867	-1.741026287	23.8352182
3.370910698	13.70076075	16.07793454	3.370910698	-1.740674885	23.83481659
3.42617153	13.71570018	16.0806557	3.42617153	-1.743840828	23.83447192
3.481432361	13.70116457	16.07839804	3.481432361	-1.743211354	23.83464073
3.536693192	13.69590541	16.07797679	3.536693192	-1.746429657	23.83466783
3.591954023	13.70555026	16.07915774	3.591954023	-1.744032583	23.83431995
3.647214854	13.71307534	16.08167988	3.647214854	-1.746405106	23.83431489
3.702475685	13.71230777	16.08236152	3.702475685	-1.749963995	23.83438238
3.757736516	13.72456002	16.08338583	3.757736516	-1.745709935	23.8343131
3.812997347	13.7308004	16.08399385	3.812997347	-1.749113704	23.8347873
3.868258179	13.73488263	16.08449301	3.868258179	-1.749448847	23.83468108
3.92351901	13.73202758	16.0821874	3.92351901	-1.750797489	23.835022
3.978779841	13.7341009	16.08222146	3.978779841	-1.748647947	23.8353591
4.034040672	13.73462356	16.08265334	4.034040672	-1.7505218	23.83541883
4.089301503	13.73492011	16.08266114	4.089301503	-1.752109175	23.83573155
4.144562334	13.73069389	16.08185197	4.144562334	-1.753671228	23.8359352
4.199823165	13.73920901	16.08216084	4.199823165	-1.753587354	23.83578186
4.255083996	13.74302652	16.08401806	4.255083996	-1.752967727	23.83618786
4.310344828	13.73907844	16.08272302	4.310344828	-1.755636965	23.8360346
