Bump_2			mass_A		
t	x	y	t	x	y
0.00000000	42.57427984	-1.02434358	0.00000000	34.55345624	5.09077416
0.05961252	42.56325938	-1.02544428	0.05961252	34.55187694	5.09078058
0.11922504	42.47857379	-1.03870592	0.11922504	34.55754029	5.09163908
0.17883756	42.31552255	-1.09025936	0.17883756	34.55903219	5.09200319
0.23845007	42.11231947	-1.16751268	0.23845007	34.55372801	5.08988329
0.29806259	41.77515054	-1.26046261	0.29806259	34.57554452	5.08945660
0.35767511	41.05220172	-1.34970941	0.35767511	34.56479840	5.08454670
0.41728763	40.70315245	-1.42685696	0.41728763	34.60042204	5.09033854
0.47690015	40.71707497	-1.42681411	0.47690015	34.61132096	5.09249004
0.53651267	40.75857141	-1.43193150	0.53651267	34.60262016	5.09208381
0.59612519	40.75133794	-1.42731081	0.59612519	34.61052542	5.09245293
0.65573770	40.75570689	-1.42620941	0.65573770	34.61386498	5.09142121
0.71535022	40.85012542	-1.41079598	0.71535022	34.61865419	5.09167977
0.77496274	40.88112172	-1.41084902	0.77496274	34.62578188	5.09209651
0.83457526	40.89089899	-1.41613534	0.83457526	34.62818111	5.09220434
0.89418778	40.89623279	-1.41858869	0.89418778	34.62569728	5.09216705
0.95380030	40.88357006	-1.42041193	0.95380030	34.62344585	5.09248370
1.01341282	40.87235182	-1.42939645	1.01341282	34.62724425	5.09302289
1.07302534	40.86081876	-1.43583993	1.07302534	34.62968466	5.09332203
1.13263785	40.86743140	-1.43870550	1.13263785	34.62944298	5.09295108
1.19225037	40.87170744	-1.44049145	1.19225037	34.62915385	5.09289969
1.25186289	40.87299157	-1.44159597	1.25186289	34.62528656	5.09263910
1.31147541	40.87408996	-1.44459014	1.31147541	34.62505201	5.09207807
1.37108793	40.87298452	-1.45343652	1.37108793	34.62333375	5.09190446
1.43070045	40.88124968	-1.46333746	1.43070045	34.62149431	5.09115049
1.49031297	40.88492348	-1.46737745	1.49031297	34.61823176	5.09102320
1.54992548	40.88724683	-1.46295076	1.54992548	34.61988737	5.09085523
1.60953800	40.89203364	-1.46894722	1.60953800	34.61929959	5.09122556
1.66915052	40.90223432	-1.46759254	1.66915052	34.61949505	5.09101437
1.72876304	40.90159653	-1.46156621	1.72876304	34.62179339	5.09150252
1.78837556	40.90488592	-1.45888208	1.78837556	34.62672215	5.09146064
1.84798808	40.93923863	-1.45363477	1.84798808	34.62902029	5.09157991
1.90760060	41.01852474	-1.44276027	1.90760060	34.63515504	5.09134469
1.96721312	41.07929424	-1.43527030	1.96721312	34.63556080	5.09069403
2.02682563	41.15006374	-1.43237315	2.02682563	34.62742819	5.09038364
2.08643815	41.22005017	-1.42062462	2.08643815	34.63028183	5.09024948
2.14605067	41.30388065	-1.40850330	2.14605067	34.62860846	5.09164811
2.20566319	41.35244833	-1.40494101	2.20566319	34.63369445	5.09222765
2.26527571	41.39366075	-1.40060448	2.26527571	34.63304969	5.09298211
2.32488823	41.45817425	-1.40329752	2.32488823	34.62726408	5.09246676
2.38450075	41.50508115	-1.40074297	2.38450075	34.62547024	5.09264601
2.44411326	41.51964307	-1.40548523	2.44411326	34.62749765	5.09239427
2.50372578	41.56749573	-1.41041041	2.50372578	34.62826011	5.09272070
2.56333830	41.58260443	-1.41042916	2.56333830	34.62786070	5.09263135
2.62295082	41.60317338	-1.41242494	2.62295082	34.62583058	5.09203024
2.68256334	41.63812124	-1.41547243	2.68256334	34.62102369	5.09228277
2.74217586	41.64858171	-1.41299293	2.74217586	34.62509504	5.09283188
2.80178838	41.64886346	-1.41614812	2.80178838	34.62888877	5.09290989
2.86140089	41.65581586	-1.41757911	2.86140089	34.63146629	5.09305069
2.92101341	41.65049982	-1.41589651	2.92101341	34.63089920	5.09306449
2.98062593	41.68124181	-1.41483792	2.98062593	34.63591297	5.09283418
3.04023845	41.72323219	-1.41615213	3.04023845	34.63711746	5.09218784
3.09985097	41.77248927	-1.41181372	3.09985097	34.63787513	5.09243352
3.15946349	41.84330709	-1.40927819	3.15946349	34.64441513	5.09243710
3.21907601	41.91878912	-1.39961371	3.21907601	34.64722141	5.09241584
3.27868853	41.98416017	-1.39498965	3.27868853	34.67111616	5.09289100
3.33830104	42.02693948	-1.38777478	3.33830104	34.70019625	5.09412159
3.39791356	42.06874005	-1.36935664	3.39791356	34.70596201	5.09431789
3.45752608	42.09285682	-1.34638698	3.45752608	34.71072522	5.09464692
3.51713860	42.11652094	-1.33323572	3.51713860	34.71236807	5.09498874
