mass_C			mass_A		
t	x	y	t	x	y
0.00000000000000	14.00632859000000	20.88940839000000	0.00000000000000	42.50176609000000	21.45523020000000
0.05526083112000	14.01567279000000	20.88929072000000	0.05526083112000	42.50168474000000	21.45591470000000
0.11052166220000	14.00300471000000	20.88916593000000	0.11052166220000	42.50349696000000	21.45613237000000
0.16578249340000	14.00818087000000	20.88890740000000	0.16578249340000	42.50011374000000	21.45769644000000
0.22104332450000	13.99224561000000	20.88995081000000	0.22104332450000	42.49781031000000	21.45820874000000
0.27630415560000	13.97284897000000	20.88950334000000	0.27630415560000	42.49585631000000	21.45848831000000
0.33156498670000	13.91154873000000	20.90284500000000	0.33156498670000	42.48075229000000	21.46286308000000
0.38682581790000	13.92901643000000	20.89860431000000	0.38682581790000	42.47866238000000	21.46492721000000
0.44208664900000	13.93899872000000	20.89808060000000	0.44208664900000	42.48643982000000	21.46741182000000
0.49734748010000	13.83592724000000	20.91494857000000	0.49734748010000	42.49004300000000	21.46713565000000
0.55260831120000	13.88522387000000	20.90718246000000	0.55260831120000	42.49676638000000	21.46907661000000
0.60786914240000	13.87647245000000	20.90760967000000	0.60786914240000	42.49931428000000	21.46563960000000
0.66312997350000	13.87458967000000	20.91005481000000	0.66312997350000	42.49574009000000	21.46607660000000
0.71839080460000	13.88690206000000	20.91111001000000	0.71839080460000	42.50305370000000	21.46496788000000
0.77365163570000	13.88440998000000	20.90959055000000	0.77365163570000	42.49840950000000	21.46428663000000
0.82891246680000	13.87742567000000	20.90869331000000	0.82891246680000	42.49555733000000	21.46282828000000
0.88417329800000	13.89813379000000	20.90806767000000	0.88417329800000	42.49747778000000	21.46143549000000
0.93943412910000	13.89561146000000	20.90925801000000	0.93943412910000	42.49836747000000	21.46329505000000
0.99469496020000	13.88718307000000	20.90785507000000	0.99469496020000	42.49615100000000	21.46117869000000
1.04995579100000	13.89417158000000	20.90755647000000	1.04995579100000	42.49608623000000	21.46132700000000
1.10521662200000	13.89423909000000	20.90576755000000	1.10521662200000	42.50036012000000	21.45997654000000
1.16047745400000	13.89455367000000	20.90396632000000	1.16047745400000	42.49926194000000	21.46047788000000
1.21573828500000	13.87645166000000	20.90026972000000	1.21573828500000	42.49605560000000	21.45933728000000
1.27099911600000	13.85023097000000	20.89960116000000	1.27099911600000	42.49347645000000	21.45915796000000
1.32625994700000	13.87413295000000	20.90074048000000	1.32625994700000	42.49207969000000	21.45898740000000
1.38152077800000	13.85899178000000	20.89464690000000	1.38152077800000	42.49120861000000	21.45879986000000
1.43678160900000	13.92562051000000	20.89615420000000	1.43678160900000	42.49922765000000	21.45817345000000
1.49204244000000	14.03870869000000	20.87392321000000	1.49204244000000	42.50911302000000	21.45838282000000
1.54730327100000	14.06820661000000	20.86434008000000	1.54730327100000	42.51877748000000	21.45791938000000
1.60256410300000	14.11522621000000	20.86150983000000	1.60256410300000	42.50987435000000	21.45802565000000
1.65782493400000	14.12946466000000	20.86293473000000	1.65782493400000	42.51669555000000	21.45844003000000
1.71308576500000	14.22819963000000	20.84212435000000	1.71308576500000	42.52004073000000	21.45697541000000
1.76834659600000	14.17377425000000	20.85003181000000	1.76834659600000	42.50997668000000	21.45759168000000
1.82360742700000	14.28655092000000	20.82981391000000	1.82360742700000	42.51448353000000	21.45661384000000
1.87886825800000	14.40075911000000	20.80920443000000	1.87886825800000	42.51878392000000	21.45616278000000
1.93412908900000	14.37191299000000	20.81672257000000	1.93412908900000	42.51757381000000	21.45600703000000
1.98938992000000	14.37144885000000	20.81567748000000	1.98938992000000	42.50853441000000	21.45666362000000
2.04465075200000	14.31982488000000	20.82270435000000	2.04465075200000	42.50676891000000	21.45686264000000
2.09991158300000	14.23549138000000	20.83532807000000	2.09991158300000	42.50489659000000	21.45709109000000
2.15517241400000	14.15934522000000	20.84922075000000	2.15517241400000	42.49268266000000	21.45895704000000
2.21043324500000	14.12125488000000	20.85556886000000	2.21043324500000	42.49652498000000	21.45770587000000
2.26569407600000	14.13022052000000	20.85929236000000	2.26569407600000	42.49556221000000	21.45815553000000
2.32095490700000	14.12471808000000	20.85996489000000	2.32095490700000	42.50089176000000	21.45683582000000
2.37621573800000	14.12957254000000	20.85946080000000	2.37621573800000	42.50284126000000	21.45633030000000
2.43147656900000	14.10664531000000	20.86158456000000	2.43147656900000	42.49905313000000	21.45714682000000
2.48673740100000	14.11353733000000	20.86223346000000	2.48673740100000	42.49970501000000	21.45805834000000
2.54199823200000	14.12433212000000	20.86243464000000	2.54199823200000	42.49859676000000	21.45805958000000
2.59725906300000	14.12720268000000	20.86303563000000	2.59725906300000	42.50091244000000	21.45769137000000
2.65251989400000	14.10664804000000	20.86332485000000	2.65251989400000	42.50108421000000	21.45732966000000
2.70778072500000	14.10815747000000	20.86475629000000	2.70778072500000	42.49613322000000	21.45816846000000
2.76304155600000	14.09265284000000	20.86605857000000	2.76304155600000	42.49877841000000	21.45758459000000
2.81830238700000	14.09087088000000	20.86570975000000	2.81830238700000	42.49350825000000	21.45886428000000
2.87356321800000	14.09498882000000	20.86674961000000	2.87356321800000	42.49429944000000	21.45923469000000
2.92882405000000	14.08896436000000	20.86709878000000	2.92882405000000	42.49288089000000	21.45941199000000
2.98408488100000	14.07159641000000	20.86581116000000	2.98408488100000	42.49254795000000	21.45932552000000
3.03934571200000	14.07427999000000	20.86605864000000	3.03934571200000	42.49011577000000	21.45977587000000
3.09460654300000	14.08696373000000	20.86531709000000	3.09460654300000	42.49362724000000	21.45909421000000
