mass_C			ExtMarker		
t	x	y	t	x	y
0	15.75432887	0	0	31.92410714	0
0.02480774	15.74407092	0	0.02480774	31.91977349	0
0.04961548	15.73911848	0	0.04961548	31.92255723	0
0.07442322	15.74073277	0	0.07442322	31.92020395	0
0.09923096	15.74484534	0	0.09923096	31.92223557	0
0.1240387	15.73004423	0	0.1240387	31.92259655	0
0.14884644	15.7212958	0	0.14884644	31.92018522	0
0.17365418	15.72365239	0	0.17365418	31.92174128	0
0.19846192	15.68522045	0	0.19846192	31.91595582	0
0.22326966	15.65826464	0	0.22326966	31.91403173	0
0.2480774	15.65436994	0	0.2480774	31.91366421	0
0.27288514	15.65390843	0	0.27288514	31.91587643	0
0.29769288	15.64296381	0	0.29769288	31.91203425	0
0.32250062	15.65463807	0	0.32250062	31.91537997	0
0.34730836	15.65868963	0	0.34730836	31.91508565	0
0.3721161	15.6582068	0	0.3721161	31.91745934	0
0.39692384	15.64315281	0	0.39692384	31.91649667	0
0.42173158	15.64766458	0	0.42173158	31.91455721	0
0.44653932	15.65602076	0	0.44653932	31.91433766	0
0.47134706	15.66049403	0	0.47134706	31.91776409	0
0.4961548	15.64299828	0	0.4961548	31.91378535	0
0.52096254	15.64933094	0	0.52096254	31.91602461	0
0.54577028	15.6522389	0	0.54577028	31.91713025	0
0.57057802	15.63662593	0	0.57057802	31.91496983	0
0.59538576	15.61235072	0	0.59538576	31.91553552	0
0.6201935	15.6019901	0	0.6201935	31.9188717	0
0.64500124	15.59544596	0	0.64500124	31.91826029	0
0.66980898	15.58760185	0	0.66980898	31.91562793	0
0.69461672	15.58521788	0	0.69461672	31.91695857	0
0.71942446	15.56303365	0	0.71942446	31.91362259	0
0.7442322	15.5421657	0	0.7442322	31.91522171	0
0.769039941	15.53180333	0	0.769039941	31.91482368	0
0.793847681	15.51284838	0	0.793847681	31.90974662	0
0.818655421	15.50556667	0	0.818655421	31.91083484	0
0.843463161	15.49925499	0	0.843463161	31.90991932	0
0.868270901	15.49099521	0	0.868270901	31.90841683	0
0.893078641	15.45786149	0	0.893078641	31.91388429	0
0.917886381	15.44347267	0	0.917886381	31.9152703	0
0.942694121	15.43403211	0	0.942694121	31.91374393	0
0.967501861	15.43720114	0	0.967501861	31.91705221	0
0.992309601	15.38964187	0	0.992309601	31.91828302	0
1.017117341	15.33761739	0	1.017117341	31.91508851	0
1.041925081	15.28989787	0	1.041925081	31.90607431	0
1.066732821	15.24793684	0	1.066732821	31.87490253	0
1.091540561	15.19968037	0	1.091540561	31.83759002	0
1.116348301	15.12632305	0	1.116348301	31.795332	0
1.141156041	15.1212521	0	1.141156041	31.78784712	0
1.165963781	15.09531737	0	1.165963781	31.78121565	0
1.190771521	15.03055591	0	1.190771521	31.78418028	0
1.215579261	14.96001563	0	1.215579261	31.7768077	0
1.240387001	14.89747626	0	1.240387001	31.74302225	0
1.265194741	14.78292023	0	1.265194741	31.75620073	0
1.290002481	14.7401654	0	1.290002481	31.74129994	0
1.314810221	14.66498225	0	1.314810221	31.72971563	0
1.339617961	14.62544734	0	1.339617961	31.69678936	0
1.364425701	14.57882547	0	1.364425701	31.68568532	0
1.389233441	14.49484362	0	1.389233441	31.67995314	0
1.414041181	14.43905117	0	1.414041181	31.68478204	0
1.438848921	14.40501986	0	1.438848921	31.68802112	0
1.463656661	14.3555065	0	1.463656661	31.68344412	0
1.488464401	14.22784266	0	1.488464401	31.6784734	0
1.513272141	14.21339779	0	1.513272141	31.68338288	0
1.538079881	14.14929073	0	1.538079881	31.68177441	0
1.562887621	14.05212597	0	1.562887621	31.64876276	0
1.587695361	14.02428685	0	1.587695361	31.63361737	0
1.612503101	14.00383617	0	1.612503101	31.62327206	0
1.637310841	13.84824993	0	1.637310841	31.6026557	0
1.662118581	13.78482438	0	1.662118581	31.6112599	0
1.686926321	13.70014425	0	1.686926321	31.6115707	0
1.711734061	13.60313238	0	1.711734061	31.60441534	0
1.736541801	13.45421499	0	1.736541801	31.61176251	0
1.761349541	13.38502305	0	1.761349541	31.61794517	0
1.786157281	13.29805705	0	1.786157281	31.6132067	0
1.810965021	13.12281168	0	1.810965021	31.57969389	0
1.835772761	13.09710223	0	1.835772761	31.55578784	0
1.860580501	13.02845358	0	1.860580501	31.52908413	0
1.885388241	12.90027377	0	1.885388241	31.4751472	0
1.910195981	12.82261026	0	1.910195981	31.44963746	0
1.935003721	12.75807749	0	1.935003721	31.45891307	0
1.959811461	12.63018144	0	1.959811461	31.4548703	0
1.984619201	12.59791325	0	1.984619201	31.46127642	0
2.009426941	12.53422703	0	2.009426941	31.45474933	0
2.034234681	12.45171148	0	2.034234681	31.45814539	0
2.059042421	12.29326981	0	2.059042421	31.45622004	0
2.083850161	12.17781365	0	2.083850161	31.45453461	0
2.108657901	12.11903013	0	2.108657901	31.45583091	0
2.133465641	12.02758136	0	2.133465641	31.4593612	0
2.158273381	11.97638374	0	2.158273381	31.46680579	0
2.183081121	11.92936352	0	2.183081121	31.46703007	0
2.207888861	11.83352803	0	2.207888861	31.46873657	0
2.232696601	11.81943163	0	2.232696601	31.47041243	0
2.257504341	11.77716907	0	2.257504341	31.46585274	0
2.282312081	11.72516615	0	2.282312081	31.47408372	0
2.307119821	11.660601	0	2.307119821	31.46777175	0
2.331927561	11.6137669	0	2.331927561	31.46544287	0
2.356735301	11.49926826	0	2.356735301	31.44779259	0
2.381543041	11.40722135	0	2.381543041	31.43591286	0
2.406350781	11.31972993	0	2.406350781	31.41858267	0
2.431158521	11.24673617	0	2.431158521	31.37483201	0
2.455966261	11.1581505	0	2.455966261	31.35902915	0
2.480774001	11.08347947	0	2.480774001	31.32534713	0
2.505581742	11.00355078	0	2.505581742	31.30500008	0
2.530389482	10.96669896	0	2.530389482	31.2984181	0
2.555197222	10.94764052	0	2.555197222	31.30182313	0
2.580004962	10.96256064	0	2.580004962	31.31266833	0
2.604812702	10.94667775	0	2.604812702	31.31121954	0
2.629620442	10.94271895	0	2.629620442	31.312013	0
2.654428182	10.93047734	0	2.654428182	31.31237198	0
2.679235922	10.92765823	0	2.679235922	31.3128856	0
2.704043662	10.92908148	0	2.704043662	31.312081	0
2.728851402	10.93411939	0	2.728851402	31.31523555	0
2.753659142	10.91465016	0	2.753659142	31.30650558	0
2.778466882	10.91874922	0	2.778466882	31.308128	0
2.803274622	10.85724468	0	2.803274622	31.29625558	0
2.828082362	10.84660479	0	2.828082362	31.29403977	0
2.852890102	10.84105753	0	2.852890102	31.29498048	0
2.877697842	10.8447492	0	2.877697842	31.30281637	0
2.902505582	10.81399586	0	2.902505582	31.29689501	0
2.927313322	10.77881769	0	2.927313322	31.30577831	0
