GM fasc			Ext		
t	x	y	t	x	y
2.563338301	3.160852333	1.471503084	2.563338301	4.686653029	8.492283752
2.62295082	3.173506643	1.469679432	2.62295082	4.691377711	8.4920551
2.682563338	3.240704913	1.463173205	2.682563338	4.692550525	8.491264623
2.742175857	3.400954768	1.452798866	2.742175857	4.702075031	8.488246521
2.801788376	3.456581573	1.450018032	2.801788376	4.704947872	8.488168696
2.861400894	3.572877427	1.443025925	2.861400894	4.709701507	8.488200237
2.921013413	3.690797903	1.435246625	2.921013413	4.706308751	8.488622634
2.980625931	3.744274247	1.432160143	2.980625931	4.704999636	8.489982042
3.04023845	3.79129919	1.428937586	3.04023845	4.702057215	8.491333554
3.099850969	3.861795587	1.425911197	3.099850969	4.701551554	8.491377083
3.159463487	3.989445545	1.418800729	3.159463487	4.705793579	8.491439388
3.219076006	4.035872022	1.419086779	3.219076006	4.698613931	8.491105158
3.278688525	4.08980824	1.414375957	3.278688525	4.699338917	8.49034331
3.338301043	4.140515173	1.412180081	3.338301043	4.696331253	8.491315662
3.397913562	4.177419546	1.409963849	3.397913562	4.698095015	8.492712832
3.45752608	4.283513278	1.4048781	3.45752608	4.700161715	8.492297925
3.517138599	4.300654162	1.404067593	3.517138599	4.699765535	8.49211704
3.576751118	4.351290128	1.400971985	3.576751118	4.700502739	8.492484553
3.636363636	4.386825211	1.398231589	3.636363636	4.699758842	8.492339809
3.695976155	4.419621529	1.396543077	3.695976155	4.700646786	8.49259059
3.755588674	4.428067118	1.397952279	3.755588674	4.701806336	8.491682151
3.815201192	4.435490186	1.398728117	3.815201192	4.702639297	8.491040933
3.874813711	4.462618122	1.397192504	3.874813711	4.698828623	8.490780603
3.93442623	4.498802385	1.39415016	3.93442623	4.701188162	8.489641328
3.994038748	4.549549782	1.389392586	3.994038748	4.701602414	8.489002242
4.053651267	4.612434962	1.383020341	4.053651267	4.702044131	8.489350155
4.113263785	4.728157113	1.374895938	4.113263785	4.699910958	8.488669734
4.172876304	4.811432	1.372946735	4.172876304	4.698516009	8.488644872
4.232488823	4.873590106	1.371587953	4.232488823	4.693322466	8.490543907
4.292101341	4.961624501	1.369793081	4.292101341	4.695969081	8.491205941
4.35171386	5.020744805	1.372586672	4.35171386	4.702091547	8.491020494
4.411326379	5.121027963	1.374416807	4.411326379	4.712124526	8.48972621
4.470938897	5.208380404	1.366921591	4.470938897	4.714909197	8.490156424
4.530551416	5.297004027	1.357871946	4.530551416	4.714229309	8.490386718
4.590163934	5.412746953	1.350197997	4.590163934	4.712105101	8.489194397
4.649776453	5.497097495	1.341823324	4.649776453	4.7159996	8.48860889
4.709388972	5.610237491	1.334097447	4.709388972	4.721710806	8.485757587
4.76900149	5.635573119	1.336921209	4.76900149	4.721812682	8.484403197
4.828614009	5.705429147	1.338635082	4.828614009	4.719874145	8.482213764
4.888226528	5.790401044	1.329607116	4.888226528	4.71166546	8.483643892
4.947839046	5.934442911	1.316919607	4.947839046	4.706598421	8.485849983
5.007451565	6.035119698	1.306616099	5.007451565	4.702782833	8.487644217
5.067064083	6.12818631	1.298301534	5.067064083	4.705982702	8.489207496
5.126676602	6.187480804	1.292893882	5.126676602	4.706923712	8.490266917
5.186289121	6.250646703	1.288216311	5.186289121	4.705072035	8.490409473
5.245901639	6.333616215	1.285184422	5.245901639	4.704151253	8.491495158
5.305514158	6.446011575	1.27837131	5.305514158	4.707733214	8.490176809
5.365126677	6.533303533	1.272843825	5.365126677	4.707511281	8.490458384
5.424739195	6.583189018	1.27079824	5.424739195	4.708035931	8.490176801
5.484351714	6.616356866	1.269375243	5.484351714	4.705650193	8.490405467
5.543964232	6.675529837	1.267333243	5.543964232	4.706407867	8.490224275
5.603576751	6.654509201	1.270599517	5.603576751	4.717418624	8.489500687
5.66318927	6.709633128	1.264532043	5.66318927	4.724293851	8.488382436
5.722801788	6.801470778	1.254627096	5.722801788	4.708585976	8.486439737
5.782414307	6.895992966	1.245717658	5.782414307	4.698783892	8.483809345
5.842026826	6.937833078	1.245025122	5.842026826	4.698958643	8.485910499
5.901639344	7.065406714	1.239692703	5.901639344	4.703394723	8.486603301
5.961251863	7.140063305	1.235414672	5.961251863	4.703390914	8.488287865
6.020864382	7.225742832	1.232910071	6.020864382	4.707082512	8.489229526
6.0804769	7.244860819	1.229847703	6.0804769	4.697647355	8.491900841
6.140089419	7.284924636	1.228453242	6.140089419	4.699114581	8.491609876
6.199701937	7.340921914	1.226445426	6.199701937	4.703940095	8.491778945
6.259314456	7.352097092	1.225544953	6.259314456	4.697103808	8.492220117
6.318926975	7.405302615	1.222119741	6.318926975	4.697706971	8.491576446
6.378539493	7.4471261	1.218872691	6.378539493	4.699044689	8.491261844
6.438152012	7.472931327	1.218236507	6.438152012	4.698894953	8.491491116
6.497764531	7.478819657	1.21878099	6.497764531	4.700907369	8.492056217
6.557377049	7.539263745	1.213285707	6.557377049	4.703466654	8.491094135
6.616989568	7.545331785	1.214135727	6.616989568	4.698743842	8.493204084
6.676602086	7.584297667	1.211993897	6.676602086	4.697043848	8.494100233
6.736214605	7.634753196	1.209754562	6.736214605	4.698554258	8.494506153
6.795827124	7.654672944	1.208589061	6.795827124	4.698564803	8.49503251
6.855439642	7.649141529	1.208815731	6.855439642	4.697322746	8.495150307
6.915052161	7.666233685	1.20663228	6.915052161	4.697266963	8.495296706
6.97466468	7.717007241	1.203493104	6.97466468	4.697660144	8.495366072
7.034277198	7.766339393	1.199690757	7.034277198	4.698073939	8.495209837
7.093889717	7.80613244	1.19670735	7.093889717	4.69754223	8.495244636
7.153502235	7.845238174	1.19498024	7.153502235	4.698612485	8.495491461
7.213114754	7.869158744	1.193960257	7.213114754	4.701172557	8.495185194
7.272727273	7.853595317	1.194602822	7.272727273	4.697851196	8.495868811
7.332339791	7.858754637	1.194831708	7.332339791	4.698863929	8.49579581
7.39195231	7.862761519	1.195125873	7.39195231	4.697045333	8.495878498
7.451564829	7.859510026	1.199524685	7.451564829	4.697095989	8.495612749
7.511177347	7.865810782	1.201631309	7.511177347	4.695921661	8.495932496
7.570789866	7.861501243	1.20158103	7.570789866	4.694842101	8.496012555
7.630402385	7.859428165	1.201002146	7.630402385	4.692943468	8.496534086
7.690014903	7.862691092	1.199870404	7.690014903	4.693517074	8.49641932
7.749627422	7.874944482	1.198364746	7.749627422	4.694594448	8.496341755
7.80923994	7.938909597	1.195860304	7.80923994	4.693824494	8.496640727
