mass_D			mass_A		
t	x	y	t	x	y
0.00000000000000	36.55125437000000	-0.99790854120000	0.00000000000000	11.43095504000000	4.45701143200000
0.06128577557000	36.74179445000000	-1.00020391400000	0.06128577557000	11.42975910000000	4.45630290500000
0.12257155110000	36.91503462000000	-1.00565605900000	0.12257155110000	11.42812379000000	4.45595921700000
0.18385732670000	37.08714401000000	-1.01073502500000	0.18385732670000	11.42438172000000	4.45644410800000
0.24514310230000	37.14166463000000	-1.01039385900000	0.24514310230000	11.42550118000000	4.45652852100000
0.30642887790000	37.25021305000000	-1.01265637200000	0.30642887790000	11.42730837000000	4.45654110200000
0.36771465340000	37.31586633000000	-1.01636082800000	0.36771465340000	11.42715521000000	4.45653994000000
0.42900042900000	37.40455339000000	-1.01907362700000	0.42900042900000	11.42897379000000	4.45644399200000
0.49028620460000	37.44562658000000	-1.02259651900000	0.49028620460000	11.42903215000000	4.45641819000000
0.55157198010000	37.45932052000000	-1.02506916900000	0.55157198010000	11.42927138000000	4.45656518900000
0.61285775570000	37.48214556000000	-1.02964442100000	0.61285775570000	11.42892764000000	4.45662158800000
0.67414353130000	37.48109013000000	-1.03009522100000	0.67414353130000	11.42813381000000	4.45645466200000
0.73542930690000	37.47709618000000	-1.02680998800000	0.73542930690000	11.42771844000000	4.45659304400000
0.79671508240000	37.50240551000000	-1.02522268100000	0.79671508240000	11.42683038000000	4.45674457500000
0.85800085800000	37.53594793000000	-1.02801464400000	0.85800085800000	11.42387486000000	4.45682519400000
0.91928663360000	37.60703162000000	-1.02730337200000	0.91928663360000	11.42438757000000	4.45702889300000
0.98057240910000	37.63256929000000	-1.03191907400000	0.98057240910000	11.42212644000000	4.45703196400000
1.04185818500000	37.61824399000000	-1.03235253900000	1.04185818500000	11.41717816000000	4.45724087500000
1.10314396000000	37.63330087000000	-1.03385245300000	1.10314396000000	11.41094050000000	4.45783539900000
1.16442973600000	37.61292100000000	-1.03403706400000	1.16442973600000	11.39958796000000	4.45838049100000
1.22571551100000	37.62055313000000	-1.03353595900000	1.22571551100000	11.39534628000000	4.45932295000000
1.28700128700000	37.61515482000000	-1.03242413100000	1.28700128700000	11.39978180000000	4.45841297400000
1.34828706300000	37.61327688000000	-1.03245233200000	1.34828706300000	11.39704728000000	4.45856713600000
1.40957283800000	37.62666974000000	-1.03334841600000	1.40957283800000	11.39917120000000	4.45961055400000
1.47085861400000	37.64709706000000	-1.03610598800000	1.47085861400000	11.40481315000000	4.45894006600000
1.53214438900000	37.68082548000000	-1.03463857200000	1.53214438900000	11.41107923000000	4.45840088800000
1.59343016500000	37.76770599000000	-1.03625672500000	1.59343016500000	11.41224828000000	4.45849370800000
1.65471594000000	37.79838557000000	-1.03916454000000	1.65471594000000	11.41871178000000	4.45786473700000
1.71600171600000	37.82290599000000	-1.04058542400000	1.71600171600000	11.42055449000000	4.45731202300000
1.77728749200000	37.82492255000000	-1.04189494400000	1.77728749200000	11.41743773000000	4.45756418400000
1.83857326700000	37.91663414000000	-1.04540756700000	1.83857326700000	11.41820028000000	4.45769688200000
1.89985904300000	37.91624352000000	-1.04892641800000	1.89985904300000	11.42153225000000	4.45749697000000
1.96114481800000	37.95054410000000	-1.04758163900000	1.96114481800000	11.41178364000000	4.45841391700000
2.02243059400000	37.97403917000000	-1.04937878400000	2.02243059400000	11.41694832000000	4.45805237400000
2.08371636900000	38.02142261000000	-1.04966932700000	2.08371636900000	11.42125617000000	4.45834802500000
2.14500214500000	38.08968020000000	-1.05408365400000	2.14500214500000	11.42180077000000	4.45795340300000
2.20628792100000	38.13765877000000	-1.05342934200000	2.20628792100000	11.42486982000000	4.45772977600000
2.26757369600000	38.19808096000000	-1.05531025400000	2.26757369600000	11.42455195000000	4.45745434400000
2.32885947200000	38.24266908000000	-1.05848385200000	2.32885947200000	11.42778890000000	4.45722796400000
2.39014524700000	38.27264496000000	-1.06297276100000	2.39014524700000	11.42490556000000	4.45753973000000
2.45143102300000	38.27201830000000	-1.06293550300000	2.45143102300000	11.42229970000000	4.45754085700000
2.51271679800000	38.26883778000000	-1.06112169000000	2.51271679800000	11.42124342000000	4.45768783800000
2.57400257400000	38.26149334000000	-1.06152351300000	2.57400257400000	11.42175343000000	4.45761782000000
2.63528835000000	38.34511282000000	-1.06371905200000	2.63528835000000	11.42488327000000	4.45750589900000
2.69657412500000	38.39323872000000	-1.06389536900000	2.69657412500000	11.42475714000000	4.45716573700000
2.75785990100000	38.46018174000000	-1.06670989600000	2.75785990100000	11.42634188000000	4.45703506200000
2.81914567600000	38.48555991000000	-1.06699168200000	2.81914567600000	11.42645371000000	4.45714416000000
2.88043145200000	38.53793837000000	-1.07300247200000	2.88043145200000	11.42700342000000	4.45684203000000
2.94171722700000	38.58450636000000	-1.07100504400000	2.94171722700000	11.42671829000000	4.45699043800000
3.00300300300000	38.61284030000000	-1.07253551200000	3.00300300300000	11.42707553000000	4.45688219300000
3.06428877900000	38.65745030000000	-1.07344758400000	3.06428877900000	11.42831177000000	4.45678579400000
3.12557455400000	38.69356779000000	-1.07601434200000	3.12557455400000	11.42832341000000	4.45704079800000
3.18686033000000	38.73506887000000	-1.07587683500000	3.18686033000000	11.42755816000000	4.45691777300000
3.24814610500000	38.78636139000000	-1.07844871500000	3.24814610500000	11.42699158000000	4.45717715700000
3.30943188100000	38.82839511000000	-1.07890675600000	3.30943188100000	11.42759588000000	4.45706350900000
3.37071765600000	38.87011693000000	-1.08239716000000	3.37071765600000	11.43022169000000	4.45705787300000
