SOLfas			Ext		
t	x	y	t	x	y
0	21.37226231	-1.532846682	0	16.46715293	4.335766329
0.059612519	21.37589031	-1.532499331	0.059612519	16.46151493	4.336228637
0.119225037	21.38683099	-1.528818951	0.119225037	16.45128672	4.33634098
0.178837556	21.38495831	-1.526588726	0.178837556	16.42478025	4.336948455
0.238450075	21.36431084	-1.518265369	0.238450075	16.35736517	4.336989961
0.298062593	21.35846955	-1.51463403	0.298062593	16.32809674	4.337093185
0.357675112	21.3536126	-1.502133297	0.357675112	16.30303474	4.336431074
0.41728763	21.34391123	-1.493505938	0.41728763	16.27465241	4.335910366
0.476900149	21.31466356	-1.467875206	0.476900149	16.23564688	4.336148859
0.536512668	21.26525998	-1.459385223	0.536512668	16.1827213	4.335180962
0.596125186	21.278728	-1.454521588	0.596125186	16.14930251	4.335677433
0.655737705	21.28036085	-1.451455873	0.655737705	16.12892745	4.336243423
0.715350224	21.28223705	-1.448545179	0.715350224	16.09168533	4.33775105
0.774962742	21.28548047	-1.446766887	0.774962742	16.06946181	4.337879398
0.834575261	21.29999924	-1.448395133	0.834575261	16.05930494	4.337320996
0.894187779	21.35220717	-1.449295604	0.894187779	16.05137433	4.336944151
0.953800298	21.36250163	-1.451353728	0.953800298	16.01242699	4.336623686
1.013412817	21.33901492	-1.451916689	1.013412817	15.98509473	4.335800764
1.073025335	21.32660363	-1.454318043	1.073025335	15.94776638	4.334901951
1.132637854	21.31980198	-1.453360084	1.132637854	15.91232938	4.335838237
1.192250373	21.31849547	-1.453101516	1.192250373	15.9059768	4.33579355
1.251862891	21.29929082	-1.452829821	1.251862891	15.89076451	4.334516549
1.31147541	21.2900987	-1.451897713	1.31147541	15.85032537	4.334280677
1.371087928	21.29292338	-1.451147216	1.371087928	15.81536093	4.334251066
1.430700447	21.29605369	-1.450422175	1.430700447	15.77521473	4.335528707
1.490312966	21.30072577	-1.449361249	1.490312966	15.76234421	4.335941469
1.549925484	21.3157837	-1.449187275	1.549925484	15.76228016	4.336614902
1.609538003	21.35802526	-1.445896769	1.609538003	15.76888535	4.336383247
1.669150522	21.48217848	-1.443896671	1.669150522	15.77964516	4.336369248
1.72876304	21.52824579	-1.448646063	1.72876304	15.78264617	4.336171642
1.788375559	21.52298277	-1.451967193	1.788375559	15.78228259	4.33650749
1.847988077	21.53308694	-1.454965357	1.847988077	15.77459807	4.336925018
1.907600596	21.58456547	-1.457078723	1.907600596	15.76990669	4.336917593
1.967213115	21.59643657	-1.456555648	1.967213115	15.7719489	4.336772987
2.026825633	21.5996206	-1.456585694	2.026825633	15.77051575	4.336224909
2.086438152	21.59615248	-1.455931416	2.086438152	15.76246967	4.336390653
2.146050671	21.59438039	-1.456302076	2.146050671	15.75327812	4.33622287
2.205663189	21.62129072	-1.454553968	2.205663189	15.72694979	4.335942823
2.265275708	21.6105079	-1.454142167	2.265275708	15.71435838	4.336116171
2.324888227	21.6338007	-1.454246879	2.324888227	15.70510503	4.336066636
2.384500745	21.61645533	-1.454624243	2.384500745	15.69711866	4.335645197
2.444113264	21.64666997	-1.452377004	2.444113264	15.68790066	4.335227639
2.503725782	21.69267415	-1.453132527	2.503725782	15.6872237	4.335321439
2.563338301	21.68368191	-1.453586861	2.563338301	15.68081125	4.335807826
2.62295082	21.70083347	-1.45304103	2.62295082	15.68715967	4.335684801
2.682563338	21.68505141	-1.453599305	2.682563338	15.67925328	4.335417408
2.742175857	21.69623416	-1.452780131	2.742175857	15.64358422	4.335230302
2.801788376	21.68131397	-1.452136005	2.801788376	15.60366758	4.335110894
2.861400894	21.68437347	-1.452321447	2.861400894	15.57086649	4.335887725
2.921013413	21.69087578	-1.4530824	2.921013413	15.55672278	4.33622302
2.980625931	21.70120212	-1.453287888	2.980625931	15.54535067	4.33674739
3.04023845	21.72478208	-1.452404506	3.04023845	15.54017829	4.336340414
3.099850969	21.77021333	-1.452585747	3.099850969	15.54408445	4.336720653
3.159463487	21.76825239	-1.451246108	3.159463487	15.53775457	4.337116162
3.219076006	21.76044979	-1.452136051	3.219076006	15.52340113	4.336213888
3.278688525	21.76656557	-1.453263673	3.278688525	15.49477716	4.336064471
3.338301043	21.80132695	-1.451619313	3.338301043	15.48870163	4.335968018
3.397913562	21.77949315	-1.452872698	3.397913562	15.47992444	4.33565068
3.45752608	21.77386629	-1.453197547	3.45752608	15.46687912	4.335795539
3.517138599	21.77563419	-1.454952307	3.517138599	15.46392334	4.335723333
3.576751118	21.77587796	-1.453117656	3.576751118	15.44319904	4.336130825
3.636363636	21.76153009	-1.451513574	3.636363636	15.41095795	4.336000569
3.695976155	21.76596371	-1.452413862	3.695976155	15.39374577	4.336121792
3.755588674	21.75801313	-1.45215129	3.755588674	15.37191525	4.336908476
3.815201192	21.76977241	-1.454288142	3.815201192	15.33242014	4.336354719
3.874813711	21.7617213	-1.453568792	3.874813711	15.31365267	4.335180989
