Fasc_BEST			mass_A		
t	x	y	t	x	y
0.00000000000000	9.10872438600000	1.43955332400000	0.00000000000000	3.35131553400000	10.66492215000000
0.05961251863000	9.13260680800000	1.43680395900000	0.05961251863000	3.35188082600000	10.66489462000000
0.11922503730000	9.23625041600000	1.42382475600000	0.11922503730000	3.35262996900000	10.66485492000000
0.17883755590000	9.27385967300000	1.42093453800000	0.17883755590000	3.35010200400000	10.66436057000000
0.23845007450000	9.28798697800000	1.41831443800000	0.23845007450000	3.35016796900000	10.66440640000000
0.29806259310000	9.36628721000000	1.40860547200000	0.29806259310000	3.35045729400000	10.66468873000000
0.35767511180000	9.41234181800000	1.40366663900000	0.35767511180000	3.35038335300000	10.66462557000000
0.41728763040000	9.48500354900000	1.39545787500000	0.41728763040000	3.34999806600000	10.66445952000000
0.47690014900000	9.51779413600000	1.39067503600000	0.47690014900000	3.34713879400000	10.66481404000000
0.53651266770000	9.55724303800000	1.38515472300000	0.53651266770000	3.34607859800000	10.66495003000000
0.59612518630000	9.59499798700000	1.38277725000000	0.59612518630000	3.34769264100000	10.66465283000000
0.65573770490000	9.63794139600000	1.38391456700000	0.65573770490000	3.34702979200000	10.66456742000000
0.71535022350000	9.67776687900000	1.38759444100000	0.71535022350000	3.34874858100000	10.66438279000000
0.77496274220000	9.73598792600000	1.38108125100000	0.77496274220000	3.34701980900000	10.66447339000000
0.83457526080000	9.77429728700000	1.37511758700000	0.83457526080000	3.34742172700000	10.66449166000000
0.89418777940000	9.79615868700000	1.37042864200000	0.89418777940000	3.34465474500000	10.66483643000000
0.95380029810000	9.84250878300000	1.36736453200000	0.95380029810000	3.34509499300000	10.66486548000000
1.01341281700000	9.88655646600000	1.35945118600000	1.01341281700000	3.34451276900000	10.66469109000000
1.07302533500000	9.90934211500000	1.35844205200000	1.07302533500000	3.34332797300000	10.66518917000000
1.13263785400000	9.93340029300000	1.36014227100000	1.13263785400000	3.34123849900000	10.66442372000000
1.19225037300000	9.96155326300000	1.35447538000000	1.19225037300000	3.33964922000000	10.66480054000000
1.25186289100000	9.94851539900000	1.35502025400000	1.25186289100000	3.33649528600000	10.66578848000000
1.31147541000000	9.95953880700000	1.35495018200000	1.31147541000000	3.32922094900000	10.66512646000000
1.37108792800000	10.02517274000000	1.34666974200000	1.37108792800000	3.32337029300000	10.66743444000000
1.43070044700000	10.06413487000000	1.33730397400000	1.43070044700000	3.32137263600000	10.66622851000000
