"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"		
0.0187	-1.83429	0.0648936	0	-0.211588	1.42675	-0.0414982	-0.933814	-0.136106	0.615196	-12.512	-11.7491	-12.8175	-12.9698	-0.00793053	-57.2205		
0.0193	-1.52281	0.0648936	0	0.0935807	0.815286	-0.346687	-0.311271	-0.136106	0.609108	-12.9701	-11.9021	-12.512	-12.6648	-0.00735661	-58.2886		
0.02	-1.21132	0.0648936	0	0.0935807	0.494995	-0.0414982	-0.622543	0.169061	0.603021	-12.9701	-12.3597	-13.2751	-12.8173	-0.00657399	-57.8308		
0.0207	-0.934449	0.0648936	0.335877	0.0935807	0.203822	-0.0414982	-0.311271	-0.136106	0.603021	-12.512	-11.9021	-13.5805	-13.2753	-0.00735661	-56.9153		
0.0213	-0.934449	0.0648936	0.932992	0.0935807	-0.407643	-0.346687	0.292961	-0.136106	0.609108	-12.3595	-12.0546	-13.733	-13.4278	-0.00761748	-57.2205		
0.022	-0.622966	-0.240265	0.634434	-0.211588	-0.116469	-0.0414982	0.897194	-0.136106	0.609108	-12.9701	-12.2072	-13.5805	-12.8173	-0.00793053	-58.2886		
0.0227	-0.311483	-0.240265	0.634434	-0.211588	0.203822	-0.0414982	-0.0183101	-0.136106	0.603021	-12.512	-11.5965	-13.1225	-12.5123	-0.0084001	-58.2886		
0.0233	-0.934449	-0.240265	0.335877	-0.211588	0.203822	-0.346687	-0.622543	-0.136106	0.603021	-11.9018	-11.5965	-13.2751	-12.9698	-0.007774	-57.6782		
0.024	-1.21132	0.0648936	0	0.0935807	0.815286	-0.0414982	-0.0183101	0.169061	0.609108	-12.512	-12.3597	-13.733	-13.2753	-0.00720008	-57.6782		
0.0247	-0.622966	0.0648936	0.634434	0.0935807	0.815286	0.263671	-0.0183101	0.169061	0.609108	-12.512	-12.0546	-13.2751	-13.1224	-0.00746096	-57.6782		
0.0253	-1.52281	-0.240265	0.634434	-0.211588	0.203822	-0.0414982	-0.933814	-0.136106	0.603021	-12.3595	-11.2914	-12.665	-12.5123	-0.00761748	-58.136		
0.026	-2.45726	-0.240265	0.634434	-0.211588	-0.407643	-0.346687	-0.622543	-0.136106	0.609108	-13.1227	-11.7491	-12.8175	-12.2068	-0.00673051	-58.4412		
0.0267	-2.14577	0.0648936	0.932992	0.0935807	-0.727934	-0.0414982	-0.311271	0.169061	0.615196	-12.8176	-12.2072	-13.2751	-12.3598	-0.00610442	-57.8308		
0.0273	-1.21132	0.0648936	0.634434	-0.211588	-0.116469	-0.0414982	-0.933814	-0.136106	0.615196	-12.3595	-11.9021	-13.4276	-12.5123	-0.00641747	-56.7627		
0.028	-1.21132	0.0648936	0	-0.211588	0.815286	-0.0414982	-0.311271	-0.136106	0.609108	-12.512	-11.7491	-13.1225	-12.6648	-0.00626094	-56.7627		
0.0287	-1.83429	0.0648936	0.634434	0.0935807	0.494995	-0.0414982	0.292961	0.169061	0.615196	-12.6646	-11.5965	-12.665	-12.3598	-0.00626094	-57.373		
0.0293	-1.52281	0.0648936	0.634434	-0.211588	1.10646	-0.346687	0.604232	-0.136106	0.615196	-12.9701	-11.9021	-13.1225	-12.5123	-0.00704356	-57.9834		
0.03	-1.21132	0.0648936	0	0.0935807	1.71792	-0.0414982	0.897194	0.169061	0.609108	-12.512	-11.9021	-13.1225	-12.5123	-0.00746096	-58.2886		
0.0307	-1.52281	0.370073	0	0.0935807	1.42675	-0.0414982	0.897194	0.169061	0.615196	-12.2069	-11.5965	-12.8175	-12.5123	-0.00746096	-57.9834		
0.0313	-2.14577	-0.240265	-0.298557	-0.211588	1.10646	-0.346687	-0.0183101	-0.136106	0.609108	-12.512	-11.7491	-12.97	-12.3598	-0.00641747	-57.6782		
0.032	-1.21132	-0.240265	-0.298557	-0.211588	1.10646	-0.346687	-0.0183101	-0.136106	0.609108	-12.512	-12.0546	-13.4276	-12.6648	-0.00610442	-57.8308		
0.0327	-0.934449	-0.240265	0	-0.211588	1.42675	-0.0414982	0.292961	-0.136106	0.615196	-12.3595	-11.7491	-12.8175	-12.6648	-0.00641747	-57.6782		
0.0333	-1.21132	-0.240265	0.335877	-0.211588	0.815286	-0.346687	-0.0183101	-0.136106	0.615196	-12.3595	-11.444	-12.512	-12.5123	-0.00641747	-57.9834		
0.034	-0.934449	0.0648936	0.335877	-0.211588	0.815286	-0.0414982	-0.0183101	-0.136106	0.615196	-12.512	-11.7491	-13.2751	-12.6648	-0.00688704	-58.4412		
0.0347	-0.622966	0.0648936	0.335877	0.0935807	1.42675	-0.0414982	0.292961	-0.136106	0.615196	-12.512	-11.5965	-13.1225	-12.6648	-0.00735661	-57.8308		
