Calc_1			ExtMarker		
t	x	y	t	x	y
0	33.09077154	0	0	12.25515437	0
0.018682509	33.09267155	0	0.018682509	12.25614714	0
0.037365019	33.09176996	0	0.037365019	12.2568185	0
0.056047528	33.09159724	0	0.056047528	12.25635002	0
0.074730038	33.09095797	0	0.074730038	12.25695756	0
0.093412547	33.09092928	0	0.093412547	12.2562037	0
0.112095057	33.09103598	0	0.112095057	12.25650086	0
0.130777566	33.09125486	0	0.130777566	12.25611847	0
0.149460076	33.09107666	0	0.149460076	12.25616937	0
0.168142585	33.091491	0	0.168142585	12.25555168	0
0.186825094	33.09079851	0	0.186825094	12.25488219	0
0.205507604	33.09123981	0	0.205507604	12.25606305	0
0.224190113	33.09067044	0	0.224190113	12.25902928	0
0.242872623	33.08981501	0	0.242872623	12.25746292	0
0.261555132	33.09093844	0	0.261555132	12.25613605	0
0.280237642	33.09050668	0	0.280237642	12.25579999	0
0.298920151	33.09101861	0	0.298920151	12.25562531	0
0.31760266	33.09174796	0	0.31760266	12.25866196	0
0.33628517	33.09126245	0	0.33628517	12.25765126	0
0.354967679	33.09124233	0	0.354967679	12.25524369	0
0.373650189	33.09040479	0	0.373650189	12.25705393	0
0.392332698	33.08950717	0	0.392332698	12.25719789	0
0.411015208	33.09150091	0	0.411015208	12.25493535	0
0.429697717	33.09073821	0	0.429697717	12.25706314	0
0.448380226	33.0911014	0	0.448380226	12.25619054	0
0.467062736	33.0900621	0	0.467062736	12.25426561	0
0.485745245	33.09062663	0	0.485745245	12.2538557	0
0.504427755	33.09083204	0	0.504427755	12.25366977	0
0.523110264	33.09247924	0	0.523110264	12.25605073	0
0.541792774	33.09264351	0	0.541792774	12.25633329	0
0.560475283	33.09413547	0	0.560475283	12.25806994	0
0.579157793	33.09461822	0	0.579157793	12.25747146	0
0.597840302	33.09394212	0	0.597840302	12.25764464	0
0.616522811	33.09362668	0	0.616522811	12.25720135	0
0.635205321	33.093673	0	0.635205321	12.25642186	0
0.65388783	33.09311855	0	0.65388783	12.25750786	0
0.67257034	33.09434441	0	0.67257034	12.25643332	0
0.691252849	33.09532951	0	0.691252849	12.26129055	0
0.709935359	33.09388238	0	0.709935359	12.25839795	0
0.728617868	33.09273845	0	0.728617868	12.25613014	0
0.747300377	33.09293402	0	0.747300377	12.25714529	0
0.765982887	33.09364772	0	0.765982887	12.25606454	0
0.784665396	33.09446313	0	0.784665396	12.2568815	0
0.803347906	33.09519311	0	0.803347906	12.25850189	0
0.822030415	33.09427819	0	0.822030415	12.25640902	0
0.840712925	33.09259297	0	0.840712925	12.25563604	0
0.859395434	33.092827	0	0.859395434	12.25575537	0
0.878077943	33.09365261	0	0.878077943	12.25519912	0
0.896760453	33.09388052	0	0.896760453	12.25674595	0
0.915442962	33.09544978	0	0.915442962	12.25647306	0
0.934125472	33.09452578	0	0.934125472	12.25631862	0
0.952807981	33.09613454	0	0.952807981	12.25572209	0
0.971490491	33.09607325	0	0.971490491	12.25633153	0
0.990173	33.09443661	0	0.990173	12.25616252	0
1.008855509	33.09326524	0	1.008855509	12.25621106	0
1.027538019	33.09487857	0	1.027538019	12.25564671	0
1.046220528	33.09331182	0	1.046220528	12.25786505	0
1.064903038	33.09316164	0	1.064903038	12.2564003	0
1.083585547	33.09267738	0	1.083585547	12.25587655	0
1.102268057	33.09266204	0	1.102268057	12.25785392	0
1.120950566	33.09345229	0	1.120950566	12.25583854	0
1.139633076	33.09554933	0	1.139633076	12.25692348	0
1.158315585	33.09365981	0	1.158315585	12.25721948	0
1.176998094	33.09462617	0	1.176998094	12.25918243	0
1.195680604	33.09437801	0	1.195680604	12.2596414	0
1.214363113	33.09465782	0	1.214363113	12.25764602	0
1.233045623	33.09339298	0	1.233045623	12.25709526	0
1.251728132	33.09255038	0	1.251728132	12.25811569	0
1.270410642	33.0932564	0	1.270410642	12.2580006	0
1.289093151	33.09303663	0	1.289093151	12.25839361	0
1.30777566	33.09258312	0	1.30777566	12.25697837	0
1.32645817	33.09216035	0	1.32645817	12.25668183	0
1.345140679	33.09210139	0	1.345140679	12.25750755	0
1.363823189	33.09301298	0	1.363823189	12.25670852	0
1.382505698	33.09391968	0	1.382505698	12.25735524	0
1.401188208	33.09280427	0	1.401188208	12.25625824	0
1.419870717	33.0928721	0	1.419870717	12.25874973	0
1.438553226	33.09399671	0	1.438553226	12.25876251	0
1.457235736	33.09401293	0	1.457235736	12.2596106	0
1.475918245	33.09233351	0	1.475918245	12.25965472	0
1.494600755	33.08910452	0	1.494600755	12.25748722	0
1.513283264	33.0813441	0	1.513283264	12.253392	0
1.531965774	33.07853009	0	1.531965774	12.24991632	0
1.550648283	33.07740182	0	1.550648283	12.2469451	0
1.569330793	33.07517824	0	1.569330793	12.25002296	0
1.588013302	33.08027583	0	1.588013302	12.25019186	0
1.606695811	33.08808542	0	1.606695811	12.2535871	0
1.625378321	33.08836571	0	1.625378321	12.25241291	0
1.64406083	33.0824969	0	1.64406083	12.24809071	0
1.66274334	33.07885766	0	1.66274334	12.24640248	0
1.681425849	33.06134711	0	1.681425849	12.24258715	0
1.700108359	33.05553464	0	1.700108359	12.24296821	0
1.718790868	33.05774431	0	1.718790868	12.24230497	0
1.737473377	33.06799674	0	1.737473377	12.24463007	0
1.756155887	33.07167949	0	1.756155887	12.24763589	0
1.774838396	33.07396112	0	1.774838396	12.2503672	0
1.793520906	33.07781521	0	1.793520906	12.25830355	0
1.812203415	33.08299907	0	1.812203415	12.26299105	0
1.830885925	33.08233034	0	1.830885925	12.29369348	0
1.849568434	33.09032083	0	1.849568434	12.35393269	0
1.868250943	33.09245927	0	1.868250943	12.33608176	0
1.886933453	33.09016943	0	1.886933453	12.33331636	0
1.905615962	33.08935317	0	1.905615962	12.3338537	0
1.924298472	33.09246834	0	1.924298472	12.33573657	0
1.942980981	33.08631473	0	1.942980981	12.3307536	0
1.961663491	33.07644688	0	1.961663491	12.32604835	0
1.980346	33.07451807	0	1.980346	12.31571244	0
1.99902851	33.07444721	0	1.99902851	12.30696995	0
2.017711019	33.06546175	0	2.017711019	12.29911216	0
2.036393528	33.01872069	0	2.036393528	12.30336179	0
2.055076038	32.99512791	0	2.055076038	12.31021402	0
2.073758547	32.94405307	0	2.073758547	12.28066148	0
2.092441057	32.9299431	0	2.092441057	12.24225573	0
2.111123566	32.92053686	0	2.111123566	12.23285007	0
2.129806076	32.89123951	0	2.129806076	12.2271396	0
2.148488585	32.85055671	0	2.148488585	12.22676836	0
2.167171094	32.80857252	0	2.167171094	12.19286036	0
2.185853604	32.78579234	0	2.185853604	12.1555185	0
2.204536113	32.75902433	0	2.204536113	12.13396056	0
2.223218623	32.72445283	0	2.223218623	12.1201326	0
2.241901132	32.70491814	0	2.241901132	12.10766734	0
2.260583642	32.69379051	0	2.260583642	12.10635015	0
2.279266151	32.67238205	0	2.279266151	12.09527369	0
2.29794866	32.64297373	0	2.29794866	12.09396998	0
2.31663117	32.63099717	0	2.31663117	12.0898336	0
2.335313679	32.62203672	0	2.335313679	12.08292504	0
2.353996189	32.61820704	0	2.353996189	12.07452077	0
2.372678698	32.5390844	0	2.372678698	12.0253734	0
2.391361208	32.48353215	0	2.391361208	11.98152122	0
2.410043717	32.45093316	0	2.410043717	11.95136031	0
2.428726227	32.37953638	0	2.428726227	11.92291443	0
2.447408736	32.34265445	0	2.447408736	11.89037035	0
2.466091245	32.28570632	0	2.466091245	11.86878311	0
2.484773755	32.2422095	0	2.484773755	11.86697879	0
2.503456264	32.21525949	0	2.503456264	11.8675317	0
2.522138774	32.19528532	0	2.522138774	11.8685181	0
2.540821283	32.19189612	0	2.540821283	11.87501287	0
2.559503793	32.18747786	0	2.559503793	11.87366455	0
2.578186302	32.19867801	0	2.578186302	11.87378055	0
2.596868811	32.22149441	0	2.596868811	11.8854252	0
2.615551321	32.27559017	0	2.615551321	11.88595931	0
2.63423383	32.29803038	0	2.63423383	11.89070751	0
2.65291634	32.28905461	0	2.65291634	11.88800081	0
2.671598849	32.29105229	0	2.671598849	11.89018235	0
2.690281359	32.28776268	0	2.690281359	11.89037743	0
2.708963868	32.28631544	0	2.708963868	11.89012604	0
2.727646377	32.28406101	0	2.727646377	11.89093173	0
2.746328887	32.27811979	0	2.746328887	11.88540394	0
2.765011396	32.27521519	0	2.765011396	11.88676753	0
2.783693906	32.27983364	0	2.783693906	11.88678881	0
2.802376415	32.28359039	0	2.802376415	11.88755874	0
2.821058925	32.28281828	0	2.821058925	11.8869913	0
2.839741434	32.28074409	0	2.839741434	11.88721157	0
2.858423944	32.28400461	0	2.858423944	11.88804334	0
2.877106453	32.28618186	0	2.877106453	11.88712057	0
2.895788962	32.28320461	0	2.895788962	11.8845795	0
2.914471472	32.25768979	0	2.914471472	11.87919143	0
2.933153981	32.21155926	0	2.933153981	11.87484578	0
2.951836491	32.17561895	0	2.951836491	11.86883393	0
2.970519	32.14977341	0	2.970519	11.87037684	0
2.98920151	32.12627296	0	2.98920151	11.84789819	0
3.007884019	32.09997593	0	3.007884019	11.81740785	0
3.026566528	32.07866101	0	3.026566528	11.81183212	0
3.045249038	32.07777234	0	3.045249038	11.81495804	0
3.063931547	32.07142012	0	3.063931547	11.81498286	0
3.082614057	32.06982829	0	3.082614057	11.81235281	0
3.101296566	32.08159169	0	3.101296566	11.81663962	0
3.119979076	32.08601147	0	3.119979076	11.81741744	0
3.138661585	32.07814938	0	3.138661585	11.81459775	0
3.157344094	32.07398073	0	3.157344094	11.81382109	0
3.176026604	32.07253874	0	3.176026604	11.81291276	0
3.194709113	32.07590713	0	3.194709113	11.81412091	0
3.213391623	32.07972112	0	3.213391623	11.81641341	0
3.232074132	32.07947047	0	3.232074132	11.81644911	0
3.250756642	32.07355656	0	3.250756642	11.81546031	0
3.269439151	32.06759784	0	3.269439151	11.81258755	0
3.288121661	32.05276684	0	3.288121661	11.79917558	0
3.30680417	31.99731639	0	3.30680417	11.76753155	0
3.325486679	31.96262979	0	3.325486679	11.72513018	0
3.344169189	31.96280499	0	3.344169189	11.72175032	0
3.362851698	31.94498357	0	3.362851698	11.71243517	0
3.381534208	31.89685054	0	3.381534208	11.70266987	0
3.400216717	31.90398696	0	3.400216717	11.69116044	0
3.418899227	31.90858552	0	3.418899227	11.68275743	0
3.437581736	31.91302892	0	3.437581736	11.67487542	0
3.456264245	31.91539258	0	3.456264245	11.67046818	0
3.474946755	31.91465285	0	3.474946755	11.67038116	0
3.493629264	31.91235326	0	3.493629264	11.66838315	0
3.512311774	31.91743872	0	3.512311774	11.67056942	0
3.530994283	31.91678166	0	3.530994283	11.66947679	0
3.549676793	31.91530152	0	3.549676793	11.66594728	0
3.568359302	31.89625921	0	3.568359302	11.66327024	0
3.587041811	31.86525671	0	3.587041811	11.66107488	0
3.605724321	31.83188823	0	3.605724321	11.65343665	0
3.62440683	31.83461094	0	3.62440683	11.65794446	0
3.64308934	31.81623565	0	3.64308934	11.65398136	0
3.661771849	31.79384735	0	3.661771849	11.64866554	0
3.680454359	31.78083772	0	3.680454359	11.65323126	0
3.699136868	31.78265166	0	3.699136868	11.66084622	0
3.717819377	31.78283081	0	3.717819377	11.66268879	0
3.736501887	31.78435658	0	3.736501887	11.66558967	0
3.755184396	31.78542796	0	3.755184396	11.66680744	0
3.773866906	31.78447926	0	3.773866906	11.66640882	0
3.792549415	31.78161729	0	3.792549415	11.66664467	0
3.811231925	31.77997641	0	3.811231925	11.66780751	0
3.829914434	31.77564548	0	3.829914434	11.66565989	0
3.848596944	31.75717926	0	3.848596944	11.65565429	0
3.867279453	31.69989648	0	3.867279453	11.6485763	0
3.885961962	31.68576012	0	3.885961962	11.65245549	0
3.904644472	31.68519665	0	3.904644472	11.65177334	0
3.923326981	31.68641793	0	3.923326981	11.64800177	0
3.942009491	31.68511128	0	3.942009491	11.64991147	0
3.960692	31.6775216	0	3.960692	11.65439053	0
3.97937451	31.67828799	0	3.97937451	11.65629945	0
3.998057019	31.65829045	0	3.998057019	11.65838594	0
4.016739528	31.64378215	0	4.016739528	11.66071715	0
4.035422038	31.64034011	0	4.035422038	11.66779638	0
4.054104547	31.63434198	0	4.054104547	11.668007	0
4.072787057	31.63305896	0	4.072787057	11.66647102	0
4.091469566	31.63686967	0	4.091469566	11.67261144	0
4.110152076	31.64106628	0	4.110152076	11.67158046	0
4.128834585	31.63978078	0	4.128834585	11.67527499	0
4.147517094	31.63471294	0	4.147517094	11.67360207	0
4.166199604	31.62798001	0	4.166199604	11.6717056	0
4.184882113	31.62534197	0	4.184882113	11.67105506	0
4.203564623	31.62063793	0	4.203564623	11.6711663	0
4.222247132	31.60973936	0	4.222247132	11.66687692	0
4.240929642	31.57853748	0	4.240929642	11.66225907	0
4.259612151	31.50829521	0	4.259612151	11.64956896	0
4.278294661	31.4797289	0	4.278294661	11.64011432	0
4.29697717	31.46263012	0	4.29697717	11.64641106	0
4.315659679	31.40665219	0	4.315659679	11.63930559	0
4.334342189	31.39228159	0	4.334342189	11.64854186	0
4.353024698	31.37924067	0	4.353024698	11.65182043	0
4.371707208	31.32171896	0	4.371707208	11.63878553	0
