FASC_Dist			mass_A		
t	x	y	t	x	y
1.45265984	32.42425491	0.00000000	1.45265984	50.40324004	0.00000000
1.47104794	32.06309348	0.00000000	1.47104794	50.40334795	0.00000000
1.48943604	31.77374207	0.00000000	1.48943604	50.40334176	0.00000000
1.50782414	31.64023519	0.00000000	1.50782414	50.40362032	0.00000000
1.52621224	31.37547526	0.00000000	1.52621224	50.40366474	0.00000000
1.54460034	31.15313194	0.00000000	1.54460034	50.40355905	0.00000000
1.56298843	30.93565156	0.00000000	1.56298843	50.40338540	0.00000000
1.58137653	30.84031464	0.00000000	1.58137653	50.40385632	0.00000000
1.59976463	30.63829648	0.00000000	1.59976463	50.40375521	0.00000000
1.61815273	30.45097089	0.00000000	1.61815273	50.40388687	0.00000000
1.63654083	30.26919911	0.00000000	1.63654083	50.40391657	0.00000000
1.65492893	30.09157922	0.00000000	1.65492893	50.40409618	0.00000000
1.67331703	30.02192114	0.00000000	1.67331703	50.40386806	0.00000000
1.69170513	29.87465607	0.00000000	1.69170513	50.40403134	0.00000000
1.71009323	29.72010395	0.00000000	1.71009323	50.40396634	0.00000000
1.72848133	29.53153674	0.00000000	1.72848133	50.40394702	0.00000000
1.74686943	29.31429883	0.00000000	1.74686943	50.40379209	0.00000000
1.76525753	29.19564866	0.00000000	1.76525753	50.40393355	0.00000000
1.78364563	28.91587875	0.00000000	1.78364563	50.40380012	0.00000000
1.80203372	28.59429926	0.00000000	1.80203372	50.40330211	0.00000000
1.82042182	28.23234626	0.00000000	1.82042182	50.40313567	0.00000000
1.83880992	28.07046816	0.00000000	1.83880992	50.40332534	0.00000000
1.85719802	27.68218870	0.00000000	1.85719802	50.40298019	0.00000000
1.87558612	27.30127503	0.00000000	1.87558612	50.40327924	0.00000000
1.89397422	26.94032589	0.00000000	1.89397422	50.40331085	0.00000000
1.91236232	26.61075105	0.00000000	1.91236232	50.40347413	0.00000000
1.93075042	26.43548929	0.00000000	1.93075042	50.40369435	0.00000000
1.94913852	26.13181133	0.00000000	1.94913852	50.40345769	0.00000000
1.96752662	25.82810865	0.00000000	1.96752662	50.40352651	0.00000000
1.98591472	25.56460574	0.00000000	1.98591472	50.40370770	0.00000000
2.00430282	25.36431065	0.00000000	2.00430282	50.40350408	0.00000000
2.02269091	25.24686809	0.00000000	2.02269091	50.40356860	0.00000000
2.04107901	25.04026373	0.00000000	2.04107901	50.40336342	0.00000000
2.05946711	24.79889447	0.00000000	2.05946711	50.40373274	0.00000000
2.07785521	24.51465801	0.00000000	2.07785521	50.40370970	0.00000000
2.09624331	24.24269960	0.00000000	2.09624331	50.40340150	0.00000000
2.11463141	23.99593697	0.00000000	2.11463141	50.40369055	0.00000000
2.13301951	23.86492663	0.00000000	2.13301951	50.40358172	0.00000000
2.15140761	23.59995248	0.00000000	2.15140761	50.40363004	0.00000000
2.16979571	23.36473367	0.00000000	2.16979571	50.40373250	0.00000000
2.18818381	23.14513137	0.00000000	2.18818381	50.40272234	0.00000000
2.20657191	23.04504078	0.00000000	2.20657191	50.40285752	0.00000000
2.22496001	22.80119483	0.00000000	2.22496001	50.40345058	0.00000000
2.24334811	22.56666608	0.00000000	2.24334811	50.40349150	0.00000000
2.26173620	22.38935735	0.00000000	2.26173620	50.40330734	0.00000000
2.28012430	22.20334860	0.00000000	2.28012430	50.40346110	0.00000000
2.29851240	22.08355929	0.00000000	2.29851240	50.40363648	0.00000000
2.31690050	21.89418382	0.00000000	2.31690050	50.40394473	0.00000000
2.33528860	21.74160649	0.00000000	2.33528860	50.40387481	0.00000000
2.35367670	21.56866019	0.00000000	2.35367670	50.40390446	0.00000000
2.37206480	21.38859816	0.00000000	2.37206480	50.40373361	0.00000000
2.39045290	21.23141862	0.00000000	2.39045290	50.40378990	0.00000000
2.40884100	21.15744028	0.00000000	2.40884100	50.40400684	0.00000000
2.42722910	20.98164109	0.00000000	2.42722910	50.40381405	0.00000000
2.44561720	20.81029794	0.00000000	2.44561720	50.40412358	0.00000000
2.46400530	20.65744060	0.00000000	2.46400530	50.40423855	0.00000000
2.48239340	20.48424305	0.00000000	2.48239340	50.40419083	0.00000000
2.50078149	20.37143433	0.00000000	2.50078149	50.40375651	0.00000000
2.51916959	20.18065796	0.00000000	2.51916959	50.40346930	0.00000000
2.53755769	19.97841440	0.00000000	2.53755769	50.40363301	0.00000000
2.55594579	19.79018369	0.00000000	2.55594579	50.40387507	0.00000000
2.57433389	19.68818172	0.00000000	2.57433389	50.40391010	0.00000000
2.59272199	19.50623411	0.00000000	2.59272199	50.40385870	0.00000000
2.61111009	19.29063266	0.00000000	2.61111009	50.40422907	0.00000000
2.62949819	18.94102112	0.00000000	2.62949819	50.40440817	0.00000000
2.64788629	18.84731563	0.00000000	2.64788629	50.40414712	0.00000000
2.66627439	18.65327177	0.00000000	2.66627439	50.40400953	0.00000000
2.68466249	18.46021044	0.00000000	2.68466249	50.40459108	0.00000000
2.70305059	18.22610391	0.00000000	2.70305059	50.40463953	0.00000000
2.72143869	18.02899372	0.00000000	2.72143869	50.40486754	0.00000000
2.73982678	17.85479420	0.00000000	2.73982678	50.40444973	0.00000000
2.75821488	17.78199115	0.00000000	2.75821488	50.40450456	0.00000000
2.77660298	17.62320763	0.00000000	2.77660298	50.40467333	0.00000000
2.79499108	17.46290732	0.00000000	2.79499108	50.40488719	0.00000000
2.81337918	17.30997915	0.00000000	2.81337918	50.40492267	0.00000000
