mass_C			ExtMarker		
t	x	y	t	x	y
0	34.412902	0	0	10.91803837	0
0.01863273	34.41373608	0	0.01863273	10.91768561	0
0.037265461	34.41494503	0	0.037265461	10.91839366	0
0.055898191	34.41603211	0	0.055898191	10.91873007	0
0.074530921	34.41648745	0	0.074530921	10.91930467	0
0.093163651	34.41632213	0	0.093163651	10.91971162	0
0.111796382	34.41654242	0	0.111796382	10.91970372	0
0.130429112	34.41622423	0	0.130429112	10.92046354	0
0.149061842	34.41526894	0	0.149061842	10.91988182	0
0.167694572	34.4147453	0	0.167694572	10.92086718	0
0.186327303	34.41507521	0	0.186327303	10.91895566	0
0.204960033	34.41459007	0	0.204960033	10.91899527	0
0.223592763	34.41424827	0	0.223592763	10.92003571	0
0.242225493	34.41447418	0	0.242225493	10.91993975	0
0.260858224	34.41420543	0	0.260858224	10.91839758	0
0.279490954	34.41423039	0	0.279490954	10.91843765	0
0.298123684	34.41366965	0	0.298123684	10.91847775	0
0.316756414	34.41337798	0	0.316756414	10.91916698	0
0.335389145	34.41322191	0	0.335389145	10.91787526	0
0.354021875	34.41365319	0	0.354021875	10.91820265	0
0.372654605	34.41363749	0	0.372654605	10.91729059	0
0.391287335	34.4135942	0	0.391287335	10.91716493	0
0.409920066	34.41295522	0	0.409920066	10.91578605	0
0.428552796	34.41319407	0	0.428552796	10.91679208	0
0.447185526	34.41250902	0	0.447185526	10.91609794	0
0.465818256	34.41236841	0	0.465818256	10.91715375	0
0.484450987	34.41306214	0	0.484450987	10.91770626	0
0.503083717	34.41317121	0	0.503083717	10.91787068	0
0.521716447	34.41331107	0	0.521716447	10.91837011	0
0.540349177	34.41251683	0	0.540349177	10.91751007	0
0.558981908	34.41380961	0	0.558981908	10.91677988	0
0.577614638	34.41349519	0	0.577614638	10.91859266	0
0.596247368	34.41396181	0	0.596247368	10.91744043	0
0.614880098	34.41430993	0	0.614880098	10.91772197	0
0.633512829	34.41483154	0	0.633512829	10.9178318	0
0.652145559	34.41530319	0	0.652145559	10.91860796	0
0.670778289	34.41546026	0	0.670778289	10.91798319	0
0.689411019	34.41487543	0	0.689411019	10.91832236	0
0.70804375	34.41480719	0	0.70804375	10.91814207	0
0.72667648	34.41525278	0	0.72667648	10.91877084	0
0.74530921	34.41662502	0	0.74530921	10.91856135	0
0.76394194	34.41615105	0	0.76394194	10.91874539	0
0.782574671	34.4150811	0	0.782574671	10.91792777	0
0.801207401	34.414163	0	0.801207401	10.91655159	0
0.819840131	34.41448842	0	0.819840131	10.91501272	0
0.838472861	34.41427594	0	0.838472861	10.91644063	0
0.857105592	34.41392514	0	0.857105592	10.91593263	0
0.875738322	34.41259239	0	0.875738322	10.91652467	0
0.894371052	34.41181329	0	0.894371052	10.91645297	0
0.913003782	34.40885148	0	0.913003782	10.91517078	0
0.931636513	34.4067439	0	0.931636513	10.91181525	0
0.950269243	34.40386862	0	0.950269243	10.91151028	0
0.968901973	34.40396745	0	0.968901973	10.91088685	0
0.987534704	34.40138756	0	0.987534704	10.91189089	0
1.006167434	34.38557175	0	1.006167434	10.90591212	0
1.024800164	34.36964676	0	1.024800164	10.89708017	0
1.043432894	34.34064089	0	1.043432894	10.90086055	0
1.062065624	34.32535216	0	1.062065624	10.9024821	0
1.080698355	34.32592991	0	1.080698355	10.90355249	0
1.099331085	34.32262734	0	1.099331085	10.90380455	0
1.117963815	34.30617945	0	1.117963815	10.90951386	0
1.136596545	34.2856292	0	1.136596545	10.91845733	0
1.155229276	34.26462928	0	1.155229276	10.91782181	0
1.173862006	34.24970561	0	1.173862006	10.9169331	0
1.192494736	34.23234291	0	1.192494736	10.91257763	0
1.211127467	34.21582448	0	1.211127467	10.91439474	0
1.229760197	34.17646427	0	1.229760197	10.91166474	0
1.248392927	34.17147298	0	1.248392927	10.91632231	0
1.267025657	34.14458528	0	1.267025657	10.91693979	0
1.285658388	34.10352694	0	1.285658388	10.92157325	0
1.304291118	34.06918011	0	1.304291118	10.92374312	0
1.322923848	34.04581034	0	1.322923848	10.92152384	0
1.341556578	33.99750556	0	1.341556578	10.90623186	0
1.360189309	33.93348354	0	1.360189309	10.88824473	0
1.378822039	33.87333883	0	1.378822039	10.84445239	0
1.397454769	33.84699225	0	1.397454769	10.82900349	0
1.416087499	33.77898854	0	1.416087499	10.80563116	0
1.43472023	33.73596892	0	1.43472023	10.77854739	0
1.45335296	33.69970022	0	1.45335296	10.77047363	0
1.47198569	33.65150405	0	1.47198569	10.76522958	0
1.49061842	33.63682689	0	1.49061842	10.76348606	0
1.509251151	33.57125247	0	1.509251151	10.75714944	0
1.527883881	33.5117466	0	1.527883881	10.75834567	0
1.546516611	33.4681478	0	1.546516611	10.75701961	0
1.565149341	33.45125008	0	1.565149341	10.76176554	0
1.583782072	33.43012442	0	1.583782072	10.76292682	0
1.602414802	33.40193749	0	1.602414802	10.76579969	0
1.621047532	33.365436	0	1.621047532	10.76958801	0
1.639680262	33.33975233	0	1.639680262	10.76621542	0
1.658312993	33.31442486	0	1.658312993	10.76868914	0
1.676945723	33.30506969	0	1.676945723	10.7676014	0
1.695578453	33.30129388	0	1.695578453	10.76357149	0
1.714211183	33.28451025	0	1.714211183	10.76316116	0
1.732843914	33.27985377	0	1.732843914	10.76404487	0
1.751476644	33.26003056	0	1.751476644	10.7636079	0
1.770109374	33.21213767	0	1.770109374	10.76117897	0
1.788742104	33.2007221	0	1.788742104	10.76387839	0
1.807374835	33.17571838	0	1.807374835	10.76509686	0
1.826007565	33.17364248	0	1.826007565	10.76639287	0
1.844640295	33.16604875	0	1.844640295	10.76543473	0
1.863273025	33.14384197	0	1.863273025	10.76789071	0
1.881905756	33.14808954	0	1.881905756	10.76732067	0
1.900538486	33.1497414	0	1.900538486	10.76877305	0
1.919171216	33.15006233	0	1.919171216	10.76625502	0
1.937803946	33.14415813	0	1.937803946	10.76803898	0
1.956436677	33.149301	0	1.956436677	10.76844812	0
1.975069407	33.1573878	0	1.975069407	10.76836714	0
1.993702137	33.15814737	0	1.993702137	10.76873923	0
2.012334867	33.15353395	0	2.012334867	10.76820414	0
