Trial 1			BD_1 Trial 1	Marker										
t	x	y	t	x	y									
3.666	29.347	0.000	3.666	19.531	0.000									
3.690	29.343	0.000	3.690	19.530	0.000									
3.713	29.327	0.000	3.713	19.532	0.000									
3.736	29.304	0.000	3.736	19.532	0.000									
3.760	29.266	0.000	3.760	19.531	0.000									
3.783	29.267	0.000	3.783	19.532	0.000									
3.807	29.241	0.000	3.807	19.530	0.000									
3.830	29.196	0.000	3.830	19.532	0.000									
3.853	29.196	0.000	3.853	19.533	0.000									
3.877	29.200	0.000	3.877	19.532	0.000									
3.900	29.193	0.000	3.900	19.532	0.000									
3.923	29.206	0.000	3.923	19.528	0.000									
3.947	29.213	0.000	3.947	19.531	0.000									
3.970	29.235	0.000	3.970	19.534	0.000									
3.993	29.244	0.000	3.993	19.534	0.000									
4.017	29.238	0.000	4.017	19.533	0.000									
4.040	29.228	0.000	4.040	19.533	0.000									
4.063	29.237	0.000	4.063	19.534	0.000									
4.087	29.237	0.000	4.087	19.532	0.000									
4.110	29.231	0.000	4.110	19.532	0.000									
4.133	29.241	0.000	4.133	19.535	0.000									
4.157	29.230	0.000	4.157	19.533	0.000									
4.180	29.213	0.000	4.180	19.533	0.000									
4.204	29.203	0.000	4.204	19.535	0.000									
4.227	29.191	0.000	4.227	19.535	0.000									
4.250	29.090	0.000	4.250	19.535	0.000									
4.274	29.079	0.000	4.274	19.535	0.000									
4.297	29.067	0.000	4.297	19.535	0.000									
4.320	29.062	0.000	4.320	19.541	0.000									
4.344	29.051	0.000	4.344	19.539	0.000									
4.367	29.053	0.000	4.367	19.535	0.000									
4.390	29.059	0.000	4.390	19.533	0.000									
4.414	29.072	0.000	4.414	19.538	0.000									
4.437	29.070	0.000	4.437	19.534	0.000									
4.460	29.075	0.000	4.460	19.539	0.000									
4.484	29.081	0.000	4.484	19.537	0.000									
4.507	29.076	0.000	4.507	19.534	0.000									
4.530	29.083	0.000	4.530	19.534	0.000									
4.554	29.089	0.000	4.554	19.537	0.000									
4.577	29.084	0.000	4.577	19.533	0.000									
4.601	29.059	0.000	4.601	19.531	0.000									
4.624	29.044	0.000	4.624	19.525	0.000									
4.647	29.049	0.000	4.647	19.526	0.000									
4.671	29.050	0.000	4.671	19.528	0.000									
4.694	29.037	0.000	4.694	19.528	0.000									
4.717	29.032	0.000	4.717	19.530	0.000									
4.741	29.005	0.000	4.741	19.529	0.000									
4.764	28.990	0.000	4.764	19.530	0.000									
4.787	28.976	0.000	4.787	19.530	0.000									
4.811	28.984	0.000	4.811	19.530	0.000									
4.834	28.975	0.000	4.834	19.528	0.000									
4.857	28.963	0.000	4.857	19.530	0.000									
4.881	28.887	0.000	4.881	19.527	0.000									
4.904	28.870	0.000	4.904	19.531	0.000									
4.927	28.840	0.000	4.927	19.530	0.000									
4.951	28.837	0.000	4.951	19.528	0.000									
4.974	28.811	0.000	4.974	19.530	0.000									
4.998	28.827	0.000	4.998	19.531	0.000									
5.021	28.832	0.000	5.021	19.530	0.000									
5.044	28.827	0.000	5.044	19.530	0.000									
5.068	28.832	0.000	5.068	19.534	0.000									
5.091	28.829	0.000	5.091	19.535	0.000									
5.114	28.826	0.000	5.114	19.532	0.000									
5.138	28.816	0.000	5.138	19.533	0.000									
5.161	28.811	0.000	5.161	19.534	0.000									
5.184	28.814	0.000	5.184	19.536	0.000									
5.208	28.819	0.000	5.208	19.535	0.000									
5.231	28.788	0.000	5.231	19.534	0.000									
5.254	28.747	0.000	5.254	19.532	0.000									
5.278	28.755	0.000	5.278	19.531	0.000									
5.301	28.758	0.000	5.301	19.531	0.000									
5.324	28.788	0.000	5.324	19.533	0.000									
5.348	28.787	0.000	5.348	19.531	0.000									
5.371	28.780	0.000	5.371	19.531	0.000									
5.395	28.776	0.000	5.395	19.532	0.000									
5.418	28.780	0.000	5.418	19.533	0.000									
5.441	28.780	0.000	5.441	19.530	0.000									
5.465	28.779	0.000	5.465	19.532	0.000									
5.488	28.779	0.000	5.488	19.531	0.000									
5.511	28.788	0.000	5.511	19.532	0.000									
5.535	28.782	0.000	5.535	19.531	0.000									
5.558	28.781	0.000	5.558	19.531	0.000									
5.581	28.785	0.000	5.581	19.531	0.000									
5.605	28.792	0.000	5.605	19.531	0.000									
5.628	28.788	0.000	5.628	19.531	0.000									
5.651	28.912	0.000	5.651	19.532	0.000									
5.675	29.042	0.000	5.675	19.535	0.000									
5.698	29.099	0.000	5.698	19.536	0.000									
5.721	29.164	0.000	5.721	19.533	0.000									
5.745	29.230	0.000	5.745	19.536	0.000									
5.768	29.381	0.000	5.768	19.542	0.000									
5.792	29.533	0.000	5.792	19.548	0.000									
5.815	29.790	0.000	5.815	19.539	0.000									
5.838	30.014	0.000	5.838	19.538	0.000									
5.862	30.334	0.000	5.862	19.547	0.000									
5.885	30.365	0.000	5.885	19.546	0.000									
5.908	30.499	0.000	5.908	19.542	0.000									
5.932	30.611	0.000	5.932	19.545	0.000									
5.955	30.832	0.000	5.955	19.614	0.000									
5.978	30.888	0.000	5.978	19.661	0.000									
6.002	30.839	0.000	6.002	19.653	0.000									
6.025	30.808	0.000	6.025	19.664	0.000									
6.048	30.808	0.000	6.048	19.675	0.000									
6.072	30.828	0.000	6.072	19.678	0.000									
6.095	30.814	0.000	6.095	19.677	0.000									
6.118	30.777	0.000	6.118	19.677	0.000									
6.142	30.741	0.000	6.142	19.676	0.000									
6.165	30.802	0.000	6.165	19.677	0.000									
6.189	30.805	0.000	6.189	19.678	0.000									
6.212	30.796	0.000	6.212	19.679	0.000									
6.235	30.799	0.000	6.235	19.681	0.000									
6.259	30.790	0.000	6.259	19.680	0.000									
6.282	30.817	0.000	6.282	19.684	0.000									
6.305	30.938	0.000	6.305	19.686	0.000									
6.329	30.942	0.000	6.329	19.688	0.000									
6.352	30.955	0.000	6.352	19.681	0.000									
6.375	30.967	0.000	6.375	19.681	0.000									
6.399	31.089	0.000	6.399	19.675	0.000									
6.422	31.157	0.000	6.422	19.683	0.000									
6.445	31.187	0.000	6.445	19.675	0.000									
6.469	31.226	0.000	6.469	19.670	0.000									
6.492	31.279	0.000	6.492	19.666	0.000									
6.515	31.236	0.000	6.515	19.668	0.000									
6.539	31.317	0.000	6.539	19.670	0.000									
6.562	31.304	0.000	6.562	19.670	0.000									
6.586	31.355	0.000	6.586	19.670	0.000									
6.609	31.392	0.000	6.609	19.675	0.000									
6.632	31.391	0.000	6.632	19.673	0.000									
6.656	31.404	0.000	6.656	19.673	0.000									
6.679	31.427	0.000	6.679	19.677	0.000									
6.702	31.450	0.000	6.702	19.675	0.000									
6.726	31.459	0.000	6.726	19.676	0.000									
6.749	31.459	0.000	6.749	19.678	0.000									
6.772	31.465	0.000	6.772	19.677	0.000									
6.796	31.453	0.000	6.796	19.675	0.000									
6.819	31.450	0.000	6.819	19.676	0.000									
6.842	31.439	0.000	6.842	19.675	0.000									
6.866	31.432	0.000	6.866	19.674	0.000									
6.889	31.430	0.000	6.889	19.675	0.000									
6.912	31.428	0.000	6.912	19.674	0.000									
6.936	31.431	0.000	6.936	19.676	0.000									
6.959	31.430	0.000	6.959	19.676	0.000									
6.983	31.429	0.000	6.983	19.676	0.000									
6.983	31.429	0.000	6.983	19.676	0.000									
														
														
														
														
