Trial 1			BD_1 Trial 1	Marker										
t	x	y	t	x	y									
0.000	30.622	0.000	0.000	19.530	0.000									
0.023	30.622	0.000	0.023	19.528	0.000									
0.047	30.621	0.000	0.047	19.529	0.000									
0.070	30.622	0.000	0.070	19.530	0.000									
0.093	30.622	0.000	0.093	19.529	0.000									
0.117	30.621	0.000	0.117	19.529	0.000									
0.140	30.621	0.000	0.140	19.530	0.000									
0.163	30.622	0.000	0.163	19.530	0.000									
0.187	30.622	0.000	0.187	19.529	0.000									
0.210	30.622	0.000	0.210	19.529	0.000									
0.234	30.622	0.000	0.234	19.529	0.000									
0.257	30.621	0.000	0.257	19.529	0.000									
0.280	30.621	0.000	0.280	19.530	0.000									
0.304	30.621	0.000	0.304	19.530	0.000									
0.327	30.621	0.000	0.327	19.529	0.000									
0.350	30.622	0.000	0.350	19.530	0.000									
0.374	30.621	0.000	0.374	19.530	0.000									
0.397	30.622	0.000	0.397	19.529	0.000									
0.420	30.622	0.000	0.420	19.529	0.000									
0.444	30.621	0.000	0.444	19.530	0.000									
0.467	30.622	0.000	0.467	19.530	0.000									
0.490	30.621	0.000	0.490	19.530	0.000									
0.514	30.621	0.000	0.514	19.530	0.000									
0.537	30.621	0.000	0.537	19.528	0.000									
0.560	30.621	0.000	0.560	19.529	0.000									
0.584	30.620	0.000	0.584	19.530	0.000									
0.607	30.621	0.000	0.607	19.529	0.000									
0.631	30.621	0.000	0.631	19.530	0.000									
0.654	30.622	0.000	0.654	19.529	0.000									
0.677	30.622	0.000	0.677	19.530	0.000									
0.701	30.622	0.000	0.701	19.530	0.000									
0.724	30.621	0.000	0.724	19.530	0.000									
0.747	30.621	0.000	0.747	19.530	0.000									
0.771	30.622	0.000	0.771	19.529	0.000									
0.794	30.622	0.000	0.794	19.529	0.000									
0.817	30.622	0.000	0.817	19.529	0.000									
0.841	30.621	0.000	0.841	19.529	0.000									
0.864	30.621	0.000	0.864	19.530	0.000									
0.887	30.622	0.000	0.887	19.530	0.000									
0.911	30.622	0.000	0.911	19.529	0.000									
0.934	30.623	0.000	0.934	19.530	0.000									
0.957	30.623	0.000	0.957	19.530	0.000									
0.981	30.622	0.000	0.981	19.529	0.000									
1.004	30.623	0.000	1.004	19.530	0.000									
1.028	30.622	0.000	1.028	19.530	0.000									
1.051	30.622	0.000	1.051	19.530	0.000									
1.074	30.622	0.000	1.074	19.530	0.000									
1.098	30.621	0.000	1.098	19.530	0.000									
1.121	30.622	0.000	1.121	19.530	0.000									
1.144	30.622	0.000	1.144	19.530	0.000									
1.168	30.622	0.000	1.168	19.529	0.000									
1.191	30.622	0.000	1.191	19.530	0.000									
1.214	30.623	0.000	1.214	19.530	0.000									
1.238	30.622	0.000	1.238	19.529	0.000									
1.261	30.622	0.000	1.261	19.529	0.000									
1.284	30.622	0.000	1.284	19.530	0.000									
1.308	30.622	0.000	1.308	19.530	0.000									
1.331	30.623	0.000	1.331	19.529	0.000									
1.354	30.622	0.000	1.354	19.530	0.000									
1.378	30.622	0.000	1.378	19.530	0.000									
1.401	30.622	0.000	1.401	19.531	0.000									
1.425	30.622	0.000	1.425	19.529	0.000									
1.448	30.622	0.000	1.448	19.531	0.000									
1.471	30.621	0.000	1.471	19.530	0.000									
1.495	30.619	0.000	1.495	19.529	0.000									
1.518	30.614	0.000	1.518	19.528	0.000									
1.541	30.611	0.000	1.541	19.528	0.000									
1.565	30.498	0.000	1.565	19.522	0.000									
1.588	30.476	0.000	1.588	19.515	0.000									
1.611	30.312	0.000	1.611	19.511	0.000									
1.635	30.260	0.000	1.635	19.514	0.000									
1.658	30.249	0.000	1.658	19.519	0.000									
1.681	30.264	0.000	1.681	19.520	0.000									
1.705	30.223	0.000	1.705	19.524	0.000									
1.728	30.180	0.000	1.728	19.525	0.000									
1.751	30.108	0.000	1.751	19.523	0.000									
1.775	30.130	0.000	1.775	19.529	0.000									
1.798	30.095	0.000	1.798	19.529	0.000									
1.822	30.027	0.000	1.822	19.526	0.000									
1.845	30.012	0.000	1.845	19.529	0.000									
1.868	29.979	0.000	1.868	19.536	0.000									
1.892	29.937	0.000	1.892	19.533	0.000									
1.915	29.888	0.000	1.915	19.532	0.000									
1.938	29.876	0.000	1.938	19.533	0.000									
1.962	29.854	0.000	1.962	19.528	0.000									
1.985	29.838	0.000	1.985	19.525	0.000									
2.008	29.804	0.000	2.008	19.524	0.000									
2.032	29.757	0.000	2.032	19.513	0.000									
2.055	29.730	0.000	2.055	19.517	0.000									
2.078	29.706	0.000	2.078	19.518	0.000									
2.102	29.713	0.000	2.102	19.521	0.000									
2.125	29.718	0.000	2.125	19.522	0.000									
2.148	29.723	0.000	2.148	19.523	0.000									
2.172	29.725	0.000	2.172	19.524	0.000									
2.195	29.722	0.000	2.195	19.526	0.000									
2.219	29.723	0.000	2.219	19.527	0.000									
2.242	29.705	0.000	2.242	19.524	0.000									
2.265	29.674	0.000	2.265	19.521	0.000									
2.289	29.625	0.000	2.289	19.519	0.000									
2.312	29.596	0.000	2.312	19.522	0.000									
2.335	29.580	0.000	2.335	19.524	0.000									
2.359	29.574	0.000	2.359	19.525	0.000									
2.382	29.568	0.000	2.382	19.526	0.000									
2.405	29.549	0.000	2.405	19.524	0.000									
2.429	29.501	0.000	2.429	19.524	0.000									
2.452	29.468	0.000	2.452	19.528	0.000									
2.475	29.440	0.000	2.475	19.527	0.000									
2.499	29.418	0.000	2.499	19.529	0.000									
2.522	29.412	0.000	2.522	19.529	0.000									
2.545	29.397	0.000	2.545	19.530	0.000									
2.569	29.381	0.000	2.569	19.529	0.000									
2.592	29.367	0.000	2.592	19.529	0.000									
2.616	29.358	0.000	2.616	19.530	0.000									
2.639	29.359	0.000	2.639	19.530	0.000									
2.662	29.358	0.000	2.662	19.531	0.000									
2.686	29.336	0.000	2.686	19.528	0.000									
2.709	29.338	0.000	2.709	19.529	0.000									
2.732	29.347	0.000	2.732	19.531	0.000									
2.756	29.361	0.000	2.756	19.531	0.000									
2.779	29.366	0.000	2.779	19.532	0.000									
2.802	29.371	0.000	2.802	19.535	0.000									
2.826	29.372	0.000	2.826	19.534	0.000									
2.849	29.388	0.000	2.849	19.541	0.000									
2.872	29.394	0.000	2.872	19.541	0.000									
2.896	29.388	0.000	2.896	19.540	0.000									
2.919	29.392	0.000	2.919	19.543	0.000									
2.942	29.389	0.000	2.942	19.545	0.000									
2.966	29.394	0.000	2.966	19.544	0.000									
2.989	29.390	0.000	2.989	19.541	0.000									
3.013	29.388	0.000	3.013	19.542	0.000									
3.036	29.398	0.000	3.036	19.541	0.000									
3.059	29.399	0.000	3.059	19.537	0.000									
3.083	29.401	0.000	3.083	19.537	0.000									
3.106	29.395	0.000	3.106	19.535	0.000									
3.129	29.402	0.000	3.129	19.533	0.000									
3.153	29.399	0.000	3.153	19.533	0.000									
3.176	29.389	0.000	3.176	19.533	0.000									
3.199	29.380	0.000	3.199	19.532	0.000									
3.223	29.372	0.000	3.223	19.533	0.000									
3.246	29.373	0.000	3.246	19.532	0.000									
3.269	29.374	0.000	3.269	19.531	0.000									
3.293	29.372	0.000	3.293	19.532	0.000									
3.316	29.364	0.000	3.316	19.531	0.000									
3.339	29.353	0.000	3.339	19.531	0.000									
3.363	29.358	0.000	3.363	19.531	0.000									
3.386	29.360	0.000	3.386	19.533	0.000									
3.410	29.346	0.000	3.410	19.532	0.000									
3.433	29.335	0.000	3.433	19.531	0.000									
3.456	29.338	0.000	3.456	19.530	0.000									
3.480	29.345	0.000	3.480	19.532	0.000									
3.503	29.345	0.000	3.503	19.532	0.000									
3.526	29.330	0.000	3.526	19.531	0.000									
3.550	29.331	0.000	3.550	19.531	0.000									
3.573	29.345	0.000	3.573	19.531	0.000									
3.596	29.348	0.000	3.596	19.532	0.000									
3.620	29.351	0.000	3.620	19.532	0.000									
3.643	29.354	0.000	3.643	19.532	0.000									
